; 次根备用码(B面码): 声韵+首根+次根, 真痛组受害者专用, 自动生成
qrvo,1=棬
qikm,1=弃
vieo,1=泜
fuon,1=罘
yhoo,1=徉
jmon,1=鹣
hefe,1=菏
uukn,1=毹
jiks,1=犄
huee,1=淴
pins,1=邳
yukv,1=悆
ykfi,1=䓨
vdir,1=瘵
yilm,1=眙
qizs,1=埼
jkko,1=鼱
pufn,1=蒱
xyon,1=醺
heaf,1=嗬
uuqo,1=曙
xpeq,1=瀣
yjms,1=崦
doll,1=剟
wwcc,1=煨
yiin,1=瘗
pika,1=䴙
vinm,1=郅
xiuo,1=饩
miit,1=宓
jpbt,1=诫
pueo,1=潽
qrok,1=辁
vito,1=祉
yzoo,1=𬨎
jqnq,1=鬏
qien,1=洓
yukn,1=觎
svls,1=睢
qivm,1=桤
lslh,1=眬
jmno,1=搛
vueg,1=潴
yjbk,1=嬿
gjvo,1=橄
puzq,1=墣
xuon,1=醑
khcm,1=𩾌
jitk,1=跻
dibk,1=媂
xpnq,1=揳
biak,1=髀
jios,1=徛
igza,1=珵
xubo,1=谞
mofj,1=藦
xuem,1=㳚
guzi,1=榖
tiox,1=䴘
loic,1=瘰
wusd,1=仵
mhkk,1=牤
jmka,1=鞬
yigk,1=𬺈
juqn,1=遽
xito,1=禊
bodo,1=袯
dioy,1=羝
wumn,1=屼
iabi,1=姹
mcmo,1=蟊
poon,1=酦
mjbq,1=谩
vuvb,1=槠
luec,1=澛
vaao,1=吒
uivt,1=栻
ffzb,1=坋
keiq,1=骒
dsrh,1=恫
yjen,1=漹
gjeo,1=澉
ybak,1=喑
uems,1=𪨶
wukc,1=牾
xijo,1=蟋
jifa,1=蕺
vhbk,1=嫜
duvo,1=黩
liso,1=凓
lioo,1=轹
jbzk,1=墐
viti,1=疐
ijwu,1=镵
guon,1=酤
juko,1=屦
jukq,1=犋
jbek,1=浕
huzi,1=觳
hlck,1=艎
hdam,1=咍
hoef,1=濩
pilk,1=陴
thwe,1=铴
xueo,1=湑
qmro,1=磏
ufvv,1=棽
ysaq,1=喁
xrik,1=𫠊
fuzw,1=垺
