啊	aalj
吖	aals
阿	aatj
腌	aaxb
锕	aazj
卬	ahoj
盎	ahsd
昂	ahwj
肮	ahxo
埃	aiak
癌	aicx
爱	aidn
矮	aidu
欸	aieh
碍	aige
砹	aigg
哀	aihc
挨	aiik
皑	aijk
毐	aiki
嗌	aild
哎	ailg
唉	ailk
嗳	ailn
叆	ainn
瑷	airn
隘	aitd
霭	aito
嫒	aiun
暧	aiwn
艾	aiyg
蔼	aiyo
锿	aizc
埯	anab
垵	anau
𩽾	anbu
犴	angk
盦	anhd
鞍	anhu
按	aniu
庵	anjb
氨	anju
鹌	ankw
唵	anlb
案	anmq
安	anmu
谙	annw
桉	anqu
黯	anqw
俺	anvb
暗	anww
岸	anxk
胺	anxu
铵	anzu
坳	aoab
澳	aofk
拗	aoib
奡	aois
翱	aojd
鏖	aoji
廒	aojo
嗷	aolo
袄	aomk
岙	aoox
鳌	aorb
遨	aorf
獒	aorg
熬	aori
鏊	aori
骜	aorm
聱	aorn
敖	aoro
璈	aoro
螯	aors
嶅	aorx
凹	aosi
懊	aotk
隩	aotk
媪	aoud
奥	aouk
傲	aovo
薁	aoyk
坝	baam
鲅	babc
粑	babk
鲃	babk
疤	back
笆	badk
灞	bafx
靶	bahk
拔	baic
把	baik
捌	bair
扒	baiu
耙	bajk
巴	bakk
羓	bakk
魃	balc
吧	balk
叭	balu
罢	baoe
朳	baqu
蚆	bask
霸	batx
妭	bauc
爸	bauk
八	bauu
跋	bawc
胈	baxc
岜	baxk
菝	bayc
芭	bayk
钯	bazk
缤	bbeu
濒	bbfm
滨	bbfu
殡	bbgu
摈	bbiu
鬓	bbiu
宾	bbmu
斌	bbod
彬	bbqo
槟	bbqu
玢	bbrr
髌	bbsu
邠	bbut
傧	bbvu
豳	bbxe
膑	bbxu
镔	bbzu
饱	bcak
炮	bcbk
鲍	bcbk
爆	bcbw
孢	bcdk
龅	bcdk
鸨	bcew
瀑	bcfw
褒	bchc
抱	bcik
报	bcin
宝	bcmj
褓	bcmq
豹	bcoe
剥	bcor
枹	bcqk
雹	bctk
包	bcuk
刨	bcur
堡	bcva
煲	bcvb
保	bcvq
趵	bcwe
暴	bcww
曝	bcww
胞	bcxk
薄	bcye
苞	bcyk
葆	bcyq
摆	bdie
捭	bdij
百	bdij
白	bdjj
稗	bdkj
败	bdmo
拜	bdoj
掰	bdon
柏	bdqj
伯	bdvj
佰	bdvj
笨	bfdi
畚	bfew
犇	bfjj
贲	bfjm
奔	bfks
本	bfqi
栟	bfqs
坌	bfua
倴	bfvs
苯	bfyi
锛	bfzs
祊	bgcs
绷	bgex
泵	bggh
甭	bgik
甏	bgkc
迸	bgkf
嘣	bglx
琫	bgra
蚌	bgsj
蹦	bgwx
崩	bgxx
镚	bgzx
塝	bhas
绑	bhet
浜	bhfu
磅	bhgs
搒	bhis
𠳐	bhlt
帮	bhnd
谤	bhns
邦	bhnt
棒	bhqa
榜	bhqs
梆	bhqt
玤	bhrj
蚌	bhsj
傍	bhvs
膀	bhxs
蒡	bhys
镑	bhzs
鲾	bibw
舭	bice
痹	bics
邲	bict
必	bicu
篦	bide
筚	bidj
笔	bido
箅	bids
匕	biee
沘	bife
滗	bifo
濞	bifs
泌	bifu
狴	biga
壁	biha
避	bihf
襞	bihh
璧	bihj
辟	bihk
嬖	bihu
臂	bihx
坒	biia
比	biie
逼	biif
毙	biig
毕	biij
皕	biij
毖	biiu
庇	bije
庳	bijj
觱	bijk
闭	biju
秕	bike
彼	bikn
敝	biko
弊	biks
秘	biku
馝	biku
吡	bile
哔	bilj
鄙	bilt
咇	bilu
裨	bimj
赑	bimm
诐	binn
币	biod
弼	bioo
碧	birg
鼻	birs
珌	biru
髀	bisj
陛	bita
愎	bito
妣	biue
婢	biuj
俾	bivj
佖	bivu
跸	biwj
畀	biws
荸	biyd
芘	biye
蓖	biye
荜	biyj
萆	biyj
薜	biyk
蔽	biyo
苾	biyu
铋	bizu
坂	bjan
办	bjbc
版	bjcn
瘢	bjco
癍	bjco
般	bjco
绊	bjea
湴	bjfi
靽	bjha
瓣	bjhk
拌	bjia
扳	bjin
搬	bjio
扮	bjir
半	bjka
𨭉	bjoi
柈	bjqa
板	bjqn
斑	bjro
班	bjru
阪	bjtn
颁	bjum
攽	bjuo
伴	bjva
昄	bjwn
钣	bjzn
饼	bkas
炳	bkbh
病	bkch
禀	bkha
屏	bkhs
丙	bkih
摒	bkis
邴	bkit
并	bkks
秉	bkoh
兵	bkou
柄	bkqh
槟	bkqu
蛃	bksh
冰	bkvh
昺	bkwh
边	bmbf
煸	bmby
鳊	bmby
笾	bmdf
遍	bmdf
扁	bmdy
弁	bmes
𨚕	bmet
编	bmey
汴	bmfw
砭	bmgw
碥	bmgy
鞭	bmhg
变	bmhn
卞	bmhw
抃	bmiw
贬	bmmw
褊	bmmy
辫	bmre
辩	bmrn
辨	bmru
蝙	bmsy
忭	bmtw
便	bmvg
匾	bmvy
昪	bmws
苄	bmyw
萹	bmyy
熛	bnba
鳔	bnba
瘭	bnca
幖	bnda
瀌	bnfi
飙	bngg
摽	bnia
骠	bnma
裱	bnmc
骉	bnmm
标	bnqa
杓	bnqe
表	bnrc
彪	bnso
婊	bnuc
飑	bnuk
俵	bnvc
儦	bnvi
膘	bnxa
脿	bnxc
藨	bnyi
镖	bnza
镳	bnzi
饽	boad
鲌	bobj
舶	bocj
箔	bodj
簸	bodn
渤	bofb
浡	bofd
泊	bofj
波	bofn
礴	boge
砵	bogi
亳	bohf
擘	bohn
檗	bohq
搏	boie
僰	boih
拨	boin
播	boiw
勃	bojb
帛	bojd
博	boje
鹁	bojw
馞	bokd
哱	bold
啵	boln
驳	bomg
袯	bomn
艴	book
剥	boor
桲	boqd
欂	boqe
柏	boqj
玻	born
卜	bosw
伯	bovj
踣	bowl
跛	bown
脖	boxd
膊	boxe
嶓	boxw
薄	boye
菠	boyn
蕃	boyw
钹	bozc
镈	boze
钵	bozi
铂	bozj
𬭛	bozn
瘪	bpce
癿	bpjo
鳖	bpkb
憋	bpkt
蹩	bpkw
别	bplr
埔	buaf
埠	buaj
埗	buau
簿	bude
步	budu
逋	buff
𬷕	bufw
瓿	buhc
部	buht
捕	buif
不	buiw
布	bujd
哺	bulf
卟	bulw
补	bumw
醭	buov
卜	busw
怖	butd
堡	buva
晡	buwf
蔀	buyt
钚	buzw
