单字,字频序,相撞码,不让位表候选,综合表候选,综合表首选,二字词最高序,二字词,四字简词最高序,四字简词,处理动作,状态,裁决备注
七,3,qigg,1,1,七,57900,弃耕,,,retain_single,按发布候选顺序落实,
上,8,uhsr,1,1,上,49531,上算,,,retain_single,按发布候选顺序落实,
专,13,vrkk,1,1,专,18117,砖块,,,retain_single,按发布候选顺序落实,
世,15,uiiz,1,1,世,27023,世仇 尸臭,,,retain_single,按发布候选顺序落实,
丝,18,siff,1,1,丝,28584,私愤 四分 私分,,,retain_single,按发布候选顺序落实,
中,23,vsjy,1,1,中,31949,忠君,,,retain_single,按发布候选顺序落实,
串,25,irjy,1,1,串,28115,川军,15491,成人教育,retain_single,按发布候选顺序落实,
丽,31,lidd,1,1,丽,16170,历代,,,retain_single,按发布候选顺序落实,
义,36,yide,1,1,义,22586,医德 易得,,,retain_single,按发布候选顺序落实,
之,37,viff,1,1,之,26872,脂粉 之分,,,retain_single,按发布候选顺序落实,
乙,44,yizz,2,2,亿,42728,移走,,,retain_single,按发布候选顺序落实,
也,46,yehh,1,1,也,20744,夜航,,,retain_single,按发布候选顺序落实,
习,47,xinn,2,2,铣,33005,犀鸟,,,retain_single,按发布候选顺序落实,
乡,48,xlff,1,1,乡,30381,香粉,,,retain_single,按发布候选顺序落实,
买,50,mdzv,1,1,买,51901,买醉,,,retain_single,按发布候选顺序落实,
了,52,lnxx,1,1,了,21398,撂下,,,retain_single,按发布候选顺序落实,
二,57,errr,1,1,二,40554,耳软,,,retain_single,按发布候选顺序落实,
于,58,yuxx,1,1,于,16452,余下 鱼虾,9298,以身相许,retain_single,按发布候选顺序落实,
五,62,wuqq,1,1,五,26134,务求,,,retain_single,按发布候选顺序落实,
些,65,xpyr,1,1,些,38736,血缘,,,retain_single,按发布候选顺序落实,
交,67,jnee,1,1,交,50237,交恶,,,retain_single,按发布候选顺序落实,
亦,68,yiyy,1,1,亦,24159,意蕴 疑云,,,retain_single,按发布候选顺序落实,
人,75,rfdd,1,1,人,17324,韧带,,,retain_single,按发布候选顺序落实,
亿,76,yizz,1,1,亿,42728,移走,,,retain_single,按发布候选顺序落实,
今,81,jbvv,2,2,衿,40881,紧追,15564,局部战争,retain_single,按发布候选顺序落实,
仙,90,xmzu,1,1,仙,23437,险阻 先祖,,,retain_single,按发布候选顺序落实,
仪,94,yize,1,1,仪,24633,一则,,,retain_single,按发布候选顺序落实,
份,101,ffzo,1,1,份,41333,分作,,,retain_single,按发布候选顺序落实,
伏,105,fuzv,1,1,伏,29247,负罪 服罪,,,retain_single,按发布候选顺序落实,
会,110,hvdk,1,1,会,59693,灰顶,,,retain_single,按发布候选顺序落实,
似,121,uizo,1,2,诗作,17093,诗作 视作,,,word_first,已裁决,冷门 shì 入口让诗作／视作；常用 sì 另走 sizo
使,137,uize,1,1,使,16752,实则 失责,,,retain_single,已裁决,实则／失责偏书面，保留高频单字使
例,138,lizo,1,1,例,18191,力作 离座,,,retain_single,按发布候选顺序落实,
依,140,yizg,1,1,依,32684,遗赠,,,retain_single,按发布候选顺序落实,
便,143,bmze,1,1,便,36949,贬责,,,retain_single,按发布候选顺序落实,
俩,151,llzd,1,1,俩,16054,靓仔,,,retain_single,按发布候选顺序落实,
健,165,jmzo,1,1,健,23737,间作,,,retain_single,已裁决,间作生僻，保留健
其,190,qiiv,1,1,其,53959,气锤,,,retain_single,按发布候选顺序落实,
典,192,dmlv,1,1,典,20017,电驴,,,retain_single,按发布候选顺序落实,
兹,193,civf,1,1,兹,34699,磁针,,,retain_single,按发布候选顺序落实,
冒,200,mcla,1,1,冒,34285,毛拉,,,retain_single,按发布候选顺序落实,
军,202,jysc,1,1,军,19065,军嫂,,,retain_single,按发布候选顺序落实,
几,217,jidd,1,1,几,17807,亟待,,,retain_single,按发布候选顺序落实,
凤,219,fgdg,1,1,凤,34907,风灯 丰登,,,retain_single,按发布候选顺序落实,
出,222,iuuu,1,1,出,35841,出书 处暑,,,retain_single,按发布候选顺序落实,
切,226,qpgo,1,1,切,52305,窃国,,,retain_single,按发布候选顺序落实,
划,228,hxbo,1,1,划,26308,划拨,,,retain_single,按发布候选顺序落实,
