啊	aaan
吖	aaaq
阿	aaln
锕	aawn
腌	aayg
卬	ahof
昂	ahqf
盎	ahqy
肮	ahyl
嗳	aial
哎	aiar
唉	aias
嗌	aiay
嫒	aibl
矮	aidb
蔼	aifo
艾	aifr
癌	aiim
哀	aikt
皑	aikv
隘	aily
欸	aimk
挨	ains
暧	aiql
砹	airr
碍	airx
霭	aito
爱	aiwl
锿	aiwt
叆	aiyl
瑷	aizl
毐	aizn
埃	aizs
唵	anag
谙	anbq
𩽾	ancb
犴	angh
安	anib
案	aniv
鞍	ankb
盦	anky
氨	anmb
庵	anmg
岸	anmh
按	annb
暗	anqq
鹌	ansd
俺	ansg
桉	anvb
黯	anvq
铵	anwb
胺	anyb
垵	anzb
埯	anzg
嗷	aoak
媪	aoby
袄	aods
澳	aoes
薁	aofs
翱	aoku
隩	aols
廒	aomk
鏖	aomn
拗	aonf
奡	aonq
岙	aoom
凹	aoqn
懊	aors
傲	aosk
鳌	aowc
獒	aowg
骜	aowi
螯	aowj
敖	aowk
嶅	aowm
鏊	aown
熬	aowv
遨	aoww
聱	aowy
奥	aoxs
坳	aozf
璈	aozk
叭	baab
魃	baat
吧	baav
八	babb
妭	babt
爸	babv
鲅	bact
粑	bacv
鲃	bacv
笆	badv
灞	baey
菝	baft
芭	bafv
疤	baiv
蚆	bajv
靶	bakv
岜	bamv
扒	banb
捌	band
拔	bant
把	banv
罢	baom
羓	baov
耙	baqv
跋	batt
霸	baty
朳	bavb
巴	bavv
钯	bawv
胈	bayt
坝	bazh
髌	bbab
邠	bbbl
滨	bbeb
濒	bbeh
缤	bbgb
宾	bbib
斌	bbkg
豳	bbmv
摈	bbnb
鬓	bbnb
殡	bbrb
傧	bbsb
槟	bbvb
彬	bbvo
镔	bbwb
膑	bbyb
玢	bbzd
爆	bccq
炮	bccv
鲍	bccv
褓	bcdv
瀑	bceq
苞	bcfv
葆	bcfv
薄	bcfx
龅	bcgv
孢	bchv
宝	bcim
剥	bckd
褒	bckt
报	bcnl
抱	bcnv
豹	bcos
暴	bcqq
曝	bcqq
煲	bcsc
保	bcsv
堡	bcsz
趵	bcts
雹	bctv
饱	bcuv
枹	bcvv
刨	bcxd
鸨	bcxd
包	bcxv
胞	bcyv
败	bdhk
稗	bdht
白	bdkk
百	bdnk
摆	bdnm
捭	bdnt
掰	bdoc
拜	bdoq
伯	bdsk
佰	bdsk
柏	bdvk
坌	bfbz
笨	bfdn
苯	bffn
犇	bfkk
畚	bfmc
倴	bfsq
奔	bfsq
贲	bfth
本	bfvn
栟	bfvq
锛	bfwq
嘣	bgay
绷	bggy
蚌	bgjq
崩	bgmy
甭	bgnk
迸	bgow
