真	b	真慎填镇颠; 真=直+八同键b,记整体即可
⺮	d	附属: 竹；竹字头; 第等笑简算
弓	g	张强引弹弱; g=弓声母
凵	h	上开框,冂的倒扣; 凶画脑胸齿
及	t	及级极吸汲; 末笔㇏归巢t
母	t	每海梅毒悔; 末笔㇏归巢t
出	m	出屈拙础咄
与	n	与屿欤
比	n	比皆毕昆毙
直	n	十且一; 值植殖置; 真=直+八(慎填镇尾b)
耳	n	联取职聪; 最(中部)
	n	官字腹(官管馆的身子)
民	o	民眠氓愍泯岷; 首折尾折双锚o
丂	o	号考巧亏; 亏=二丂
了	o	了承函辽
专	q	专转传砖
且	q	且具县宜; 组祖(尾)
予	q	予序野预舒
卜	q	外卡处占战卓; 竖点竖横两形
韦	q	韦伟围韩纬
尤	t	就优尤忧犹扰
氏	u	附属: 氐；氏纸昏; 氐=氏+点(低底抵)
见	x	见现观规视览宽觉窥; 尾儿归巢
弟	x	弟第梯睇涕; 第=⺮+弟(去丷变体,独苗)
羊	z	附属: 𰀁；羊样洋鲜祥; 养头是它变体
黑	v	黑默墨黛熏黔黯; 首尾双锚v
毛	o	毛笔尾耗毫毯髦; 首尾双锚o
	d	鸟去横(岛字头); 岛袅枭凫捣; 挂鸟d,鸟乌同键无分叉
㇏	t	附属: 点；点捺不分家,斜向右下一律t; 不还杯环之太
撇	x	附属: ㇒；平撇斜撇不分家,一切撇归x; 我后系反乐升
不	n	不还否歪(首)杯环坏怀(尾); 首横原位n
勹	x	附属于撇; 包勾匀旬甸刨; 首笔撇原位x,勺仍在s
至	z	附属于土; 到致臻(首)室屋侄窒(尾); 末土归z
里	z	里野墅(首)理量重童埋鲤厘(尾); 挂里底z,重=千里
者	q	者都煮(首)著猪诸堵署暑(尾); 挂日q
占	a	占点战(首)店站贴粘沾钻(尾); 挂口a
走	z	走徒陡; 起赵超(走旁中段透明); 挂土z
