# 夜莺码·不直观字集

## 第一卷·坑字练习串（前300高频坑字，已剔除必拆字表重复，整串喂机器人）

很到还与更但看个并下之太本第比再买书成所才及开由已至全天张向跟金万事像面每图走业两少公法场县号线科应入写型外正卡强低钱处东提平值种越省定海通尔算体管系合台城叫么油表建制级见转考布包知哦穿讲任司费且亚球师龙神段云样创民今求副展岛层办直篇占联亿饭传反州久极食银乐色杨战团半根酒皮群离查伊画留社必取仍奥购视杯眼具班政升养步优领友飞料脸术百专影质苏声川短降沙派呀血众官炒形预举修梅环含套左答企显补瓦松冷净令氏九旅笑康秀财存智限夏翻底桥致泰余研义朱冲复野旧引武觉丽压棒顿君韩乡兴右融萨助象威减险追既届毛永绿馆命济雨坏尽登齐餐职雅笔虾归泽跳互置印良负酱饰咸抓甲失简惠藏爆农吸佛母退弄姆急免伟夜严顺乌桌钟蛋艺围零


## 第二卷·完整审查册（前3000中全部976个坑相字，按频率序，供人工过目定案）

# 格式: 字 拆分
是  日点
了  折竖
在  𠂇土
我  ㇒㇏
有  𠂇
不  横点
一  横横
就  亠㇏
中  口竖
很  彳㇏
上  竖二
会  𠆢厶
到  横刂
等  𠂉寸
还  横辶
年  𠂉十
去  土厶
来  横米
与  横横
能  厶匕
后  ㇒口
更  横乂
但  亻横
看  ㇒目
个  𠆢竖
吃  口㇈
并  丷竖
下  横点
点  竖灬
或  戈横
之  ㇏点
太  大㇏
本  木横
第  𠂉撇
比  横匕
再  横
买  折人
那  折阝
书  折㇏
成  厂㇏
所  ㇒斤
才  横撇
及  撇㇏
开  横竖
由  日竖
学  ㇏子
生  撇龶
当  ⺌彐
已  折6
至  横土
全  𠆢王
天  横大
张  折长
向  撇口
跟  ㇏
金  𠆢横
万  横撇
事  横竖
像  亻㇏
面  横二
每  𠂉㇏
图  囗点
走  土点
业  竖横
两  横人
少  竖撇
公  八厶
法  氵厶
场  土撇
县  竖厶
号  口折
线  纟㇏
科  千竖
应  广横
入  撇㇏
写  冖横
型  横土
外  夕点
正  横
卡  竖点
强  折虫
低  亻㇏
钱  钅㇏
处  夂点
东  横小
提  扌点
平  横十
拿  𠆢手
值  亻横
种  千竖
越  土㇏
省  竖目
定  宀点
海  氵㇏
通  龴辶
尔  ⺈小
算  𠂉竖
体  亻横
管  𠂉横
系  ㇒糸
合  𠆢口
台  厶口
城  土㇏
叫  口竖
么  撇厶
油  氵竖
表  龶㇏
即  彐卩
建  折廴
制  撇刂
级  纟㇏
见  竖儿
转  点
考  十折
布  𠂇巾
产  立撇
包  撇巳
知  𠂉口
哦  口㇏
穿  宀撇
讲  讠竖
任  亻横
司  折口
费  折贝
且  竖三
亚  横横
汤  氵撇
球  王㇏
师  竖巾
龙  𠂇㇏
神  ㇏竖
段  ㇒殳
云  二厶
样  木𰀁
创  𠆢刂
民  折6
今  𠆢折
求  横㇏
副  横刂
展  尸㇏
岛  撇山
层  尸厶
办  力㇏
直  十横
篇  𠂉
占  竖口
联  横大
亿  亻㇈
身  撇㇒
饭  ⺈又
传  亻点
反  ㇒又
州  ㇏竖
久  撇㇏
极  木㇏
食  𠆢㇏
银  钅㇏
乐  ㇒小
色  ⺈巴
杨  木撇
战  竖戈
解  ⺈牛
