啊	a
不	b
才	c
的	d
而	e
发	f
更	g
和	h
吃	i
就	j
看	k
了	l
没	m
你	n
哦	o
平	p
去	q
人	r
所	s
他	t
是	u
中	v
我	w
小	x
有	y
在	z
阿	aa
昂	ah
爱	ai
安	an
奥	ao
把	ba
斌	bb
报	bc
白	bd
本	bf
泵	bg
帮	bh
比	bi
版	bj
并	bk
边	bm
表	bn
波	bo
别	bp
部	bu
被	bw
擦	ca
草	cc
菜	cd
测	ce
岑	cf
曾	cg
藏	ch
此	ci
参	cj
错	co
窜	cr
从	cs
促	cu
脆	cv
存	cy
凑	cz
大	da
到	dc
带	dd
得	de
扽	df
等	dg
当	dh
地	di
但	dj
定	dk
点	dm
掉	dn
多	do
跌	dp
丢	dq
段	dr
动	ds
度	du
对	dv
得	dw
嗲	dx
顿	dy
都	dz
额	ee
欸	ei
嗯	en
二	er
法	fa
分	ff
风	fg
方	fh
饭	fj
佛	fo
副	fu
非	fw
否	fz
噶	ga
高	gc
该	gd
个	ge
跟	gf
梗	gg
刚	gh
感	gj
怪	gk
光	gl
过	go
关	gr
公	gs
股	gu
贵	gv
给	gw
挂	gx
滚	gy
购	gz
哈	ha
好	hc
还	hd
合	he
很	hf
恒	hg
航	hh
含	hj
坏	hk
黄	hl
或	ho
换	hr
红	hs
户	hu
会	hv
黑	hw
化	hx
混	hy
后	hz
差	ia
超	ic
拆	id
车	ie
陈	if
成	ig
场	ih
持	ii
产	ij
踹	ik
创	il
戳	io
穿	ir
冲	is
出	iu
吹	iv
春	iy
抽	iz
金	jb
及	ji
经	jk
将	jl
见	jm
叫	jn
接	jp
久	jq
卷	jr
炯	js
觉	jt
据	ju
加	jx
家	jxi
均	jy
卡	ka
考	kc
开	kd
可	ke
肯	kf
坑	kg
康	kh
砍	kj
快	kk
况	kl
括	ko
款	kr
空	ks
库	ku
亏	kv
剋	kw
跨	kx
困	ky
口	kz
拉	la
林	lb
老	lc
来	ld
乐	le
冷	lg
朗	lh
里	li
兰	lj
另	lk
两	ll
连	lm
了	ln
罗	lo
列	lp
刘	lq
乱	lr
龙	ls
略	lt
路	lu
率	lv
类	lw
俩	lx
论	ly
楼	lz
吗	ma
民	mb
猫	mc
买	md
么	me
们	mf
梦	mg
忙	mh
米	mi
满	mj
名	mk
面	mm
秒	mn
摸	mo
灭	mp
谬	mq
目	mu
美	mw
某	mz
那	na
您	nb
脑	nc
奶	nd
呢	ne
嫩	nf
能	ng
囊	nh
尼	ni
南	nj
宁	nk
娘	nl
年	nm
鸟	nn
诺	no
涅	npb
牛	nq
暖	nr
弄	ns
虐	nt
努	nu
女	nv
内	nw
耨	nz
噢	oo
欧	ou
怕	pa
品	pb
跑	pc
拍	pd
喷	pf
朋	pg
胖	ph
皮	pi
盘	pj
评	pk
片	pm
票	pn
破	po
撇	pp
普	pu
配	pw
剖	pz
亲	qb
其	qi
请	qk
强	ql
前	qm
桥	qn
且	qp
球	qq
全	qr
穷	qs
却	qt
区	qu
恰	qx
群	qy
绕	rc
热	re
任	rf
仍	rg
让	rh
日	ri
然	rj
若	ro
软	rr
容	rs
如	ru
瑞	rv
润	ry
肉	rz
萨	sa
扫	sc
赛	sd
色	se
森	sf
僧	sg
桑	sh
斯	si
三	sj
索	so
算	sr
送	ss
苏	su
岁	sv
孙	sy
搜	sz
她	ta
套	tc
太	td
特	te
疼	tg
汤	th
提	ti
谈	tj
挺	tk
天	tm
条	tn
托	to
铁	tp
团	tr
同	ts
图	tu
退	tv
推	tvl
吞	ty
头	tz
沙	ua
少	uc
晒	ud
设	ue
深	uf
生	ug
上	uh
时	ui
山	uj
率	uk
双	ul
说	uo
涮	ur
书	uu
水	uv
谁	uw
刷	ux
顺	uy
手	uz
炸	va
找	vc
债	vd
这	ve
真	vf
正	vg
张	vh
之	vi
站	vj
拽	vk
装	vl
桌	vo
转	vr
种	vs
主	vu
追	vv
抓	vx
准	vy
周	vz
瓦	wa
外	wd
问	wf
翁	wg
望	wh
万	wj
沃	wo
无	wu
为	ww
新	xb
西	xi
行	xk
想	xl
先	xm
校	xn
些	xp
修	xq
选	xr
熊	xs
学	xt
需	xu
下	xx
讯	xy
亚	ya
因	yb
要	yc
也	ye
样	yh
一	yi
眼	yj
应	yk
哟	yo
元	yr
用	ys
月	yt
与	yu
运	yy
又	yz
杂	za
早	zc
再	zd
则	ze
怎	zf
增	zg
脏	zh
自	zi
赞	zj
做	zo
钻	zr
总	zs
组	zu
最	zv
贼	zw
尊	zy
走	zz
吖	aah
锕	aak
阿	aap
腌	aav
卬	ahp
昂	ahq
肮	ahv
盎	ahw
霭	aic
瑷	aig
哎	aih
碍	aij
锿	aik
挨	ail
爱	aim
哀	ain
隘	aip
暧	aiq
矮	air
癌	ais
埃	ait
艾	aix
皑	aiy
嫒	aiz
谙	and
俺	anf
唵	anh
案	ani
铵	ank
按	anl
鞍	anm
鹌	ann
桉	ano
暗	anq
氨	anr
庵	ans
垵	ant
胺	anv
岸	any
盦	anz
凹	aoa
澳	aob
懊	aoc
岙	aoe
傲	aof
璈	aog
嗷	aoh
鏖	aok
拗	aol
奡	aon
隩	aop
廒	aos
坳	aot
袄	aou
熬	aow
薁	aox
翱	aoy
媪	aoz
八	baa
灞	bab
霸	bac
粑	bad
吧	bah
羓	bai
钯	bak
拔	bal
靶	bam
耙	ban
朳	bao
魃	bap
笆	bar
疤	bas
坝	bat
巴	bav
芭	bax
岜	bay
跋	baz
邠	bba
滨	bbb
傧	bbf
玢	bbg
宾	bbi
缤	bbj
镔	bbk
殡	bbl
鬓	bbn
