字	码	候选位
錒	aagy	1
骯	ahun	1
䇦	ahrn	1
䒢	ahxp	1
䩕	ahmp	1
䀚	ahqp	2
岇	ahyp	1
䭹	ahnp	1
䭺	ahnn	1
醃	yjep	2
醠	ahea	1
昻	ahqp	3
㼜	ahwl	1
㭿	ahop	1
枊	ahop	2
噯	aihq	2
㗒	aihn	2
啀	aiht	1
嘊	aiht	2
嬡	aizq	2
謁	yedw	2
譪	aidw	1
譺	aidk	1
諰	xidc	1
娭	aizr	1
娾	aizt	2
㶼	airr	1
焥	worv	1
溾	aibp	1
溰	aibn	1
濭	aiba	1
薆	aixq	1
䔇	qixn	3
䔽	aixw	2
藹	aixw	3
鴱	aixr	1
䶣	aign	1
馤	aiww	2
䅬	aiwa	1
㿄	aist	1
㾢	aisa	1
㾨	yisy	3
䬵	gdgg	1
欬	kdvg	2
皧	aiyq	1
鑀	aigq	2
皚	aiyn	1
餲	aigw	1
銰	aign	2
鎄	aign	3
瞹	aiqq	3
隑	gdpn	1
阸	eepl	1
阨	eepv	1
䀳	aiqp	3
賹	yiqa	1
䝽	aiqt	1
剴	kdys	2
獃	ddyn	1
敳	aiyq	2
敱	aiyq	3
㢊	aisy	2
嵦	kdyn	2
㕌	aisy	3
厓	yast	1
㤅	ainc	2
騃	ainr	1
捱	ailt	1
醷	yiec	2
㝶	aiay	1
絠	gdjv	3
曖	aiqq	4
閡	aiwg	1
昹	aiqr	2
㝵	deqy	1
懓	aicq	1
硋	aijg	1
㱯	ailn	1
磑	wwjn	3
懝	aick	1
礙	aijk	1
㗨	xpwh	2
僾	aifq	1
凒	aibn	2
儗	nifk	1
伌	aifv	1
靉	aicq	2
䨠	aicw	2
靄	aicw	3
鯦	jqyh	3
鱫	aiyq	4
愛	aimq	2
躷	aiaz	1
䠹	aiag	1
䑂	aiva	1
璦	aigq	3
㘷	aitn	1
塧	aita	1
壒	aita	2
咹	eehz	2
啽	anhx	3
䯥	anur	1
誝	andh	1
㡋	yeap	2
婩	anzw	1
㜝	anze	1
㛺	anzd	1
媕	anzx	1
諳	andd	2
䜙	andr	1
㽢	anpp	1
裺	yjup	3
洝	anbz	1
荌	anxz	1
菴	anxp	2
蓭	anxp	3
萻	anxd	1
葊	anxx	2
頇	hjwa	1
㞄	anpp	2
䅖	anwp	1
馣	anwp	2
頞	eeia	1
痷	ansp	2
䅁	aniw	1
䢿	anip	1
鞌	anim	1
鴳	yjir	4
䀂	ania	2
銨	angz	2
䤶	yegp	1
㸩	ancw	1
錌	angw	1
鉗	qmgm	1
韽	anzd	2
鶕	andr	2
遃	yjap	2
盫	anga	1
陰	ybpt	1
䬓	annd	1
隌	anpd	2
峖	anyz	3
㱘	ansg	1
㟁	anyw	2
厈	hjsw	1
屽	hjyw	4
䮗	annw	1
揞	anld	1
豻	anew	1
貋	anew	2
䤃	ybed	1
罯	anad	1
㫨	anqz	1
䎨	yenp	1
晻	anqp	1
闇	anwd	1
碪	vfjo	1
侒	anfz	1
儑	anfr	1
鵪	annr	1
雸	ancm	2
鮟	anyz	4
㭺	yjop	1
腤	anvd	1
堓	antw	1
玵	angm	1
囂	xnhh	2
㕭	aohn	1
䯠	aoua	1
㜜	aozq	1
謸	aodq	1
㜩	aozn	1
䜒	aodn	1
媼	aoza	2
爊	aorr	1
熝	lurk	2
䉛	yurn	3
襖	aoun	2
泑	yzbp	3
滶	aobq	1
澆	jnba	1
蔜	aoxq	1
芺	aoxn	2
獓	aovq	1
䆟	keih	2
蝹	yyma	1
䚫	xiyw	2
㿰	aone	1
翶	aoym	2
䥝	aogt	1
鏕	lugk	1
眑	ycqp	1
隞	aopq	1
翺	aoym	3
䫜	aoya	1
岰	aoyp	1
㟼	aoyq	1
㠂	aoyq	2
厫	aosq	2
㠗	aoyn	1
鿫	aorn	1
軪	aonp	1
䦋	aonq	1
䮯	aonq	2
抝	aolo	1
扷	aoln	1
擙	aoln	2
镺	aonn	1
㩠	aolr	1
鴁	ycer	2
鴢	ycjr	1
慠	aocq	1
磝	aojq	1
礉	hejq	2
郩	xnnp	1
㤇	aocn	2
磽	qnja	2
㑃	aofp	1
柪	aoop	1
梎	aoot	1
嗸	aowh	1
䫨	aowa	1
嫯	aowz	1
謷	aowd	1
摮	aowl	1
䵅	aowq	2
鼇	aowq	3
㥿	aowc	2
驁	aowr	2
鰲	aowr	3
鷔	aowr	4
嶴	aoay	1
奧	aoan	4
䴈	aoar	1
䐿	aovn	1
墽	qntq	2
㘬	aott	1
垇	aotn	1
㘭	aoto	2
墺	aotn	2
哵	bahs	1
詙	bada	3
炦	bara	1
䈈	fwrv	2
矲	bart	1
㶚	babv	2
茇	baxa	2
茷	faxr	1
䶕	bagv	1
犮	bapa	2
䳊	bapr	1
䆉	bawt	1
釟	baga	2
釛	bagp	1
䇑	baap	1
鼥	baya	3
㞎	baiv	2
㸭	bacv	2
䩻	bamr	1
皅	payv	1
鈀	bagv	2
䥯	bwgt	1
䩗	bamv	3
颰	bana	1
峇	bayh	1
㧊	pola	2
抪	bula	1
抜	balq	2
䮂	bana	2
軷	bana	3
䯲	panv	2
癹	balt	1
叐	baeq	1
丷	baaa	2
㿬	baev	1
弝	baov	1
紦	bajv	1
罷	baat	2
覇	baev	2
䎬	bant	1
䎱	bant	2
䃻	bajv	2
仈	bafa	1
夿	banv	3
䟦	bazq	1
跁	bazv	1
鮊	bayy	1
魞	bayg	1
鮁	boya	4
䰾	bayv	3
㭭	baos	1
㭛	pdok	1
柭	baoa	2
豝	baev	3
巼	bavt	1
欛	baov	2
㔜	bamp	1
墢	batt	1
垻	bata	1
玐	baga	3
㺴	bagn	1
坺	bata	2
壩	batv	2
髕	bbua	2
訜	ffds	2
汃	bbba	2
濱	bbba	3
濵	bbba	4
瀕	bbba	5
頻	pbga	1
賓	bbia	2
賔	bbia	3
顮	bbia	4
䨈	bbig	3
䚔	bbia	5
贇	yyaa	1
鑌	bbga	1
䧬	bbpa	1
㟗	bbys	1
氞	bbrg	1
擯	bbla	3
鬂	bbna	2
鬢	bbna	3
髩	bbno	1
繽	bbja	2
虨	bbae	1
殯	bbla	4
砏	bbjs	1
儐	bbfa	3
霦	bbce	1
㯽	bboa	2
梹	bboa	3
檳	bboa	4
椕	bboo	1
豩	bbee	1
臏	bbva	2
䐔	bbvx	1
瑸	bbga	2
璸	bbga	3
㻞	bbgx	2
嘐	xnhe	5
嚗	bohs	1
骲	bcuv	4
媬	bczo	2
䈏	bcrp	1
笣	bcrv	2
㵡	bcbv	1
蕔	bcxq	3
藵	bcxn	5
菢	bcxv	2
齙	bcgv	3
寳	bcia	1
寶	bcia	2
寚	bciz	3
䴐	bcir	3
宲	bcio	1
窇	bciv	1
蚫	bcmv	1
飹	bcgj	3
鑤	bcgs	3
