词	简码	候选位	级别
啊啊	aa	2	2
啊啊啊	aaa	1	3
啊啊啊啊	aaaa	1	4
傲岸不群	aabq	1	4
皑皑白雪	aabx	1	4
暗暗地	aad	1	3
暗暗点头	aadt	1	4
暗暗高兴	aagx	1	4
暗暗吃惊	aaij	1	4
暗暗称奇	aaiq	1	4
嗷嗷叫	aaj	1	3
暗暗佩服	aapf	1	4
暗暗祈祷	aaqd	1	4
暗暗庆幸	aaqx	1	4
暗暗思忖	aasc	2	4
矮矮实实	aauu	1	4
爱不爱	aba	1	3
阿巴阿巴	abab	1	4
安不安全	abaq	1	4
哀兵必败	abbb	1	4
安保措施	abcu	1	4
熬不动了	abdl	1	4
阿鼻地狱	abdy	1	4
熬不过	abg	1	3
拗不过	abg	2	3
熬不过去	abgq	1	4
艾宾浩斯	abhs	1	4
艾宾浩斯记忆曲线	abhx	1	4
熬不出头	abit	1	4
矮半截	abj	1	3
按比例	abl	1	3
阿波罗	abl	2	3
埃博拉	abl	3	3
鞍不离马	ablm	1	4
阿波罗登月	ably	1	4
奥巴马	abm	1	3
爱兵如子	abrz	1	4
碍不着	abv	1	3
挨不着边	abvb	1	4
俺不中嘞	abvl	1	4
敖包相会	abxh	1	4
矮矬穷	acq	1	3
爱才若渴	acrk	1	4
暗藏杀机	acuj	1	4
暗藏玄机	acxj	1	4
爱丁堡	adb	1	3
爱答不理	adbl	1	4
矮墩墩	add	1	3
安道尔	ade	1	3
阿道夫	adf	1	3
安多酚	adf	2	3
矮冬瓜	adg	1	3
爱的供养	adgy	1	4
爱德华	adh	1	3
艾迪霍尔	adhe	1	4
安定和谐	adhx	1	4
矮大紧	adj	1	3
暗地里	adl	1	3
按道理	adl	2	3
奥地利	adl	3	3
按道理讲	adlj	1	4
熬到了头	adlt	1	4
按道理说	adlu	1	4
安定区	adq	1	3
安德森	ads	1	3
熬到头	adt	1	3
爱迪生	adu	1	3
挨冻受饿	adue	1	4
爱的实验室	aduu	1	4
熬得住	adv	1	3
挨得着	adv	2	3
案牍之劳	advl	1	4
爱得要死	adys	1	4
安定有序	adyx	1	4
阿尔茨海默病	aecb	1	4
艾尔登法环	aedh	1	4
阿尔法	aef	1	3
奥尔良	ael	1	3
爱尔兰	ael	2	3
挨饿受冻	aeud	1	4
阿凡达	afd	1	3
案发地点	afdd	1	4
案发当天	afdt	1	4
埃菲尔铁塔	afet	1	4
阿房宫	afg	1	3
阿法狗	afg	2	3
阿房宫赋	afgf	1	4
阿富汗	afh	1	3
阿伏加德罗	afjl	1	4
阿伏加德罗常数	afju	1	4
安抚人心	afrx	1	4
阿凡提	aft	1	3
按方抓药	afvy	1	4
安分知足	afvz	1	4
案发现场	afxi	1	4
爱国	ag	1	2
阿哥阿妹	agam	1	4
按规定	agd	1	3
阿骨打	agd	2	3
挨个儿	age	1	3
矮个儿	age	2	3
爱国将领	agjl	1	4
挨个击破	agjp	1	4
爱国敬业诚信友善	agju	2	4
爱国教育	agjy	2	4
爱国基因	agjy	3	4
按惯例	agl	1	3
熬过来	agl	2	3
按规律	agl	3	3
爱国力量	agll	1	4
挨过去	agq	1	3
熬过去	agq	2	3
爱狗人士	agru	2	4
阿根廷	agt	1	3
爱国统一战线	agtx	1	4
爱国诗人	agur	1	4
爱国者	agv	1	3
爱国主义精神	agvu	2	4
爱国阵线	agvx	1	4
爱国之心	agvx	2	4
爱国心	agx	1	3
爱国营销	agyx	1	4
矮个子	agz	1	3
爱好	ah	2	2
啊哈啊哈	ahah	1	4
哀鸿遍地	ahbd	1	4
懊悔不已	ahby	2	4
安魂定魄	ahdp	1	4
爱护动物	ahdw	1	4
爱好广泛	ahgf	1	4
爱护公物	ahgw	1	4
啊哈哈	ahh	1	3
爱好和平	ahhp	1	4
爱恨交织	ahjv	1	4
暗黑模式	ahmu	1	4
