a=1,啊
a=2,！
b=1,不
b=2,》
b=3,>
c=1,才
c=2,】
c=3,〕
d=1,的
d=2,、
e=1,而
e=2,（
f=1,发
f=2,“
f=3,‘
g=1,更
g=2,”
g=3,’
h=1,和
h=2,『
i=1,吃
i=2,——
i=3,—
j=1,就
j=2,』
k=1,看
k=2,￥
k=3,$
l=1,了
l=2,%
m=1,没
m=2,」
n=1,你
n=2,「
o=1,哦
o=2,〖
p=1,平
p=2,〗
q=1,去
q=2,：“
q=3,：‘
r=1,人
r=2,）
s=1,所
s=2,……
s=3,…
t=1,他
t=2,→
u=1,是
u=2,~
v=1,中
v=2,《
v=3,<
w=1,我
w=2,？
w=3,¿
x=1,小
x=2,【
x=3,〔
y=1,有
y=2,·
z=1,在
z=2,/
z=3,\
aa=1,阿
aa=2,啊啊
ag=1,爱国
ah=1,昂
ah=2,爱好
ai=1,爱
aj=1,安静
aj=2,案件
am=1,按摩
an=1,安
an=2,按钮
ao=1,奥
ap=1,安排
aq=1,爱情
aq=2,安全
at=1,艾特
au=1,暗示
av=1,按照
av=2,安装
aw=1,安慰
aw=2,安稳
ax=1,爱惜
ax=2,爱心
ay=1,阿姨
az=1,案子
az=2,暗自
ba=1,把
bb=1,斌
bb=2,并不
bb=3,爸爸
bb=4,不变
bc=1,报
bc=2,不错
bc=3,保存
bd=1,白
bd=2,不到
bd=3,变得
bf=1,本
bf=2,办法
bf=3,部分
bg=1,泵
bg=2,不过
bg=3,不管
bg=4,不敢
bh=1,帮
bh=2,不会
bh=3,变化
bi=1,比
bi=2,保持
bi=3,变成
bj=1,版
bj=2,比较
bj=3,毕竟
bk=1,并
bk=2,包括
bk=3,不可
bl=1,本来
bl=2,暴露
bl=3,变了
bm=1,变
bm=2,表面
bm=3,帮忙
bn=1,表
bn=2,不能
bn=3,半年
bo=1,波
bp=1,别
bp=2,不怕
bp=3,被迫
bq=1,表情
bq=2,比起
bq=3,并且
br=1,别人
br=2,比如
br=3,不如
bs=1,比赛
bs=2,不算
bs=3,白色
bt=1,不停
bt=2,不同
bt=3,不太
bu=1,部
bu=2,不是
bu=3,不少
bv=1,不知
bv=2,标准
bv=3,帮助
bw=1,被
bw=2,把我
bw=3,帮我
bx=1,必须
bx=2,不行
bx=3,不想
by=1,不要
by=2,不用
by=3,必要
bz=1,不在
bz=2,不再
ca=1,擦
cb=1,从不
cb=2,苍白
cc=1,草
cc=2,从此
cc=3,猜测
cd=1,菜
cd=2,猜到
ce=1,测
ce=2,从而
cf=1,岑
cf=2,采访
cf=3,财富
cg=1,曾
cg=2,错过
ch=1,藏
ch=2,才会
ci=1,此
cj=1,参
cj=2,曾经
cj=3,参加
ck=1,此刻
ck=2,参考
cl=1,从来
cl=2,材料
cm=1,聪明
cm=2,侧面
cm=3,匆忙
cn=1,才能
co=1,错
cp=1,测评
cp=2,裁判
cq=1,采取
cq=2,从前
cr=1,窜
cs=1,从
cs=2,才是
cs=3,彩色
ct=1,餐厅
cu=1,促
cu=2,此时
cu=3,测试
cv=1,脆
cv=2,挫折
cw=1,错误
cw=2,从未
cx=1,才行
cy=1,存
cy=2,参与
cz=1,凑
cz=2,存在
cz=3,操作
da=1,大
da=2,答案
db=1,对比
db=2,代表
dc=1,到
dc=2,对此
dd=1,带
dd=2,得到
dd=3,到底
de=1,得
de=2,第二
df=1,扽
df=2,地方
df=3,对方
df=4,对付
dg=1,等
dg=2,大概
dg=3,大哥
dh=1,当
dh=2,的话
dh=3,电话
di=1,地
di=2,当初
dj=1,但
dj=2,大家
dj=3,多久
dk=1,定
dk=2,打开
dk=3,对抗
dl=1,带来
dl=2,到了
dl=3,大量
dm=1,点
dm=2,对面
dm=3,多么
dn=1,掉
dn=2,当年
dn=3,电脑
do=1,多
dp=1,跌
dp=2,到时候
dp=3,的时候
dq=1,丢
dq=2,的确
dq=3,地区
dr=1,段
dr=2,的人
dr=3,当然
ds=1,动
ds=2,打算
ds=3,第三
dt=1,点头
dt=2,低头
dt=3,代替
du=1,度
du=2,但是
du=3,多少
du=4,都是
dv=1,对
dv=2,导致
