aaaa=2,吖吖
aaba=1,阿爸
aaba=2,阿坝
aabc=1,阿宝
aabk=1,阿炳
aabk=2,阿冰
aabo=1,阿伯
aadb=1,嗷嗷待哺
aadd=1,安安定定
aadi=1,阿迪
aadp=1,阿爹
aadz=1,阿斗
aaff=1,安安分分
aafh=1,阿房
aafm=1,哀哀父母
aafu=1,阿福
aafw=1,阿飞
aage=1,阿哥
aags=1,阿公
aaha=1,啊哈
aahs=1,阿訇
aajb=1,阿金
aajj=1,安安静静
aajn=1,阿娇
aajn=2,阿胶
aajp=1,阿姐
aala=1,阿拉
aali=1,阿里
aali=2,阿狸
aals=1,阿龙
aama=1,阿妈
aamf=1,阿门
aamg=1,阿蒙
aamg=2,阿盟
aamj=1,阿瞒
aamj=2,阿曼
aamw=1,阿妹
aano=1,阿诺
aapm=1,阿片
aapo=1,阿婆
aapp=1,矮矮胖胖
aaql=1,阿强
aaqq=1,安安全全
aasc=1,阿嫂
aase=1,阿瑟
aasj=1,阿三
aatt=1,凹凹凸凸
aauf=1,阿婶
aauk=1,阿衰
aavu=1,阿朱
aaww=1,阿伟
aaww=2,安安稳稳
aaxb=1,阿信
aaxx=1,安安心心
aaya=1,啊呀
aayi=1,阿姨
aayj=1,哀哀欲绝
aayo=1,啊哟
aayy=1,安安逸逸
aazi=1,阿梓
aazi=2,阿紫
abbd=1,按兵不动
abbu=1,哀兵必胜
abdg=1,安邦定国
abdi=1,安步当车
abhm=1,奥本海默
abjb=1,按部就班
abjs=1,安倍晋三
abru=1,爱不忍释
abuu=1,爱不释手
abvg=1,安邦治国
abww=1,安不忘危
acrm=1,爱财如命
adds=1,阿迪达斯
adic=1,暗度陈仓
adlx=1,案牍劳形
adly=1,澳大利亚
adna=1,安东尼奥
adrx=1,安定人心
adsu=1,安第斯山
adtj=1,安定团结
adum=1,挨打受骂
aduz=1,奥迪双钻
adwg=1,黯淡无光
adwg=2,暗淡无光
adwn=1,安度晚年
aebs=1,阿尔卑斯
aebt=1,阿尔伯特
aebu=1,哀而不伤
aeds=1,阿尔都塞
aefg=1,阿尔法狗
aeje=1,阿尔及尔
aeju=1,阿尔金山
aekt=1,阿尔卡特
aeld=1,爱尔兰岛
aewx=1,爱尔维修
aflj=1,阿非利加
aftm=1,安非他命
aftm=2,安非他明
afuj=1,安分守己
afuj=2,安份守己
afzr=1,安富尊荣
agju=1,爱国精神
agjy=1,爱岗敬业
agqb=1,爱国侨胞
agqn=1,爱国青年
agrq=1,爱国热情
agru=1,爱国人士
agsd=1,奥古斯都
agsd=2,奥古斯丁
agsy=1,熬更守夜
agtb=1,爱国同胞
aguf=1,爱国守法
agvi=1,阿甘正传
agvu=1,爱国志士
agvy=1,爱国主义
agwu=1,爱国卫生
agxu=1,爱管闲事
agyd=1,爱国运动
ahah=1,昂昂
ahby=1,哀鸿遍野
ahgv=1,昂贵
ahjj=1,爱恨交加
ahli=1,昂立
ahqi=1,昂起
ahqi=2,爱恨情仇
ahri=2,昂日
ahrj=1,盎然
ahrj=2,昂然
ahsi=1,盎司
ahtz=1,昂头
ahuz=1,昂首
ahyh=1,昂扬
ahzh=1,肮脏
aiai=1,哎哎
aiai=2,唉唉
aiai=3,爱爱
aiai=4,皑皑
aiba=2,爱吧
aibi=1,艾比
aibm=1,癌变
aibn=3,爱表
aicc=1,艾草
aicd=1,爱才
aicd=2,爱财
aida=1,挨打
aidc=1,哀悼
aidd=1,爱戴
aidg=1,矮凳
aidh=1,爱党
aidi=1,艾迪
aidi=2,爱迪
aidn=1,哀吊
aids=1,挨冻
aids=2,爱动
aidy=1,矮墩
aidz=1,爱豆
aidz=2,挨斗
aiee=1,挨饿
aier=1,艾尔
aift=1,爱出风头
aifu=1,爱抚
aifw=1,爱妃
aigc=1,哀告
aigc=2,爱搞
aige=1,挨个
aige=2,哀歌
aigh=1,爱岗
aigo=1,爱国
aigo=2,爱过
aigv=1,矮柜
aigw=2,爱给
aigz=1,爱狗
aihc=1,爱好
aihc=2,哀嚎
aihc=3,哀号
aihe=1,爱喝
aihe=2,爱河
aihf=1,爱恨
aihr=2,爱换
aihr=3,哀唤
aihs=1,哀鸿
aihs=2,爱哄
aihu=1,爱护
aihx=1,爱花
aihx=2,爱华
aihy=1,瑷珲
aiic=1,爱巢
aiie=1,爱车
aiig=1,爱称
aiii=1,爱吃
aiis=1,爱宠
aiiz=1,哀愁
aijb=1,挨近
aijb=2,哀矜
aiji=1,埃及
aiji=2,爱机
aijk=2,爱敬
aijk=3,艾敬
aijl=1,爱将
aijl=2,爱酱
aijn=2,挨浇
aijn=3,哀叫
aijq=1,艾灸
aijq=2,爱就
aijx=1,哀家
aijx=2,爱家
aijy=2,爱军
aiku=1,爱哭
aiku=2,哀苦
aikz=1,隘口
aila=1,艾拉
ailb=1,艾琳
aile=1,挨了
aile=2,爱了
aile=3,哀乐
aile=4,爱乐
ailh=1,爱郎
ailm=1,爱恋
ailm=2,爱怜
ailn=2,爱聊
ailu=1,爱撸
ailv=1,爱侣
aily=1,艾伦
aima=1,挨骂
aima=2,艾玛
aimb=1,爱民
aimc=1,爱猫
aime=1,爱么
aimi=1,艾米
aimk=1,哀鸣
aimk=2,爱明
aimo=1,哀默
aimo=2,癌魔
aimu=1,爱慕
aimw=1,暧昧
aimw=2,爱美
ainc=1,爱闹
aini=1,爱你
ainn=1,爱鸟
ainv=1,爱女
aipb=1,爱拼
aiph=1,矮胖
aipi=1,挨批
aipu=1,爱普
aiqi=1,爱妻
aiqk=1,爱情
aiqk=2,爱卿
aiql=1,矮墙
aiqm=1,爱钱
aiqp=1,哀切
aiqp=2,爱妾
aiqq=1,哀求
aiqr=1,爱犬
airf=1,爱人
airf=2,矮人
airj=1,蔼然
airj=2,爱染
airs=1,艾绒
airs=2,哀荣
airv=1,艾瑞
aisi=1,艾斯
aisi=2,爱死
aisi=3,哀思
aisu=1,哀诉
aisy=4,爱隼
aita=3,爱他
aita=4,爱她
aita=5,爱它
aite=1,艾特
aiti=1,哀啼
aiti=2,挨踢
aitj=1,哀叹
aitn=2,艾条
aits=1,哀痛
aits=2,哀恸
aitu=1,爱徒
aiua=1,爱莎
aiuf=1,爱神
aiuf=2,矮身
aiug=1,唉声
aiug=2,哀声
aiuh=1,爱上
aiuh=2,哀伤
aiui=1,碍事
aiuo=1,爱说
aiuu=1,爱书
aiuu=2,矮树
aiuz=1,碍手
aive=1,爱着
aive=2,挨着
aivg=1,癌症
aivg=2,挨整
aivs=1,癌肿
aiwa=2,爱娃
aiwa=3,爱挖
aiwg=2,艾翁
aiwj=1,哀婉
aiwj=2,爱玩
aiwo=1,爱我
aiww=1,艾薇
aiww=3,爱围
aixb=1,爱心
aixi=1,爱惜
aixk=1,矮星
aixn=1,矮小
aixn=3,爱笑
aixy=1,挨训
aiya=1,哎呀
aiya=2,唉呀
aiye=1,艾叶
aiye=2,爱液
aiyi=1,爱意
aiyj=1,碍眼
aiyo=1,哎哟
aiyo=2,哎唷
aiyo=3,唉哟
aiyr=1,哀怨
aiyu=1,碍于
aiyu=2,爱欲
aiyz=1,哎呦
aiyz=2,爱幼
aiyz=3,矮油
aizg=1,爱憎
aizi=1,矮子
aizi=2,艾滋
aizi=3,爱子
aizz=1,挨揍
ajah=1,挨家挨户
ajcb=1,挨肩擦背
ajgi=1,安居工程
ajlh=1,安家落户
ajly=1,安居乐业
ajly=2,安家立业
ajly=3,安家乐业
ajmd=1,阿基米德
ajnf=1,暗箭难防
ajur=1,暗箭伤人
ajvh=1,挨家逐户
ajvy=1,安家置业
akbl=1,阿卡贝拉
akwx=1,爱开玩笑
albb=1,阿里巴巴
albl=1,爱理不理
albr=1,阿拉伯人
albs=1,奥林巴斯
alby=1,阿拉伯语
aldq=1,阿里地区
alfi=1,按劳付酬
alfp=1,按劳分配
algd=1,阿里嘎多
alhy=1,爱老虎油
allu=1,按理来说
almt=1,阿拉木图
