ahqp=2,䀚
ahqp=3,昻
aiba=1,濭
aibn=1,溰
aibn=2,凒
aicw=2,䨠
aicw=3,靄
aigq=2,鑀
aigq=3,璦
aigw=1,餲
aihn=2,㗒
aihq=2,噯
aijk=1,礙
ailn=1,㱯
aimq=2,愛
ainc=2,㤅
aiqp=3,䀳
aiqq=3,瞹
aiqq=4,曖
aiqr=2,昹
aisy=2,㢊
aisy=3,㕌
aita=1,塧
aita=2,壒
aitn=1,㘷
aiwa=1,䅬
aiwg=1,閡
aiww=2,馤
aixw=2,䔽
aixw=3,藹
aizq=2,嬡
aizt=2,娾
ancm=2,雸
andd=2,諳
andh=1,誝
anfz=1,侒
angz=2,銨
anhx=3,啽
ania=2,䀂
anld=1,揞
annd=1,䬓
annr=1,鵪
anpd=2,隌
ansp=2,痷
anvd=1,腤
anxp=2,菴
anxp=3,蓭
anxx=2,葊
anyw=2,㟁
anyz=3,峖
anyz=4,鮟
anze=1,㜝
aoan=4,奧
aocn=2,㤇
aonq=1,䦋
aonq=2,䮯
aosq=2,厫
aoto=2,㘭
aoun=2,襖
aowa=1,䫨
aowc=2,㥿
aowd=1,謷
aowh=1,嗸
aowq=2,䵅
aowq=3,鼇
aowr=2,驁
aowr=3,鰲
aowr=4,鷔
aoxn=2,芺
aoym=2,翶
aoym=3,翺
aoza=2,媼
baaa=2,丷
baat=2,罷
babv=2,㶚
bacv=2,㸭
bada=3,詙
baga=2,釟
baga=3,玐
bagv=1,䶕
bagv=2,鈀
bahs=1,哵
baiv=2,㞎
balq=2,抜
bamv=3,䩗
bana=1,颰
bana=2,䮂
bana=3,軷
banv=3,夿
baoa=2,柭
bapa=2,犮
bata=1,垻
bata=2,坺
batv=2,壩
baxa=2,茇
baya=3,鼥
bayh=1,峇
bayv=3,䰾
bbba=2,汃
bbba=3,濱
bbba=4,濵
bbba=5,瀕
bbfa=3,儐
bbgx=2,㻞
bbia=2,賓
bbia=3,賔
bbia=4,顮
bbia=5,䚔
bbig=3,䨈
bbja=2,繽
bbla=3,擯
bbla=4,殯
bbna=2,鬂
bbna=3,鬢
bboa=2,㯽
bboa=3,梹
bboa=4,檳
bbua=2,髕
bbva=2,臏
bccv=3,靤
bccv=4,怉
bcda=3,䪨
bcfa=3,賲
bcfr=2,䳰
bcgj=3,飹
bcgo=3,䭋
bcgs=3,鑤
bcgv=3,齙
bcgv=4,䥤
bcgv=5,鉋
bcgv=6,飽
bcgz=1,珤
bcir=3,䴐
bciv=1,窇
bciz=3,寚
bckv=2,铇
bcnn=1,虣
bcnv=2,髱
bcqn=1,曓
bcrv=2,笣
bcti=1,㙸
bcto=2,㙅
bcto=3,堢
bctr=2,駂
bctr=3,鴇
bcuv=4,骲
bcww=3,勹
bcxn=5,藵
bcxq=3,蕔
bcxv=2,菢
bcyv=2,鮑
bczo=2,媬
bddp=1,粺
bddy=2,粨
bdhw=3,㗑
bdjy=3,絔
bdlk=4,挀
bdlt=2,擺
bdlw=3,拝
bdly=2,瓸
bdna=1,䪹
bdns=2,㓦
bdoy=2,栢
bdqp=1,䢙
bdqq=2,敗
bdqq=3,贁
bdsy=1,庍
bdvp=2,猈
bdxp=3,薭
bdyr=2,䳆
bdys=3,㠔
bdyy=6,㿟
bfbn=1,泍
bfbx=2,渀
bfgn=2,䬱
bfgx=3,錛
bftp=3,奙
bfva=1,獖
bgap=2,㔙
bgcv=1,䨜
bgfa=2,㑟
bgjv=3,綳
bgjv=4,繃
bgjx=2,絣
bgjy=2,䋽
bgsv=1,痭
bgtl=3,埲
