aaba=1,阿爸
aaba=2,阿坝
aabc=1,阿宝
aabk=1,阿炳
aabo=1,阿伯
aadb=1,嗷嗷待哺
aadd=1,安安定定
aadi=1,阿迪
aadp=1,阿爹
aadz=1,阿斗
aaff=1,安安分分
aafh=1,阿房
aafm=1,哀哀父母
aafu=1,阿福
aafw=1,阿飞
aage=1,阿哥
aags=1,阿公
aaha=1,啊哈
aahs=1,阿訇
aajb=1,阿金
aajj=1,安安静静
aajn=1,阿胶
aajn=2,阿娇
aajp=1,阿姐
aala=1,阿拉
aali=1,阿里
aali=2,阿狸
aals=1,阿龙
aama=1,阿妈
aamf=1,阿门
aamg=1,阿蒙
aamg=2,阿盟
aamj=1,阿曼
aamw=1,阿妹
aano=1,阿诺
aapm=1,阿片
aapo=1,阿婆
aapp=1,矮矮胖胖
aaql=1,阿强
aaqq=1,安安全全
aasc=1,阿嫂
aase=1,阿瑟
aasj=1,阿三
aatt=1,凹凹凸凸
aauf=1,阿婶
aauk=1,阿衰
aavu=1,阿朱
aaww=1,阿伟
aaww=2,安安稳稳
aaxb=1,阿信
aaxx=1,安安心心
aaya=1,啊呀
aayi=1,阿姨
aayj=1,哀哀欲绝
aayo=1,啊哟
aayy=1,安安逸逸
aazi=1,阿紫
abbd=1,按兵不动
abbu=1,哀兵必胜
abdg=1,安邦定国
abdi=1,安步当车
abhm=1,奥本海默
abjb=1,按部就班
abjs=1,安倍晋三
abru=1,爱不忍释
abuu=1,爱不释手
abvg=1,安邦治国
abww=1,安不忘危
acrm=1,爱财如命
adds=1,阿迪达斯
adic=1,暗度陈仓
adlx=1,案牍劳形
adly=1,澳大利亚
adna=1,安东尼奥
adrx=1,安定人心
adsu=1,安第斯山
adtj=1,安定团结
adum=1,挨打受骂
aduz=1,奥迪双钻
adwg=1,黯淡无光
adwg=2,暗淡无光
adwn=1,安度晚年
aebs=1,阿尔卑斯
aebt=1,阿尔伯特
aebu=1,哀而不伤
aeds=1,阿尔都塞
aefg=1,阿尔法狗
aeje=1,阿尔及尔
aeju=1,阿尔金山
aekt=1,阿尔卡特
aeld=1,爱尔兰岛
aewx=1,爱尔维修
aflj=1,阿非利加
aftm=1,安非他明
aftm=2,安非他命
afuj=1,安分守己
afuj=2,安份守己
afzr=1,安富尊荣
agju=1,爱国精神
agjy=1,爱岗敬业
agqb=1,爱国侨胞
agqn=1,爱国青年
agrq=1,爱国热情
agru=1,爱国人士
agsd=1,奥古斯丁
agsd=2,奥古斯都
agsy=1,熬更守夜
agtb=1,爱国同胞
aguf=1,爱国守法
agvi=1,阿甘正传
agvu=1,爱国志士
agvy=1,爱国主义
agwu=1,爱国卫生
agxu=1,爱管闲事
agyd=1,爱国运动
ahby=1,哀鸿遍野
ahgv=1,昂贵
ahjj=1,爱恨交加
ahli=1,昂立
ahqi=1,昂起
ahqi=2,爱恨情仇
ahrj=1,盎然
ahrj=2,昂然
ahsi=1,盎司
