sequence	key	display	name	role	host	side	char	pinyin	split	full	short	candidate_count
1	t	士	士	附属根	土	首	款	kuǎn	士 ＋ 示 ＋ ⺈ ＋ 人	krtg	kr	33
2	t	士	士	附属根	土	末	茌	chí	艹 ＋ 亻 ＋ 士	iixt	iix	4
3	g	应字心	应字心	附属根	小	首	举	jǔ	应字心 ＋ 八 ＋ 举字底	jugl	jug	3
4	g	应字心	应字心	附属根	小	末	应	yīng / yìng	广 ＋ 应字心	yksg	yk	1
5	l	手	手	附属根	扌	首	手	shǒu	手	uzll	uz	1
6	l	手	手	附属根	扌	末	掣	chè	制字旁 ＋ 刂 ＋ 手	iecl	iec	20
7	v	⺝	青字底	附属根	月	末	有	yǒu	𠂇 ＋ ⺝	yzpv	y	112
8	k	旅下角	旅下角	附属根	氏	末	旅	lǚ	方 ＋ 𠂉 ＋ 旅下角	lvsk	lvs	4
9	e	长	长	主根	长	首	长	cháng / zhǎng	长	ihee vhee	ihe vhe	1
10	e	长	长	主根	长	末	怅	chàng	忄 ＋ 长	ihce	ihc	11
11	b	氵	氵	主根	氵	首	没	méi	氵 ＋ 殳	mobt mwbt	m	488
12	b	氵	氵	主根	氵	末	衍	yǎn	行 ＋ 氵	yjkb	yjk	1
13	i	养字头	养字头	附属根	美字头	首	养	yǎng	养字头 ＋ 乔字底	yhia	yhi	1
14	i	养字头	养字头	附属根	美字头	末	醭	bú	酉 ＋ 业 ＋ 养字头	buei	bue	9
15	q	秉	秉	主根	秉	末	秉	bǐng	秉	bkqq	bkq	1
16	u	民	民	主根	民	首	愍	mǐn	民 ＋ 攵 ＋ 心	mbuc	mbu	2
17	u	民	民	主根	民	末	民	mín	民	mbuu	mb	8
18	a	夷	夷	主根	夷	首	夷	yí	夷	yiaa	yiaa	1
19	a	夷	夷	主根	夷	末	荑	tí / yí	艹 ＋ 夷	tixa yixa	tix	6
20	q	争字底	争字底	主根	争字底	首	逮	dǎi	争字底 ＋ 氺 ＋ 辶	ddqp	ddq	7
21	q	争字底	争字底	主根	争字底	末	琤	chēng	王 ＋ ⺈ ＋ 争字底	iggq	igg	13
22	q	目	目	附属根	日	首	眼	yǎn	目 ＋ 艮	yjqc	yj	70
23	q	目	目	附属根	日	末	目	mù	目	muqq	mu	44
24	e	𢀖	轻字边	附属根	工	首	劲	jìn	𢀖 ＋ 力	jbep jkep	jbe	5
25	e	𢀖	轻字边	附属根	工	末	经	jīng	纟 ＋ 𢀖	jkje	jk	13
26	d	音	音	主根	音	首	戆	zhuàng	音 ＋ 十 ＋ 夂 ＋ 工 ＋ 贝 ＋ 心	ghdc vldc	ghd vld	11
27	d	音	音	主根	音	末	谙	ān	讠 ＋ 音	andd	and	7
28	i	帝字头	帝字头	附属根	宀	首	帝	dì	帝字头 ＋ 巾	diia	dii	4
29	g	无	无	主根	无	首	无	wú	无	mogg wugg	wu	1
30	g	无	无	主根	无	末	呒	m	口 ＋ 无	mmhg wuhg	mmh	8
31	a	文	文	主根	文	首	刘	liú	文 ＋ 刂	lqas	lq	14
32	a	文	文	主根	文	末	坟	fén	土 ＋ 文	ffta	fft	17
33	a	弟省	弟省	附属根	弟	末	第	dì	⺮ ＋ 弟省	dira	dir	1
34	t	具字头	具字头	附属根	且	首	具	jù	具字头 ＋ 八	juta	jut	1
35	t	具字头	具字头	附属根	且	末	置	zhì	罒 ＋ 十 ＋ 具字头	viat	via	8
36	n	几	几	主根	几	首	几	jǐ	几	jinn	jin	3
37	n	几	几	主根	几	末	坑	kēng	土 ＋ 亠 ＋ 几	kgtn	kg	44
38	q	曰	曰	附属根	日	首	曰	yuē	曰	ytqq	ytq	1
39	q	曰	曰	附属根	日	末	汩	gǔ	氵 ＋ 曰	gubq	gubq	2
40	p	𠂇	左字框	附属根	十	首	布	bù	𠂇 ＋ 巾	bupa	bup	17
41	p	𠂇	左字框	附属根	十	末	贼	zéi	贝 ＋ 戈 ＋ 𠂇	zwzp	zw	5
42	m	习	习	主根	习	首	戳	chuō	习 ＋ 习 ＋ 隹 ＋ 戈	iomr	io	15
43	m	习	习	主根	习	末	翁	wēng	八 ＋ 厶 ＋ 习 ＋ 习	wgam	wg	47
44	p	卬	卬	附属根	卩	首	卬	áng	卬	ahpp	ahp	2
45	p	卬	卬	附属根	卩	末	昂	áng	日 ＋ 卬	ahqp	ah	4
46	e	耳	耳	主根	耳	首	聪	cōng	耳 ＋ 丷 ＋ 口 ＋ 心	csec	cse	22
47	e	耳	耳	主根	耳	末	洱	ěr	氵 ＋ 耳	erbe	erb	19
48	l	歹	歹	附属根	夕	首	列	liè	歹 ＋ 刂	lpls	lp	26
49	l	歹	歹	附属根	夕	末	夙	sù	⺇ ＋ 歹	sunl	sun	2
50	e	𠂆	反字框	附属根	撇	首	后	hòu	𠂆 ＋ 一 ＋ 口	hzeh	hz	13
51	y	斤	斤	主根	斤	首	近	jìn	斤 ＋ 辶	jbyp	jby	5
52	y	斤	斤	主根	斤	末	斯	sī	其字头 ＋ 八 ＋ 斤	simy	si	40
53	a	丶	丶	附属根	点	首	郎	láng	丶 ＋ 即字旁 ＋ 阝	lhap	lha	6
54	a	丶	丶	附属根	点	末	的	de	白 ＋ 勹 ＋ 丶	deya diya	d	67
55	u	五	五	主根	五	首	五	wǔ	五	wuuu	wuu	4
56	u	五	五	主根	五	末	伍	wǔ	亻 ＋ 五	wufu	wufu	2
57	a	囟	囟	附属根	向	首	囟	xìn	囟	xbaa	xbaa	1
58	a	囟	囟	附属根	向	末	瑙	nǎo	王 ＋ 巛 ＋ 囟	ncga	ncg	3
59	r	兔	兔	主根	兔	首	兔	tù	兔	turr	tur	2
60	r	兔	兔	主根	兔	末	儳	chán	亻 ＋ ⺈ ＋ 口 ＋ 比左 ＋ 匕 ＋ 兔	ijfr	ijf	7
61	n	㐅	㐅	附属根	交	首	刹	shā	㐅 ＋ 一 ＋ 小 ＋ 刂	ians uans	ian	13
62	n	㐅	㐅	附属根	交	末	更	gèng	一 ＋ 日 ＋ 㐅	ggnn	g	65
63	e	车	车	主根	车	首	连	lián	车 ＋ 辶	lmep	lm	3
64	e	车	车	主根	车	末	车	chē	车	ieee juee	ie	22
65	n	二	二	锚定根	横	首	二	èr	二	ernn	er	8
66	n	二	二	锚定根	横	末	兰	lán	丷 ＋ 一 ＋ 二	ljan	lj	8
67	m	廿	廿	主根	廿	首	勤	qín	廿 ＋ 口 ＋ 龶 ＋ 力	qbmp	qbm	9
68	m	廿	廿	主根	廿	末	廿	niàn	廿	nmmm	nmm	1
69	p	龟字底	龟字底	附属根	田	末	龟	guī	⺈ ＋ 龟字底	gvsp jysp qqsp	gvs jys qqs	2
70	r	戈	戈	主根	戈	首	或	huò	戈 ＋ 口 ＋ 一	horn	ho	7
71	r	戈	戈	主根	戈	末	哦	ó / ò	口 ＋ 撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈	eehr oohr	o	32
72	v	亠	亠	主根	亠	首	率	lǜ / shuài	亠 ＋ 幺 ＋ 冫 ＋ 撇 ＋ 点 ＋ 十	lvvp ukvp	lv uk	38
73	v	亠	亠	主根	亠	末	丹	dān	⺆ ＋ 亠	djnv	djn	4
74	y	丽	丽	主根	丽	首	丽	lì	丽	liyy	liy	4
75	y	丽	丽	主根	丽	末	骊	lí	马 ＋ 丽	licy	lic	5
76	s	⺈	⺈	附属根	刀	首	尔	ěr	⺈ ＋ 小	ersg	ers	14
77	p	申	申	附属根	田	首	畅	chàng	申 ＋ 𠃓	ihpj	ihp	2
78	p	申	申	附属根	田	末	抻	chēn	扌 ＋ 申	iflp	ifl	13
79	p	甲	甲	附属根	田	首	翈	xiá	甲 ＋ 习 ＋ 习	xxpm	xxp	3
80	p	甲	甲	附属根	田	末	钾	jiǎ	钅 ＋ 甲	jxkp	jxk	11
81	d	米	米	主根	米	首	类	lèi	米 ＋ 大	lwdn	lw	45
82	d	米	米	主根	米	末	米	mǐ	米	midd	mi	22
83	k	鹿	鹿	主根	鹿	首	鏖	áo	鹿 ＋ 金	aokk	aok	10
84	k	鹿	鹿	主根	鹿	末	辘	lù	车旁 ＋ 鹿	luek	lue	5
85	w	巨	巨	附属根	匚	首	巨	jù	巨	juww	juww	1
86	w	巨	巨	附属根	匚	末	拒	jù	扌 ＋ 巨	julw	jul	11
87	r	永	永	主根	永	首	昶	chǎng	永 ＋ 日	ihrq	ihr	2
88	r	永	永	主根	永	末	脉	mài	月 ＋ 永	mdvr movr	mdv	7
89	z	⻊	足旁	附属根	足	首	跌	diē	⻊ ＋ 失	dpzr	dp	99
90	i	户	户	附属根	尸	首	户	hù	户	huii	hu	21
91	i	户	户	附属根	尸	末	护	hù	扌 ＋ 户	huli	hul	9
92	p	鬼	鬼	主根	鬼	首	魃	bá	鬼 ＋ 𠂇 ＋ 又 ＋ 丶	bapa	bap	10
93	p	鬼	鬼	主根	鬼	末	瑰	guī	王 ＋ 鬼	gvgp	gvg	15
94	p	毌	毌	附属根	母	首	贯	guàn	毌 ＋ 贝	grpz	grp	2
95	p	毌	毌	附属根	母	末	毌	guàn	毌	grpp	grpp	1
96	f	亻	亻	主根	亻	首	你	nǐ	亻 ＋ ⺈ ＋ 小	nifg	n	274
97	d	居	居	主根	居	首	剧	jù	居 ＋ 刂	juds	jud	2
98	d	居	居	主根	居	末	据	jù	扌 ＋ 居	juld	ju	10
99	r	戊	戊	附属根	戈	首	感	gǎn	戊 ＋ 一 ＋ 口 ＋ 心	gjrc	gj	11
100	r	戊	戊	附属根	戈	末	茂	mào	艹 ＋ 戊	mcxr	mcx	2
101	n	襄	襄	附属根	衣	首	瓤	ráng	襄 ＋ 瓜	rhnm	rhn	2
102	n	襄	襄	附属根	衣	末	曩	nǎng	日 ＋ 襄	nhqn	nhq	14
103	b	尧	尧	主根	尧	首	翘	qiào	尧 ＋ 习 ＋ 习	qnbm	qnb	2
104	b	尧	尧	主根	尧	末	绕	rào	纟 ＋ 尧	rcjb	rc	18
105	r	熏	熏	附属根	黑	首	熏	xūn	熏	xyrr	xyr	1
106	r	熏	熏	附属根	黑	末	醺	xūn	酉 ＋ 熏	xyer	xye	6
107	n	片	片	主根	片	首	版	bǎn	片 ＋ 𠂆 ＋ 又	bjnq	bj	6
108	n	片	片	主根	片	末	片	piàn	片	pmnn	pm	1
109	e	𫠣	拣字边	附属根	车	末	练	liàn	纟 ＋ 𫠣	lmje	lmj	3
110	d	丸	丸	附属根	九	首	丸	wán	丸	wjdd	wjd	1
111	d	丸	丸	附属根	九	末	亵	xiè	衣 ＋ 扌 ＋ 丸	xpnd	xpn	6
112	a	饣	饣	主根	饣	首	饭	fàn	饣 ＋ 𠂆 ＋ 又	fjaq	fj	47
113	c	艮	艮	主根	艮	首	退	tuì	艮 ＋ 辶	tvcp	tv	4
114	c	艮	艮	主根	艮	末	跟	gēn	⻊ ＋ 艮	gfzc	gf	48
115	w	匚	匚	主根	匚	首	欧	ōu	匚 ＋ 㐅 ＋ ⺈ ＋ 人	ouwg	ou	24
116	w	匚	匚	主根	匚	末	汇	huì	氵 ＋ 匚	hvbw	hvb	2
117	p	廴	廴	附属根	辶	末	挺	tǐng	扌 ＋ 壬 ＋ 廴	tklp	tk	32
118	l	举字底	举字底	附属根	扌	末	胖	pàng	月 ＋ 丷 ＋ 举字底	phvl pjvl	ph	58
119	w	亚	亚	附属根	业	首	恶	è	亚 ＋ 心	eewc wuwc	eew wuw	7
120	w	亚	亚	附属根	业	末	亚	yà	亚	yaww	ya	10
121	z	足	足	主根	足	首	足	zú	足	zuzz	zuz	1
122	z	足	足	主根	足	末	促	cù	亻 ＋ 足	cufz	cu	10
123	w	角	角	主根	角	首	觥	gōng	角 ＋ ⺌ ＋ 兀	gswa	gsw	15
124	w	角	角	主根	角	末	角	jiǎo	角	jnww jtww	jnw jtw	7
125	y	鱼	鱼	主根	鱼	首	鲍	bào	鱼 ＋ 勹 ＋ 巳	bcyv	bcy	109
126	y	鱼	鱼	主根	鱼	末	鲎	hòu	学无子 ＋ 鱼	hziy	hzi	12
127	a	向字框	向字框	附属根	向	首	奥	ào	向字框 ＋ 米 ＋ 大	aoan	ao	1
128	a	丨	丨	附属根	竖	首	凹	āo	丨 ＋ 折 ＋ 见二 ＋ 一	aoan	aoa	5
129	a	丨	丨	附属根	竖	末	窜	cuàn	宀 ＋ 八 ＋ 口 ＋ 口 ＋ 丨	cria	cr	21
130	n	天	天	附属根	大	首	天	tiān	天	tmnn	tm	4
131	n	天	天	附属根	大	末	关	guān	丷 ＋ 天	gran	gr	26
132	c	⺗	恭字底	附属根	忄	末	添	tiān	氵 ＋ 天 ＋ ⺗	tmbc	tmb	7
133	g	玨	玨	附属根	王	首	班	bān	玨 ＋ 刂	bjgs	bjg	6
134	k	畏下	畏字底带横	附属根	定字底	末	宸	chén	宀 ＋ 厂 ＋ 一 ＋ 畏下	ifik	ifi	21
135	a	皿	皿	主根	皿	首	皿	mǐn	皿	mbaa	mba	1
136	a	皿	皿	主根	皿	末	盘	pán	舟 ＋ 皿	pjea	pj	68
137	c	牜	牜	附属根	牛	首	特	tè	牜 ＋ 土 ＋ 寸	tecy	te	20
138	g	小	少三	附属根	小	首	少	shǎo	小 ＋ 丿	ucge	uc	3
139	y	寸	寸	主根	寸	首	过	guò	寸 ＋ 辶	goyp	go	2
140	y	寸	寸	主根	寸	末	得	de / dé / děi	彳 ＋ 日 ＋ 一 ＋ 寸	deuy dwuy	de dw	114
141	y	山	山	主根	山	首	岑	cén	山 ＋ 今	cfyz	cf	134
142	y	山	山	主根	山	末	山	shān	山	ujyy	uj	24
143	a	兀	兀	附属根	儿	首	虺	huǐ	兀 ＋ 虫	hvam	hva	2
144	a	兀	兀	附属根	儿	末	光	guāng	⺌ ＋ 兀	glga	gl	39
145	w	冂	冂	附属根	匚	首	刚	gāng	冂 ＋ 㐅 ＋ 刂	ghws	gh	11
146	w	冂	冂	附属根	匚	末	嶲	xī	山 ＋ 隹 ＋ 丨 ＋ 折 ＋ 冂	xiyw	xiyw	1
147	t	土	土	主根	土	首	去	qù	土 ＋ 厶	qutt	q	189
148	t	土	土	主根	土	末	在	zài	在字框 ＋ 土	zdpt	z	159
149	r	利	利	主根	利	首	犁	lí	利 ＋ 牛	lirc	lirc	3
150	r	利	利	主根	利	末	利	lì	利	lirr	lir	7
151	j	糸	糸	附属根	纟	末	索	suǒ	十 ＋ 冖 ＋ 糸	sopj	so	36
152	a	四	四	附属根	皿	首	四	sì	四	siaa	sia	1
153	a	四	四	附属根	皿	末	泗	sì	氵 ＋ 四	siba	sib	3
154	w	于	于	附属根	干	首	于	yú	于	yuww	yuw	4
155	w	于	于	附属根	干	末	圩	wéi / xū	土 ＋ 于	wwtw xutw	wwt	11
156	y	丁	丁	附属根	寸	首	丁	dīng	丁	dkyy	dky	2
157	y	丁	丁	附属根	寸	末	宁	níng	宀 ＋ 丁	nkiy	nk	30
158	i	宀	宀	主根	宀	首	安	ān	宀 ＋ 女	aniz	an	117
159	i	堂无土	尚头	附属根	宀	首	党	dǎng	堂无土 ＋ 儿	dhia	dhi	9
160	m	革	革	附属根	廿	首	鞍	ān	革 ＋ 宀 ＋ 女	anmz	anm	34
161	m	革	革	附属根	廿	末	革	gé	革	gemm	gem	2
162	y	末	末	附属根	未	首	末	mò	末	moyy	moy	1
163	y	末	末	附属根	未	末	抹	mǒ	扌 ＋ 末	maly moly	mal	7
164	t	匕	匕	主根	匕	首	鸨	bǎo	匕 ＋ 十 ＋ 鸟	bcty	bct	6
165	t	匕	匕	主根	匕	末	比	bǐ	比左 ＋ 匕	bitt	bi	100
166	i	冖	冖	附属根	宀	首	鹤	hè	冖 ＋ 隹 ＋ 鸟	heiy	hei	15
167	v	己	己	附属根	已	首	改	gǎi	己 ＋ 攵	gdvq	gdv	3
168	v	己	己	附属根	已	末	皑	ái	白 ＋ 山 ＋ 己	aiyv	aiy	21
169	o	𠂤	追字心	主根	追字心	首	追	zhuī	𠂤 ＋ 辶	vvop	vv	2
170	r	气	气	主根	气	首	氨	ān	气 ＋ 宀 ＋ 女	anrz	anr	20
171	r	气	气	主根	气	末	汽	qì	氵 ＋ 气	qibr	qib	4
172	g	以	以	主根	以	首	以	yǐ	以	yigg	yig	1
173	g	以	以	主根	以	末	拟	nǐ	扌 ＋ 以	nilg	nil	5
174	g	王	王	主根	王	首	弄	nòng	王 ＋ 廾	lsgx nsgx	ns	170
175	g	王	王	主根	王	末	全	quán	全字头 ＋ 王	qrgg	qr	51
