裁决编号	码	调整前关键候选	调整后关键候选	理由	状态
G8C12-W001	jijn	矶、计较、犄角	矶、计较、犄角	默认挂接版实打可通过“不计较、不要计较、斤斤计较、和他计较”等长串稳定识别“计较”，因此“计较”不必争夺独立码位首选；恢复单字“矶”首选。	挂接版已复核：撤销让位
G8C12-W002	xujq	绪、许久、酗酒、叙旧	许久、绪、酗酒、叙旧	按默认挂接版复核后维持让位：外部宝频显示“绪”的纯单字使用仅28、含词总频16207，主要由情绪、思绪、头绪等词组抬高；即使“许久”可参与长串输入，“绪”的独立单字需求仍然过低。	挂接版已复核：维持让位
G8C12-W003	xmig	羡、现成、县城、线程	现成、羡、县城、线程	按默认挂接版复核后维持让位：“现成”虽常参与“现成的、现成方案、现成工具”等长串，但“羡”的频率主要由“羡慕”等词组贡献，纯单字需求仍明显更弱。	挂接版已复核：维持让位
G8C12-W004	xmba	洗、冼	先把、洗、冼	按默认挂接版复核后维持：“先把”虽可在“先把这个、先把文件”等长串中被挂接识别，但该码位的洗/xian身份频率为0且高频xi身份已有三码xib，冼也已有三码xmb；两个单字均无首选需求。F阶段显式新增“先把”，不修改冻结词库D。	挂接版已复核：维持让位
G8C12-W005	jnjr	礁、胶卷、交卷	胶卷、礁、交卷	按默认挂接版复核后维持：“胶卷”虽可在相机胶卷、彩色胶卷、一卷胶卷等长串中恢复，但“礁”本身也极少单用，主要出现于礁石、暗礁、珊瑚礁；折算挂接恢复后仍由“胶卷”首选。	挂接版已复核：维持让位
G8C12-W006	yjtz	堰、烟头	烟头、堰	按默认挂接版复核后维持：烟头虽可在一个烟头、扔掉烟头等长串中恢复，但仍有明确的独立二字词输入需求；“堰”主要出现于堰塞湖、都江堰、围堰等词或专名，纯单字需求更低。	挂接版已复核：维持让位
G8C12-W007	jmrs	箭、兼容	兼容、箭	按默认挂接版复核后维持：“兼容”虽常在向下兼容、兼容模式、兼容性等长串中恢复，但“箭”已有独占顺取码jmra，无需继续占用原码jmrs首选。	挂接版已复核：维持让位
G8C12-W008	uihg	噬、失衡	噬、失衡	默认挂接版下撤销让位：“失衡”常见于比例失衡、心理失衡、供需失衡等固定长串，可由挂接稳定恢复；“噬”可自由组合为噬元兽、噬魂鬼等开放式专名，此类长串未必被词库收录，单字首选更有价值。	挂接版已复核：撤销让位
G8C12-W009	jxfh	伽、家访、甲方	甲方、伽、家访	按默认挂接版复核后维持：“甲方”虽可在甲方单位、甲方公司等长串中恢复，但仍有较强的独立输入需求；“伽”已有独占顺取码jxfp，无需占用原码首选。人工体感认为甲方明显比家访常用，因此覆盖冻结D原词序。	挂接版已复核：维持让位
G8C12-W010	qiva	脐、欺诈、气炸	脐、欺诈、气炸	按默认挂接版裁决保持原样：“欺诈”常见于网络欺诈、金融欺诈、欺诈行为等长串，可由挂接恢复；“脐”具有肚脐、脐带、脐橙及开放式专业组合需求，单字首选价值更高。“气炸”词频更低。	挂接版已复核：保持原样
G8C12-W011	dmih	扂、电厂、店长、电场	电厂、扂、店长、电场	按默认挂接版裁决让位：“扂”为极生僻单字；“电厂”虽可在火力电厂、发电厂等长串中恢复，但自身也有很强的独立二字词输入需求。单字只让一个首选位置。	挂接版已复核：让位
G8C12-W012	ufyy	屾、神韵、身孕	神韵、屾、身孕	自动规则：单字不在前3527，且最高二字词排名13520≤15000；单字只让一个首选位置。	第一批自动让位
G8C12-W013	yiys	劓、医用、易用	医用、劓、易用	自动规则：单字不在前3527，且最高二字词排名13554≤15000；单字只让一个首选位置。	第一批自动让位
G8C12-W014	ykxk	蓥、影星、硬性	影星、蓥、硬性	自动规则：单字不在前3527，且最高二字词排名13561≤15000；单字只让一个首选位置。	第一批自动让位
G8C12-W016	wusy	鹜、无损、污损	无损、鹜、污损	自动规则：单字不在前3527，且最高二字词排名13611≤15000；单字只让一个首选位置。	第一批自动让位
G8C12-W017	zibc	恣、自保、自爆、自曝	自保、恣、自爆、自曝	自动规则：单字不在前3527，且最高二字词排名13697≤15000；单字只让一个首选位置。	第一批自动让位
G8C12-W018	qutn	𫭟、曲调	曲调、𫭟	自动规则：单字不在前3527，且最高二字词排名13726≤15000；单字只让一个首选位置。	第一批自动让位
G8C12-W020	xiyr	舄、巇、戏院、西苑	戏院、舄、巇、西苑	自动规则：同码单字均不在前3527，且最高二字词排名13863≤15000；整组单字共同只让一个首选位置。候选相对顺序以E接口为准。	第一批自动让位
G8C12-W022	xmqr	㬎、线圈	线圈、㬎	自动规则：单字不在前3527，且最高二字词排名14173≤15000；单字只让一个首选位置。	第一批自动让位
G8C12-W023	dikk	氐、地块	地块、氐	自动规则：单字不在前3527，且最高二字词排名14266≤15000；单字只让一个首选位置。	第一批自动让位
G8C12-W025	fujy	缚、夫君	夫君、缚	自动规则：单字不在前3527，且最高二字词排名14398≤15000；单字只让一个首选位置。	第一批自动让位
G8C12-W028	yjir	戭、扊、言传	言传、戭、扊	自动规则：同码单字均不在前3527，且最高二字词排名14642≤15000；整组单字共同只让一个首选位置。候选相对顺序以E接口为准。	第一批自动让位
G8C12-W030	cjcy	惭、残存	残存、惭	自动规则：单字不在前3527，且最高二字词排名14915≤15000；单字只让一个首选位置。	第一批自动让位
G8C12-W031	vuxn	苎、住校、注销	住校、苎、注销	自动规则：单字不在前3527，且最高二字词排名14926≤15000；单字只让一个首选位置。	第一批自动让位
G8C12-W032	sihy	厮混、嘶	嘶、厮混	实战复核：嘶基本只在单字输入时使用，而厮混可由连续输入和词库联想恢复；撤销旧的前15000词自动让位。	实战已撤销让位
G8C12-W033	wuuh	吾、误伤、无上、无伤	吾、误伤、无上、无伤	按默认挂接版裁决保持原样：误伤、无上、无伤多可由更长输入串恢复；“吾”具有吾辈、吾等、吾王、吾爱等开放式组合需求，单字首选价值更高。	挂接版已复核：保持原样
G8C12-W034	xiwh	觿、希望	希望、觿	自动规则：同码全部单字均在前3527之外，且最高二字词排名58≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W035	jphy	喈、结婚	结婚、喈	自动规则：同码全部单字均在前3527之外，且最高二字词排名217≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W036	hvdc	𬤝、回到、挥刀	回到、𬤝、挥刀	自动规则：同码全部单字均在前3527之外，且最高二字词排名371≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W037	liyz	嫠、理由、利诱	理由、嫠、利诱	自动规则：同码全部单字均在前3527之外，且最高二字词排名597≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W038	tsyh	鲖、同样、峒、痛痒	同样、鲖、峒、痛痒	自动规则：同码全部单字均在前3527之外，且最高二字词排名598≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W039	mgxl	甍、梦想、梦乡	梦想、甍、梦乡	自动规则：同码全部单字均在前3527之外，且最高二字词排名673≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W040	duzi	妒、肚子、独自、犊子、独资	肚子、妒、独自、犊子、独资	自动规则：同码全部单字均在前3527之外，且最高二字词排名692≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W041	vill	挚、质量	质量、挚	自动规则：同码全部单字均在前3527之外，且最高二字词排名739≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W042	wwxp	薳、𫇭、威胁、猥亵	威胁、薳、𫇭、猥亵	自动规则：同码全部单字均在前3527之外，且最高二字词排名1055≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W043	mmbc	湎、面包、绵薄	面包、湎、绵薄	自动规则：同码全部单字均在前3527之外，且最高二字词排名1138≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W044	uiyj	鼫、实验、试验、誓言、饰演、食言、十堰、食盐、试演、失言	实验、鼫、试验、誓言、饰演、食言、十堰、食盐、试演、失言	自动规则：同码全部单字均在前3527之外，且最高二字词排名1156≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
