码	调整前	调整后
aaaa	啊啊啊啊	啊啊啊啊、吖吖
aabk	阿炳	阿炳、阿冰
aajn	阿胶、阿娇	阿娇、阿胶
aamj	阿曼	阿瞒、阿曼
aazi	阿紫	阿梓、阿紫
aftm	安非他明、安非他命	安非他命、安非他明
agsd	奥古斯丁、奥古斯都	奥古斯都、奥古斯丁
ahah	啊哈啊哈	昂昂、啊哈啊哈
ahri	安好如初	安好如初、昂日
aiai	爱爱、哎哎、皑皑、唉唉	哎哎、唉唉、爱爱、皑皑
aiba	濭	濭、爱吧
aibn	溰、凒	溰、凒、爱表
aicd	爱财、爱才	爱才、爱财
aids	挨冻	挨冻、爱动
aigc	哀告	哀告、爱搞
aigo	爱国	爱国、爱过
aigw	餲	餲、爱给
aihe	爱河	爱喝、爱河
aihr	唉	唉、爱换、哀唤
aihs	哀鸿	哀鸿、爱哄
aihx	爱华	爱花、爱华
aijk	礙	礙、爱敬、艾敬
aijl	爱将	爱将、爱酱
aijn	砹、哀叫	砹、挨浇、哀叫
aijq	艾灸	艾灸、爱就
aijy	碍	碍、爱军
aile	哀乐、爱乐	挨了、爱了、哀乐、爱乐
ailn	㱯	㱯、爱聊
ailu	爱吃零食	爱撸、爱吃零食
aima	艾玛、挨骂	挨骂、艾玛
aimk	哀鸣	哀鸣、爱明
aimo	癌魔	哀默、癌魔
aiqp	爱妾、哀切、䀳	哀切、爱妾、䀳
airj	蔼然	蔼然、爱染
aisi	哀思、艾斯、爱死	艾斯、爱死、哀思
aisy	癌、㢊、㕌	癌、㢊、㕌、爱隼
aita	塧、壒	塧、壒、爱他、爱她、爱它
aitn	㘷	㘷、艾条
aiuf	爱神	爱神、矮身
aiug	哀声	唉声、哀声
aiuu	矮树	爱书、矮树
aive	挨着	爱着、挨着
aiwa	䅬	䅬、爱娃、爱挖
aiwg	閡	閡、艾翁
aiww	艾薇、馤	艾薇、馤、爱围
aiye	艾叶	艾叶、爱液
aiyo	哎哟、唉哟	哎哟、哎唷、唉哟
aiyz	哎呦、矮油、爱幼	哎呦、爱幼、矮油
ambm	暧昧不明、爱买不买	爱买不买、暧昧不明
anbk	暗病	按兵、暗病
andc	暗道	暗道、按到
andd	谙、諳	谙、諳、暗袋
ande	安德、安得	安得、安德
andh	誝	誝、按当
andi	安迪、暗地	暗地、安迪
andj	暗淡、黯淡	黯淡、暗淡
andm	按点	暗点、按点
anfa	案发	案发、按法
anff	安分	安分、安份
anfz	侒	侒、安否
angv	暗鬼	安规、暗鬼
anhv	安徽	安徽、暗灰
anhw	暗黑	暗黑、黯黑
anih	暗娼、案场	案场、暗娼
anji	安吉、按季、暗疾、氨基	暗疾、按季、安吉、氨基
anjn	暗礁	暗礁、暗叫
anjx	俺家、安家	安家、俺家
anld	揞	揞、俺来
anli	安利、案例、按理	案例、按理、安利
anlj	安澜	按烂、安澜
anll	按量	按量、暗梁
anlw	按类	按类、暗雷
anma	鞍马、暗骂	暗骂、鞍马
anmo	按摩	按摩、暗魔
annd	䬓	䬓、按耐
annr	鵪	鵪、安暖
anqu	暗渠	俺去、暗渠
anrj	安然、黯然	黯然、安然
anrz	氨	氨、按揉
antj	暗探、暗叹	暗叹、暗探
anuf	安身、安神	安神、安身
anvd	腤	腤、安寨
anvl	安装	安装、暗桩
anxu	按需	按需、暗许
anyj	铵盐	铵盐、胺盐
anyr	案源、安远、安源	安远、案源、安源
anyu	暗语、暗喻、安于、按语	安于、暗语、暗喻、按语
anyz	𩽾、案由、峖、鮟	𩽾、俺有、峖、鮟、案由
anze	㜝	㜝、按责
aobk	鏖兵	敖丙、鏖兵
aodi	奥迪	奥迪、凹地
aoiu	凹处	熬出、凹处
aojm	熬煎	傲剑、熬煎
aonq	䦋、䮯	䦋、䮯、澳牛
aorf	傲人	傲人、熬人
aouu	奥数	奥数、奥术
aovi	熬制	熬制、螯肢
aowa	䫨	䫨、凹洼
aowd	謷	謷、澳外
aowh	嗸	嗸、澳网、奥王、獒王
aowu	傲物、嗷呜	嗷呜、傲物
aoxx	凹下	凹下、鳌虾
aozi	袄子	袄子、凹字
babd	八百	八拜、八百
bacc	拔草	拔草、扒草
bacv	霸、㸭	霸、㸭、拔萃
badh	报案电话	八档、报案电话
badi	巴蒂	巴蒂、拔地
badn	拔掉	拔掉、拔屌
badu	八度	八度、霸都
baff	八分	八分、八份
bage	八哥	八个、八哥、巴哥
bagl	拔光、扒光	扒光、拔光
bagv	䶕、鈀	䶕、鈀、吧规、八桂
bahs	哵	哵、八红
bahv	吧	吧、八会、扒灰
baie	把车	扒车、把车
baii	把持	把持、八尺
bail	不按常理	把床、不按常理
bair	不爱吃肉	靶船、不爱吃肉
baiu	拔除、拔出	拔出、拔除
bajn	八角、芭蕉	芭蕉、八角
bajq	把酒、八九	八九、把酒
bajr	不爱江山爱美人	八卷、不爱江山爱美人
bajx	把家	八家、把家
bala	扒、扒拉、拔	扒、扒拉、拔、巴拉
bale	罢了、芭乐	罢了、拔了、芭乐
bals	捌	捌、霸龙
balz	八楼	八楼、笆篓
bama	巴马、爸妈	爸妈、巴马
bamc	拔锚、拔毛	拔毛、拔锚
bamd	把脉	把脉、八脉
bamw	把妹	把妹、把每
bana	颰、䮂、軷	颰、䮂、軷、把那
bapa	魃、犮	魃、犮、耙耙
baql	八强、拔枪	拔枪、八强
baqu	拔取	八区、拔取
basv	疤	疤、八岁
bata	垻、坺	垻、坺、把他、把她、把它
batm	霸天	八天、霸天
batv	拔腿、壩	拔腿、壩、把腿
baue	跋涉	跋涉、拔舌
baui	八十、巴士、罢市、把式、八时	巴士、罢市、八十、把式、八时
baux	不按顺序	八刷、不按顺序
bavf	八珍	八珍、拔针
bavi	罢职	八只、罢职
bavo	拔擢	吧桌、拔擢
bavs	巴中	八种、巴中
bawu	八五、吧务	吧务、八五
baxb	把心、靶心	靶心、把心
baxl	靶向	八项、靶向
baxx	拔下	拔下、八下
bayh	峇	峇、拔秧
bazi	八字、靶子、把子、坝子	靶子、八字、把子、坝子
bbbm	报不报名	鬓边、报不报名
bbbu	宝宝巴士	宾补、宝宝巴士
bbdy	逼不得已、并不等于、不必多言、碧波荡漾、不被定义	并不等于、不必多言、碧波荡漾、不被定义、逼不得已
bbhh	比比划划、百般呵护	百般呵护、比比划划
bbjb	步步紧逼	濒近、步步紧逼
bbjj	白白净净、边边角角、并不仅仅	边边角角、白白净净、并不仅仅
bbjl	滨江、变本加厉	变本加厉、滨江
bbjx	不避艰险、步步惊心	步步惊心、不避艰险
bbll	斑驳陆离、冰冰凉凉、奔波劳碌	冰冰凉凉、奔波劳碌、斑驳陆离
bbqq	悲悲切切、悲悲戚戚	悲悲戚戚、悲悲切切
bbul	步步生莲	鬓霜、步步生莲
bbum	不辨菽麦、帮不上忙	帮不上忙、不辨菽麦
bbuu	颁布实施、并不是说	并不是说、颁布实施
bbuz	半边身子、补补身子	补补身子、半边身子
bbvd	不败之地、并不知道、并不值得	并不知道、不败之地、并不值得
bbvi	并不支持、不便之处	宾至、并不支持、不便之处
bbvy	不白之冤、本本主义、并不重要	并不重要、不白之冤、本本主义
bbvz	滨州、宾州、版本之子	滨州、版本之子、宾州
bbwn	百般无奈、被逼无奈	被逼无奈、百般无奈
bbwx	白璧无瑕、白璧微瑕	白璧微瑕、白璧无瑕
bbxr	被保险人、兵不血刃	兵不血刃、被保险人
bbyi	殡仪	殡仪、滨医
bbyu	宾语、濒于	濒于、宾语
bcbc	宝宝、抱抱、包包、薄薄、彼此彼此	宝宝、抱抱、彼此彼此、薄薄、包包
bcbk	薄饼、抱病、薄冰、别踩白块	抱病、薄饼、别踩白块、薄冰
bcbm	褒贬	褒贬、包边
bcbn	保镖、爆表、报表	保镖、报表、爆表
bccd	包菜	包菜、包材
bcch	保藏、爆仓、包藏	爆仓、保藏、包藏
bcci	褒词	褒词、爆词
bccj	饱餐	饱餐、报餐
bccy	保存	保存、包村
bcde	报德	报德、包的
bcdj	保单	保单、爆单、爆弹
bcdk	保定	保定、宝鼎
bcdm	宝典、宝殿	宝典、爆典、报点、宝殿
bcdn	剥掉、爆掉	爆掉、剥掉
bcdu	爆肚、饱读	爆肚、饱读、报毒
bcdz	爆豆	爆痘、爆豆
bcee	保额	保额、饱饿
bcer	鲍尔、宝儿	宝儿、鲍尔
bcfh	包房	包房、保防
bcfj	包饭	饱饭、包饭
bcfo	保	保、抱佛
bcgd	宝盖	爆改、宝盖
bcgh	宝钢、爆缸、包钢	爆缸、宝钢、包钢
bcgl	曝光、剥光、宝光	曝光、宝光、剥光
bcgs	包工、包公、鑤	包公、包工、鑤
bcgw	包给、报给	报给、包给
bcgz	珤	珤、抱够
bchc	包好	包好、保号
bche	饱和、宝盒	饱和、宝盒、暴喝
bchz	薄厚	薄厚、爆吼
bcic	爆炒、包抄	包抄、爆炒
bcii	保持	保持、包吃、报吃
bciu	爆出、报出	爆出、报出、抱出
bciv	窇	窇、爆锤
bciy	报春	薄唇、报春
bcjb	抱紧	抱紧、抱进
