a	啊
b	不
c	才
d	的
e	而
f	发
g	更
h	和
i	吃
j	就
k	看
l	了
m	没
n	你
o	哦
p	平
q	去
r	人
s	所
t	他
u	是
v	中
w	我
x	小
y	有
z	在
aa	阿
ah	昂
ai	爱
an	安
ao	奥
ba	把
bb	斌
bc	报
bd	白
bf	本
bg	泵
bh	帮
bi	比
bj	版
bk	并
bm	变
bn	表
bo	波
bp	别
bu	部
bw	被
ca	擦
cc	草
cd	菜
ce	测
cf	岑
cg	曾
ch	藏
ci	此
cj	参
co	错
cr	窜
cs	从
cu	促
cv	脆
cy	村
cz	凑
da	大
dc	到
dd	带
de	得
df	扽
dg	等
dh	当
di	地
dj	但
dk	定
dm	点
dn	掉
do	多
dp	跌
dq	丢
dr	段
ds	动
du	度
dv	对
dw	得
dx	嗲
dy	顿
dz	都
ee	额
ei	欸
en	恩
er	二
fa	法
ff	分
fg	风
fh	方
fj	饭
fo	佛
fu	副
fw	非
fz	否
ga	噶
gc	高
gd	该
ge	个
gf	跟
gg	梗
gh	刚
gj	感
gk	怪
gl	光
go	过
gr	关
gs	公
gu	股
gv	贵
gw	给
gx	挂
gy	滚
gz	购
ha	哈
hc	好
hd	还
he	合
hf	很
hg	恒
hh	航
hj	含
hk	坏
hl	黄
ho	或
hr	换
hs	红
hu	户
hv	会
hw	黑
hx	化
hy	混
hz	后
ia	差
ic	超
id	拆
ie	车
if	陈
ig	成
ih	场
ii	持
ij	产
ik	踹
il	创
io	戳
ir	穿
is	冲
iu	出
iv	吹
iy	春
iz	抽
jb	金
ji	及
jk	经
jl	将
jm	见
jn	叫
jp	接
jq	久
jr	卷
js	炯
jt	觉
ju	据
jx	家
jy	均
ka	卡
kc	考
kd	开
ke	可
kf	肯
kg	坑
kh	康
kj	砍
kk	快
kl	况
ko	括
kr	款
ks	空
ku	库
kv	亏
kw	剋
kx	跨
ky	困
kz	口
la	拉
lb	林
lc	老
ld	来
le	乐
lg	冷
lh	朗
li	里
lj	兰
lk	另
ll	两
lm	连
ln	了
lo	罗
lp	列
lq	刘
lr	乱
ls	龙
lt	略
lu	路
lv	率
lw	类
lx	俩
ly	论
lz	楼
ma	吗
mb	民
mc	猫
md	买
me	么
mf	们
mg	梦
mh	忙
mi	米
mj	满
mk	名
mm	面
mn	秒
mo	模
mp	灭
mq	谬
mu	目
mw	美
mz	某
na	那
nb	您
nc	脑
nd	奶
ne	呢
nf	嫩
ng	能
nh	囊
ni	尼
nj	南
nk	宁
nl	娘
nm	年
nn	鸟
no	诺
np	涅
nq	牛
nr	暖
ns	农
nt	虐
nu	努
nv	女
nw	内
nz	耨
oo	噢
ou	欧
pa	怕
pb	品
pc	跑
pd	拍
pf	喷
pg	朋
ph	胖
pi	皮
pj	盘
pk	评
pm	片
pn	票
po	破
pp	撇
pu	普
pw	配
pz	剖
qb	亲
qi	其
qk	请
ql	强
qm	前
qn	桥
qp	且
qq	球
