词	当前码	建议码	SUBTLEX拼音	SUBTLEX词频	处理建议
什么	uime	ufme	shen2 me5	236517	第一批；应用前抽查并按基础词表原顺序重排新码位候选
了解	lejp	lnjp	liao3 jie3	10127	第一批；应用前抽查并按基础词表原顺序重排新码位候选
长官	ihgr	vhgr	zhang3 guan1	6780	第一批；应用前抽查并按基础词表原顺序重排新码位候选
调查	tnia	dnia	diao4 cha2	6319	第一批；应用前抽查并按基础词表原顺序重排新码位候选
的确	deqt	diqt	di2 que4	4803	第一批；应用前抽查并按基础词表原顺序重排新码位候选
音乐	yble	ybyt	yin1 yue4	4776	第一批；应用前抽查并按基础词表原顺序重排新码位候选
重新	vsxb	isxb	chong2 xin1	4637	第一批；应用前抽查并按基础词表原顺序重排新码位候选
钥匙	ytii	ycui	yao4 shi5	3751	第一批；应用前抽查并按基础词表原顺序重排新码位候选
银行	ybxk	ybhh	yin2 hang2	3003	第一批；应用前抽查并按基础词表原顺序重排新码位候选
子弹	zitj	zidj	zi3 dan4	2488	第一批；应用前抽查并按基础词表原顺序重排新码位候选
角色	jnse	jtse	jue2 se4	2403	第一批；应用前抽查并按基础词表原顺序重排新码位候选
炸弹	vatj	vadj	zha4 dan4	2268	第一批；应用前抽查并按基础词表原顺序重排新码位候选
乐队	ledv	ytdv	yue4 dui4	2126	第一批；应用前抽查并按基础词表原顺序重排新码位候选
目的	mude	mudi	mu4 di4	1835	第一批；应用前抽查并按基础词表原顺序重排新码位候选
长大	ihda	vhda	zhang3 da4	1797	第一批；应用前抽查并按基础词表原顺序重排新码位候选
队长	dvih	dvvh	dui4 zhang3	1731	第一批；应用前抽查并按基础词表原顺序重排新码位候选
仔细	zdxi	zixi	zi3 xi4	1696	第一批；应用前抽查并按基础词表原顺序重排新码位候选
船长	irih	irvh	chuan2 zhang3	1396	第一批；应用前抽查并按基础词表原顺序重排新码位候选
重复	vsfu	isfu	chong2 fu4	1262	第一批；应用前抽查并按基础词表原顺序重排新码位候选
熟悉	uzxi	uuxi	shu2 xi1	1221	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血液	xpye	xtye	xue4 ye4	1182	第一批；应用前抽查并按基础词表原顺序重排新码位候选
成熟	iguz	iguu	cheng2 shu2	1055	第一批；应用前抽查并按基础词表原顺序重排新码位候选
市长	uiih	uivh	shi4 zhang3	1042	第一批；应用前抽查并按基础词表原顺序重排新码位候选
校长	xnih	xnvh	xiao4 zhang3	932	第一批；应用前抽查并按基础词表原顺序重排新码位候选
便宜	bmyi	pmyi	pian2 yi5	860	第一批；应用前抽查并按基础词表原顺序重排新码位候选
成长	igih	igvh	cheng2 zhang3	858	第一批；应用前抽查并按基础词表原顺序重排新码位候选
流血	lqxp	lqxt	liu2 xue4	849	第一批；应用前抽查并按基础词表原顺序重排新码位候选
局长	juih	juvh	ju2 zhang3	822	第一批；应用前抽查并按基础词表原顺序重排新码位候选
香槟	xlbk	xlbb	xiang1 bin1	810	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血迹	xpji	xtji	xue4 ji1	793	第一批；应用前抽查并按基础词表原顺序重排新码位候选
主角	vujn	vujt	zhu3 jue2	791	第一批；应用前抽查并按基础词表原顺序重排新码位候选
睡着	uvve	uvvc	shui4 zhao2	782	第一批；应用前抽查并按基础词表原顺序重排新码位候选
着急	veji	vcji	zhao2 ji2	700	第一批；应用前抽查并按基础词表原顺序重排新码位候选
家长	jxih	jxvh	jia1 zhang3	672	第一批；应用前抽查并按基础词表原顺序重排新码位候选
可恶	keee	kewu	ke3 wu4	657	第一批；应用前抽查并按基础词表原顺序重排新码位候选
大夫	dafu	ddfu	dai4 fu5	654	第一批；应用前抽查并按基础词表原顺序重排新码位候选
投降	tzjl	tzxl	tou2 xiang2	648	第一批；应用前抽查并按基础词表原顺序重排新码位候选
透露	tzlz	tzlu	tou4 lu4	559	第一批；应用前抽查并按基础词表原顺序重排新码位候选
部长	buih	buvh	bu4 zhang3	539	第一批；应用前抽查并按基础词表原顺序重排新码位候选
着火	veho	vcho	zhao2 huo3	522	第一批；应用前抽查并按基础词表原顺序重排新码位候选
导弹	dctj	dcdj	dao3 dan4	510	第一批；应用前抽查并按基础词表原顺序重排新码位候选
了结	lejp	lnjp	liao3 jie2	475	第一批；应用前抽查并按基础词表原顺序重排新码位候选
行业	xkye	hhye	hang2 ye4	475	第一批；应用前抽查并按基础词表原顺序重排新码位候选
核弹	hetj	hedj	he2 dan4	461	第一批；应用前抽查并按基础词表原顺序重排新码位候选
州长	vzih	vzvh	zhou1 zhang3	447	第一批；应用前抽查并按基础词表原顺序重排新码位候选
勒索	lwso	leso	le4 suo3	445	第一批；应用前抽查并按基础词表原顺序重排新码位候选
着迷	vemi	vcmi	zhao2 mi2	444	第一批；应用前抽查并按基础词表原顺序重排新码位候选
重建	vsjm	isjm	chong2 jian4	442	第一批；应用前抽查并按基础词表原顺序重排新码位候选
恐吓	ksxx	kshe	kong3 he4	391	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血压	xpya	xtya	xue4 ya1	389	第一批；应用前抽查并按基础词表原顺序重排新码位候选
刻薄	kebc	kebo	ke4 bo2	386	第一批；应用前抽查并按基础词表原顺序重排新码位候选
露出	lziu	luiu	lu4 chu1	338	第一批；应用前抽查并按基础词表原顺序重排新码位候选
着陆	velu	volu	zhuo2 lu4	332	第一批；应用前抽查并按基础词表原顺序重排新码位候选
仿佛	fhfo	fhfu	fang3 fu2	331	第一批；应用前抽查并按基础词表原顺序重排新码位候选
没收	mwuz	mouz	mo4 shou1	331	第一批；应用前抽查并按基础词表原顺序重排新码位候选
宝藏	bcch	bczh	bao3 zang4	327	第一批；应用前抽查并按基础词表原顺序重排新码位候选
畜生	xuug	iuug	chu4 sheng5	327	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血管	xpgr	xtgr	xue4 guan3	316	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血统	xpts	xtts	xue4 tong3	316	第一批；应用前抽查并按基础词表原顺序重排新码位候选
鲜血	xmxp	xmxt	xian1 xue4	312	第一批；应用前抽查并按基础词表原顺序重排新码位候选
