问题ID	原文摘录	状态	目标码表	格式	操作	原编码	原字词	新编码	新字词	目标候选位	备注	处理时间	处理结果	修改前SHA256	修改后SHA256
P0001-01	1，第一个问题，关于cy这个音，目前的首选是村，但我认为存这个字更加的高频，可以考虑让cy变成存，原本的村退回到三简：cyo。两个表都修改	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	改码	cy	村	cyo			村由二简退至三简；保留全码cyoy	2026-08-30T04:23:29+10:00	cy,1=村 -> cyo,1=村	975e972a4b2ba8152c2d300bd74abb0652e4d7639718204e4f1076870b23fceb	324fb6d24ad97b5cc19edef9fc631a01e4407f78c2aac3ce50ab3413c03879d6
P0001-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	改码	cyp	存	cy			存由三简升为二简；保留全码cypn	2026-08-30T04:23:29+10:00	cyp,1=存 -> cy,1=存	975e972a4b2ba8152c2d300bd74abb0652e4d7639718204e4f1076870b23fceb	324fb6d24ad97b5cc19edef9fc631a01e4407f78c2aac3ce50ab3413c03879d6
P0001-03	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	改码	cy	村	cyo			村由二简退至三简；保留全码cyoy	2026-08-30T04:23:29+10:00	cy,1=村 -> cyo,1=村	26465b8760a67b80f2a8f98f19b98e57f1f4dfbf417bc002fbeea1ef46f51f6c	0f5e51072634729cd53eb34162974fd0b86f877c0dee61875d4c7027712802c8
P0001-04	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	改码	cyp	存	cy			存由三简升为二简；保留全码cypn	2026-08-30T04:23:29+10:00	cyp,1=存 -> cy,1=存	26465b8760a67b80f2a8f98f19b98e57f1f4dfbf417bc002fbeea1ef46f51f6c	0f5e51072634729cd53eb34162974fd0b86f877c0dee61875d4c7027712802c8
P0002-01	2，关于嘶 ，是这个字全码是嘶，和厮混重码，目前次选让位，但是嘶这个字基本只存在打单字的情况，感觉需要调整回来，让sihy的首选是嘶	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	调序	sihy	厮混、嘶	sihy	嘶、厮混	1	撤销G8C12-W032的自动让位；单字表无需修改	2026-08-30T20:31:47+10:00	sihy: 厮混、嘶 -> 嘶、厮混	9de7313cf129a3fb9c85e78166a2688b3ff241228c2b38227727d264e908ea5b	b0c4a8a342a4fffde7e39e8aa53beba6795fd51898a2f74ee6874a2fcb634028
P0003-01	3，容错码：念，可以考虑加一个nmg的容错，念正常是拆今字头，但实际上拆人也很直观，所以可以考虑nmg也是念。nmg上有简词注意让位，只要加一个nmg就行，nmgr的“容错全码”就不用加了	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	新增		念	nmg	念	1	保留自然码nmz、nmzc；念取得首选，简词整体后移；不增加nmgr；登记G8C12-U012	2026-08-30T21:07:25+10:00	新增nmg,1=念	23aff66274741335512e449bdb9642cefed6e1ac87ad0f151fb42a7cd88bf884	69cde1cdc3965cb4c74a8253604d99559a31d71211af16e1897b17126a38f0d5
P0003-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	新增		念	nmg	念	1	保留自然码nmz、nmzc；念取得首选，简词整体后移；不增加nmgr；登记G8C12-U012	2026-08-30T21:07:25+10:00	新增nmg,1=念	b0c4a8a342a4fffde7e39e8aa53beba6795fd51898a2f74ee6874a2fcb634028	259860beef9b6adb38e9b2d863c3c31f49b2b042b7302c6b722af34d431b2397
P0003-03	同上	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5简词表.tsv	TSV	移位	nmg	内蒙古1、农民工2、那么高3、糯米糕4	nmg	内蒙古2、农民工3、那么高4、糯米糕5	2—5	为nmg,1=念让位；四个三简词顺序不变、整体后移一位	2026-08-30T21:09:25+10:00	nmg简词候选1—4 -> 2—5	7dab5d85a3098acac0438f87ad209f560cd548de680152b22febc13475c1d3dc	262dd01c4cf9126c8d7a30a6849044faec70ec27430a40b69f16668d19848f9d
P0004-01	龵不动根，只给拜、掰增加按“手”理解的容错；拜只加bdlw，排在败类之后、拝之前；掰加bdll并排在白亮之前	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	新增	bdi / bdiw	拜	bdlw	拜	1	只加容错全码，不加bdl；单字表中排在生僻字拝之前；登记G8C12-U013	2026-08-30T21:36:24+10:00	新增bdlw=拜	69cde1cdc3965cb4c74a8253604d99559a31d71211af16e1897b17126a38f0d5	ae87082f13f66d035c224b8d02684985b014d9dc9a41a8ebf035f9ea52e111ec
P0004-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	新增	bdil	掰	bdll	掰	1	保留自然全码bdil；登记G8C12-U014	2026-08-30T21:36:24+10:00	新增bdll,1=掰	69cde1cdc3965cb4c74a8253604d99559a31d71211af16e1897b17126a38f0d5	ae87082f13f66d035c224b8d02684985b014d9dc9a41a8ebf035f9ea52e111ec
P0004-03	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	插入	bdlw	败类、拝	bdlw	败类、拜、拝	2	拜排在既有词之后、生僻字之前；不加bdl	2026-08-30T21:36:24+10:00	bdlw: 败类、拝 -> 败类、拜、拝	259860beef9b6adb38e9b2d863c3c31f49b2b042b7302c6b722af34d431b2397	b455abcbb18acca18741b44a8953c5ae03ee38c1a72dad4fafaa842cd250f536
P0004-04	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	插入	bdll	白亮、不得了了	bdll	掰、白亮、不得了了	1	掰取得首选，两个既有词顺延	2026-08-30T21:36:24+10:00	bdll: 白亮、不得了了 -> 掰、白亮、不得了了	259860beef9b6adb38e9b2d863c3c31f49b2b042b7302c6b722af34d431b2397	b455abcbb18acca18741b44a8953c5ae03ee38c1a72dad4fafaa842cd250f536
P0004-05	同上	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5扩展字表.tsv	TSV	移位	bdlw	拝,2	bdlw	拝,3	3	扩展字一律排在既有字词之后；为新增核心字拜让位	2026-08-30T21:36:24+10:00	拝: bdlw,2 -> bdlw,3	acb9420934657169c88407854c6d3442fb6e04d4c30366e11707e4cb87fcf24b	36401118fa3918698661addf1b6945def9b2abeb97f66d883b160d26648974cb
P0005-01	羲的脑袋确认是美字头；修复羲、曦、爔的规范拆分，并保留此前恢复的戈根	已修复	work/重开工程/02_规范拆分/最终规范拆分表_待核验.tsv	TSV	改拆		羲、曦、爔		羲=美字头＋禾＋戈＋横＋折；曦/爔在前面分别加日/火		正式历史结构裁决同步修正；不修改根集	2026-08-31T00:18:21+10:00	三字上部由点＋点＋王恢复为美字头	f96e0646d6cd25bfaeafba4acdb0cbf0b9b9ed9f6e93a04b32c7bf1d47b33ef4	f3e18641821783f2c40a0d48b353146c5f77abffb5a26b6f15e7fa24686da1b5
P0005-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	改码	xiao	羲	xiio	羲	1	新码为空码；兮保留xiao；曦、爔首末根不变，无需改码	2026-08-31T00:18:21+10:00	羲: xiao -> xiio	ae87082f13f66d035c224b8d02684985b014d9dc9a41a8ebf035f9ea52e111ec	ddb3b1040cd28f049cdf8021e7809b35d856b4633889f88eccd8575dc2a8617e
