aaa=1,啊啊啊
aad=1,暗暗地
aad=2,矮矮的
aaj=1,嗷嗷叫
aba=1,爱不爱
abg=1,熬不过
abg=2,拗不过
abl=1,按比例
abl=2,阿波罗
abm=1,奥巴马
abv=1,碍不着
acl=1,按错了
acq=1,矮矬穷
adb=1,爱丁堡
add=1,矮墩墩
ade=1,安道尔
adf=1,阿道夫
adf=2,安多酚
adg=1,矮冬瓜
adh=1,爱德华
adj=1,矮大紧
adl=1,暗地里
adl=2,奥地利
adl=3,按道理
adq=1,安定区
ads=1,安德森
adt=1,熬到头
adu=1,爱迪生
adv=1,熬得住
adv=2,挨得着
aef=1,阿尔法
ael=1,奥尔良
ael=2,爱尔兰
afd=1,阿凡达
afg=1,阿房宫
afg=2,阿法狗
afh=1,阿富汗
aft=1,阿凡提
agd=1,按规定
agd=2,阿骨打
age=1,挨个儿
age=2,矮个儿
agl=1,按惯例
agl=2,熬过来
agq=1,挨过去
agq=2,熬过去
agt=1,阿根廷
agv=1,爱国者
agx=1,爱国心
agz=1,矮个子
ahd=1,爱喝的
ahh=1,啊哈哈
ahq=1,安魂曲
ahq=2,安河桥
ahr=1,安徽人
ahs=1,暗红色
ahu=1,安徽省
ahv=1,爱好者
aid=2,爱吃的
aid=3,鹌鹑蛋
aig=2,按常规
aii=1,暗沉沉
aij=1,氨茶碱
ait=2,熬出头
aj=1,安静
aj=2,案件
ajd=1,安静的
ajf=1,安家费
ajh=1,按计划
ajj=1,爱剪辑
ajk=1,安居客
ajl=1,安静了
ajl=2,安吉拉
ajs=1,氨基酸
aju=1,按键式
ajy=1,癌基因
akl=1,拗口令
akl=2,阿卡丽
akm=1,阿卡姆
akm=2,阿克曼
akx=1,爱科学
ala=1,奥利奥
alb=1,阿拉伯
alb=2,阿鲁巴
ald=1,阿拉丁
alg=1,奥利给
alh=1,安理会
alq=1,阿联酋
als=1,爱丽丝
als=2,安乐死
als=3,俺老孙
alu=1,按理说
alu=2,安禄山
alw=1,安乐窝
alx=1,爱立信
aly=1,阿里云
aly=2,安乐椅
amj=1,凹面镜
amn=1,阿玛尼
amq=1,安眠曲
amq=2,按摩器
amu=1,爱马仕
amx=1,安慕希
amy=1,安眠药
amz=1,爱面子
ant=2,熬年头
ap=1,安排
apb=1,安排表
aph=1,安排好
apj=1,安培计
apq=1,阿帕奇
apu=1,安排上
apv=1,阿婆主
apx=1,安排下
aq=1,爱情
aq=2,安全
aqc=1,矮穷矬
aqd=1,安全带
aqd=2,挨千刀
aqe=1,安琪儿
aqf=1,安全阀
aqg=1,安全感
aqh=1,爱琴海
aqi=1,矮穷丑
aqj=1,安全局
aql=1,安琪拉
aqm=1,安全帽
aqm=2,安全门
aqp=1,爱情片
aqq=1,安全期
aqq=2,安全区
aqt=1,昂起头
aqt=2,安全套
aqx=1,安全性
aqx=2,安全线
aqy=1,爱奇艺
aqy=2,安全员
arm=1,爱人民
arn=1,爱热闹
ask=1,奥斯卡
asl=1,爱死了
asm=1,阿萨姆
asm=2,阿斯玛
atj=1,凹透镜
atl=1,阿提拉
atm=1,奥特曼
atm=2,阿童木
atm=3,凹凸曼
att=1,安兔兔
atu=1,安徒生
aty=1,安胎药
au=1,爱上
aul=1,爱上了
aum=1,阿诗玛
aun=1,爱上你
auu=1,爱谁谁
auv=1,暗示着
auw=1,爱上我
aux=1,按顺序
aux=2,暗示性
av=1,按照
avb=1,安装包
avb=2,安卓版
avj=1,安卓机
avp=1,安装盘
avv=1,按这种
aw=1,安慰
awe=1,艾薇儿
awh=1,奥委会
awh=2,安委会
awj=1,安慰剂
awq=1,癌晚期
awv=1,暗物质
awx=1,安慰性
axb=1,癌细胞
axb=2,阿西吧
axi=1,凹陷处
axl=1,阿修罗
axr=1,安息日
axx=1,爱学习
ay=1,也有
ay=2,也要
ay=3,要用
aya=1,按一按
ayc=1,奥运村
ayh=1,奥运会
ayh=2,爱与恨
ayj=1,矮一截
ayq=1,按要求
ayw=1,哎哟喂
ayw=2,哎呦喂
ayx=1,按音序
ayy=1,哎呀呀
azb=1,艾滋病
azg=1,爱祖国
azw=1,爱咋玩
azx=1,凹造型
baf=1,不安分
bai=1,不爱吃
ban=1,不安宁
baq=2,不安全
bat=2,不爱听
bau=2,不碍事
baw=2,不安稳
bax=1,不安心
bax=2,白矮星
bb=1,不必
bb=2,爸爸
bb=3,宝贝
bbb=1,不不不
bbb=2,并不比
bbb=3,别别别
bbc=1,白板擦
bbd=1,巴不得
bbd=2,办不到
bbd=3,不变的
bbe=2,宝贝儿
bbf=1,笨办法
bbf=2,八宝饭
bbf=3,背包袱
bbg=1,比不过
bbg=2,本不该
bbg=3,把把关
bbh=2,并不会
bbh=3,不包含
bbi=2,办不成
bbi=3,蹦蹦床
bbj=2,八百斤
bbk=2,不包括
bbk=3,背包客
bbl=2,巴比伦
bbl=3,比不了
bbm=1,帮帮忙
bbm=2,宝贝们
bbn=1,并不能
bbn=2,并不难
bbp=2,抱不平
bbp=3,百白破
bbq=1,北半球
bbq=2,保不齐
bbr=2,并不如
bbr=3,被别人
bbs=1,并不算
bbt=1,棒棒糖
bbt=2,半边天
bbt=3,巴别塔
bbu=2,并不是
bbu=3,比不上
bbv=1,憋不住
bbv=2,保不住
bbv=3,八宝粥
bbw=2,帮帮我
bbw=3,并不晚
bbx=1,并不想
bbx=2,并不像
bbx=3,百宝箱
bby=1,并不用
bby=2,不便于
bby=3,不必要
bbz=2,半辈子
bbz=3,八辈子
bc=2,不错
bc=3,彼此
bcj=2,彼此间
bck=2,爆粗口
bck=3,百草枯
bcl=2,不错了
bcm=2,不聪明
bcm=3,不错嘛
bcq=1,不凑巧
bcq=2,保存期
bcx=1,不曾想
bcy=1,病残孕
bcz=2,不存在
bd=2,不断
bd=3,报道
bdb=1,不得不
bdb=2,不代表
bdb=3,不但不
bdc=1,背单词
bdd=2,不单单
bdd=3,不懂得
bde=1,半点儿
bdf=1,贝多芬
bdf=2,白癜风
bdg=1,白大褂
bdh=1,不大好
bdh=2,憋得慌
bdh=3,不等号
bdi=1,不动产
bdi=2,不对称
bdj=2,不对劲
bdj=3,不打紧
bdk=2,不对口
bdk=3,傍大款
bdl=1,不得了
bdl=2,背地里
bdm=1,帮倒忙
bdq=1,不定期
bdq=2,本地区
bdr=2,本地人
bdr=3,不打扰
bds=1,不打算
bdt=1,不对头
bdt=2,摆地摊
bdt=3,抱大腿
bdu=1,比得上
bdu=2,不但是
bdu=3,不单是
bdv=1,别当真
bdv=2,报到证
bdw=2,不到位
bdw=3,不倒翁
bdx=1,北斗星
bdx=2,别担心
bdx=3,不担心
bdy=1,不得已
bdy=2,不等于
bdy=3,不低于
bdz=1,半吊子
bdz=2,瘪犊子
beb=1,倍儿棒
beg=1,巴尔干
beg=2,巴儿狗
