字根	键位	根族	例字
横	p	横	我、上、下、年、事
一	p	横	一、得、哈、道、开
二	p	横	会、那、些、动、哪
三	p	横	三、帮、承、邦、筹
敖左	p	横	熬、傲、嗷、獒、赘
不	p	横	不、还、坏、环、怀
竖	l	竖	中、年、种、乎、钟
丨	l	竖	个、候、声、叫、书
乔字底	l	竖	界、济、养、价、阶
荒字底	l	竖	流、谎、荒、慌、疏
乔	l	竖	乔、桥、骄、娇、侨
㐄	l	竖	舞、降、瞬、麟、磷
川	l	竖	顺、训、川、圳、驯
巛	l	竖	巡、巢、剿、邋、瑙
师字旁	l	竖	师、帅、归、狮、筛
州	l	竖	州、洲、酬
撇	f	撇	我、发、哦、系、笑
丿	f	撇	么、那、哪、产、题
𠂆	f	撇	后、反、饭、质、派
彡	f	撇	影、参、须、形、修
点	a	点／氵／冫	发、转、传、专、率
丶	a	点／氵／冫	的、求、义、书、议
冬字底	a	点／氵／冫	实、头、买、科、续
氵	a	点／氵／冫	没、法、活、海、清
冫	a	点／氵／冫	次、决、准、资、冷
折	b	折	我、那、发、成、快
乙	b	折	吃、艺、亿、忆、瓦
弓	b	折	强、张、引、弹、弱
飞	b	折	飞
𠂉	k	亻／彳／卧人／行	年、吃、每、海、复
亻	k	亻／彳／卧人／行	你、们、他、什、作
彳	k	亻／彳／卧人／行	得、很、微、德、待
行	k	亻／彳／卧人／行	行、街、衡、衔、衍
母	i	母	每、海、母、嗨、毒
毋	i	母	毋、毐
毌	i	母	惯、贯、掼、毌
人	x	人	人、从、次、欢、认
全字头	x	人	个、会、哈、给、全
入	x	人	入、汆、籴
讠	f	讠	说、话、让、谢、该
言	f	讠	信、言、警、誓、誉
饣	w	饣	饭、馆、饿、饼、饮
食	w	饣	食、餐、饕、餮、飨
艹	m	井／艹／龷／冓头	展、花、节、满、获
卅	m	井／艹／龷／冓头	卅
卌	m	井／艹／龷／冓头	舞
带字头	m	井／艹／龷／冓头	带、滞、䗖、𫶇
廾	m	井／艹／龷／冓头	开、并、算、形、研
井	m	井／艹／龷／冓头	进、讲、耕、井、阱
龷	m	井／艹／龷／冓头	错、睡、共、黄、供
𠀎	m	井／艹／龷／冓头	赛、塞、寒、寨、噻
辶	q	辶	这、还、过、道、进
廴	q	辶	建、挺、健、庭、键
忄	v	忄	快、情、性、怕、忙
心	v	忄	想、心、意、怎、感
必	v	忄	必、密、秘、蜜、瑟
⺗	v	忄	慕、恭、添、舔、忝
扌	o	扌	把、打、找、啦、提
手	o	扌	手、拿、掌、摩、撑
举字底	r	王／丰	半、举、棒、胖、择
王	r	王／丰	现、全、理、望、玩
玨	r	王／丰	班、琴、瑟、斑、琵
玉	r	王／丰	国、宝、玉、玺、莹
丰	r	王／丰	害、拜、丰、峰、瞎
龶	r	王／丰	情、表、请、清、精
水	p	水／氺／永	水、承、冰、踏、泉
氺	p	水／氺／永	求、球、救、录、康
永	p	水／氺／永	永、泳、脉、咏、漾
木	w	木	想、样、机、本、体
未	l	未／末／朱／来／耒	未、味、妹、魅、昧
末	l	未／末／朱／来／耒	末、抹、袜、沫、茉
朱	l	未／末／朱／来／耒	珠、朱、殊、蛛、株
来	l	未／末／朱／来／耒	来、莱、睐、徕、涞
耒	l	未／末／朱／来／耒	耕、耗、籍、耘、藉
女	s	女	好、要、她、如、女
虫	g	鸟／虫	强、蛋、虽、独、融
𠀐	g	鸟／虫	贵、遗、溃、遣、谴
鸟	g	鸟／虫	鸡、鸟、鸭、鸣、鹅
鸟省	g	鸟／虫	岛、捣、袅、枭、凫
乌	g	鸟／虫	乌、呜、坞、邬、钨
鳥	g	鸟／虫	
月	z	月／用	明、月、望、期、服
⺝	z	月／用	有、能、前、情、请
用	z	月／用	用、解、确、嘴、角
甬字底	z	月／用	通、痛、勇、桶、涌
口	t	口	就、说、和、哈、中
囗	j	囗	国、回、因、嗯、团
