oba=1,ア
oba=2,ァ
obba=1,バ
obbe=1,ベ
obbi=1,ビ
obbi=2,ビャ
obbi=3,ビュ
obbi=4,ビョ
obbo=1,ボ
obbu=1,ブ
obda=1,ダ
obde=1,デ
obdi=1,ヂ
obdi=2,ヂャ
obdi=3,ヂュ
obdi=4,ヂョ
obdo=1,ド
obdu=1,ヅ
obe=1,エ
obe=2,ェ
obga=1,ガ
obge=1,ゲ
obgi=1,ギ
obgi=2,ギャ
obgi=3,ギュ
obgi=4,ギョ
obgo=1,ゴ
obgu=1,グ
obha=1,ハ
obhe=1,ヘ
obhi=1,ヒ
obhi=2,ヒャ
obhi=3,ヒュ
obhi=4,ヒョ
obho=1,ホ
obhu=1,フ
obi=1,イ
obi=2,ィ
obka=1,カ
obka=2,ヵ
obke=1,ケ
obke=2,ヶ
obki=1,キ
obki=2,キャ
obki=3,キュ
obki=4,キョ
obko=1,コ
obku=1,ク
obma=1,マ
obme=1,メ
obmi=1,ミ
obmi=2,ミャ
obmi=3,ミュ
obmi=4,ミョ
obmo=1,モ
obmu=1,ム
obn=1,ン
obna=1,ナ
obne=1,ネ
obni=1,ニ
obni=2,ニャ
obni=3,ニュ
obni=4,ニョ
obno=1,ノ
obnu=1,ヌ
obo=1,オ
obo=2,ォ
obp=1,ー
obpa=1,パ
obpe=1,ペ
obpi=1,ピ
obpi=2,ピャ
obpi=3,ピュ
obpi=4,ピョ
obpo=1,ポ
obpu=1,プ
obra=1,ラ
obre=1,レ
obri=1,リ
obri=2,リャ
obri=3,リュ
obri=4,リョ
obro=1,ロ
obru=1,ル
obsa=1,サ
obse=1,セ
obsi=1,シ
obsi=2,シャ
obsi=3,シュ
obsi=4,ショ
obso=1,ソ
obsu=1,ス
obta=1,タ
obte=1,テ
obti=1,チ
obti=2,チャ
obti=3,チュ
obti=4,チョ
obto=1,ト
obtu=1,ツ
obtu=2,ッ
obu=1,ウ
obu=2,ゥ
obwa=1,ワ
obwa=2,ヮ
obwo=1,ヲ
obya=1,ヤ
obya=2,ャ
obyo=1,ヨ
obyo=2,ョ
obyu=1,ユ
obyu=2,ュ
obza=1,ザ
obze=1,ゼ
obzi=1,ジ
obzi=2,ジャ
obzi=3,ジュ
obzi=4,ジョ
obzo=1,ゾ
obzu=1,ズ
ofbd=1,〈
ofbd=2,〉
ofbd=3,［
ofbd=4,］
ofbd=5,｛
ofbd=6,｝
ofbd=7,ˉ
ofbd=8,ˇ
ofbd=9,¨
ofbd=10,々
ofbd=11,～
ofbd=12,‖
ofdu=1,⒈
ofdu=2,⒉
ofdu=3,⒊
ofdu=4,⒋
ofdu=5,⒌
ofdu=6,⒍
