根	codepoint	裁掉代价ΔJ	它救着的字
⺋	U+2E8B	0.63	卮氏
斤	U+65A4	0.63	蕲荠
谷	U+8C37	0.63	浴潏
玉	U+7389	0.64	瀛滢
于	U+4E8E	0.64	圩垿
死	U+6B7B	0.65	比毙
㇈	U+31C8	0.66	吃叱
	U+E0D0	0.66	零聆
固	U+56FA	0.67	钴锢
爫	U+722B	0.67	孚孵
言	U+8A00	0.74	拾誓
各	U+5404	0.89	咯咖喀
厉	U+5389	0.96	历励
	U+F000	1.23	咏喁、寓窳
𠂇	U+20087	1.23	者赭、耋垤、钹𬭛
	U+E0D2	1.24	墉埇、消淆、渭洧、鳙鲬
勺	U+52FA	1.25	涿汋、菂茋
高	U+9AD8	1.25	篙筶、镐锆
	U+E414	1.25	其萁、甚葚
介	U+4ECB	1.40	疖疥、节芥
兄	U+5144	1.43	竞竟
尚	U+5C1A	1.62	塘趟埫、淌溏
付	U+4ED8	1.75	付傅俯
㇒	U+31D2	1.86	毡飐、留飗、缪缈
匚	U+531A	1.86	医匜、忑慝、梳枢、鄢郾
𠆢	U+201A2	1.89	云耘、孵稃、愈悆、系穄、馝秘
刂	U+5202	2.58	例俐、侨劁、济瀱、蓟荠、钘铏
𰀁	U+30001	3.21	养羊、墉埇、鳙鲬
𠂉	U+20089	4.42	先筅、凰篁、匀筠、及笈、告筶、生笙、笺篯、造簉
阝	U+961D	4.78	庸鄘、弁𨚕、由邮、皮陂、舒鄃、郦鬲、陨𫖳、随隧
	U+E0C8	5.25	两辆、职轵、至轾、轿斠、辅甫
㇏	U+31CF	5.79	之祗禔、卦坬、哺卟、堤坻、怵憷、抵提、棣柢、浦瀑、笺篯、芨蕺、莨蒗、葡蒲莆蒱、赢嬴、黍秫、黻黼
	U+E0C6	14.74	呋趺、呛跄、呲跐、哒跶、哔跸、啵跛、喋蹀、喹跬、嘀蹢、嘹蹽、噗蹼、噪躁、跑咆、跗咐、跟哏、跺哚、蹄啼、蹅喳、蹑嗫、蹚嘡、蹦嘣、蹬噔、蹭噌、蹶噘
