当前 174 根；反事实测试 169 个贪心新增根
基线 J=67.88 零阶81 加权3.61bp

裁掉代价从小到大：
  氵(U+6C35): ΔJ=+-0.02  救着: 汀渟、污洿、沣浲、泔㽏、泠澪、泻瀣、消淆、涠𣲗、渚潴、渭洧、漯泺
  干(U+5E72): ΔJ=+-0.00  救着: 捍扞
  足(U+8DB3): ΔJ=+0.00  救着: ?
  牛(U+725B): ΔJ=+0.00  救着: 件牮
  未(U+672A): ΔJ=+0.00  救着: ?
  乂(U+4E42): ΔJ=+0.00  救着: ?
  㐅(U+3405): ΔJ=+0.00  救着: ?
  丬(U+4E2C): ΔJ=+0.00  救着: ?
  ⺆(U+2E86): ΔJ=+0.00  救着: ?
  罒(U+7F52): ΔJ=+0.00  救着: ?
  自(U+81EA): ΔJ=+0.00  救着: ?
  片(U+7247): ΔJ=+0.00  救着: ?
  刀(U+5200): ΔJ=+0.00  救着: ?
  ⺌(U+2E8C): ΔJ=+0.00  救着: ?
  月(U+6708): ΔJ=+0.00  救着: 胆膻
  冫(U+51AB): ΔJ=+0.00  救着: ?
  巳(U+5DF3): ΔJ=+0.00  救着: ?
  骨(U+9AA8): ΔJ=+0.00  救着: ?
  冖(U+5196): ΔJ=+0.00  救着: ?
  手(U+624B): ΔJ=+0.00  救着: 摹藦
  廴(U+5EF4): ΔJ=+0.01  救着: 蜓䗴
  电(U+7535): ΔJ=+0.01  救着: ?
  车(U+8F66): ΔJ=+0.01  救着: ?
  巴(U+5DF4): ΔJ=+0.01  救着: ?
  习(U+4E60): ΔJ=+0.01  救着: ?
  方(U+65B9): ΔJ=+0.01  救着: ?
  也(U+4E5F): ΔJ=+0.01  救着: ?
  士(U+58EB): ΔJ=+0.01  救着: 毂榖、縠觳
  彳(U+5F73): ΔJ=+0.02  救着: 衡行
  长(U+957F): ΔJ=+0.02  救着: ?
  五(U+4E94): ΔJ=+0.02  救着: ?
  弋(U+5F0B): ΔJ=+0.03  救着: ?
  户(U+6237): ΔJ=+0.04  救着: ?
  立(U+7ACB): ΔJ=+0.04  救着: ?
  厶(U+53B6): ΔJ=+0.12  救着: ?
  麻(U+9EBB): ΔJ=+0.61  救着: 糜麋
  七(U+4E03): ΔJ=+0.61  救着: 咤吒、扎挓
  衤(U+8864): ΔJ=+0.62  救着: 祛袪
  气(U+6C14): ΔJ=+0.62  救着: 氰箐
  力(U+529B): ΔJ=+0.62  救着: 枥朸、疠疬、荔苈
  丁(U+4E01): ΔJ=+0.62  救着: 丁耵、汀渟、衡行
  尸(U+5C38): ΔJ=+0.62  救着: 已尾
  王(U+738B): ΔJ=+0.62  救着: 干玕、瑟璱、诳诓
  夕(U+5915): ΔJ=+0.63  救着: 川舛
  ⺋(U+2E8B): ΔJ=+0.63  救着: 卮氏
  彐(U+5F50): ΔJ=+0.63  救着: 暨亟
  丰(U+4E30): ΔJ=+0.63  救着: 云耘、沣浲
  斤(U+65A4): ΔJ=+0.63  救着: 蕲荠
  谷(U+8C37): ΔJ=+0.63  救着: 浴潏
  勿(U+52FF): ΔJ=+0.64  救着: 惕悌
  豕(U+8C55): ΔJ=+0.64  救着: 蒙甍
  田(U+7530): ΔJ=+0.64  救着: 蕾藟、阜匐
  巾(U+5DFE): ΔJ=+0.64  救着: 芾茀
  玉(U+7389): ΔJ=+0.64  救着: 瀛滢
  于(U+4E8E): ΔJ=+0.64  救着: 圩垿
  用(U+7528): ΔJ=+0.65  救着: 佣俑
  死(U+6B7B): ΔJ=+0.65  救着: 比毙
  卩(U+5369): ΔJ=+0.65  救着: 鲫鲚
  臼(U+81FC): ΔJ=+0.65  救着: 釉鼬
  ㇈(U+31C8): ΔJ=+0.66  救着: 吃叱
  (U+E0D0): ΔJ=+0.66  救着: 零聆
  止(U+6B62): ΔJ=+0.66  救着: 址埴
  甘(U+7518): ΔJ=+0.66  救着: 泔㽏、甘苷
  固(U+56FA): ΔJ=+0.67  救着: 钴锢
  爫(U+722B): ΔJ=+0.67  救着: 孚孵
  覀(U+8980): ΔJ=+0.67  救着: 贾颊
  贝(U+8D1D): ΔJ=+0.69  救着: 萸蓣、颖颍
  白(U+767D): ΔJ=+0.70  救着: 佰伯、敫皦、皇凰
  鬼(U+9B3C): ΔJ=+0.73  救着: 巍嵬、魔麽
  言(U+8A00): ΔJ=+0.74  救着: 拾誓
  夫(U+592B): ΔJ=+0.83  救着: 失矢
  各(U+5404): ΔJ=+0.89  救着: 咯咖喀
  巛(U+5DDB): ΔJ=+0.92  救着: 巡迅
  厉(U+5389): ΔJ=+0.96  救着: 历励
  几(U+51E0): ΔJ=+1.01  救着: 朵躲
  文(U+6587): ΔJ=+1.11  救着: 齐弃
  夂(U+5902): ΔJ=+1.17  救着: 服腹
  舟(U+821F): ΔJ=+1.21  救着: 凰艎、艘飕
  丷(U+4E37): ΔJ=+1.23  救着: 单禅、禅单
  册(U+518C): ΔJ=+1.23  救着: 姗嬗
  (U+F000): ΔJ=+1.23  救着: 咏喁、寓窳
  纟(U+7E9F): ΔJ=+1.23  救着: 出绌、飨𬙋
  犭(U+72AD): ΔJ=+1.23  救着: 熏獯、舆狳
  𠂇(U+20087): ΔJ=+1.23  救着: 者赭、耋垤、钹𬭛
  冂(U+5182): ΔJ=+1.23  救着: 墉埇、鳙鲬
  匕(U+5315): ΔJ=+1.24  救着: 滗沘、笔篦、芘蓖、颖颍
