根	codepoint	裁掉代价ΔJ	它救着的字
氵	U+6C35	-0.02	汀渟、污洿、沣浲、泔㽏、泠澪、泻瀣、消淆、涠𣲗、渚潴、渭洧、漯泺
干	U+5E72	-0.00	捍扞
足	U+8DB3	0.00	
牛	U+725B	0.00	件牮
未	U+672A	0.00	
乂	U+4E42	0.00	
㐅	U+3405	0.00	
丬	U+4E2C	0.00	
⺆	U+2E86	0.00	
罒	U+7F52	0.00	
自	U+81EA	0.00	
片	U+7247	0.00	
刀	U+5200	0.00	
⺌	U+2E8C	0.00	
月	U+6708	0.00	胆膻
冫	U+51AB	0.00	
巳	U+5DF3	0.00	
骨	U+9AA8	0.00	
冖	U+5196	0.00	
手	U+624B	0.00	摹藦
廴	U+5EF4	0.01	蜓䗴
电	U+7535	0.01	
车	U+8F66	0.01	
巴	U+5DF4	0.01	
习	U+4E60	0.01	
方	U+65B9	0.01	
也	U+4E5F	0.01	
士	U+58EB	0.01	毂榖、縠觳
彳	U+5F73	0.02	衡行
长	U+957F	0.02	
五	U+4E94	0.02	
弋	U+5F0B	0.03	
户	U+6237	0.04	
立	U+7ACB	0.04	
厶	U+53B6	0.12	
麻	U+9EBB	0.61	糜麋
七	U+4E03	0.61	咤吒、扎挓
衤	U+8864	0.62	祛袪
气	U+6C14	0.62	氰箐
力	U+529B	0.62	枥朸、疠疬、荔苈
丁	U+4E01	0.62	丁耵、汀渟、衡行
尸	U+5C38	0.62	已尾
王	U+738B	0.62	干玕、瑟璱、诳诓
夕	U+5915	0.63	川舛
⺋	U+2E8B	0.63	卮氏
彐	U+5F50	0.63	暨亟
丰	U+4E30	0.63	云耘、沣浲
斤	U+65A4	0.63	蕲荠
谷	U+8C37	0.63	浴潏
勿	U+52FF	0.64	惕悌
豕	U+8C55	0.64	蒙甍
田	U+7530	0.64	蕾藟、阜匐
巾	U+5DFE	0.64	芾茀
玉	U+7389	0.64	瀛滢
于	U+4E8E	0.64	圩垿
用	U+7528	0.65	佣俑
死	U+6B7B	0.65	比毙
卩	U+5369	0.65	鲫鲚
臼	U+81FC	0.65	釉鼬
㇈	U+31C8	0.66	吃叱
	U+E0D0	0.66	零聆
止	U+6B62	0.66	址埴
甘	U+7518	0.66	泔㽏、甘苷
固	U+56FA	0.67	钴锢
爫	U+722B	0.67	孚孵
覀	U+8980	0.67	贾颊
贝	U+8D1D	0.69	萸蓣、颖颍
白	U+767D	0.70	佰伯、敫皦、皇凰
鬼	U+9B3C	0.73	巍嵬、魔麽
言	U+8A00	0.74	拾誓
夫	U+592B	0.83	失矢
各	U+5404	0.89	咯咖喀
巛	U+5DDB	0.92	巡迅
厉	U+5389	0.96	历励
几	U+51E0	1.01	朵躲
文	U+6587	1.11	齐弃
夂	U+5902	1.17	服腹
舟	U+821F	1.21	凰艎、艘飕
丷	U+4E37	1.23	单禅、禅单
册	U+518C	1.23	姗嬗
	U+F000	1.23	咏喁、寓窳
纟	U+7E9F	1.23	出绌、飨𬙋
犭	U+72AD	1.23	熏獯、舆狳
𠂇	U+20087	1.23	者赭、耋垤、钹𬭛
冂	U+5182	1.23	墉埇、鳙鲬
匕	U+5315	1.24	滗沘、笔篦、芘蓖、颖颍
	U+E0D2	1.24	墉埇、消淆、渭洧、鳙鲬
为	U+4E3A	1.24	伪偎、葳𫇭
歹	U+6B79	1.24	一殪、殡鬓
龴	U+9FB4	1.25	予鬻、令瓴、泠澪、蝥蟊
勺	U+52FA	1.25	涿汋、菂茋
高	U+9AD8	1.25	篙筶、镐锆
	U+E414	1.25	其萁、甚葚
厂	U+5382	1.26	夏厦、焉黡
辛	U+8F9B	1.26	啤噼
句	U+53E5	1.26	橘枸、莒蒟
牜	U+725C	1.26	生牲、飓犋
水	U+6C34	1.29	汞巩、线缐
衣	U+8863	1.31	求裘、衣裛
可	U+53EF	1.32	倚佁、呵嗬、婀姶、荷菏
而	U+800C	1.33	串喘、脑臑
介	U+4ECB	1.40	疖疥、节芥
兄	U+5144	1.43	竞竟
戈	U+6208	1.50	载哉栽
尚	U+5C1A	1.62	塘趟埫、淌溏
皿	U+76BF	1.64	检槛、监鉴
付	U+4ED8	1.75	付傅俯
广	U+5E7F	1.83	主麈、京麖、庶熟
西	U+897F	1.84	严酽、虬蝤、酊耵
千	U+5343	1.85	孵稃、氏舐、系穄、馝秘
㇒	U+31D2	1.86	毡飐、留飗、缪缈
匚	U+531A	1.86	医匜、忑慝、梳枢、鄢郾
门	U+95E8	1.86	昶阊、禅阐、禋𬮱
犬	U+72AC	1.87	厌餍、猷羑、菟葖
𠆢	U+201A2	1.89	云耘、孵稃、愈悆、系穄、馝秘
山	U+5C71	1.89	临嶙、岂屺、岘见、嵯鹾、巍嵬
小	U+5C0F	1.91	其綦、惊憬、漯泺、祢祕、积穄、薸蔈
三	U+4E09	1.92	岠岨、苣苴、鏊聱
殳	U+6BB3	1.96	搬扳、縠觳、股臌、鼓毂榖
攵	U+6535	1.99	洨滧、皎敫皦、缴绞
儿	U+513F	2.14	慌恍、无兀、毛貌
疒	U+7592	2.43	庾瘐、疱庖、痔庤、麈疰
忄	U+5FC4	2.44	性惺、惊憬、祚怍、祜怙、祾㥄、良悢
马	U+9A6C	2.47	吗骂、录𫘧、肃骕、驰弛、骜鏊
灬	U+706C	2.50	俵儦、嫣嬿、孰熟、执摭、焦僬、餍黡
石	U+77F3	2.52	刑硎、曹𥕢、牙砑、碗豌
己	U+5DF1	2.57	岂屺、杞桤、继纪、芪芑
刂	U+5202	2.58	例俐、侨劁、济瀱、蓟荠、钘铏
辶	U+8FB6	2.79	不逋、录逯、提擿、遭枣、随隧
工	U+5DE5	3.10	噬嘘、查槎、渣溠、蚯蝤、鹉鹀
子	U+5B50	3.15	子孖、浮滏、潺澶、荐菅、蝣蝤、銮孪
𰀁	U+30001	3.21	养羊、墉埇、鳙鲬
米	U+7C73	3.67	梁粱、籽孳、粑羓、糍兹、糕羔、蘖糵
亠	U+4EA0	3.70	坦坍、帝禘、弈祎、效敩、永饔、瓤禳、赢嬴
鸟	U+9E1F	3.71	一鹝、亚鸦、应鹰、莺蓥、銮鸾
女	U+5973	4.16	以姨、嫣嬿、母姆、蚩媸、銮娈
⺈	U+2E88	4.23	包饱、向饷、觫𫗧、负𫖯、馊飕、馏飗
𠂉	U+20089	4.42	先筅、凰篁、匀筠、及笈、告筶、生笙、笺篯、造簉
廿	U+5EFF	4.43	芜靰、芭靶、茉靺、荐鞯、荞鞒、菊鞠、鞑荙
八	U+516B	4.58	共恭、拔扒、拣搛、棋槭、添淟、瑟璱、箕笈、缄缣、馝秘
古	U+53E4	4.62	局居、橘椐、牯牿、锯锔
束	U+675F	4.77	正整、觫𫗧、赖赉
阝	U+961D	4.78	庸鄘、弁𨚕、由邮、皮陂、舒鄃、郦鬲、陨𫖳、随隧
目	U+76EE	4.84	晞睎、暝瞑、盱旴、眩昡、眬昽、睽暌、瞳曈、𬀪𪾢
火	U+706B	4.99	兰烂、湫泅、炎焱、煊烜、羊烊、羲爔、遂燧、𬊤单
	U+E0C8	5.25	两辆、职轵、至轾、轿斠、辅甫
人	U+4EBA	5.32	俍俩、嗨咳、次瓷、欧瓯、漱沭、苏蔌、苡荑、莨𬜯、认讱
扌	U+624C	5.60	到捯、囊攮、忝掭、拣搛、拧聍、挟揳、捍扞、掷郅、揪鬏、耶揶、蛰蜇、鬓摈、鬟擐
亻	U+4EBB	5.66	久僦、件牮、佰伯、例俐、俱飓、候侯、像象、及伋、焦僬、甸佃、躺倘
㇏	U+31CF	5.79	之祗禔、卦坬、哺卟、堤坻、怵憷、抵提、棣柢、浦瀑、笺篯、芨蕺、莨蒗、葡蒲莆蒱、赢嬴、黍秫、黻黼
艹	U+8279	6.15	卖荬、南萳、博薄、摹藦、老荖、耄芼、芒茫、芘蓖、芝疐、芨蕺、苟耇、苡荑、荔苈、荜萆、荷菏、莨蒗、萍苹、葡蒲莆蒱、蒉𫠆、蕾藟、薸蔈、韩菡、骗骈
讠	U+8BA0	6.20	义议、祖诅、禋𬤇、词祠、详祥、诳诓、谛禘
二	U+4E8C	6.27	任仁、哩喱、喳咋、揸拃、澧浬、甫韨、积穄、薸蔈、鲤鳢
囗	U+56D7	6.32	严酽、噎咽、园圆圜、图凸、囿卣、圉圄、淫洇、酊耵
木	U+6728	6.37	南楠、博欂、支枝、杞桤、枥朸、枸耇、柒洓、梣棽、楂查、榈梠、榨柞、直植、老栳、考栲
龶	U+9FB6	6.56	亚雅、性惺、灌涫、瓘琯、生笙、稚稙、管罐、萑荁
寸	U+5BF8	7.21	树术、浦溥、澍沭、缚绂、蔚葳、钹镈、鳚鳂
宀	U+5B80	7.43	宓祕、州宙、祎宧、神审、福富、窕祧
大	U+5927	7.91	候侯、哦噢、奕裛、挟揳、换擐、柢杕、樊梵、涣澴、漾泱、膜脉、误诬、银铟、阙阕
鱼	U+9C7C	8.30	免𩾃、危𬶏、暨𬶨、蚀鲺、觿𬶮、饰𫚕、饱鲍、饺鲛、馆鳤、鲀饨、鳌鏊、鳗馒、鳣𫗴
心	U+5FC3	8.32	优悠、太态、忍刃、恙羕、想橡、愈悆、汲㴔、澴漶、熄爔、螅蟋、诲𬤝、𫫇哦
又	U+53C8	8.62	伎伋、友尤、服脯、淑沭、溆㳚、缓缳、肢胝、芄蔓、谖𫍽、钹𬭛、锾镮
日	U+65E5	8.67	俭僭、单禅、嗜嘘、囫昒、围韪𬀩、囹昤、旧韭、晴圊、暂錾、暄晅、暑曙、暗黯、暴曝、植榰、渚潴、禅单、著苎、诸𬣞
土	U+571F	8.85	乾墘、值侄、坚鉴、垭堐、墒垧、暨堲、桂柜、植桎、橙柽、澶瀍、直埴、者赭、耋垤、蓥茔、趟埫
