附属根	codepoint	宿主	代价	依据	是否采纳
⺋	U+2E8B	巴	0.000	⺋→巴	✓
乂	U+4E42	㐅	0.000	jd1官方	✓
可	U+53EF	丁	0.000	jd1官方	✓
夂	U+5902	文	0.000	jd1官方	✓
弋	U+5F0B	戈	0.000	jd1官方	✓
死	U+6B7B	夕	0.000	jd1官方	✓
牜	U+725C	牛	0.000	jd1官方	✓
犬	U+72AC	犭	0.000	jd1官方	✓
甘	U+7518	廿	0.000	jd1官方	✓
白	U+767D	臼	0.000	jd1官方	✓
门	U+95E8	冂	0.000	jd1官方	✓
	U+E0C6	足	0.000	jd1官方	✓
	U+E0C8	车	0.000	jd1官方	✓
心	U+5FC3	忄	0.001	jd1官方	✓
龴	U+9FB4	厶	0.001	jd1官方	✓
己	U+5DF1	巴	0.002	jd1官方	✓
歹	U+6B79	夕	0.002	jd1官方	✓
⺌	U+2E8C	小	0.002	小字头→小	✓
巳	U+5DF3	巴	0.003	jd1官方	✓
覀	U+8980	西	0.003	jd1官方	✓
言	U+8A00	讠	0.003	jd1官方	✓
攵	U+6535	文	0.004	jd1官方	✓
自	U+81EA	目	0.004	jd1官方	✓
	U+E0D2	月	0.004	jd1官方	✓
冖	U+5196	宀	0.005	jd1官方	✓
廴	U+5EF4	辶	0.006	jd1官方	✓
厂	U+5382	广	0.010	jd1官方	✓
三	U+4E09	二	0.014	jd1官方	✓
㇈	U+31C8	5	0.015	横折钩→折	✓
刂	U+5202	刀	0.019	jd1官方	✓
𠆢	U+201A2	人	0.026	人字头→人	✓
阝	U+961D	卩	0.615	jd1官方	✓
丷	U+4E37	八	0.634	jd1官方	✓
千	U+5343	干	0.634	jd1官方	✓
亠	U+4EA0	宀	1.230	jd1官方	
士	U+58EB	土	1.237	jd1官方	
龶	U+9FB6	王	1.820	jd1官方	
㇒	U+31D2	3	1.858	平撇→撇	
㇏	U+31CF	4	5.789	捺→点	
