字	官方	重算
䥽	podh	podl
乘	igmu	igmh
了	lnrp	lerp
仔	zixa	zdxa
价	jpxp	jxxp
伯	boxs	bdxs
似	sixe	uixe
佛	fuxp	foxp
俄	eexa	eexh
俩	llxe	lxxe
偭	mmxd	mmxu
偻	lvxy	lzxy
儴	rhxd	rhxh
其	qivf	qizf
制	vibi	viui
剕	fwpi	fwli
剥	bosi	bcsi
劲	jkru	jbru
勘	kjvu	kjzu
匆	csuh	csih
单	djfs	ijfs
南	njsm	nasm
卜	buph	boph
卣	yzpr	yzpd
卿	qkuh	qkub
发	farh	farl
咋	vaou	zaou
哀	aiio	aiih
哦	eeoa	eeoh
哪	neob	naob
啁	vzoo	vcoo
啜	iool	ikol
嚷	rhod	rhoh
嚼	jtok	jnok
圙	ltnd	ltnu
地	diga	dega
埋	mjgg	mdgg
基	jivg	jizg
墉	ysgi	ysgp
壤	rhgd	rhgh
夥	howf	hovf
奘	vlrx	zhrx
奭	uixo	uish
娥	eeya	eeyh
嬴	ykiy	ykih
尺	iiqh	ieqh
峨	eepa	eeph
嵊	ugpu	ugph
嶲	xipr	xipo
差	cifp	iafp
帱	dcyk	izyk
废	fwrh	fwrl
庸	ysri	ysrp
彀	gzgr	gzgk
微	wwhi	wwhj
徵	viha	vihj
徽	hvhi	hvhj
悲	bwpn	bwln
惎	jivn	jizn
愐	mmnd	mmnu
愚	yuwn	yuvn
慵	ysni	ysnp
我	woua	wouh
戡	kjva	kjza
戢	jioa	jioh
戽	huhs	huhp
扎	vajr	zajr
抖	dzjs	dzjp
抹	moje	maje
拓	tojt	tajt
拨	bojh	bojl
择	vdjp	zejp
拶	zjjf	zajf
拾	uijo	uejo
捋	lojk	lvjk
掣	iebo	ieuo
摩	modo	mado
攘	rhjd	rhjh
斐	fwpj	fwlj
斗	dzhs	dzkp
料	lnls	lnlp
斛	hugs	hugp
斜	xpes	xpep
斝	jxos	jxop
斟	vfvs	vfzp
斠	jnds	jndp
斡	woss	wosp
斯	sivp	sizp
曦	xiva	xivh
曩	nhvd	nhvh
期	jivl	jizl
朴	puwh	pnwh
杉	ujwu	uawu
果	goww	govw
棐	fwpw	fwlw
棱	lkwj	lgwj
榖	gugw	gugk
榱	cvwd	cvwh
槟	bkwf	bbwf
槲	huws	huwp
模	muwx	mowx
櫆	kvws	kvwp
欺	qive	qize
殷	ybuk	yjuk
毂	gugt	gugk
毅	yiik	yibk
泼	pokh	pokl
洗	xmkk	xikk
涐	eeka	eekh
湎	mmkd	mmku
滚	gykp	gykh
澄	dgkd	igkd
瀛	ykky	ykkh
瀼	rhkd	rhkh
熏	xymn	xyun
熨	yyqt	yuqt
爔	xita	xith
爽	ulsy	ulsh
瓖	xlad	xlah
甚	ufvr	ufzr
