字	官方首	官方末	重算首	重算末
七	七	七	1	5
丈	十	捺	十	4
下	1	捺	1	4
不	1	捺	1	4
与	1	1	与	与
专	二	捺	二	4
东		八	1	小
丝	丝	丝	纟	纟
丧	十	捺	十	4
丬	⺦	⺦	丬	丬
中	ㇿ	2	口	2
串	ㇿ	2	口	2
临	2	1	2	2
丶	捺	捺	4	4
丸	3	捺	3	4
丹	⺆	宀	冂	宀
主	宀	土	4	王
丼	二	捺	二	4
丽	1	捺	1	月
举	⺍	2		2
乀	捺	捺	4	4
久	3	捺	3	4
义	捺	㐅	4	㐅
之	捺	捺	4	4
乍	人	二	亻	二
乏	3	捺	3	4
乐	3	八	3	小
乓	3	捺	3	4
乘	干	八	干	4
也	5	5	也	也
书	5	捺	5	4
乧	捺	5	氵	5
买	5	大	5	人
乳	⺤	5		5
乸	5	捺	也	4
争	⺈	2		2
亍	二	2	1	丁
于	于	于	二	2
亦	宀	八	宀	小
京	宀	八	宀	小
亲	立	八	立	木
亳	宀	七	宀	5
亵	宀	捺	宀	4
仆	亻	捺	亻	4
仓	人	⺋	人	巴
他	亻	5	亻	也
仗	亻	捺	亻	4
仞	亻	捺	亻	4
仵	亻	干	亻	十
伋	亻	捺	亻	4
优	亻	捺	亻	4
传	亻	捺	亻	4
伥	亻	捺	亻	长
伧	亻	⺋	亻	巴
伬	亻	捺	亻	4
估	亻	ㇿ	亻	古
伱	亻	八	亻	小
伴	亻	十	亻	2
伺	亻	ㇿ	亻	口
伽	亻	ㇿ	亻	口
佁	亻	ㇿ	亻	口
低	亻	捺	亻	4
住	亻	土	亻	王
佑	亻	ㇿ	亻	口
佘	人	八	人	小
余	人	八	人	木
佟	亻	捺	亻	4
你	亻	八	亻	小
佣	亻	2	亻	用
佤	亻	捺	亻	4
佧	亻	捺	亻	4
佰	亻	臼	亻	百
佶	亻	ㇿ	亻	口
佸	亻	ㇿ	亻	口
佻	亻	捺	亻	4
侂	亻	七	亻	5
侃	亻	5	亻	巛
例	亻	⺉	亻	刀
侗	亻	ㇿ	亻	口
侘	亻	七	亻	5
侣	亻	ㇿ	亻	口
侧	亻	⺉	亻	刀
侬	亻	捺	亻	4
侮	亻	捺	亻	4
侴	人	⺉	人	刀
係	亻	八	亻	小
俄	亻	捺	亻	4
俅	亻	捺	亻	4
俍	亻	捺	亻	4
俏	亻	月	亻	肖
俐	亻	⺉	亻	刀
俑	亻	2	亻	用
俗	亻	ㇿ	亻	口
俞	人	⺉	人	刀
俪	亻	捺	亻	月
俵	亻	捺	亻	4
個	亻	ㇿ	亻	固
倍	亻	ㇿ	亻	口
倒	亻	⺉	亻	刀
倘	亻	ㇿ	亻	尚
倜	亻	ㇿ	亻	口
倞	亻	八	亻	小
倢	亻		亻	人
倦	亻	⺋	亻	巴
倧	亻	八	亻	小
倨	亻	ㇿ	亻	古
值	亻	二	亻	1
偌	亻	ㇿ	亻	口
偎	亻	捺	亻	4
偶	亻	捺	亻	4
偷	亻	⺉	亻	刀
傃	亻	八	亻	小
傣	亻	⺢	亻	水
傺	亻	八	亻	小
像	亻	捺	亻	4
僖	亻	ㇿ	亻	口
僚	亻	八	亻	小
僦	亻	捺	亻	4
僻	亻	干	亻	辛
儇	亻	捺	亻	4
儳	亻	捺	亻	4
儴	亻	捺	亻	4
兄	ㇿ	儿	口	儿
兆	3	捺	儿	4
先	⺧	儿	牛	儿
光	⺌	儿		儿
克	十	儿	古	儿
免	⺈	儿		儿
兔	⺈	捺		4
党	⺌	儿		儿
兜	3	儿	臼	儿
兢	十	儿	古	儿
入	入	入	3	4
共	⺾	八	艹	八
兴	⺍	八		八
其		八	艹	八
兽	八	ㇿ	八	口
冁	八	捺	八	4
冏	冂	ㇿ	冂	口
冒		目	2	目
冔		于	2	2
冕		儿	2	儿
写	宀	1	宀	与
农	宀	捺	宀	4
冢	宀	捺	宀	4
冤	宀	捺	宀	4
冬	文	捺	文	4
冶	冫	ㇿ	冫	口
冻	冫	八	冫	小
冽	冫	⺉	冫	刀
凉	冫	八	冫	小
凋	冫	ㇿ	冫	口
减	冫	捺	冫	4
凛	冫	八	冫	小
凝	冫		冫	人
凡	几	捺	几	4
凣	捺	几	2	几
击	二	山	土	山
刂	⺉	⺉	刀	刀
刃	刀	捺	刀	4
切	七	刀	1	刀
刈	㐅	⺉	㐅	刀
刊	干	⺉	干	刀
刍	⺈	⺕		彐
刎	勿	⺉	勿	刀
刑	二	⺉	1	刀
划	戈	⺉	戈	刀
刖	月	⺉	月	刀
列	夕	⺉	夕	刀
刘	文	⺉	文	刀
则	贝	⺉	贝	刀
刚	冂	⺉	冂	刀
创	人	⺉	人	刀
初	⻂	刀	衤	刀
删	册	⺉	册	刀
判	八	⺉	八	刀
刨	3	⺉	3	刀
利	3	⺉	3	刀
别	ㇿ	⺉	口	刀
刬	戈	⺉	戈	刀
刭	5	⺉	5	刀
刮	干	⺉	干	刀
到	1	⺉	1	刀
刳	大	⺉	大	刀
制	牛	⺉	3	刀
刷	尸	⺉	尸	刀
刹	㐅	⺉	㐅	刀
刺	1	⺉	1	刀
刻	宀	⺉	宀	刀
刽	人	⺉	人	刀
刿	山	⺉	山	刀
剀	山	⺉	山	刀
剁	几	⺉	几	刀
剂	文	⺉	文	刀
剃	八	⺉	八	刀
剅	1	⺉	1	刀
削	⺌	⺉	肖	刀
剌	1	⺉	束	刀
前	八	⺉	八	刀
剐	ㇿ	⺉	口	刀
剑	人	⺉	人	刀
剔	日	⺉	日	刀
剕	2	⺉	丬	刀
剖	立	⺉	立	刀
剜	宀	⺉	宀	刀
剞	大	⺉	大	刀
剟	又	⺉	又	刀
剡	火	⺉	火	刀
剥	⼹	⺉	彐	刀
剧	尸	⺉	尸	刀
剩	干	⺉	干	刀
副	1	⺉	1	刀
割	宀	⺉	宀	刀
剽	西	⺉	西	刀
剿	5	⺉	巛	刀
劁	亻	⺉	亻	刀
劂	广	⺉	广	刀
劄		⺉		刀
劏	⺌	⺉		刀
劐	⺾	⺉	艹	刀
劓	目	⺉	目	刀
办	力		力	4
加	力	ㇿ	力	口
劣	2	力	小	力
劳	⺾	力	艹	力
势	⺘	力	扌	力
勉	⺈	力		力
勋	ㇿ	力	口	力
勖		力	2	力
勘		力	艹	力
募	⺾	力	艹	力
勺	3	捺	3	4
匆	勿	捺	勿	4
匍	3	捺	3	4
半	八	十	八	2
卌	2	1	艹	2
协	十		十	4
卖	十	大	十	人
卜	2	捺	2	4
卞	宀	捺	宀	4
卟	ㇿ	捺	口	4
占	2	ㇿ	2	口
卡	2	捺	2	4
卦	土	捺	土	4
卧	1	捺	1	4
卮	3	⺋	3	巴
危	⺈	⺋		巴
即	⺕	卩	彐	卩
卵	3	捺	3	4
卷	八	⺋	八	巴
卺	5	⺋	5	巴
厄	广	⺋	广	巴
压	广	捺	广	4
厕	广	⺉	广	刀
厖	广	捺	广	4
原	广	八	广	小
叉	又	捺	又	4
及	3	捺	3	4
发	5	捺	5	又
受	⺤	又		又
口	ㇿ	ㇿ	口	口
古	十	ㇿ	古	古
另	ㇿ	力	口	力
叨	ㇿ	刀	口	刀
叩	ㇿ	卩	口	卩
只	ㇿ	八	口	八
叫	ㇿ	2	口	2
召	刀	ㇿ	刀	口
叭	ㇿ	八	口	八
叮	ㇿ	丁	口	丁
台	厶	ㇿ	厶	口
叱	ㇿ	匕	口	匕
史	ㇿ	㐅	口	㐅
右	十	ㇿ	十	口
叶	ㇿ	十	口	十
号	ㇿ	5	口	5
司	5	ㇿ	5	口
叹	ㇿ	又	口	又
叻	ㇿ	力	口	力
叼	ㇿ	1	口	1
叽	ㇿ	几	口	几
吁	ㇿ	于	口	2
吃	ㇿ	5	口	5
各	文	ㇿ	各	各
吆	ㇿ	厶	口	厶
合	人	ㇿ	人	口
吉	土	ㇿ	土	口
吊	ㇿ	巾	口	巾
吋	ㇿ	寸	口	寸
同	冂	ㇿ	冂	口
名	夕	ㇿ	夕	口
后	3	ㇿ	3	口
吐	ㇿ	土	口	土
向	3	ㇿ	3	口
吒	ㇿ	七	口	5
吓	ㇿ	捺	口	4
吔	ㇿ	5	口	也
吕	ㇿ	ㇿ	口	口
吖	ㇿ	2	口	2
吗	ㇿ	马	口	马
君	5	ㇿ	5	口
吝	文	ㇿ	文	口
吞	二	ㇿ	1	口
吟	ㇿ	5	口	5
吠	ㇿ	犭	口	犭
吡	ㇿ	匕	口	匕
吣	ㇿ	忄	口	忄
否	1	ㇿ	1	口
吧	ㇿ	巴	口	巴
吨	ㇿ	5	口	5
吩	ㇿ	刀	口	刀
含	人	ㇿ	人	口
听	ㇿ	2	口	2
吭	ㇿ	几	口	几
吮	ㇿ	儿	口	儿
启	户	ㇿ	4	口
吱	ㇿ	又	口	又
吲	ㇿ	2	口	2
吴	ㇿ	大	口	大
吵	ㇿ	3	口	小
吸	ㇿ	捺	口	4
吹	ㇿ	人	口	人
吻	ㇿ	勿	口	勿
吼	ㇿ	5	口	5
吽	ㇿ	牛	口	牛
吾	五	ㇿ	五	口
呀	ㇿ	3	口	3
呃	ㇿ	⺋	口	巴
呆	ㇿ	木	口	木
呇	水	ㇿ	水	口
呈	ㇿ	王	口	王
告	⺧	ㇿ	牛	口
呋	ㇿ	夫	口	人
呐	ㇿ	人	口	人
呒	ㇿ	儿	口	儿
呓	ㇿ	5	口	5
呔	ㇿ	捺	口	4
呕	ㇿ	5	口	5
呖	ㇿ	力	口	力
呗	ㇿ	贝	口	贝
员	ㇿ	贝	口	贝
呙	ㇿ	人	口	人
呛	ㇿ	⺋	口	巴
呜	ㇿ	1	口	1
呢	ㇿ	匕	口	匕
呣	ㇿ	捺	口	4
呤	ㇿ	厶	口	厶
呦	ㇿ	力	口	力
周	⺆	ㇿ	冂	口
呯	ㇿ	十	口	十
呱	ㇿ	捺	口	4
呲	ㇿ	匕	口	匕
味	ㇿ	未	口	未
呵	ㇿ	丁	口	丁
呶	ㇿ	又	口	又
呷	ㇿ	2	口	2
呸	ㇿ	1	口	1
呻	ㇿ	2	口	2
呼	ㇿ	2	口	2
咀	ㇿ	二	口	二
咁	ㇿ	廿	口	廿
咂	ㇿ	5	口	5
咄	ㇿ	山	口	山
咆	ㇿ	巴	口	巴
咇	ㇿ	3	口	3
咉	ㇿ	大	口	大
咋	ㇿ	二	口	二
和	3	ㇿ	3	口
咍	ㇿ	ㇿ	口	口
咎	文	ㇿ	文	口
咏	ㇿ	捺	口	4
咐	ㇿ	付	口	付
咒	ㇿ	几	口	几
咔	ㇿ	捺	口	4
咕	ㇿ	ㇿ	口	古
咖	ㇿ	ㇿ	口	口
咗	ㇿ	工	口	工
咙	ㇿ	捺	口	4
咚	ㇿ	捺	口	4
咛	ㇿ	丁	口	丁
咝	ㇿ	丝	口	纟
