部件	codepoint	用字数	首末位用字数
口	U+53E3	987	679
一	U+4E00	622	233
艹	U+8279	545	426
木	U+6728	536	478
氵	U+6C35	521	485
日	U+65E5	484	236
土	U+571F	418	331
月	U+6708	357	295
亻	U+4EBB	347	274
扌	U+624C	319	293
大	U+5927	303	157
丿	U+4E3F	296	89
钅	U+9485	266	262
女	U+5973	264	245
十	U+5341	262	164
王	U+738B	249	232
人	U+4EBA	247	107
又	U+53C8	243	164
宀	U+5B80	229	80
丶	U+4E36	225	152
田	U+7530	220	100
丷	U+4E37	212	83
阝	U+961D	197	183
山	U+5C71	193	156
虫	U+866B	193	192
冖	U+5196	181	15
火	U+706B	179	169
纟	U+7E9F	175	167
八	U+516B	170	77
讠	U+8BA0	165	157
心	U+5FC3	163	145
刂	U+5202	161	127
辶	U+8FB6	158	158
贝	U+8D1D	158	140
厶	U+53B6	153	67
忄	U+5FC4	151	147
石	U+77F3	142	142
寸	U+5BF8	140	127
儿	U+513F	137	113
禾	U+79BE	134	95
目	U+76EE	134	111
冂	U+5182	133	14
匕	U+5315	132	89
⺮	U+2EAE	132	127
勹	U+52F9	131	16
尸	U+5C38	131	66
白	U+767D	130	67
米	U+7C73	129	65
亠	U+4EA0	127	40
攵	U+6535	122	82
鱼	U+9C7C	122	113
力	U+529B	121	98
足	U+8DB3	113	109
囗	U+56D7	112	28
隹	U+96B9	112	77
厂	U+5382	109	38
⺈	U+2E88	104	29
鸟	U+9E1F	104	103
冫	U+51AB	103	70
子	U+5B50	102	72
疒	U+7592	102	100
广	U+5E7F	101	64
巾	U+5DFE	101	90
䒑	U+4491	98	25
𠂇	U+20087	94	17
刀	U+5200	94	38
小	U+5C0F	93	76
	U+E40E	91	53
工	U+5DE5	89	70
曰	U+66F0	87	44
马	U+9A6C	87	87
犭	U+72AD	87	81
羽	U+7FBD	86	58
彡	U+5F61	85	61
⺊	U+2E8A	84	20
夕	U+5915	84	38
龶	U+9FB6	82	34
爫	U+722B	82	19
𠂉	U+20089	81	13
亼	U+4EBC	79	21
罒	U+7F52	79	22
戈	U+6208	78	55
士	U+58EB	78	40
皿	U+76BF	77	70
门	U+95E8	76	55
方	U+65B9	76	54
酉	U+9149	76	60
丨	U+4E28	75	38
⺌	U+2E8C	73	15
二	U+4E8C	73	11
示	U+793A	73	61
㐅	U+3405	71	33
乂	U+4E42	69	50
立	U+7ACB	68	35
耳	U+8033	68	39
页	U+9875	68	65
夫	U+592B	68	28
⻗	U+2ED7	67	35
欠	U+6B20	63	56
⺋	U+2E8B	63	57
斤	U+65A4	62	45
衤	U+8864	62	62
廾	U+5EFE	61	50
古	U+53E4	60	49
灬	U+706C	59	53
牜	U+725C	59	29
	U+E497	58	7
	U+E46E	58	50
ㄅ	U+3105	57	46
止	U+6B62	57	28
几	U+51E0	56	36
夂	U+5902	56	17
亽	U+4EBD	56	13
	U+E440	55	14
龷	U+9FB7	55	7
臼	U+81FC	55	24
穴	U+7A74	52	37
㇏	U+31CF	52	15
幺	U+5E7A	52	26
覀	U+8980	51	13
乙	U+4E59	51	49
氺	U+6C3A	51	31
衣	U+8863	51	32
豕	U+8C55	50	30
彐	U+5F50	50	27
可	U+53EF	49	46
矢	U+77E2	49	36
户	U+6237	49	29
艮	U+826E	47	43
弓	U+5F13	47	32
犬	U+72AC	46	32
业	U+4E1A	46	22
礻	U+793B	46	46
龴	U+9FB4	46	27
饣	U+9963	46	46
耂	U+8002	45	8
	U+E4C4	45	33
	U+E446	45	9
夊	U+590A	45	43
	U+E4BD	45	7
	U+E415	45	11
丰	U+4E30	44	21
凵	U+51F5	43	36
廿	U+5EFF	43	8
干	U+5E72	43	30
⺁	U+2E81	42	12
里	U+91CC	41	37
革	U+9769	41	35
	U+E499	40	11
予	U+4E88	40	24
匚	U+531A	40	11
而	U+800C	39	34
舟	U+821F	39	37
自	U+81EA	38	17
车	U+8F66	38	30
匸	U+5338	38	15
束	U+675F	38	13
殳	U+6BB3	37	29
音	U+97F3	37	17
糸	U+7CF8	37	36
彳	U+5F73	36	27
见	U+89C1	36	35
千	U+5343	36	16
歹	U+6B79	36	27
九	U+4E5D	36	19
用	U+7528	35	14
戊	U+620A	35	10
㇗	U+31D7	35	17
⺶	U+2EB6	34	14
巴	U+5DF4	34	34
	U+E449	34	27
禸	U+79B8	34	30
未	U+672A	33	24
言	U+8A00	33	31
廴	U+5EF4	33	32
巳	U+5DF3	33	27
云	U+4E91	32	29
非	U+975E	32	30
且	U+4E14	32	31
	U+E42F	32	31
甫	U+752B	32	20
㇆	U+31C6	31	14
卜	U+535C	31	24
疋	U+758B	31	26
各	U+5404	31	29
	U+E4AA	31	14
六	U+516D	31	12
乛	U+4E5B	31	8
豆	U+8C46	31	25
	U+E4C5	30	30
弋	U+5F0B	30	10
辛	U+8F9B	30	17
	U+E858	29	1
牛	U+725B	29	29
	U+E431	28	20
	U+E4B5	28	3
	U+E4CC	28	13
句	U+53E5	28	21
己	U+5DF1	27	22
由	U+7531	27	20
丁	U+4E01	27	27
	U+E44D	27	7
氏	U+6C0F	27	10
至	U+81F3	26	24
㇒	U+31D2	26	3
母	U+6BCD	26	20
	U+E47C	26	20
𡭔	U+21B54	26	4
缶	U+7F36	26	23
毛	U+6BDB	26	26
不	U+4E0D	25	16
文	U+6587	25	24
羊	U+7F8A	25	20
卩	U+5369	25	19
水	U+6C34	25	16
㠯	U+382F	25	12
㐄	U+3404	25	19
屮	U+5C6E	24	5
生	U+751F	24	23
皮	U+76AE	24	23
	U+E432	24	1
鬼	U+9B3C	24	23
	U+E48F	24	16
虍	U+864D	24	9
气	U+6C14	23	23
五	U+4E94	23	5
	U+E4B6	22	21
	U+E4A6	22	9
支	U+652F	22	20
乃	U+4E43	22	20
龙	U+9F99	22	22
肀	U+8080	22	2
骨	U+9AA8	22	22
乍	U+4E4D	21	21
舌	U+820C	21	21
	U+E4D0	21	5
	U+E402	21	3
七	U+4E03	21	16
韦	U+97E6	21	21
亡	U+4EA1	21	17
⺆	U+2E86	20	4
谷	U+8C37	20	19
	U+E748	20	13
亾	U+4EBE	20	17
癶	U+7676	20	4
镸	U+9578	20	19
耒	U+8012	20	17
走	U+8D70	19	18
	U+E870	19	9
ㄋ	U+310B	19	0
	U+E455	19	6
	U+E43A	19	16
	U+E450	19	2
齿	U+9F7F	19	19
尤	U+5C24	18	13
ス	U+30B9	18	5
斗	U+6597	18	17
⺇	U+2E87	18	9
甘	U+7518	18	14
	U+E489	18	14
	U+E417	18	3
巛	U+5DDB	18	6
鹿	U+9E7F	18	14
	U+E46A	17	14
行	U+884C	17	16
手	U+624B	17	17
⺷	U+2EB7	17	9
聿	U+807F	17	9
	U+E490	17	14
牙	U+7259	17	15
辰	U+8FB0	17	10
	U+E414	17	17
瓜	U+74DC	17	17
也	U+4E5F	16	15
高	U+9AD8	16	15
金	U+91D1	16	16
亥	U+4EA5	16	16
麻	U+9EBB	16	10
光	U+5149	15	15
	U+E5AC	15	13
黑	U+9ED1	15	14
	U+E464	15	2
コ	U+30B3	15	12
曲	U+66F2	15	3
瓦	U+74E6	15	15
豸	U+8C78	15	13
	U+E498	14	6
コト	U+30B3+U+30C8	14	2
	U+E4C8	14	14
	U+E580	14	4
	U+E4A9	14	5
	U+E4A1	14	0
丬	U+4E2C	13	9
𢎨	U+223A8	13	10
老	U+8001	13	8
	U+E42C	13	4
壴	U+58F4	13	5
	U+E524	13	1
	U+E56B	13	3
彑	U+5F51	13	5
鬲	U+9B32	13	11
丌	U+4E0C	13	7
两	U+4E24	12	10
西	U+897F	12	12
及	U+53CA	12	12
	U+E4C0	12	12
齐	U+9F50	12	12
	U+E441	12	5
川	U+5DDD	12	12
尚	U+5C1A	12	12
	U+E459	12	3
㡀	U+3840	12	7
虎	U+864E	12	11
了	U+4E86	11	9
长	U+957F	11	11
民	U+6C11	11	9
	U+E439	11	2
仑	U+4ED1	11	11
弗	U+5F17	11	10
甲	U+7532	11	11
	U+E413	11	0
	U+E4E4	10	3
	U+E495	10	4
黄	U+9EC4	10	10
旡	U+65E1	10	5
	U+E48A	10	3
	U+E8C3	10	10
	U+E82D	10	5
	U+E863	10	0
	U+E460	10	9
三	U+4E09	9	9
身	U+8EAB	9	6
朩	U+6729	9	5
	U+E46F	9	4
	U+E42A	9	2
	U+E478	9	1
无	U+65E0	8	8
井	U+4E95	8	7
面	U+9762	8	8
	U+E479	8	3
食	U+98DF	8	8
	U+E48B	8	7
	U+E41C	8	5
卯	U+536F	8	8
鼠	U+9F20	8	8
乡	U+4E61	8	2
	U+E430	7	0
之	U+4E4B	7	7
	U+E4CF	7	1
片	U+7247	7	6
	U+E4E9	7	1
⺄	U+2E84	7	3
⺗	U+2E97	7	7
龰	U+9FB0	7	7
兔	U+5154	7	7
	U+E4CD	6	0
	U+E488	6	2
臣	U+81E3	6	5
册	U+518C	6	6
	U+E472	6	6
爿	U+723F	6	4
	U+E5C5	5	1
	U+E4C7	5	4
	U+E43E	5	1
黾	U+9EFE	5	5
	U+E4C2	5	4
	U+E462	5	4
侖	U+4F96	5	2
象	U+8C61	4	4
	U+E410	4	1
丩	U+4E29	4	4
	U+E422	4	4
爪	U+722A	4	4
	U+E4BF	4	0
毌	U+6BCC	4	2
	U+E429	4	3
	U+E44C	4	0
歺	U+6B7A	4	2
尢	U+5C22	4	4
乌	U+4E4C	4	4
龵	U+9FB5	3	2
	U+E420	3	2
四	U+56DB	3	3
戉	U+6209	3	3
	U+E4A8	3	0
	U+E955	3	0
	U+E4E5	3	1
	U+E4D1	3	0
	U+E4B4	3	3
龸	U+9FB8	3	1
攴	U+6534	3	3
𠂔	U+20094	3	3
	U+E408	3	3
	U+E4BC	3	3
	U+E452	3	3
	U+E951	3	0
	U+E936	3	0
入	U+5165	2	2
	U+E830	2	0
	U+E8E0	2	2
	U+E44F	2	1
雨	U+96E8	2	2
	U+E48C	2	2
	U+E8EB	2	0
	U+E589	2	1
𩵋	U+29D4B	2	2
⺪	U+2EAA	2	1
卵	U+5375	2	2
	U+E407	2	0
㐆	U+3406	2	1
㇂	U+31C2	2	0
	U+E4DD	2	2
	U+E456	2	2
⺿	U+2EBF	2	2
	U+E46B	1	1
	U+E405	1	1
	U+E4C1	1	1
已	U+5DF2	1	1
飞	U+98DE	1	1
	U+E8D8	1	1
	U+E4D3	1	1
习	U+4E60	1	1
	U+E477	1	1
卌	U+534C	1	0
	U+E493	1	1
竹	U+7AF9	1	1
	U+E433	1	0
	U+E532	1	0
	U+E4A0	1	1
	U+E443	1	1
	U+E592	1	1
	U+E5AD	1	0
釒	U+91D2	1	0
巜	U+5DDC	1	1
龟	U+9F9F	1	1
	U+E80E	1	0
	U+E48D	1	1
	U+E5BC	1	1
車	U+8ECA	1	1
亍	U+4E8D	1	1
毋	U+6BCB	1	1
	U+E4DE	1	0
戶	U+6236	1	0
⺼	U+2EBC	1	1
