部件	codepoint	键	类型	备注
一	U+4E00	d	主根	
丨	U+4E28	p	主根	
丿	U+4E3F	u	主根	
丶	U+4E36	h	主根	
乙	U+4E59	r	主根	
巴	U+5DF4	t	主根	
忄	U+5FC4	n	主根	
止	U+6B62	r	主根	
卩	U+5369	b	主根	
勿	U+52FF	i	主根	
工	U+5DE5	p	主根	
㐅	U+3405	y	主根	
干	U+5E72	m	主根	
	U+E820	r	主根	
丁	U+4E01	j	主根	
未	U+672A	e	主根	
车	U+8F66	t	主根	
山	U+5C71	p	主根	
犭	U+72AD	b	主根	
几	U+51E0	i	主根	
臼	U+81FC	s	主根	
册	U+518C	j	主根	
足	U+8DB3	q	主根	
四	U+56DB	a	主根	
百	U+767E	o	主根	
片	U+7247	i	主根	
骨	U+9AA8	c	主根	
长	U+957F	h	主根	
厉	U+5389	e	主根	
鸟	U+9E1F	c	主根	
二	U+4E8C	u	主根	
又	U+53C8	l	主根	
田	U+7530	w	主根	
冫	U+51AB	f	主根	
口	U+53E3	o	主根	
古	U+53E4	e	主根	
小	U+5C0F	i	主根	
	U+E42D	h	主根	
辶	U+8FB6	q	主根	
用	U+7528	i	主根	
亻	U+4EBB	x	主根	
五	U+4E94	g	主根	
麻	U+9EBB	d	主根	
戈	U+6208	a	主根	
衣	U+8863	k	主根	
巛	U+5DDB	t	主根	
方	U+65B9	f	主根	
火	U+706B	t	主根	
十	U+5341	s	主根	
为	U+4E3A	l	主根	
夕	U+5915	f	主根	
肖	U+8096	g	主根	
寸	U+5BF8	k	主根	
各	U+5404	r	主根	
殳	U+6BB3	k	主根	
高	U+9AD8	d	主根	
女	U+5973	y	主根	
电	U+7535	e	主根	
句	U+53E5	i	主根	
巾	U+5DFE	y	主根	
水	U+6C34	o	主根	
西	U+897F	q	主根	
刀	U+5200	i	主根	
而	U+800C	b	主根	
厶	U+53B6	p	主根	
虫	U+866B	f	主根	
石	U+77F3	t	主根	
辛	U+8F9B	n	主根	
疒	U+7592	m	主根	
月	U+6708	l	主根	
舟	U+821F	t	主根	
马	U+9A6C	z	主根	
文	U+6587	j	主根	
子	U+5B50	a	主根	
丬	U+4E2C	l	主根	
力	U+529B	u	主根	
土	U+571F	g	主根	
豕	U+8C55	d	主根	
王	U+738B	a	主根	
束	U+675F	u	主根	
鬼	U+9B3C	s	主根	
人	U+4EBA	e	主根	
	U+E09E	n	主根	
艹	U+8279	z	主根	
与	U+4E0E	e	主根	
尚	U+5C1A	e	主根	
钅	U+9485	d	主根	
灬	U+706C	n	主根	
大	U+5927	x	主根	
	U+E0BC	g	主根	
扌	U+624C	j	主根	
冂	U+5182	o	主根	
囗	U+56D7	n	主根	
米	U+7C73	l	主根	
失	U+5931	l	主根	
儿	U+513F	k	主根	
付	U+4ED8	w	主根	
