部件	codepoint	用字数	首末位用字数
ㇿ	U+31FF	765	765
捺	U+637A	592	592
丨	U+4E28	525	525
⺡	U+2EA1	475	475
木	U+6728	465	465
乙	U+4E59	433	433
⺾	U+2EBE	424	424
一	U+4E00	409	409
丿	U+4E3F	397	397
八	U+516B	370	370
土	U+571F	362	362
⺘	U+2E98	291	291
日	U+65E5	285	285
亻	U+4EBB	277	277
又	U+53C8	237	237
钅	U+9485	231	231
女	U+5973	230	230
王	U+738B	209	209
十	U+5341	208	208
大	U+5927	202	202
贝	U+8D1D	192	192
虫	U+866B	190	190
山	U+5C71	185	185
月	U+6708	185	185
阝	U+961D	175	175
儿	U+513F	174	174
火	U+706B	167	167
辶	U+8FB6	157	157
人	U+4EBA	152	152
忄	U+5FC4	148	148
⺰	U+2EB0	148	148
讠	U+8BA0	146	146
心	U+5FC3	141	141
石	U+77F3	136	136
	U+E09E	128	128
厶	U+53B6	120	120
宀	U+5B80	114	114
⺉	U+2E89	113	113
寸	U+5BF8	111	111
	U+E0D2	108	108
目	U+76EE	108	108
龶	U+9FB6	106	106
匕	U+5315	104	104
亠	U+4EA0	103	103
鱼	U+9C7C	102	102
疒	U+7592	102	102
三	U+4E09	99	99
	U+E0C6	97	97
丷	U+4E37	96	96
田	U+7530	95	95
力	U+529B	91	91
鸟	U+9E1F	85	85
巾	U+5DFE	84	84
⺈	U+2E88	82	82
攵	U+6535	82	82
⺨	U+2EA8	80	80
乂	U+4E42	79	79
广	U+5E7F	75	75
米	U+7C73	74	74
马	U+9A6C	73	73
工	U+5DE5	71	71
子	U+5B50	70	70
皿	U+76BF	70	70
二	U+4E8C	68	68
西	U+897F	67	67
干	U+5E72	66	66
白	U+767D	65	65
	U+E43D	64	64
灬	U+706C	64	64
尸	U+5C38	64	64
⻂	U+2EC2	63	63
夂	U+5902	62	62
方	U+65B9	57	57
	U+E43A	56	56
习	U+4E60	56	56
⺋	U+2E8B	56	56
门	U+95E8	54	54
	U+E0C8	52	52
止	U+6B62	51	51
厂	U+5382	49	49
⺭	U+2EAD	48	48
几	U+51E0	47	47
可	U+53EF	45	45
冫	U+51AB	45	45
彳	U+5F73	45	45
立	U+7ACB	44	44
廿	U+5EFF	42	42
龴	U+9FB4	42	42
框	U+6846	42	42
	U+F000	41	41
夕	U+5915	40	40
丰	U+4E30	38	38
刀	U+5200	38	38
舟	U+821F	38	38
	U+E078	37	37
巴	U+5DF4	37	37
士	U+58EB	36	36
	U+E0D0	36	36
千	U+5343	34	34
而	U+800C	34	34
臼	U+81FC	34	34
	U+E068	33	33
⺕	U+2E95	32	32
丁	U+4E01	30	30
犬	U+72AC	30	30
言	U+8A00	30	30
廴	U+5EF4	29	29
牜	U+725C	29	29
巳	U+5DF3	29	29
户	U+6237	29	29
⺌	U+2E8C	28	28
牛	U+725B	28	28
⺢	U+2EA2	28	28
文	U+6587	28	28
卩	U+5369	25	25
戈	U+6208	25	25
歹	U+6B79	25	25
夫	U+592B	25	25
鬼	U+9B3C	24	24
车	U+8F66	23	23
气	U+6C14	23	23
骨	U+9AA8	23	23
罒	U+7F52	23	23
己	U+5DF1	22	22
句	U+53E5	20	20
衣	U+8863	20	20
⺤	U+2EA4	19	19
水	U+6C34	19	19
走	U+8D70	19	19
电	U+7535	18	18
	U+E055	18	18
自	U+81EA	18	18
音	U+97F3	17	17
七	U+4E03	16	16
勿	U+52FF	16	16
冖	U+5196	15	15
玉	U+7389	15	15
戋	U+620B	14	14
于	U+4E8E	13	13
朱	U+6731	13	13
覀	U+8980	13	13
甘	U+7518	13	13
付	U+4ED8	12	12
	U+E414	11	11
	U+E0D6	11	11
未	U+672A	11	11
失	U+5931	10	10
足	U+8DB3	10	10
冂	U+5182	10	10
麻	U+9EBB	10	10
⺦	U+2EA6	9	9
弋	U+5F0B	7	7
	U+E079	7	7
末	U+672B	7	7
册	U+518C	6	6
	U+E011	6	6
釆	U+91C6	6	6
五	U+4E94	5	5
厉	U+5389	5	5
	U+E0B2	5	5
⺆	U+2E86	4	4
为	U+4E3A	4	4
	U+E012	4	4
	U+E00C	4	4
	U+E446	4	4
丝	U+4E1D	3	3
入	U+5165	3	3
彐	U+5F50	3	3
	U+E03F	3	3
死	U+6B7B	3	3
	U+E0C1	3	3
	U+E416	2	2
曰	U+66F0	2	2
雨	U+96E8	2	2
已	U+5DF2	1	1
	U+E050	1	1
竹	U+7AF9	1	1
