部件	codepoint	用字数	首末位用字数
口	U+53E3	755	750
氵	U+6C35	489	489
木	U+6728	462	462
艹	U+8279	434	434
土	U+571F	333	333
扌	U+624C	294	294
亻	U+4EBB	286	286
钅	U+9485	268	268
日	U+65E5	261	261
女	U+5973	248	248
{	U+007B	228	52
}	U+007D	228	176
虫	U+866B	197	197
又	U+53C8	189	189
月	U+6708	176	176
十	U+5341	175	175
火	U+706B	174	174
𤣩	U+248E9	173	173
纟	U+7E9F	167	165
讠	U+8BA0	159	159
山	U+5C71	157	157
忄	U+5FC4	150	150
石	U+77F3	145	145
心	U+5FC3	144	144
贝	U+8D1D	142	142
⺼	U+2EBC	140	140
丿	U+4E3F	135	96
竹	U+7AF9	129	129
寸	U+5BF8	128	128
刂	U+5202	125	125
一	U+4E00	123	94
鱼	U+9C7C	119	119
⻏	U+2ECF	118	118
目	U+76EE	117	117
宀	U+5B80	115	115
八	U+516B	108	100
鸟	U+9E1F	105	98
人	U+4EBA	105	105
田	U+7530	104	104
疒	U+7592	102	102
力	U+529B	99	99
大	U+5927	99	97
𧾷	U+27FB7	99	99
辶	U+8FB6	97	97
匕	U+5315	95	95
巾	U+5DFE	93	93
禾	U+79BE	90	90
车	U+8F66	89	89
马	U+9A6C	87	87
攵	U+6535	84	84
亠	U+4EA0	83	83
犭	U+72AD	81	81
右	U+53F3	80	0
隹	U+96B9	76	0
广	U+5E7F	74	74
子	U+5B50	71	71
皿	U+76BF	70	70
⻖	U+2ED6	70	70
灬	U+706C	69	69
小	U+5C0F	67	67
米	U+7C73	67	67
丶	U+4E36	66	60
冫	U+51AB	66	65
王	U+738B	66	66
页	U+9875	65	65
衤	U+8864	64	64
示	U+793A	62	62
尸	U+5C38	62	62
丨	U+4E28	62	44
酉	U+9149	62	62
习	U+4E60	60	60
𠆢	U+201A2	59	59
夂	U+5902	59	59
彡	U+5F61	58	58
旦	U+65E6	58	58
工	U+5DE5	58	58
方	U+65B9	58	58
㔾	U+353E	57	57
儿	U+513F	56	56
欠	U+6B20	55	55
门	U+95E8	55	55
古	U+53E4	54	54
乙	U+4E59	52	52
𧘇	U+27607	52	32
白	U+767D	51	51
几	U+51E0	50	50
礻	U+793B	48	48
丂	U+4E02	47	47
可	U+53EF	47	47
立	U+7ACB	47	47
饣	U+9963	47	47
丷	U+4E37	46	46
斤	U+65A4	46	46
止	U+6B62	46	46
干	U+5E72	46	46
士	U+58EB	45	45
里	U+91CC	45	32
彳	U+5F73	44	44
耳	U+8033	43	41
豕	U+8C55	41	41
夕	U+5915	39	39
艮	U+826E	39	33
厂	U+5382	38	38
⺈	U+2E88	38	37
卄	U+5344	38	38
糸	U+7CF8	37	37
巴	U+5DF4	37	37
舟	U+821F	37	37
雨	U+96E8	37	37
厶	U+53B6	36	36
丁	U+4E01	36	36
戈	U+6208	36	36
见	U+89C1	35	35
矢	U+77E2	35	35
而	U+800C	35	35
囗	U+56D7	35	34
龰	U+9FB0	35	35
革	U+9769	34	34
殳	U+6BB3	34	34
用	U+7528	33	33
