㑇	亻 ⺈ 彐
㑊	亻 亠 3 小
㕮	口 八 乂
㘎	口 门 5 耳 攵
㙍	土 又 又 又 又
㙘	土 覀 女
㙦	𠆢 于 八 氵 2 土
㛃	丰 刀 女
㛚	女 龴 
㛹	女 亻 1 日 乂
㟃	山 5 1 口
㠇	山 亠 口 小 尤
㠓	山 艹 冖 1 豕
㤘	忄 ⺈ 彐
㥄	忄 土 八 夂
㧐	扌 又 又
㧑	扌 为
㧟	扌 氵 匚
㫰	日 ㇏ 彐 6 ㇒ ㇏
㬊	日 爫 1 𠂇 又
㬎	日 6 厶 6 厶 灬
㬚	日 亠 厶  攵
㭎	木 冂 乂
㭕	木 土 厶
㮾	㇏ 彐 6 ㇏ 月 木
㰀	木 千 𠆢 3 刀 𠆢 氺
㳇	氵 八 乂
㳘	氵 亠 厶 儿
㳚	氵 厂 ㇏ 戈
㴔	氵 ⺈ 彐 心
㵐	氵 厂 丷 1 6 2 3 ⺈ 人
㶲	火 用
㸆	火  口  1 2 三
㸌	火  亻 亠 龶
㺄	犭 𠆢 1  刂
㻬	王  二 5
㽏	氵 𠆢 1 口 甘
㿠	白 ⺌ 1 儿
䁖	目 米 女
䂮	丰 刀 石
䃅	石 丷 日 十
䃎	石 大 夕 夕
䅟	禾 厶 大 彡
䌹	纟 冂 口
䎃	冂  习 习
䎖	丷 囗 ⺌ 日 习 习
䏝	月 专
䏡	月 二 小
䏲	月 弟
䐃	月 囗 千 𠆢
䓖	艹 宀 八 力
䓛	艹 尸 出
䓨	艹 冖 𠂉 1 山
䓫	艹 大 可
䓬	艹 2 1 日 十
䗖	虫  冖 巾
䗛	虫 亻 2 夂 
䗪	广 廿 灬 虫
䗴	虫 𠂉 ㇏ 𠂉 ㇏ 千 1 廴
䜣	讠 斤
䝙	㇒ ㇏ ㇏ ㇒ 5 ㇒ ㇒ 匚 乂
䢺	出 阝
䢼	艹 1 八 阝
䣘	 口 土 阝
䥽	钅 6 八 又
䦃	钅 艹 十 𠂇 日
䲟	鱼 ㇒ 6 1 卩
䲠	鱼 三 人 日
䲢	月 丷 夫 鱼
䴓	1 巾 鸟
䴔	亠 八 乂 鸟
䴕	歹 刂 鸟
䴖	龶  鸟
䴗	目 犬 鸟
䴘	㇒ 3 2 1 5 3 七 几 鸟
䴙	尸 口 辛 鸟
䶮	𠂇  ㇏ 1 大
一	1
丁	丁
七	七
万	1 5 3
丈	𠂇 ㇏
三	三
上	2 二
下	1 卜
不	不
与	与
丏	1 2 6 5
丐	1 2 丂
丑	5 
专	专
且	且
丕	不 1
世	廿 6
丘	㇒ 2 工
丙	1 冂 人
业	2 ⺌ 1
丛	人 人 1
东	1 6 小
丝	纟 纟
丞	5 水 1
丢	㇒ 土 厶
两	1 冂 人 人
严	1 2 ⺌ 厂
丧	十 丷 1 戈
个	𠆢 2
丫	丷 2
中	口 2
丰	丰
串	口 口 2
临	2 2 𠂉 ㇏ 囗 2
丸	3 ㇈ ㇏
丹	 亠
为	为
主	亠 土
丽	1  
举	㇏ 丷 1 八 𰀁
乂	乂
乃	5 3
久	3 5 ㇏
么	3 厶
义	㇏ 乂
之	㇏ 5 4
乌	乌
乍	𠂉 2 二
乎	㇒ 丷 1 2
乏	㇒ ㇏ 5 4
乐	㇒ 6 小
乒	㇒ 2 工 3
乓	㇒ 2 工 ㇏
乔	㇒ 大 3 2
乖	千  匕
乘	千  匕 𠆢
乙	㇈
乜	5 6
九	3 ㇈
乞	𠂉 ㇈
也	也
习	习
乡	6 6 3
书	5 5 2 ㇏
乩	卜 口 6
买	5 氵 人
乱	千 口 6
乳	爫 子 6
乸	也 母
乾	十 日 十 𠂉 ㇈
了	了
予	予
争	⺈ 5 二 2
事	1 口 5 二 2
二	二
亍	1 丁
于	于
亏	二 丂
云	二 厶
互	1 6 5 1
亓	二 3 2
五	五
井	二 3 2
亘	1 日 1
亚	1 2 ⺌ 1
些	 匕 二
亟	了 口 又 1
亡	亠 6
亢	亠 几
交	亠 八 乂
亥	亠 6 3 人
亦	亠 3 小
产	立 3
亨	亠 口 5 2
亩	亠 田
享	亠 口 子
京	亠 口 小
亭	亠 口 冖 丁
亮	亠 口 冖 几
亲	立 1 小
亳	亠 口 冖 ㇒ 七
亵	亠 扌 3 ㇈ ㇏ 3 6 ㇒ ㇏
亶	亠 囗 口 日 1
亸	亠 口 子 丷 日 十
亹	亠 ㇒ 2 二 冂 1 口 5 二 冖 且
人	人
亿	亻 ㇈
什	亻 十
仁	亻 二
仂	亻 力
仃	亻 丁
仄	厂 人
仅	亻 又
仆	亻 卜
仇	亻 3 ㇈
仉	亻 几
今	𠆢 ㇏ 5
介	介
仍	亻 5 3
从	人 人
仑	𠆢 匕
仓	𠆢 ⺋
仔	亻 子
仕	亻 士
他	亻 也
仗	亻 𠂇 ㇏
付	付
仙	亻 山
仝	𠆢 工
仞	亻 刀 ㇏
仟	亻 千
仡	亻 𠂉 ㇈
代	亻 弋
令	𠆢 ㇏ 龴
以	6 ㇏ 人
仨	亻 三
仪	亻 ㇏ 乂
仫	亻 3 厶
们	亻 门
仰	亻 ㇒ 6 卩
仲	亻 口 2
仳	亻 比
仵	亻 𠂉 十
件	亻 牛
价	亻 介
任	亻 千 1
份	亻 八 刀
仿	亻 方
企	𠆢 
伈	亻 心
伉	亻 亠 几
伊	亻 5 二 3
伋	亻 及
伍	亻 五
伎	亻 十 又
伏	亻 犬
伐	亻 戈
休	亻 木
众	𠆢 人 人
优	亻 尤
伙	亻 火
会	𠆢 二 厶
伛	亻 匚 乂
伞	𠆢 丷 十
伟	亻 韦
传	亻 专
伢	亻 1 6 2 3
伣	亻 见
伤	亻 𠂉 力
伥	亻 长
伦	亻 𠆢 匕
伧	亻 𠆢 ⺋
伪	亻 为
伫	亻 宀 1
伭	亻 亠 6 厶
伯	亻 白
估	亻 古
伲	亻 尸 匕
伴	亻 丷 𰀁
伶	亻 𠆢 ㇏ 龴
伸	亻 日 2
伺	亻 5 1 口
似	亻 6 ㇏ 人
伽	亻 力 口
伾	亻 1 亻 4 1
佁	亻 厶 口
佃	亻 田
但	亻 日 1
位	亻 立
低	亻 氏 ㇏
住	亻 亠 土
佐	亻 𠂇 工
佑	亻 𠂇 口
体	亻 木 1
何	亻 可
佖	亻 ㇏ 6 ㇏ 八
佗	亻 宀 匕
佘	𠆢 二 小
余	𠆢 于 八
佚	亻 3 夫
佛	亻 5 1 5 3 2
作	亻 𠂉 2 二
佝	亻 句
佞	亻 二 女
佟	亻 夂 4 4
你	亻 ⺈ 小
佣	亻 用
佤	亻 1 6 ㇈ ㇏
佥	𠆢 1 ㇏ 丷 1
佩	亻  1 巾
佬	亻 十 𠂇 匕
佯	亻 羊
佰	亻 1 白
佳	亻 土 土
佴	亻 耳
佶	亻 士 口
佸	亻 千 口
佺	亻 𠆢 王
佻	亻 3 冫 6 ㇒ 4
佼	亻 亠 八 乂
佽	亻 冫 ⺈ 人
佾	亻 八 
使	亻 1 口 乂
侁	亻  儿
侂	亻 广 ㇒ 七
侃	亻 口 
侄	亻 至
侈	亻 夕 夕
侉	亻 大 二 5
例	亻 歹 刂
侍	亻 土 寸
侏	亻 牛 𠆢
侑	亻 𠂇 
侔	亻 厶 牛
侗	亻 冂 1 口
侘	亻 宀 ㇒ 七
供	亻 艹 1 八
依	亻 衣
侠	亻 1 丷 大
侣	亻 口 口
侥	亻 1 6 ㇒ 1 儿
侦	亻 2 1 贝
侧	亻 贝 刂
侨	亻 ㇒ 大 3 2
侩	亻 𠆢 二 厶
侪	亻 文 3 2
侬	亻 冖 3 6 ㇒ ㇏
侮	亻 𠂉 母
侯	亻 5 1 𠂉 大
侴	𠆢 1 5  刂
侵	亻 彐 冖 又
侹	亻 千 1 廴
便	亻 1 日 乂
促	亻 足
俄	亻 ㇒ 扌 戈
俅	亻 1 2 冫 ㇒ 4 ㇏
俊	亻 厶 八 夂
