部件	codepoint	票数	jd1	jd93首末	moqi首末	hu首末	首末合计
木	U+6728	4.0	主	465	462	478	1405
土	U+571F	4.0	主	362	333	331	1026
亻	U+4EBB	4.0	主	277	286	274	837
日	U+65E5	4.0	主	285	261	236	782
钅	U+9485	4.0	主	231	268	262	761
一	U+4E00	4.0	主	409	94	233	736
女	U+5973	4.0	主	230	248	245	723
月	U+6708	4.0	主	185	176	295	656
丨	U+4E28	4.0	主	525	44	38	607
又	U+53C8	4.0	主	237	189	164	590
丿	U+4E3F	4.0	主	397	96	89	582
虫	U+866B	4.0	主	190	197	192	579
十	U+5341	4.0	主	208	175	164	547
八	U+516B	4.0	主	370	100	77	547
乙	U+4E59	4.0	主	433	52	49	534
火	U+706B	4.0	主	167	174	169	510
王	U+738B	4.0	主	209	66	232	507
山	U+5C71	4.0	主	185	157	156	498
贝	U+8D1D	4.0	主	192	142	140	474
讠	U+8BA0	4.0	主	146	159	157	462
大	U+5927	4.0	主	202	97	157	456
忄	U+5FC4	4.0	主	148	150	147	445
石	U+77F3	4.0	主	136	145	142	423
辶	U+8FB6	4.0	主	157	97	158	412
寸	U+5BF8	4.0	主	111	128	127	366
人	U+4EBA	4.0	主	152	105	107	364
儿	U+513F	4.0	主	174	56	113	343
目	U+76EE	4.0	主	108	117	111	336
鱼	U+9C7C	4.0	主	102	119	113	334
宀	U+5B80	4.0	主	114	115	80	309
疒	U+7592	4.0	主	102	102	100	304
田	U+7530	4.0	主	95	104	100	299
力	U+529B	4.0	主	91	99	98	288
匕	U+5315	4.0	主	104	95	89	288
鸟	U+9E1F	4.0	主	85	98	103	286
巾	U+5DFE	4.0	主	84	93	90	267
马	U+9A6C	4.0	主	73	87	87	247
厶	U+53B6	4.0	主	120	36	67	223
子	U+5B50	4.0	主	70	71	72	213
广	U+5E7F	4.0	主	75	74	64	213
米	U+7C73	4.0	主	74	67	65	206
工	U+5DE5	4.0	主	71	58	70	199
尸	U+5C38	4.0	主	64	62	66	192
灬	U+706C	4.0	主	64	69	53	186
冫	U+51AB	4.0	主	45	65	70	180
方	U+65B9	4.0	主	57	58	54	169
干	U+5E72	4.0	主	66	46	30	142
车	U+8F66	4.0	主	23	89	30	142
几	U+51E0	4.0	主	47	50	36	133
足	U+8DB3	4.0	主	10	9	109	128
立	U+7ACB	4.0	主	44	47	35	126
止	U+6B62	4.0	主	51	46	28	125
夕	U+5915	4.0	主	40	39	38	117
戈	U+6208	4.0	主	25	36	55	116
彳	U+5F73	4.0	主	45	44	27	116
舟	U+821F	4.0	主	38	37	37	112
巴	U+5DF4	4.0	主	37	37	34	108
而	U+800C	4.0	主	34	35	34	103
刀	U+5200	4.0	主	38	19	38	95
丁	U+4E01	4.0	主	30	36	27	93
西	U+897F	4.0	主	67	12	12	91
臼	U+81FC	4.0	主	34	32	24	90
二	U+4E8C	4.0	主	68	9	11	88
牛	U+725B	4.0	主	28	29	29	86
丰	U+4E30	4.0	主	38	27	21	86
衣	U+8863	4.0	主	20	31	32	83
文	U+6587	4.0	主	28	27	24	79
鬼	U+9B3C	4.0	主	24	23	23	70
卩	U+5369	4.0	主	25	26	19	70
气	U+6C14	4.0	主	23	22	23	68
句	U+53E5	4.0	主	20	21	21	62
彐	U+5F50	4.0	主	3	30	27	60
廿	U+5EFF	4.0	主	42	8	8	58
水	U+6C34	4.0	主	19	20	16	55
未	U+672A	4.0	主	11	20	24	55
冂	U+5182	4.0	主	10	13	14	37
册	U+518C	4.0	主	6	5	6	17
五	U+4E94	4.0	主	5	4	5	14
心	U+5FC3	3.5	附	141	144	145	430
攵	U+6535	3.5	附	82	84	82	248
亠	U+4EA0	3.5	附	103	83	40	226
丷	U+4E37	3.5	附	96	46	83	225
皿	U+76BF	3.5	附	70	70	70	210
白	U+767D	3.5	附	65	51	67	183
龶	U+9FB6	3.5	附	106	25	34	165
门	U+95E8	3.5	附	54	55	55	164
乂	U+4E42	3.5	附	79	11	50	140
夂	U+5902	3.5	附	62	59	17	138
可	U+53EF	3.5	附	45	47	46	138
厂	U+5382	3.5	附	49	38	38	125
士	U+58EB	3.5	附	36	45	40	121
三	U+4E09	3.5	附	99	6	9	114
龴	U+9FB4	3.5	附	42	28	27	97
犬	U+72AC	3.5	附	30	31	32	93
牜	U+725C	3.5	附	29	27	29	85
歹	U+6B79	3.5	附	25	26	27	78
千	U+5343	3.5	附	34	21	16	71
罒	U+7F52	3.5	附	23	22	22	67
己	U+5DF1	3.5	附	22	22	22	66
巳	U+5DF3	3.5	附	29	10	27	66
廴	U+5EF4	3.5	附	29	4	32	65
自	U+81EA	3.5	附	18	18	17	53
冖	U+5196	3.5	附	15	14	15	44
甘	U+7518	3.5	附	13	13	14	40
覀	U+8980	3.5	附	13	13	13	39
弋	U+5F0B	3.5	附	7	11	10	28
口	U+53E3	3.0	主		750	679	1429
