字	码	层级	来源
嗯	en	实际单字	G8C12-C011
嗯	enhc	保留全码	G8C12-C011
恩	ene	实际单字	G8C12-C011
术	uuo	实际单字	G8C12-C001
树	uuoy	实际单字	G8C12-C001
术	uuoa	保留全码	G8C12-C001
依	yif	实际单字	G8C12-C002
亿	yifl	实际单字	G8C12-C002
依	yifn	保留全码	G8C12-C002
忆	yic	实际单字	G8C12-C003
怡	yich	实际单字	G8C12-C003
忆	yicl	保留全码	G8C12-C003
见	jm	实际单字	G8C12-C006
间	jmw	实际单字	G8C12-C006
戬	jmwr	实际单字	G8C12-C006
贱	jmz	实际单字	G8C12-C006
贱	jmzr	保留全码	G8C12-C006
劈	pii	实际单字	G8C12-C008
劈	piis	保留全码	G8C12-C008
屁	piit	实际单字	G8C12-C008
骥	jicp	实际单字	G8C12-U001
霁	jice	实际单字	G8C12-U002
迦	jxph	实际单字	G8C12-U003
涵	hjow	实际单字	G8C12-U004
鳍	qiyp	实际单字	G8C12-U005
侮	wuff	实际单字	G8C12-U006
箭	jmra	实际单字	G8C12-U007
伽	jxfp	实际单字	G8C12-U008
怨	yrl	实际单字	G8C12-C009
援	yrlq	实际单字	G8C12-C009
眢	yrlq	实际单字	G8C12-C009
怨	yrlc	保留全码	G8C12-C009
虞	yuas	实际单字	G8C12-U009
