操作编号	裁决来源	操作	码	最终候选	说明
G8-OP035	G8C12-C011	SET_SLOT	en	嗯	嗯取得en二简，恩退出该码位
G8-OP036	G8C12-C011	SET_SLOT	enhc	嗯	嗯取得二简后保留en身份自然全码
G8-OP037	G8C12-C011	SET_SLOT	ene	恩	恩从en二简退到自然三码
G8-OP001	G8C12-C001	SET_SLOT	uuo	术	三码由树改给术
G8-OP002	G8C12-C001	SET_SLOT	uuoy	树	树退回自身全码
G8-OP003	G8C12-C001	SET_SLOT	uuoa	疏/梳/术/书	疏梳为实际全码候选，术书按出简让全追加
G8-OP004	G8C12-C002	SET_SLOT	yif	依	亿退全码后依取得三码
G8-OP005	G8C12-C002	SET_SLOT	yifl	亿	亿回到自身全码
G8-OP006	G8C12-C002	SET_SLOT	yifn	仪/依	仪首选，依保留全码次选
G8-OP007	G8C12-C003	SET_SLOT	yic	忆	怡退全码后忆取得三码
G8-OP008	G8C12-C003	SET_SLOT	yich	怡	怡回到自身全码
G8-OP009	G8C12-C003	SET_SLOT	yicl	驿/怿/忆	驿怿为实际全码候选，忆按出简让全追加
G8-OP010	G8C12-C004	SET_SLOT	qiyq	岐/鳍	交换鳍岐候选顺序
G8-OP011	G8C12-C005	SET_SLOT	yusa	瘀/於	交换於瘀候选顺序
G8-OP012	G8C12-C006	SET_SLOT	jm	见	见晋升二简
G8-OP013	G8C12-C006	SET_SLOT	jmw	间	间降为三码
G8-OP014	G8C12-C006	SET_SLOT	jmwq	间	间保留自身全码
G8-OP015	G8C12-C006	SET_SLOT	jmwr	戬	戬退回自身全码
G8-OP016	G8C12-C006	SET_SLOT	jmz	贱	贱取得三码
G8-OP017	G8C12-C006	SET_SLOT	jmzz	见	见保留自身全码
G8-OP018	G8C12-C006	SET_SLOT	jmzr	践/贱	践首选，贱按出简让全追加
G8-OP019	G8C12-C007	SET_SLOT	qiba	泣/淇	交换淇泣候选顺序
G8-OP020	G8C12-C008	SET_SLOT	pii	劈	屁退全码后劈取得三码
G8-OP021	G8C12-C008	SET_SLOT	piis	辟/劈	辟首选，劈按出简让全追加
G8-OP022	G8C12-C008	SET_SLOT	piit	屁	屁退回自身全码
G8-OP023	G8C12-U001	SET_SLOT	jicp	骥/即	骥无理码首选，即按出简让全保留
G8-OP024	G8C12-U002	SET_SLOT	jice	霁	霁新增空码无理码
G8-OP025	G8C12-U003	SET_SLOT	jxph	迦/加	迦取内部加的全码，加按出简让全保留
G8-OP026	G8C12-U004	SET_SLOT	hjow	涵/函	涵取内部函的全码，函按出简让全保留
G8-OP027	G8C12-U005	SET_SLOT	qiyp	鳍	鳍顺取鱼与耂所得空码
G8-OP028	G8C12-U006	SET_SLOT	wuff	侮	侮顺取亻与卧人所得空码
G8-OP029	G8C12-U007	SET_SLOT	jmra	箭	箭顺取竹与八所得空码
G8-OP030	G8C12-U008	SET_SLOT	jxfp	伽	伽顺取亻与力所得空码
G8-OP031	G8C12-C009	SET_SLOT	yrl	怨	怨取得三码，援退出该码位
G8-OP032	G8C12-C009	SET_SLOT	yrlq	援/眢	援退回全码并保持首选，眢次选
G8-OP033	G8C12-C009	SET_SLOT	yrlc	怨	怨取得三码后保留原全码
G8-OP034	G8C12-U009	SET_SLOT	yuas	虞	虞按卜与厂顺取得到的空码
