类别	根名	宿主	核心字用数	扩展字用数	合计
主根	已		1	0	1
主根	竹		1	0	1
主根	击		2	0	2
主根	秉		1	2	3
主根	雨		2	2	4
主根	厉		5	0	5
主根	卵		2	3	5
主根	赢字架		5	0	5
主根	商		3	4	7
主根	专		7	1	8
主根	无		8	0	8
主根	丽		8	2	10
主根	来		11	0	11
主根	乐		9	2	11
主根	长		11	0	11
主根	以		5	7	12
主根	象		4	10	14
主根	向		6	9	15
主根	暴		4	11	15
主根	览字头		14	2	16
主根	变字头		15	2	17
主根	永		8	10	18
主根	佥		18	1	19
主根	尧		19	0	19
主根	丘		7	13	20
主根	刍		16	5	21
主根	西		12	10	22
主根	井		8	15	23
主根	单		21	2	23
主根	韦		22	1	23
主根	龙		22	2	24
主根	居		11	13	24
主根	之		7	17	24
主根	夷		6	20	26
主根	行		17	15	32
主根	利		9	24	33
主根	弟		12	21	33
主根	及		12	24	36
主根	车		33	3	36
主根	兔		8	29	37
主根	片		7	30	37
主根	禸		14	26	40
主根	付		13	27	40
主根	见		37	3	40
主根	五		23	18	41
主根	弗		12	33	45
主根	莫		21	24	45
主根	足		10	35	45
主根	未		9	39	48
主根	牙		18	31	49
主根	民		11	38	49
主根	氏		12	42	54
主根	饣		47	8	55
主根	俞		22	34	56
主根	追字心		9	48	57
主根	鬲		15	42	57
主根	交		23	35	58
主根	气		23	36	59
主根	兼		16	46	62
主根	九		21	41	62
主根	母		26	46	72
主根	也		16	56	72
主根	卩		15	58	73
主根	乃		23	51	74
主根	衣		36	43	79
主根	定字底		27	52	79
主根	竖		22	58	80
主根	乙		22	61	83
主根	美字头		18	66	84
主根	鬼		25	60	85
主根	皮		25	64	89
主根	马		88	4	92
主根	束		26	66	92
主根	牛		29	65	94
主根	至		28	67	95
主根	业无横		22	74	96
主根	争字底		33	64	97
主根	黑		19	82	101
主根	角		29	73	102
主根	骨		23	81	104
主根	文		41	64	105
主根	鸟		101	5	106
主根	鹿		18	89	107
主根	甫		35	76	111
主根	瓦		15	96	111
主根	且		36	78	114
主根	辛		33	84	117
主根	古		46	71	117
主根	音		37	85	122
主根	臣		6	119	125
主根	今		28	101	129
主根	里		41	97	138
主根	艮		55	84	139
主根	干		36	104	140
主根	鱼		131	10	141
主根	矢		45	98	143
主根	毛		29	115	144
主根	予		42	105	147
主根	勿		25	133	158
主根	耂		56	105	161
主根	横		57	106	163
主根	礻		48	115	163
主根	降下角		25	146	171
主根	讠		167	8	175
主根	纟		177	15	192
主根	丰		44	156	200
主根	示		75	138	213
主根	斤		57	158	215
主根	豕		54	164	218
主根	廿		45	174	219
主根	殳		44	176	220
主根	几		62	172	234
主根	彳		42	194	236
主根	匚		68	172	240
主根	享字头		84	156	240
主根	方		80	165	245
主根	点		49	226	275
主根	夕		86	190	276
主根	钅		272	18	290
主根	犭		89	202	291
主根	习		88	206	294
主根	小		105	193	298
主根	子		105	199	304
主根	耳		70	261	331
主根	立		75	258	333
主根	爫		77	257	334
主根	皿		72	263	335
主根	力		112	241	353
主根	刀		101	252	353
主根	戈		64	292	356
主根	止		93	290	383
主根	米		117	267	384
主根	工		76	313	389
主根	卜		88	308	396
主根	尸		124	281	405
主根	卧人		109	314	423
主根	寸		127	300	427
主根	广		119	330	449
主根	白		135	314	449
主根	巾		102	355	457
主根	囗		119	356	475
主根	辶		160	318	478
主根	石		148	338	486
主根	忄		154	382	536
主根	隹		126	428	554
主根	王		226	343	569
主根	儿		115	478	593
主根	禾		127	468	595
主根	月		204	458	662
主根	田		169	493	662
主根	亠		195	519	714
主根	火		184	547	731
主根	匕		195	570	765
主根	山		196	572	768
主根	虫		199	590	789
主根	大		261	547	808
主根	厶		233	591	824
主根	又		262	570	832
主根	撇		145	692	837
主根	扌		309	637	946
主根	女		267	691	958
主根	宀		282	693	975
主根	人		205	801	1006
主根	亻		361	710	1071
主根	土		411	957	1368
主根	十		291	1106	1397
主根	氵		525	911	1436
主根	艹		557	1343	1900
主根	木		557	1408	1965
主根	八		420	1948	2368
主根	日		594	1909	2503
主根	折		429	2352	2781
主根	口		1148	2912	4060
锚定	秉	争字底	1	2	3
锚定	州	竖	3	6	9
锚定	师字旁	竖	9	1	10
锚定	川	竖	9	18	27
锚定	羊	鹿	28	59	87
锚定	南字心	鹿	18	97	115
锚定	巛	竖	18	124	142
锚定	舟	车	40	109	149
锚定	彡	撇	85	265	350
锚定	三	横	21	522	543
锚定	二	横	169	859	1028
附属	负字头	刀	0	0	0
附属	卵字旁	卵	0	0	0
附属	乌省	鸟	0	0	0
附属	辛旁	辛	1	0	1
附属	卯字旁	卵	1	0	1
附属	毋	母	2	0	2
附属	弟省	弟	1	1	2
附属	岛	鸟	2	0	2
附属	拣字边	车	3	0	3
附属	鸟省	鸟	3	0	3
附属	巸	臣	1	3	4
附属	办	力	4	0	4
附属	印	卵	3	1	4
附属	印字旁	卵	0	4	4
附属	戶	尸	1	4	5
附属	豙	立	1	4	5
附属	辡	辛	4	1	5
附属	曰	日	2	3	5
附属	乌	鸟	5	0	5
附属	应字心	小	5	1	6
附属	龵	美字头	4	2	6
附属	为	力	6	0	6
附属	囱字框	向	1	5	6
附属	飞	折	1	6	7
附属	龟字底	田	2	5	7
附属	署	皿	3	4	7
附属	带字头	艹	4	4	8
附属	节字底	卩	5	3	8
附属	东	车	8	1	9
附属	臧字框	戈	2	7	9
附属	鹿旁	鹿	3	6	9
附属	互	争字底	2	7	9
附属	乂	交	4	5	9
附属	贤字头	览字头	8	2	10
附属	襄省	衣	5	5	10
附属	夜下角	夕	4	6	10
附属	互中间	争字底	10	0	10
附属	制字旁	牛	2	8	10
附属	四	皿	3	7	10
附属	乔	竖	11	1	12
附属	亦	变字头	5	7	12
