类型	二简字	二简码	二简字频	挑战者	挑战者码	挑战者频	二简字落点	落点现占	频率比
A直接互换	变	bm	30203	边	bmp	30962	bmp	边	1.0
A直接互换	且	qp	24767	切	qpt	27957	qpt	切	1.1
A直接互换	强	ql	15260	枪	qlo	21673	qlo	枪	1.4
A直接互换	云	yy	1556	运	yyn	18860	yyn	运	12.1
A直接互换	连	lm	11476	联	lme	14066	lme	联	1.2
A直接互换	修	xq	7656	休	xqf	8380	xqf	休	1.1
A直接互换	春	iy	2034	蠢	iyi	6273	iyi	蠢	3.1
B落点空	挺	tk	8003	听	tkh	81564	tkl		10.2
B落点空	名	mk	41327	明	mkq	69570	mkl		1.7
B落点空	请	qk	39586	情	qkc	69192	qkd		1.7
B落点空	场	ih	34472	常	ihi	46352	iht		1.3
B落点空	黑	hw	13185	嘿	hwh	41659	hwr		3.2
B落点空	二	er	16413	儿	era	37201	ern		2.3
B落点空	王	wh	9629	望	whv	36771	whg		3.8
B落点空	版	bj	2661	办	bjp	28673	bjn		10.8
B落点空	农	ns	2167	弄	nsg	15119	nsi		7.0
B落点空	贵	gv	3673	鬼	gvp	14628	gvm		4.0
B落点空	均	jy	755	军	jyi	14559	jyt		19.3
B落点空	熊	xs	2274	兄	xsh	14368	xst		6.3
B落点空	嗯	en	0	恩	ene	12132	enh		9999.0
B落点空	则	ze	8302	责	zew	10098	zez		1.2
B落点空	创	il	4667	床	ils	8693	ilg		1.9
B落点空	摸	mo	2738	模	moo	7963	mol		2.9
B落点空	库	ku	4395	苦	kux	7563	kus		1.7
B落点空	猫	mc	4131	毛	mcm	6470	mcv		1.6
B落点空	航	hh	3989	行	hhk	6421	hhe		1.6
B落点空	草	cc	3787	操	ccl	5996	ccx		1.6
B落点空	绕	rc	1753	扰	rcl	5673	rcj		3.2
B落点空	秒	mn	3905	妙	mnz	3967	mnw		1.0
B落点空	陈	if	1455	沉	ifb	3343	ifp		2.3
B落点空	孙	sy	1210	损	syl	2774	syn		2.3
B落点空	刷	ux	1394	耍	uxc	2390	uxi		1.7
B落点空	促	cu	665	粗	cud	1706	cuf		2.6
B落点空	恒	hg	626	哼	hgh	1463	hgc		2.3
B落点空	涮	ur	75	栓	uro	266	urb		3.5
B落点空	梗	gg	101	耿	gge	251	ggo		2.5
