汉字	最终规范拆分	编码首根	编码末根
錒	全字头 ＋ 金字底 ＋ 阝 ＋ 可	人	寸
骯	骨 ＋ 亠 ＋ 几	骨	几
䇦	竹头 ＋ 见二 ＋ 大	竹	大
䒢	艹 ＋ 卬	艹	卩
䩕	革 ＋ 卬	廿	卩
䀚	目 ＋ 卬	日	卩
岇	山 ＋ 卬	山	卩
䭹	一 ＋ 丨 ＋ 举字底 ＋ 折 ＋ 灬 ＋ 卬	横	卩
䭺	一 ＋ 丨 ＋ 举字底 ＋ 折 ＋ 灬 ＋ 亠 ＋ 几	横	几
醃	酉 ＋ 大 ＋ 电	西	田
醠	酉 ＋ 见二 ＋ 大 ＋ 皿	西	皿
昻	日 ＋ 工 ＋ 卩	日	卩
㼜	见二 ＋ 大 ＋ 瓦	匚	瓦
㭿	木 ＋ 日 ＋ 卬	木	卩
枊	木 ＋ 卬	木	卩
噯	口 ＋ 爫 ＋ 冖 ＋ 心 ＋ 夂	口	又
㗒	口 ＋ 亠 ＋ 口 ＋ 衣省	口	衣
啀	口 ＋ 厂 ＋ 土 ＋ 土	口	土
嘊	口 ＋ 山 ＋ 厂 ＋ 土 ＋ 土	口	土
嬡	女 ＋ 爫 ＋ 冖 ＋ 心 ＋ 夂	女	又
謁	言 ＋ 日 ＋ 匃	讠	匚
譪	言 ＋ 艹 ＋ 日 ＋ 匃	讠	匚
譺	言 ＋ 肄字旁 ＋ 龴 ＋ 疋	讠	定字底
諰	言 ＋ 田 ＋ 心	讠	忄
娭	女 ＋ 厶 ＋ 矢	女	矢
娾	女 ＋ 厂 ＋ 土 ＋ 土	女	土
㶼	火 ＋ 厶 ＋ 矢	火	矢
焥	火 ＋ 宀 ＋ 夕 ＋ 㔾	火	已
溾	氵 ＋ 鬼	氵	鬼
溰	氵 ＋ 山 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	氵	横
濭	氵 ＋ 艹 ＋ 土 ＋ 厶 ＋ 皿	氵	皿
薆	艹 ＋ 爫 ＋ 冖 ＋ 心 ＋ 夂	艹	又
䔇	艹 ＋ 山 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	艹	横
䔽	艹 ＋ 氵 ＋ 日 ＋ 匃	艹	匚
藹	艹 ＋ 言 ＋ 日 ＋ 匃	艹	匚
鴱	艹 ＋ 㐅 ＋ 丿 ＋ 见二 ＋ 三 ＋ 折 ＋ 灬	艹	火
䶣	止 ＋ 人 ＋ 人 ＋ 一 ＋ 人 ＋ 人 ＋ 凵 ＋ 山 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	止	横
馤	禾 ＋ 日 ＋ 日 ＋ 匃	禾	匚
䅬	禾 ＋ 丷 ＋ 一 ＋ 八 ＋ 皿	禾	皿
㿄	疒 ＋ 匚 ＋ 矢 ＋ 殳	广	殳
㾢	疒 ＋ 十 ＋ 人 ＋ 人 ＋ 丿 ＋ 丶	广	点
㾨	疒 ＋ 大 ＋ 可	广	寸
䬵	全字头 ＋ 丶 ＋ 即字旁 ＋ 亠 ＋ 折 ＋ 丿 ＋ 人	人	人
欬	亠 ＋ 折 ＋ 丿 ＋ 人 ＋ ⺈ ＋ 人	亠	人
皧	白 ＋ 爫 ＋ 冖 ＋ 心 ＋ 夂	白	又
鑀	全字头 ＋ 金字底 ＋ 爫 ＋ 冖 ＋ 心 ＋ 夂	人	又
皚	白 ＋ 山 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	白	横
餲	全字头 ＋ 丶 ＋ 即字旁 ＋ 日 ＋ 匃	人	匚
銰	全字头 ＋ 金字底 ＋ 艹 ＋ 㐅	人	交
鎄	全字头 ＋ 金字底 ＋ 亠 ＋ 口 ＋ 衣省	人	衣
瞹	目 ＋ 爫 ＋ 冖 ＋ 心 ＋ 夂	日	又
隑	阝 ＋ 山 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	卩	横
阸	阝 ＋ 户 ＋ 乙	卩	乙
阨	阝 ＋ 厂 ＋ 㔾	卩	已
䀳	目 ＋ 束	日	束
賹	目 ＋ 八 ＋ 丷 ＋ 一 ＋ 八 ＋ 皿	日	皿
