汉字	最终规范拆分	编码首根	编码末根
㑇	亻 ＋ 刍	亻	刍
㑊	亻 ＋ 亦	亻	变字头
㕮	口 ＋ 八 ＋ 㐅	口	交
㘎	口 ＋ 门 ＋ 折 ＋ 耳 ＋ 攵	口	又
㙍	土 ＋ 又 ＋ 又 ＋ 又 ＋ 又	土	又
㙘	土 ＋ 覀 ＋ 女	土	女
㙦	全字头 ＋ 于 ＋ 八 ＋ 冬字底 ＋ 十 ＋ 土	人	土
㛃	丰 ＋ 刀 ＋ 女	丰	女
㛚	女 ＋ 龴 ＋ 冂 ＋ 举字底	女	扌
㛹	女 ＋ 亻 ＋ 一 ＋ 日 ＋ 㐅	女	交
㟃	山 ＋ 折 ＋ 一 ＋ 口	山	口
㠇	山 ＋ 享字头 ＋ 小 ＋ 尤	山	龙
㠓	山 ＋ 艹 ＋ 冖 ＋ 一 ＋ 豕	山	豕
㤘	忄 ＋ 刍	忄	刍
㥄	忄 ＋ 土 ＋ 八 ＋ 夂	忄	又
㧐	扌 ＋ 又 ＋ 又	扌	又
㧑	扌 ＋ 为	扌	力
㧟	扌 ＋ 氵 ＋ 匚	扌	匚
㫰	日 ＋ 丶 ＋ 艮	日	艮
㬊	日 ＋ 爫 ＋ 一 ＋ 左字框 ＋ 又	日	又
㬎	日 ＋ 幺 ＋ 幺 ＋ 灬	日	火
㬚	日 ＋ 亠 ＋ 厶 ＋ 青字底 ＋ 攵	日	又
㭎	木 ＋ 冂 ＋ 㐅	木	交
㭕	木 ＋ 土 ＋ 厶	木	厶
㮾	丶 ＋ 即字旁 ＋ 月 ＋ 木	点	木
㰀	木 ＋ 禾 ＋ 勹 ＋ 丿 ＋ 全字头 ＋ 氺	木	氵
㳇	氵 ＋ 八 ＋ 㐅	氵	交
㳘	氵 ＋ 亠 ＋ 厶 ＋ 儿	氵	儿
㳚	氵 ＋ 厂 ＋ 丶 ＋ 折 ＋ 撇 ＋ 丶	氵	点
㴔	氵 ＋ 刍 ＋ 心	氵	忄
㵐	氵 ＋ 厂 ＋ 丷 ＋ 一 ＋ 凵 ＋ 丿 ＋ ⺈ ＋ 人	氵	人
㶲	火 ＋ 周字框 ＋ 举字底	火	扌
㸆	火 ＋ 告字头 ＋ 口 ＋ 非	火	片
㸌	火 ＋ 雨头 ＋ 隹	火	隹
㺄	犭 ＋ 俞	犭	俞
㻬	王 ＋ 雨头 ＋ 二 ＋ 折	王	折
㽏	氵 ＋ 全字头 ＋ 一 ＋ 口 ＋ 甘	氵	廿
㿠	白 ＋ 尚字头 ＋ 兀	白	儿
䁖	目 ＋ 米 ＋ 女	日	女
䂮	丰 ＋ 刀 ＋ 石	丰	石
䃅	石 ＋ 单	石	单
䃎	石 ＋ 大 ＋ 夕 ＋ 夕	石	夕
䅟	禾 ＋ 厶 ＋ 大 ＋ 彡	禾	彡
䌹	纟 ＋ 冂 ＋ 口	纟	口
䎃	冂 ＋ 土 ＋ 习 ＋ 习	匚	习
䎖	丷 ＋ 囗 ＋ 尚字头 ＋ 日 ＋ 习 ＋ 习	八	习
䏝	月 ＋ 专	月	专
䏡	月 ＋ 示	月	示
䏲	月 ＋ 弟	月	弟
䐃	月 ＋ 囗 ＋ 禾	月	禾
䓖	艹 ＋ 宀 ＋ 八 ＋ 力	艹	力
䓛	艹 ＋ 尸 ＋ 出	艹	山
䓨	艹 ＋ 冖 ＋ 缶	艹	击
䓫	艹 ＋ 大 ＋ 可	艹	寸
䓬	艹 ＋ 卢字头 ＋ 日 ＋ 十	艹	十
䗖	虫 ＋ 带字头 ＋ 冖 ＋ 巾	虫	巾
䗛	虫 ＋ 亻 ＋ 丨 ＋ 夂 ＋ 青字底	虫	月
䗪	广 ＋ 廿 ＋ 灬 ＋ 虫	广	虫
䗴	虫 ＋ 竹头 ＋ 壬 ＋ 廴	虫	辶
䜣	讠 ＋ 斤	讠	斤
䝙	豸 ＋ 匚 ＋ 㐅	豕	交
䢺	出 ＋ 阝	山	卩
䢼	龷 ＋ 八 ＋ 阝	廿	卩
䣘	尚头 ＋ 土 ＋ 阝	宀	卩
䥽	钅 ＋ 折 ＋ 撇 ＋ 又 ＋ 点	钅	点
䦃	钅 ＋ 艹 ＋ 耂 ＋ 日	钅	日
䲟	鱼 ＋ 印	鱼	卵
䲠	鱼 ＋ 春字头 ＋ 日	鱼	日
䲢	月 ＋ 龹 ＋ 鱼	月	鱼
䴓	一 ＋ 巾 ＋ 鸟	横	鸟
䴔	交 ＋ 鸟	交	鸟
䴕	歹 ＋ 刂 ＋ 鸟	夕	鸟
䴖	龶 ＋ 青字底 ＋ 鸟	丰	鸟
䴗	目 ＋ 犬 ＋ 鸟	日	鸟
䴘	反字框 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几 ＋ 鸟	撇	鸟
䴙	尸 ＋ 口 ＋ 辛 ＋ 鸟	尸	鸟
䶮	龙 ＋ 天	龙	大
一	一	横	横
丁	丁	寸	寸
七	七	匕	匕
万	横 ＋ 撇 ＋ 折	横	折
丈	左字框 ＋ 丶	十	点
三	三	三	三
上	卜 ＋ 横	卜	横
下	横 ＋ 卜	横	卜
不	一 ＋ 亻 ＋ 点	横	点
与	一 ＋ 折 ＋ 一	横	横
丏	一 ＋ 丨 ＋ 折 ＋ 折	横	折
丐	一 ＋ 卢字头 ＋ 折	横	折
丑	折 ＋ 土	折	土
专	专	专	专
且	且	且	且
丕	一 ＋ 亻 ＋ 点 ＋ 一	横	横
世	廿 ＋ 折	廿	折
丘	丘	丘	丘
丙	一 ＋ 冂 ＋ 人	横	人
业	业	业	业
丛	人 ＋ 人 ＋ 一	人	横
东	东	车	车
丝	纟 ＋ 纟	纟	纟
丞	折 ＋ 水 ＋ 一	折	横
