码位	词	现候选位	建议组	综合分	现完整候选	前方缺分词	前方核心字	前方扩展字	前方已知最高分
yiqi	一起	5	A：有评分依据，优先看首选	4.015	仪器、遗弃、义气、一齐、一起、一气、意气、以期、䝯、貤、暆	无	无	无	2.3882
yivi	一直	7	A：有评分依据，优先看首选	3.8782	意志、抑制、已知、一致、一支、一枝、一直、移植、以致、医治、遗址、以至、一只、遗志、益智、意旨、抑止、译制	无	无	无	2.7973
yidm	一点	4	A：有评分依据，优先看首选	3.7326	疑点、椅垫、伊甸、一点	无	无	无	2.0116
yimm	一面	3	A：有评分依据，优先看首选	2.8459	以免、意面、一面、蛡	无	无	无	2.3004
yike	一刻	5	A：有评分依据，优先看首选	2.7573	亦可、医科、一颗、一棵、一刻、一课	无	无	无	1.9491
yijx	一家	3	A：有评分依据，优先看首选	2.5999	溢价、衣架、一家、一架、议价、意甲	无	无	无	2.0916
yigs	一共	3	A：有评分依据，优先看首选	2.5703	以供、义工、一共	无	无	无	2.0818
yixm	一线	3	A：有评分依据，优先看首选	2.4807	胰腺、医仙、一线、易县、蘙	无	无	无	1.8788
yigr	一贯	3	A：有评分依据，优先看首选	2.3942	衣冠、医馆、一贯、一罐、釴	无	无	无	1.8429
yiri	一日	2	A：有评分依据，优先看首选	2.3882	翌日、一日、箷	无	无	无	1.728
yidu	一度	4	A：有评分依据，优先看首选	2.3574	已读、遗毒、易读、一度、臆度	无	无	无	1.6135
yixb	一心	3	A：有评分依据，优先看首选	2.3566	疑心、异心、一心	无	无	无	2.0993
yizd	一再	4	A：有评分依据，优先看首选	2.2742	已在、意在、移栽、一再	无	无	无	1.8495
yidg	一等	2	A：有评分依据，优先看首选	2.1892	乙等、一等	无	无	无	1.5587
yice	一侧	2	A：有评分依据，优先看首选	2.0617	臆测、一侧	无	无	无	1.8216
yilm	一连	3	A：有评分依据，优先看首选	2.0563	依恋、一脸、一连	无	无	无	1.9873
yida	一大	3	A：有评分依据，优先看首选	1.8743	已达、益达、一大、医大、訲	无	无	无	1.4
yipm	一片	3	A：有评分依据，优先看首选	1.5412	遗篇、一篇、一片	无	无	无	1.4
