码位	词	现候选位	建议组	综合分	现完整候选	前方缺分词	前方核心字	前方扩展字	前方已知最高分
yian	一暗	4	目标缺分，待人工看	缺失	议案、义、疑案、一暗、一案、依安	无	义	无	2.0715
yian	一案	5	目标缺分，待人工看	缺失	议案、义、疑案、一暗、一案、依安	一暗	义	无	2.0715
yiba	一把	6	C：前有单字，另议	1.7838	潩、已把、溢、瀷、㳑、一把	已把	潩、溢	瀷、㳑	无
yibc	一包	4	有其他得分更高候选，暂不推荐首选	1.3199	医保、易爆、异常报错、一包、澺	异常报错	无	无	2.0647
yibd	一百	4	B：可考虑首选，但前方有词缺分	2.8248	衣摆、扬长避短、严惩不贷、一百	扬长避短、严惩不贷	无	无	1.4898
yibf	一本	3	有其他得分更高候选，暂不推荐首选	1.511	译本、乙苯、一本	无	无	无	1.7248
yibh	一帮	3	有其他得分更高候选，暂不推荐首选	1.4	异邦、依傍、一帮、㵝	无	无	无	1.6096
yibi	一笔	2	B：可考虑首选，但前方有词缺分	1.0519	有仇报仇、一笔、一比	有仇报仇	无	无	无
yibi	一比	3	目标缺分，待人工看	缺失	有仇报仇、一笔、一比	有仇报仇	无	无	1.0519
yibj	一瓣	3	有其他得分更高候选，暂不推荐首选	1.4	已办、乙班、一瓣、一般、一半、一斑	已办、乙班	无	无	无
yibj	一般	4	B：可考虑首选，但前方有词缺分	3.3773	已办、乙班、一瓣、一般、一半、一斑	已办、乙班	无	无	1.4
yibj	一半	5	有其他得分更高候选，暂不推荐首选	3.0187	已办、乙班、一瓣、一般、一半、一斑	已办、乙班	无	无	3.3773
yibj	一斑	6	有其他得分更高候选，暂不推荐首选	1.0384	已办、乙班、一瓣、一般、一半、一斑	已办、乙班	无	无	3.3773
yibk	一柄	3	目标缺分，待人工看	缺失	疫病、疑兵、一柄、㶠、一并	无	无	无	1.791
yibk	一并	5	有其他得分更高候选，暂不推荐首选	1.4733	疫病、疑兵、一柄、㶠、一并	一柄	无	㶠	1.791
yibm	一遍	4	有其他得分更高候选，暂不推荐首选	1.4	以便、异变、溢出屏幕、一遍、一边	溢出屏幕	无	无	2.4094
yibm	一边	5	B：可考虑首选，但前方有词缺分	3.1948	以便、异变、溢出屏幕、一遍、一边	溢出屏幕	无	无	2.4094
yibo	一波	4	有其他得分更高候选，暂不推荐首选	1.4988	衣钵、已拨、㵩、一波	已拨	无	㵩	1.8041
yibp	一别	2	有其他得分更高候选，暂不推荐首选	1.4	揖别、一别	无	无	无	1.4888
yibu	一步	5	B：可考虑首选，但前方有词缺分	1.8185	移步、异步、遗传病史、一朝被蛇咬，十年怕井绳、一步、一部	遗传病史、一朝被蛇咬，十年怕井绳	无	无	1.6493
yibu	一部	6	有其他得分更高候选，暂不推荐首选	1.6701	移步、异步、遗传病史、一朝被蛇咬，十年怕井绳、一步、一部	遗传病史、一朝被蛇咬，十年怕井绳	无	无	1.8185
yibw	一杯	3	有其他得分更高候选，暂不推荐首选	1.6488	已被、椅背、一杯、一倍、以北	已被	无	无	1.9037
yibw	一倍	4	有其他得分更高候选，暂不推荐首选	1.4581	已被、椅背、一杯、一倍、以北	已被	无	无	1.9037
yicd	一猜	2	有其他得分更高候选，暂不推荐首选	1.2582	异彩、一猜	无	无	无	1.7635
yice	一侧	2	A：有评分依据，优先看首选	2.0617	臆测、一侧	无	无	无	1.8216
yicg	一层	2	B：可考虑首选，但前方有词缺分	1.4	亦曾、一层	亦曾	无	无	无
yici	一次	4	有其他得分更高候选，暂不推荐首选	1.4102	以此、依次、依此、一次、駅	无	无	无	2.2446
yicj	一餐	2	B：可考虑首选，但前方有词缺分	1.4365	蚁蚕、一餐	蚁蚕	无	无	无
yico	一撮	3	C：前有单字，另议	1.1318	易错、怈、一撮	易错	无	怈	无
yicu	一簇	1	已首选	1.0658	一簇	无	无	无	无
yicy	一寸	4	目标缺分，待人工看	缺失	遗存、已存、依存、一寸	已存	无	无	1.8612
yida	一大	3	A：有评分依据，优先看首选	1.8743	已达、益达、一大、医大、訲	无	无	无	1.4
yidc	一道	4	C：前有单字，另议	2.3455	已到、意、移到、一道、悥、譩、䪰、一刀	已到	意	无	1.4
yidc	一刀	8	有其他得分更高候选，暂不推荐首选	1.0603	已到、意、移到、一道、悥、譩、䪰、一刀	已到	意	悥、譩、䪰	2.3455
yidd	一代	3	B：可考虑首选，但前方有词缺分	2.5051	衣带、一插到底、一代、一袋、一带、衣袋	一插到底	无	无	1.6849
yidd	一袋	4	目标缺分，待人工看	缺失	衣带、一插到底、一代、一袋、一带、衣袋	一插到底	无	无	2.5051
yidd	一带	5	有其他得分更高候选，暂不推荐首选	1.9145	衣带、一插到底、一代、一袋、一带、衣袋	一插到底、一袋	无	无	2.5051
yidg	一等	2	A：有评分依据，优先看首选	2.1892	乙等、一等	无	无	无	1.5587
yidh	一档	3	C：前有单字，另议	1.6563	诒、一场大火、一档、詒、一挡	一场大火	诒	无	无
yidh	一挡	5	目标缺分，待人工看	缺失	诒、一场大火、一档、詒、一挡	一场大火	诒	詒	1.6563
yidi	一滴	3	有其他得分更高候选，暂不推荐首选	1.7014	异地、易地、一滴、訑、訳	无	无	无	2.4161
yidj	一旦	2	B：可考虑首选，但前方有词缺分	2.8286	已成定局、一旦	已成定局	无	无	无
yidk	一顶	3	有其他得分更高候选，暂不推荐首选	1.4	已定、议定、一顶、譯、一定	已定	无	无	1.6859
yidk	一定	5	C：前有单字，另议	3.8296	已定、议定、一顶、譯、一定	已定	无	譯	1.6859
yidm	一点	4	A：有评分依据，优先看首选	3.7326	疑点、椅垫、伊甸、一点	无	无	无	2.0116
yido	一朵	4	C：前有单字，另议	1.4	亿多、䚷、詍、一朵	亿多	无	䚷、詍	无
yidp	一叠	1	已首选	缺失	一叠、讉、一碟	无	无	无	无
yidp	一碟	3	C：前有单字，另议	1.4	一叠、讉、一碟	一叠	无	讉	无
yidq	一丢	5	目标缺分，待人工看	缺失	诣、已丢、詣、一超多强、一丢	已丢、一超多强	诣	詣	无
yidr	一段	3	有其他得分更高候选，暂不推荐首选	1.4084	异端、以诚待人、一段、一端、臆断、議	以诚待人	无	无	1.9854
yidr	一端	4	有其他得分更高候选，暂不推荐首选	1.2378	异端、以诚待人、一段、一端、臆断、議	以诚待人	无	无	1.9854
yids	一动	3	有其他得分更高候选，暂不推荐首选	1.595	移动、异动、一动、一栋、易懂、以东	无	无	无	2.7832
yids	一栋	4	有其他得分更高候选，暂不推荐首选	1.4455	移动、异动、一动、一栋、易懂、以东	无	无	无	2.7832
yidu	一度	4	A：有评分依据，优先看首选	2.3574	已读、遗毒、易读、一度、臆度	无	无	无	1.6135
yidv	一堆	4	有其他得分更高候选，暂不推荐首选	1.4	已对、乙队、已兑、一堆、一对、一队	已对、乙队、已兑	无	无	无
yidv	一对	5	B：可考虑首选，但前方有词缺分	2.5227	已对、乙队、已兑、一堆、一对、一队	已对、乙队、已兑	无	无	1.4
yidv	一队	6	有其他得分更高候选，暂不推荐首选	1.0565	已对、乙队、已兑、一堆、一对、一队	已对、乙队、已兑	无	无	2.5227
yidy	一顿	3	B：可考虑首选，但前方有词缺分	1.4	亿吨、一锤定音、一顿、鷾	一锤定音	无	无	1.4
yidz	一抖	3	目标缺分，待人工看	缺失	衣兜、疑窦、一抖	无	无	无	1.7996
yier	一二	1	已首选	2.2062	一二、艤、䣧、軼、轙、轶	无	无	无	无
yifa	一发	3	有其他得分更高候选，暂不推荐首选	1.3917	依法、已发、一发、伿、侇	无	无	无	2.3096
yiff	一分	4	B：可考虑首选，但前方有词缺分	1.9538	义愤、已分、已粉、一分、一份	已分、已粉	无	无	1.7244
yiff	一份	5	有其他得分更高候选，暂不推荐首选	1.4	义愤、已分、已粉、一分、一份	已分、已粉	无	无	1.9538
yifg	一封	3	有其他得分更高候选，暂不推荐首选	1.4	遗风、已疯、一封	已疯	无	无	1.7041
yifh	一方	3	有其他得分更高候选，暂不推荐首选	2.0186	以防、佁、一方、乙方	无	佁	无	2.1583
yifj	一番	4	C：前有单字，另议	2.6538	疑犯、已返、㑥、一番	已返	无	㑥	2.0887
yifu	一幅	3	有其他得分更高候选，暂不推荐首选	1.4084	衣服、依附、一幅、一副、姨夫、姨父、义父	无	无	无	3.4756
yifu	一副	4	有其他得分更高候选，暂不推荐首选	1.4	衣服、依附、一幅、一副、姨夫、姨父、义父	无	无	无	3.4756
yifw	一飞	4	有其他得分更高候选，暂不推荐首选	1.2801	亦非、已非、已废、一飞	已废	无	无	1.4
yigd	一概	3	B：可考虑首选，但前方有词缺分	2.0405	已改、易改、一概、医改	已改、易改	无	无	无
yige	一哥	3	有其他得分更高候选，暂不推荐首选	1.3573	亿个、已隔、一哥、一个	亿个、已隔	无	无	无
yige	一个	4	B：可考虑首选，但前方有词缺分	4.8226	亿个、已隔、一哥、一个	亿个、已隔	无	无	1.3573
yigf	一根	3	B：可考虑首选，但前方有词缺分	1.4236	已跟、翼根、一根	已跟、翼根	无	无	无
yigg	一更	4	目标缺分，待人工看	缺失	以、䬮、鉯、一更	无	以	䬮、鉯	无
yigh	一缸	3	目标缺分，待人工看	缺失	飴、珆、一缸	无	无	飴、珆	无
yigk	一拐	3	目标缺分，待人工看	缺失	䭞、㺿、一拐	无	无	䭞、㺿	无
yigl	一光	2	目标缺分，待人工看	缺失	釔、一光	无	无	釔	无
yigr	一贯	3	A：有评分依据，优先看首选	2.3942	衣冠、医馆、一贯、一罐、釴	无	无	无	1.8429
yigr	一罐	4	有其他得分更高候选，暂不推荐首选	1.4816	衣冠、医馆、一贯、一罐、釴	无	无	无	2.3942
yigs	一共	3	A：有评分依据，优先看首选	2.5703	以供、义工、一共	无	无	无	2.0818
yigu	一股	5	有其他得分更高候选，暂不推荐首选	1.4155	已故、遗孤、原创歌手、摇唇鼓舌、一股	原创歌手、摇唇鼓舌	无	无	2.0495
yihc	一号	4	C：前有单字，另议	1.7518	噫、壹号、易耗、一号	壹号、易耗	噫	无	无
yihe	一盒	4	有其他得分更高候选，暂不推荐首选	1.2021	咿、议和、已和、一盒、吚、㖂、沂河	已和	咿	无	1.583
yihg	一横	3	目标缺分，待人工看	缺失	以恒、养成好习惯、一横	以恒、养成好习惯	无	无	无
yihj	一喊	3	目标缺分，待人工看	缺失	遗憾、已含、一喊	已含	无	无	2.9198
yihl	一晃	1	已首选	2.0471	一晃、呓	无	无	无	无
yiho	一伙	3	有其他得分更高候选，暂不推荐首选	1.4815	疑惑、抑或、一伙、呭	无	无	无	2.3401
yihr	一环	5	目标缺分，待人工看	缺失	医患、易患、呹、遗患、一环	易患	无	呹	1.7267
yihs	一泓	2	目标缺分，待人工看	缺失	怡红、一泓	无	无	无	1.0841
yihu	一户	2	有其他得分更高候选，暂不推荐首选	1.1597	医护、一户、一壶	无	无	无	2.2587
yihu	一壶	3	目标缺分，待人工看	缺失	医护、一户、一壶	无	无	无	2.2587
yihv	一会	5	C：前有单字，另议	2.8908	议会、邑、意会、远程会诊、一会、一回、唈	远程会诊	邑	无	2.2127
yihv	一回	6	有其他得分更高候选，暂不推荐首选	1.4187	议会、邑、意会、远程会诊、一会、一回、唈	远程会诊	邑	无	2.8908
yihx	一花	4	目标缺分，待人工看	缺失	异化、移花、一出好戏、一花	移花、一出好戏	无	无	1.7898
yihz	一吼	3	目标缺分，待人工看	缺失	以后、蚁后、一吼	无	无	无	3.6527
yiia	一查	3	目标缺分，待人工看	缺失	羠、已查、一查	已查	无	羠	无
yiic	一朝	3	有其他得分更高候选，暂不推荐首选	1.1639	已超、蚁巢、一朝	已超	无	无	1.5263
yiig	一成	3	有其他得分更高候选，暂不推荐首选	1.5497	已成、议程、一成、一程、宜城	无	无	无	2.1506
yiig	一程	4	目标缺分，待人工看	缺失	已成、议程、一成、一程、宜城	无	无	无	2.1506
yiih	一场	3	有其他得分更高候选，暂不推荐首选	1.6706	异常、宜昌、一场、议长	无	无	无	2.639
yiii	一尺	4	目标缺分，待人工看	缺失	义齿、翼翅、㦾、一尺	无	无	㦾	1.631
yiij	一颤	2	目标缺分，待人工看	缺失	遗产、一颤	无	无	无	2.2082
yiil	一床	4	目标缺分，待人工看	缺失	扅、㝖、㞔、一床	无	扅	㝖、㞔	无
yiio	一戳	3	目标缺分，待人工看	缺失	䆿、寱、一戳	无	无	䆿、寱	无
