字	范围	原拆分	新拆分	全码变化	已有简码	新码位原候选
俐	核心8105	亻 ＋ 利	亻 ＋ 禾 ＋ 刂	lifr→lifs		lifs：例
利	核心8105	利	禾 ＋ 刂	lirr→liws	lir	liws：剓
梨	核心8105	利 ＋ 木	禾 ＋ 刂 ＋ 木	liro→liwo		liwo：离我、棃、觻、梨涡
浰	核心8105	氵 ＋ 利	氵 ＋ 禾 ＋ 刂	libr→libs；lmbr→lmbs		libs：空；lmbs：空
犁	核心8105	利 ＋ 牛	禾 ＋ 刂 ＋ 牛	lirc→liwc		liwc：䵓、犂
猁	核心8105	犭 ＋ 利	犭 ＋ 禾 ＋ 刂	livr→livs		livs：空
痢	核心8105	疒 ＋ 利	疒 ＋ 禾 ＋ 刂	lisr→liss		liss：刕、㾐
莉	核心8105	艹 ＋ 利	艹 ＋ 禾 ＋ 刂	lixr→lixs	lix	lixs：茘
蜊	核心8105	虫 ＋ 利	虫 ＋ 禾 ＋ 刂	limr→lims		lims：空
誗	扩展	言 ＋ 利	言 ＋ 禾 ＋ 刂	ijdr→ijds		ijds：颤动、潺动
鋓	扩展	全字头 ＋ 金字底 ＋ 利	全字头 ＋ 金字底 ＋ 禾 ＋ 刂	ijgr→ijgs		ijgs：蟾宫
䂰	扩展	石 ＋ 利	石 ＋ 禾 ＋ 刂	lajr→lajs		lajs：空
唎	扩展	口 ＋ 利	口 ＋ 禾 ＋ 刂	lihr→lihs		lihs：空
娳	扩展	女 ＋ 利	女 ＋ 禾 ＋ 刂	lizr→lizs		lizs：理综、李总
筣	扩展	竹头 ＋ 利	竹头 ＋ 禾 ＋ 刂	lirr→lirs		lirs：理容
䔣	扩展	艹 ＋ 利 ＋ 牛	艹 ＋ 禾 ＋ 刂 ＋ 牛	不变		无
䔧	扩展	艹 ＋ 利 ＋ 木	艹 ＋ 禾 ＋ 刂 ＋ 木	不变		无
䖽	扩展	利 ＋ 虫	禾 ＋ 刂 ＋ 虫	lirm→liwm		liwm：䖿
鋫	扩展	利 ＋ 金	禾 ＋ 刂 ＋ 金	lirk→liwk		liwk：錅、穲
㴝	扩展	利 ＋ 全字头 ＋ 水	禾 ＋ 刂 ＋ 全字头 ＋ 水	lirb→liwb		liwb：黎、䅻
悡	扩展	利 ＋ 心	禾 ＋ 刂 ＋ 心	lirc→liwc		liwc：䵓、犂
䱘	扩展	利 ＋ 魚	禾 ＋ 刂 ＋ 魚	liry→liwy		liwy：鯬、鵹
䵩	扩展	利 ＋ 黑	禾 ＋ 刂 ＋ 黑	lirr→liwr		liwr：黧
蟍	扩展	虫 ＋ 利 ＋ 木	虫 ＋ 禾 ＋ 刂 ＋ 木	不变		无
鏫	扩展	全字头 ＋ 金字底 ＋ 利 ＋ 木	全字头 ＋ 金字底 ＋ 禾 ＋ 刂 ＋ 木	不变		无
䬆	扩展	风省 ＋ 撇 ＋ 虫 ＋ 利	风省 ＋ 撇 ＋ 虫 ＋ 禾 ＋ 刂	linr→lins		lins：里弄
峲	扩展	山 ＋ 利	山 ＋ 禾 ＋ 刂	liyr→liys		liys：利用、峢、剺
鬁	扩展	一 ＋ 卢字头 ＋ 二 ＋ 厶 ＋ 彡 ＋ 利	一 ＋ 卢字头 ＋ 二 ＋ 厶 ＋ 彡 ＋ 禾 ＋ 刂	linr→lins		lins：里弄
悧	扩展	忄 ＋ 利	忄 ＋ 禾 ＋ 刂	licr→lics		lics：㤡、䮋
鯏	扩展	魚 ＋ 利	魚 ＋ 禾 ＋ 刂	liyr→liys		liys：利用、峢、剺
梸	扩展	木 ＋ 利	木 ＋ 禾 ＋ 刂	lior→lios		lios：劙
脷	扩展	月 ＋ 利	月 ＋ 禾 ＋ 刂	livr→livs		livs：空
琍	扩展	王 ＋ 利	王 ＋ 禾 ＋ 刂	ligr→ligs		ligs：立功、理工
