类别	根	展示名	宿主	核心用字数	扩展用字数	核心用字	扩展用字	讨论分组	可讨论拆法	说明
主根	付	付	付	13	27	付 俯 咐 府 拊 符 腐 腑 苻 跗 附 驸 鲋	䒀 捬 詂 䑧 袝 泭 㾈 蚹 鉜 焤 䮛 軵 駙 姇 䵾 弣 紨 怤 㤔 䂤 祔 鮒 柎 椨 䠵 胕 坿	优先讨论	亻＋寸	与利相似，左右组合
主根	居	居	居	11	13	倨 剧 居 崌 据 椐 琚 腒 裾 踞 锯	啹 䛯 婮 艍 涺 䅕 䵕 蜛 鋸 鶋 䝻 䱟 䋧	优先讨论	尸＋古	两现有根直接组合
主根	音	音	音	37	85	喑 噫 境 嫜 嶂 幛 彰 意 愔 戆 暗 暲 樟 歆 漳 獍 獐 璋 瘴 癔 窨 竟 章 臆 薏 蟑 谙 赣 鄣 镜 镱 障 音 韵 韶 黯 𫄷	醷 㛺 諳 萻 韽 鶕 䬓 隌 揞 䤃 罯 闇 腤 䪨 䪬 戅 戇 灨 贑 贛 䤗 㔶 噷 韹 䪦 頀 䪧 䪮 䔔 䪫 竸 鏡 傹 璄 糡 滰 竷 䀍 韷 韸 韼 堷 湆 樈 䪭 蔁 鏱 遧 瞕 麞 騿 慞 傽 鱆 墇 嬜 響 噾 䅧 瘖 䪩 䜾 韾 㢓 摿 嬑 譩 燱 澺 䖁 䗷 䪰 鐿 鷾 繶 憶 億 檍 偣 䪯 韺 䭗 摬 韻 韴	优先讨论	立＋日	上下组合
主根	古	古	古	46	71	估 做 克 兢 剋 古 咕 嘏 固 堌 姑 岵 崮 怙 故 枯 氪 沽 涸 湖 煳 牯 猢 瑚 痼 祜 糊 罟 胡 苦 菇 葫 蛄 蝴 诂 轱 辜 酤 醐 钴 锢 骷 鲴 鸪 鹕 𦙶	兝 嗰 箇 呄 個 嫴 詁 䇢 䓢 稒 㽽 錮 鈷 䀦 崓 㧽 軲 䍛 㱠 凅 盬 祻 鯝 鮕 棝 橭 怘 㼋 鴣 䀇 䐻 喖 㗅 婟 媩 䊀 箶 㾰 䭅 䩴 鍸 餬 㕆 鬍 衚 䠒 鰗 䭌 瓳 䎁 楛 鶘 鶦 楜 殑 娔 勀 勊 尅 䉐 䔯 狜 秙 瘔 跍 兣 兞 兛 鋴 㑸 夁	优先讨论	十＋口	上下组合，使用范围较大
主根	莫	莫	莫	21	24	募 墓 嫫 寞 幕 慕 摸 摹 暮 模 漠 瘼 膜 莫 蓦 蟆 谟 貘 鄚 镆 馍	㵹 蟇 驀 鬕 濗 冪 羃 嗼 謨 㷬 糢 謩 㱳 獏 鏌 饃 瞙 䮬 縸 暯 塻 幙 氁 慔	优先讨论	艹＋日＋大	三现有根组合
主根	至	至	至	28	67	侄 倒 偓 到 咥 喔 垤 室 屋 幄 捯 握 晊 桎 渥 痓 窒 绖 耋 至 致 臻 薹 蛭 轾 郅 铚 龌	箌 菿 椡 懛 䶍 䏄 㗧 螲 眰 峌 挃 絰 恎 㦶 耊 臷 跮 臵 䇪 荎 鵄 胵 腟 㬜 臸 臶 䌂 㘆 嬯 籉 䑓 擡 㒗 儓 檯 臺 厔 鰘 榁 㗌 姪 䘭 㴛 洷 潌 秷 䬹 銍 䞃 庢 㨖 輊 駤 緻 䦯 祬 㮹 膣 媉 齷 䠎 楃 腛 誈 箼 剭 臹	可讨论	一＋厶＋土	三现有根组合
主根	俞	俞	俞	22	34	㺄 俞 偷 喻 嵛 愈 愉 揄 榆 毹 渝 瑜 窬 腧 蝓 褕 觎 谕 输 逾 鄃 隃	䕆 踰 䤅 㡏 媮 諭 䵉 㓱 鍮 㢏 緰 瀭 䩱 輸 毺 䠼 萮 蕍 瘉 癒 歈 㼶 覦 䬔 睮 崳 䜽 騟 羭 貐 䃋 匬 牏 堬	可讨论	人＋一＋月＋刂	拆后四根，需核对族字内变形
主根	佥	佥	佥	18	1	佥 俭 剑 崄 捡 敛 检 殓 潋 猃 睑 签 脸 莶 蔹 裣 险 验	硷	可讨论	人＋一＋⺌＋一	拆后四根，⺌为现有尚字头展示名
主根	暴	暴	暴	4	11	暴 曝 瀑 爆	嚗 鑤 䤖 㿺 儤 襮 犦 䂍 㩧 懪 鸔	可讨论	日＋龷＋八＋氺	结构较复杂，需逐字复核
附属根	采	采	爫	5	12	彩 睬 菜 踩 采	啋 婇 䌽 寀 䰂 採 綵 㥒 倸 棌 䐆 埰	附属根候选	爫＋木	挂爫家族
附属根	各	各	又	36	57	各 咯 喀 垎 客 恪 搁 撂 格 洛 潞 烙 珞 璐 略 硌 络 胳 落 蕗 袼 貉 赂 路 辂 酪 铬 阁 雒 露 额 饹 骆 骼 髂 鹭	詻 額 頟 峉 㗉 茖 蛒 鉻 䧄 敋 㪾 鵅 挌 擱 臵 閣 佫 㦴 觡 鮥 櫊 狢 䅂 䶅 輅 楁 䞦 駱 䘔 衉 愙 㤩 揢 愘 碦 絡 嗠 餎 䈷 笿 䀩 㓢 峈 洜 䎊 鴼 㨼 䌎 畧 㑼 簬 簵 虂 鏴 賂 鷺 㯝	附属根候选	夂＋口	挂又家族，夂也是现有附属根
附属根	血	血	皿	6	27	恤 洫 血 衃 衄 衅	潨 衈 衁 䘔 衉 䘓 䘑 衇 衊 䘐 衂 卹 䝦 衆 䆝 衋 䒸 桖 烅 裇 賉 䦗 殈 侐 欰 䘏 䘒	附属根候选	丿＋皿	挂皿家族
