字	范围	原拆分	容错拆法	原全码	拟加全码	已有简码	目标原候选	目标原核心字	已存在
涺	扩展	氵 ＋ 居	氵 ＋ 尸 ＋ 古	jubd	jubp		空	无	False
居	核心	居	尸 ＋ 古	judd	juip		介绍产品	无	False
䛯	扩展	言 ＋ 居	言 ＋ 尸 ＋ 古	judd	judp		剧跌	无	False
剧	核心	居 ＋ 刂	尸 ＋ 古 ＋ 刂	juds	juis	jud	巨虫	无	False
鶋	扩展	居 ＋ 鳥	尸 ＋ 古 ＋ 鳥	judy	juiy		积水成渊	无	False
艍	扩展	舟 ＋ 居	舟 ＋ 尸 ＋ 古	jued	juep		空	无	False
倨	核心	亻 ＋ 居	亻 ＋ 尸 ＋ 古	jufd	jufp		空	无	False
琚	核心	王 ＋ 居	王 ＋ 尸 ＋ 古	jugd	jugp		空	无	False
鋸	扩展	全字头 ＋ 金字底 ＋ 居	全字头 ＋ 金字底 ＋ 尸 ＋ 古	jugd	jugp		空	无	False
啹	扩展	口 ＋ 居	口 ＋ 尸 ＋ 古	juhd	juhp		空	无	False
锯	核心	钅 ＋ 居	钅 ＋ 尸 ＋ 古	jukd	jukp	juk	空	无	False
据	核心	扌 ＋ 居	扌 ＋ 尸 ＋ 古	juld	julp	ju	剧烈	无	False
蜛	扩展	虫 ＋ 居	虫 ＋ 尸 ＋ 古	jumd	jump		俱灭	无	False
椐	核心	木 ＋ 居	木 ＋ 尸 ＋ 古	juod	juop		空	无	False
䝻	扩展	目 ＋ 八 ＋ 居	目 ＋ 八 ＋ 尸 ＋ 古	juqd	juqp		郹、锯切、具且	无	False
裾	核心	衤 ＋ 居	衤 ＋ 尸 ＋ 古	juud	juup	juu	技术水平	无	False
腒	核心	月 ＋ 居	月 ＋ 尸 ＋ 古	juvd	juvp		空	无	False
䅕	扩展	禾 ＋ 居	禾 ＋ 尸 ＋ 古	juwd	juwp		邭、䢹	无	False
䵕	扩展	禾 ＋ 全字头 ＋ 氺 ＋ 居	禾 ＋ 全字头 ＋ 氺 ＋ 尸 ＋ 古	juwd	juwp		邭、䢹	无	False
崌	核心	山 ＋ 居	山 ＋ 尸 ＋ 古	juyd	juyp		计生用品、精神药品	无	False
䱟	扩展	魚 ＋ 居	魚 ＋ 尸 ＋ 古	juyd	juyp		计生用品、精神药品	无	False
踞	核心	足旁 ＋ 居	足旁 ＋ 尸 ＋ 古	juzd	juzp		空	无	False
婮	扩展	女 ＋ 居	女 ＋ 尸 ＋ 古	juzd	juzp		空	无	False
䋧	扩展	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 居	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 尸 ＋ 古	qujd	qujp		曲解、去接	无	False
