码位	实施规则前	本次修改前	本次修改后	后续变化
yd	一定、一旦、一点、有点	有点、一定、一点、一旦	一定、一旦、一点、有点	无
yg	一个、一股、一根、一共、应该、有关	应该、一个、一共、一根、一股、有关	一个、一股、一根、一共、应该、有关	无
yj	眼、一件、一句、眼睛、已经	眼、一句、一件、眼睛、已经	眼、一件、一句、眼睛、已经	无
yn	一年、又能	又能、一年	一年、又能	无
yv	一直、一种、一阵、一只、严重、眼中	严重、一直、一阵、一种、一只、眼中	一直、一种、一阵、一只、严重、眼中	无
yx	一下、一些、有些	有些、一下、一些	一下、一些、有些	无
yy	云、一眼、一样、原因	运、一样、一眼、原因	运、一眼、一样、原因	保留现有字词及非一词相对顺序
yian	议案、义、疑案、一暗、一案、依安	议案、一暗、一案、义、疑案、依安	议案、义、疑案、一暗、一案、依安	无
yiba	潩、已把、溢、瀷、㳑、一把	潩、一把、已把、溢、瀷、㳑	潩、已把、溢、瀷、㳑、一把	无
yibc	医保、易爆、异常报错、一包、澺	医保、一包、易爆、异常报错、澺	医保、易爆、异常报错、一包、澺	无
yibd	衣摆、扬长避短、严惩不贷、一百	衣摆、一百、扬长避短、严惩不贷	衣摆、扬长避短、严惩不贷、一百	无
yibf	译本、乙苯、一本	译本、一本、乙苯	译本、乙苯、一本	无
yibh	异邦、依傍、一帮、㵝	异邦、一帮、依傍、㵝	异邦、依傍、一帮、㵝	无
yibj	已办、乙班、一瓣、一般、一半、一斑	已办、一般、一半、一瓣、一斑、乙班	已办、乙班、一瓣、一般、一半、一斑	无
yibk	疫病、疑兵、一柄、㶠、一并	疫病、一柄、一并、疑兵、㶠	疫病、疑兵、一柄、㶠、一并	无
yibm	以便、异变、溢出屏幕、一遍、一边	以便、一边、一遍、异变、溢出屏幕	以便、异变、溢出屏幕、一遍、一边	无
yibo	衣钵、已拨、㵩、一波	衣钵、一波、已拨、㵩	衣钵、已拨、㵩、一波	无
yibu	移步、异步、遗传病史、一朝被蛇咬，十年怕井绳、一步、一部	移步、一步、一部、异步、遗传病史、一朝被蛇咬，十年怕井绳	移步、异步、遗传病史、一朝被蛇咬，十年怕井绳、一步、一部	无
yibw	已被、椅背、一杯、一倍、以北	已被、一杯、一倍、椅背、以北	已被、椅背、一杯、一倍、以北	无
yici	以此、依次、依此、一次	以此、一次、依次、依此、駅	以此、依次、依此、一次、駅	保留现有字词及非一词相对顺序
yico	易错、怈、一撮	易错、一撮、怈	易错、怈、一撮	无
yicy	遗存、已存、依存、一寸	遗存、一寸、已存、依存	遗存、已存、依存、一寸	无
yida	已达、益达、一大、医大、訲	已达、一大、益达、医大、訲	已达、益达、一大、医大、訲	无
yidc	已到、意、移到、一道、悥、譩、䪰、一刀	已到、一道、一刀、意、移到、悥、譩、䪰	已到、意、移到、一道、悥、譩、䪰、一刀	无
yidd	衣带、一插到底、一代、一袋、一带、衣袋	衣带、一代、一袋、一带、一插到底、衣袋	衣带、一插到底、一代、一袋、一带、衣袋	无
yidh	诒、一场大火、一档、詒、一挡	诒、一档、一挡、一场大火、詒	诒、一场大火、一档、詒、一挡	无
yidi	异地、易地、一滴、訑、訳	异地、一滴、易地、訑、訳	异地、易地、一滴、訑、訳	无
yidk	已定、议定、一顶、譯、一定	已定、一定、一顶、议定、譯	已定、议定、一顶、譯、一定	无
yidm	疑点、椅垫、伊甸、一点	疑点、一点、椅垫、伊甸	疑点、椅垫、伊甸、一点	无
yido	亿多、䚷、詍、一朵	亿多、一朵、䚷、詍	亿多、䚷、詍、一朵	无
yidp	一叠、讉、一碟	讉、一叠、一碟	一叠、讉、一碟	无
yidq	诣、已丢、詣、一超多强、一丢	诣、一丢、已丢、詣、一超多强	诣、已丢、詣、一超多强、一丢	无
yidr	异端、以诚待人、一段、一端、臆断、議、鷾	异端、一段、一端、以诚待人、臆断、議	异端、以诚待人、一段、一端、臆断、議	保留现有字词及非一词相对顺序
yids	移动、异动、一动、一栋、易懂、以东	移动、一动、一栋、异动、易懂、以东	移动、异动、一动、一栋、易懂、以东	无
yidu	已读、遗毒、易读、一度、臆度	已读、一度、遗毒、易读、臆度	已读、遗毒、易读、一度、臆度	无
yidv	已对、乙队、已兑、一堆、一对、一队	已对、一对、一堆、一队、乙队、已兑	已对、乙队、已兑、一堆、一对、一队	无
yidy	亿吨、一锤定音、一顿	亿吨、一顿、一锤定音、鷾	亿吨、一锤定音、一顿、鷾	保留现有字词及非一词相对顺序
yidz	衣兜、疑窦、一抖	衣兜、一抖、疑窦	衣兜、疑窦、一抖	无
yier	一二、轶、艤、䣧、鸃	艤、一二、䣧、軼、轙、轶	一二、艤、䣧、軼、轙、轶	保留现有字词及非一词相对顺序
yifa	依法、已发、一发、伿、侇	依法、一发、已发、伿、侇	依法、已发、一发、伿、侇	无
yiff	义愤、已分、已粉、一分、一份	义愤、一分、一份、已分、已粉	义愤、已分、已粉、一分、一份	无
yifg	遗风、已疯、一封	遗风、一封、已疯	遗风、已疯、一封	无
yifh	以防、佁、一方、乙方	以防、一方、佁、乙方	以防、佁、一方、乙方	无
yifj	疑犯、已返、㑥、一番	疑犯、一番、已返、㑥	疑犯、已返、㑥、一番	无
yifu	衣服、依附、一幅、一副、姨夫、姨父、义父	衣服、一幅、一副、依附、姨夫、姨父、义父	衣服、依附、一幅、一副、姨夫、姨父、义父	无
yifw	亦非、已非、已废、一飞	亦非、一飞、已非、已废	亦非、已非、已废、一飞	无
yigd	已改、易改、一概、医改	已改、一概、易改、医改	已改、易改、一概、医改	无
yige	亿个、已隔、一哥、一个	亿个、一个、一哥、已隔	亿个、已隔、一哥、一个	无
