汉字	拼音	旧频率	新已分配频率	变化	该字待分配频率
一	yi	597377	601443	4066	2613
丁	ding	2778	2834	56	806
七	qi	3874	3901	27	193
万	wan	15235	15431	196	2904
三	san	25828	25853	25	422
上	shang	236141	236157	16	294
下	xia	153494	153497	3	68
不	bu	904343	903982	-361	693
丑	chou	2937	2948	11	0
丕	pi	7	4	-3	3
世	shi	21559	21557	-2	9
丙	bing	196	197	1	0
东	dong	43756	43761	5	287
丝	si	6061	6067	6	631
严	yan	6568	6567	-1	2
个	ge	411187	452641	41454	285
中	zhong	69655	69654	-1	91
丹	dan	4362	4356	-6	534
为	wei	249119	249155	36	77
丽	li	8556	8674	118	2330
之	zhi	64368	64376	8	379
乍	zha	74	80	6	0
乐	le	15855	15972	117	1137
乐	yue	9443	9347	-96	1137
乔	qiao	5612	5611	-1	1041
乙	yi	218	217	-1	1
九	jiu	2501	2502	1	152
书	shu	13238	13244	6	116
乱	luan	8378	8381	3	3
了	le	956104	956101	-3	2443
了	liao	37018	35499	-1519	2443
事	shi	175060	179670	4610	46
二	er	16413	16418	5	396
于	yu	45398	45397	-1	32
云	yun	1556	1571	15	38
五	wu	11485	11527	42	719
亚	ya	14112	14087	-25	1602
交	jiao	19604	19517	-87	102
亨	heng	1278	1277	-1	307
京	jing	1274	1271	-3	58
亮	liang	14134	14132	-2	25
亲	qin	42408	42424	16	56
亲	qing	37	22	-15	56
人	ren	372439	372465	26	827
亿	yi	1346	1371	25	150
什	shi	440	398	-42	2479
今	jin	44942	44975	33	1
从	cong	69701	69700	-1	89
仓	cang	1319	1320	1	1
他	ta	555121	555405	284	9072
令	ling	12318	12159	-159	168
们	men	700909	701754	845	2
价	jia	8674	8683	9	84
份	fen	14658	14739	81	15
伊	yi	8516	8554	38	1627
伍	wu	3059	3057	-2	397
众	zhong	7201	7242	41	128
会	hui	314961	319842	4881	833
会	kuai	819	813	-6	833
传	chuan	12467	12494	27	264
传	zhuan	384	326	-58	264
伦	lun	6233	6740	507	1164
伯	bai	2	0	-2	3473
伯	bo	2834	3052	218	3473
伴	ban	4852	4854	2	0
伺	si	52	51	-1	9
似	si	7266	5439	-1827	2054
伽	jia	33	32	-1	333
但	dan	122206	122205	-1	31
住	zhu	38386	38461	75	21
佐	zuo	920	930	10	99
何	he	37946	37952	6	35
佘	she	8	5	-3	4
佚	yi	0	1	1	0
佛	fo	1229	1791	562	1895
佛	fu	802	331	-471	1895
作	zuo	68004	68003	-1	165
佝	gou	6	5	-1	5
你	ni	1444008	1444831	823	638
佩	pei	1834	1969	135	507
佯	yang	37	38	1	2
佳	jia	2253	2251	-2	58
使	shi	16912	16910	-2	3
侃	kan	72	71	-1	1
供	gong	5791	5609	-182	192
依	yi	3594	3592	-2	64
侧	ce	1373	1401	28	10
侵	qin	2205	2201	-4	4
便	pian	1085	1027	-58	79
俊	jun	588	598	10	329
信	xin	57842	57820	-22	108
俩	lia	9078	9093	15	12
修	xiu	7656	7655	-1	144
俾	bi	13	12	-1	1
倘	tang	39	40	1	2
倩	qian	82	76	-6	7
倾	qing	1781	1776	-5	5
做	zuo	136306	136316	10	12
健	jian	4141	4140	-1	6
偻	lou	1	0	-1	5
傻	sha	7836	7840	4	2
僵	jiang	985	990	5	0
儿	er	37201	105025	67824	377
元	yuan	8684	8682	-2	83
兄	xiong	14368	14304	-64	69
兆	zhao	711	716	5	2
先	xian	71225	71227	2	26
光	guang	17187	17185	-2	101
克	ke	44887	45382	495	8287
入	ru	24246	24260	14	9
全	quan	47512	47510	-2	35
八	ba	6014	6028	14	194
公	gong	39263	39258	-5	34
六	liu	6482	6889	407	550
兰	lan	11355	11366	11	1106
典	dian	3275	3274	-1	2
兹	zi	417	427	10	2702
养	yang	7302	7292	-10	21
内	nei	18731	18629	-102	463
冒	mao	5723	5726	3	3
军	jun	14559	14543	-16	973
农	nong	2167	2172	5	83
冰	bing	6062	6102	40	43
冲	chong	7517	7516	-1	5
冷	leng	9123	9106	-17	93
冼	xian	1	0	-1	1
凑	cou	673	675	2	1
凯	kai	6160	6272	112	1133
出	chu	129362	129144	-218	261
刀	dao	4989	4996	7	3
分	fen	48038	48063	25	333
切	qie	27957	27950	-7	252
刑	xing	2745	2749	4	52
划	hua	11747	11757	10	116
刚	gang	31261	31242	-19	85
初	chu	3739	3738	-1	2
刨	bao	23	0	-23	67
利	li	30161	30143	-18	2774
别	bie	101980	101978	-2	56
到	dao	290224	290229	5	2
制	zhi	16436	16422	-14	98
券	quan	524	540	16	123
削	xue	268	266	-2	165
前	qian	75218	75234	16	2
剑	jian	1527	1526	-1	12
剖	pou	509	470	-39	39
剥	bo	384	382	-2	326
力	li	44551	44563	12	296
劝	quan	871	866	-5	6
办	ban	28673	28674	1	32
动	dong	49002	48984	-18	290
努	nu	6479	6489	10	242
劲	jin	3418	3445	27	237
劲	jing	134	152	18	237
劳	lao	4259	4252	-7	324
勇	yong	3863	3860	-3	25
勋	xun	713	712	-1	25
勒	le	2327	2358	31	3717
勒	lei	1	118	117	3717
勤	qin	1107	1108	1	2
勾	gou	1240	1225	-15	15
北	bei	3713	3714	1	54
匣	xia	55	76	21	0
区	qu	11510	11515	5	261
千	qian	7115	7172	57	782
协	xie	4184	4168	-16	23
卒	zu	126	134	8	37
单	dan	16358	16349	-9	2545
卖	mai	10954	10957	3	36
南	nan	5062	5123	61	1153
博	bo	8631	8650	19	383
卜	bu	93	83	-10	208
卡	ka	7876	8526	650	10978
卡	qia	52	32	-20	10978
卢	lu	1620	1619	-1	305
卷	juan	3302	3320	18	14
厂	chang	2026	2030	4	48
压	ya	6473	6419	-54	64
原	yuan	21228	21222	-6	52
厦	sha	408	398	-10	13
参	can	13391	13434	43	81
参	shen	71	50	-21	81
友	you	40116	40103	-13	46
双	shuang	6379	6378	-1	3
发	fa	87424	87499	75	131
取	qu	12409	12405	-4	4
口	kou	21174	21178	4	207
古	gu	5701	5706	5	408
叨	dao	420	414	-6	101
叨	tao	0	6	6	101
只	zhi	117406	117380	-26	30
叫	jiao	41269	41268	-1	1
召	zhao	1502	1518	16	28
可	ke	212487	212485	-2	185
台	tai	13365	13361	-4	58
史	shi	7074	7069	-5	933
叶	ye	1258	1285	27	243
各	ge	9443	9445	2	45
合	he	27085	27101	16	277
吉	ji	7639	7609	-30	1281
同	tong	42985	42798	-187	197
名	ming	41327	41328	1	1901
后	hou	109846	109848	2	67
向	xiang	24561	24565	4	31
吓	he	419	398	-21	95
君	jun	1378	1379	1	522
听	ting	81564	81567	3	3
吭	keng	63	61	-2	25
启	qi	2473	2472	-1	3
吱	zhi	35	15	-20	84
吴	wu	282	277	-5	24
吸	xi	11419	11415	-4	5
呀	ya	11308	11309	1	0
呕	ou	635	619	-16	16
员	yuan	29256	29268	12	640
呢	ne	76594	76595	1	35
呢	ni	717	711	-6	35
呱	gua	54	70	16	34
和	he	154380	154405	25	635
和	huo	1018	897	-121	635
咔	ka	132	78	-54	54
咖	ga	124	119	-5	270
咯	ge	168	154	-14	1306
咯	ka	0	14	14	1306
咽	ye	26	21	-5	133
品	pin	14295	14278	-17	40
哇	wa	10283	10349	66	17
哈	ha	15348	15351	3	1136
响	xiang	5949	5929	-20	27
哟	yo	1279	1289	10	3
哥	ge	17838	18720	882	125
哧	chi	19	17	-2	2
哨	shao	526	531	5	0
哪	na	44502	59375	14873	104
哲	zhe	807	808	1	79
哽	geng	9	4	-5	5
唐	tang	1523	1521	-2	418
唧	ji	196	198	2	0
唬	hu	449	475	26	0
唱	chang	11863	11820	-43	102
喀	ka	196	178	-18	31
喱	li	124	119	-5	5
喳	zha	108	124	16	11
嗨	hai	25335	25345	10	0
嘉	jia	851	849	-2	86
器	qi	16522	16467	-55	146
嚓	ca	18	0	-18	91
嚓	cha	54	0	-54	91
嚼	jiao	22	5	-17	406
四	si	12996	12987	-9	255
回	hui	92680	92695	15	19
团	tuan	9743	9723	-20	26
国	guo	40511	40513	2	200
图	tu	10637	10635	-2	275
圈	juan	194	175	-19	164
土	tu	4692	4697	5	174
圣	sheng	11843	11842	-1	333
圪	ge	0	1	1	0
地	de	171	91	-80	588
地	di	77331	77450	119	588
场	chang	34472	34720	248	26
坂	ban	68	67	-1	1
坎	kan	638	643	5	187
坏	huai	14954	14975	21	130
块	kuai	10819	11379	560	3
坤	kun	219	218	-1	5
坦	tan	4451	4449	-2	431
埃	ai	3602	3600	-2	834
城	cheng	10278	10277	-1	129
培	pei	1182	1179	-3	39
堂	tang	5748	5727	-21	50
堆	dui	2846	2863	17	25
堡	bao	2115	2113	-2	607
堡	pu	0	2	2	607
堪	kan	1331	1320	-11	11
塔	ta	2244	2439	195	3719
塞	sai	908	1098	190	3882
塞	se	377	329	-48	3882
墙	qiang	3292	3294	2	6
壁	bi	1746	1739	-7	8
声	sheng	18200	18180	-20	79
壳	ke	514	592	78	231
壳	qiao	215	179	-36	231
壶	hu	334	336	2	47
夏	xia	3531	3530	-1	161
外	wai	31731	31688	-43	59
多	duo	103208	103144	-64	905
夜	ye	9432	9438	6	0
大	da	131308	131493	185	2335
大	dai	1523	1331	-192	2335
天	tian	126883	126873	-10	180
太	tai	80871	80877	6	13
夫	fu	22403	22440	37	1333
头	tou	46828	48823	1995	246
夹	jia	1794	1810	16	91
奂	huan	29	28	-1	1
奇	ji	21	19	-2	2982
奇	qi	14565	14951	386	2982
奈	nai	1302	1300	-2	150
奎	kui	549	548	-1	149
奏	zou	2052	2020	-32	133
奕	yi	93	91	-2	2
奥	ao	6903	6906	3	1785
奴	nu	1217	1218	1	6
她	ta	230332	230468	136	0
好	hao	412709	412704	-5	56
妈	ma	70523	70522	-1	9007
妍	yan	233	226	-7	17
妞	niu	1772	1768	-4	4
妮	ni	4194	4168	-26	769
姆	mu	8040	8110	70	1758
姐	jie	15919	15918	-1	15
姗	shan	105	97	-8	20
姜	jiang	454	450	-4	11
姥	lao	183	202	19	0
姬	ji	844	843	-1	14
威	wei	10033	10053	20	1089
娃	wa	2720	2718	-2	84
娅	ya	859	790	-69	560
娜	na	1350	1920	570	3830
娣	di	56	55	-1	1
娥	e	133	132	-1	1
娴	xian	53	46	-7	8
婕	jie	36	33	-3	4
婷	ting	83	78	-5	5
媛	yuan	192	177	-15	20
子	zi	176962	176968	6	725
孑	jie	23	21	-2	2
孔	kong	1288	1289	1	12
孚	fu	26	25	-1	1
孟	meng	406	400	-6	26
季	ji	6575	6573	-2	12
学	xue	41887	41841	-46	123
安	an	39860	39898	38	1821
宋	song	321	309	-12	31
官	guan	21100	21099	-1	306
定	ding	81642	81648	6	9
宜	yi	1450	1392	-58	62
宝	bao	18735	18758	23	100
审	shen	6285	6275	-10	11
客	ke	12786	12727	-59	83
害	hai	25604	25605	1	1
宴	yan	1458	1463	5	0
家	jia	108398	110865	2467	1582
容	rong	11245	11239	-6	26
宾	bin	2384	2332	-52	206
宿	su	919	925	6	409
宿	xiu	1	0	-1	409
对	dui	191728	191767	39	26
寻	xun	5807	5826	19	6
寿	shou	663	675	12	8
将	jiang	30450	30454	4	6
尊	zun	4525	4508	-17	17
小	xiao	97951	97919	-32	1549
少	shao	28264	28262	-2	4
尔	er	32284	32083	-201	9201
尚	shang	2565	2563	-2	31
尤	you	2447	2446	-1	233
就	jiu	313574	313548	-26	245
尹	yin	137	134	-3	4
尺	che	3	0	-3	28
尺	chi	2634	2635	1	28
尼	ni	15967	16177	210	3356
尾	wei	2989	2991	2	118
尿	niao	982	1025	43	1818
尿	sui	39	0	-39	1818
屋	wu	6241	6243	2	142
屏	bing	38	94	56	69
屏	ping	701	720	19	69
展	zhan	8295	8318	23	54
屯	tun	15	16	1	1
山	shan	8490	8495	5	284
岁	sui	12744	12742	-2	2
岐	qi	32	31	-1	1
岑	cen	11	5	-6	6
岱	dai	33	26	-7	7
岸	an	1686	1692	6	1
崴	wai	43	31	-12	12
嵩	song	11	2	-9	9
巍	wei	16	15	-1	1
川	chuan	723	730	7	47
州	zhou	6859	6863	4	134
左	zuo	5156	5124	-32	36
巧	qiao	5315	5294	-21	27
差	cha	9941	10094	153	86
差	chai	971	923	-48	86
己	ji	58674	58673	-1	1
巴	ba	13214	13115	-99	1330
市	shi	10346	10343	-3	110
布	bu	15695	15653	-42	2601
师	shi	21195	21194	-1	132
希	xi	30454	30447	-7	751
帝	di	15974	15972	-2	16
帧	zhen	0	2	2	55
席	xi	3062	3061	-1	44
幅	fu	1251	1274	23	0
干	gan	60800	60827	27	144
平	ping	14612	14617	5	122
年	nian	54494	54771	277	53
幺	yao	50	49	-1	1
广	guang	4789	4806	17	90
庆	qing	2877	2875	-2	7
床	chuang	8693	8692	-1	14
库	ku	4395	4402	7	352
底	di	20049	20089	40	121
庞	pang	727	725	-2	22
度	du	17183	17182	-1	186
度	duo	17	16	-1	186
庵	an	7	4	-3	3
延	yan	1812	1811	-1	10
廿	nian	16	17	1	5
开	kai	126750	126742	-8	60
弄	long	79	75	-4	37
弄	nong	15119	15134	15	37
式	shi	12084	12087	3	55
弗	fu	5223	5221	-2	1374
张	zhang	18712	18708	-4	51
弦	xian	383	354	-29	32
弭	mi	7	6	-1	1
弯	wan	1187	1188	1	1
弹	dan	8383	8189	-194	2467
弹	tan	651	805	154	2467
强	qiang	15260	15394	134	329
弼	bi	73	65	-8	10
归	gui	4202	4197	-5	38
当	dang	80075	80077	2	151
征	zheng	2504	2498	-6	6
徐	xu	99	98	-1	15
得	de	197402	196994	-408	1731
得	dei	9842	9329	-513	1731
德	de	21756	21798	42	5351
心	xin	83307	83246	-61	172
志	zhi	7193	7188	-5	16
思	si	33940	33874	-66	981
怡	yi	95	85	-10	15
性	xing	28027	28018	-9	84
总	zong	29797	29782	-15	18
恩	en	12132	12124	-8	1241
恭	gong	3613	3612	-1	2
恶	e	11049	11103	54	18
恶	wu	1359	1330	-29	18
恺	kai	250	243	-7	38
悬	xuan	873	875	2	1
情	qing	69192	69196	4	83
惠	hui	894	890	-4	150
愎	bi	4	3	-1	1
愚	yu	2720	2721	1	0
感	gan	60999	61023	24	31
愠	yun	2	3	1	0
懒	lan	869	891	22	0
戈	ge	1549	1543	-6	249
戏	xi	11205	11206	1	88
成	cheng	61149	61182	33	166
我	wo	2056878	2058928	2050	52
战	zhan	18474	18466	-8	45
戛	ga	0	42	42	0
戛	jia	50	8	-42	0
戳	chuo	486	488	2	0
所	suo	100415	100414	-1	30
手	shou	75536	75507	-29	101
才	cai	46019	46025	6	19
扎	za	165	112	-53	1115
扎	zha	982	1334	352	1115
打	da	79197	79238	41	24
托	tuo	15283	15315	32	962
扳	ban	505	520	15	66
把	ba	126643	126645	2	236
折	zhe	3729	3738	9	18
抚	fu	1208	1215	7	0
抱	bao	26803	26802	-1	1
抹	mo	230	296	66	571
拉	la	26916	27079	163	3928
拎	lin	0	87	87	0
拜	bai	14624	14610	-14	112
