汉字	拼音	已分配频率	其中历史单字裁决	该字待分配频率	该字原始总频	状态
㑇	zhou	0	0	0	0	未观测到分配证据；不等于实际零频
㑊	yi	0	0	0	0	未观测到分配证据；不等于实际零频
㕮	fu	0	0	0	0	未观测到分配证据；不等于实际零频
㘎	han	0	0	0	0	未观测到分配证据；不等于实际零频
㙍	duo	0	0	0	0	未观测到分配证据；不等于实际零频
㙘	yao	0	0	0	0	未观测到分配证据；不等于实际零频
㙦	xie	0	0	0	0	未观测到分配证据；不等于实际零频
㛃	jie	0	0	0	0	未观测到分配证据；不等于实际零频
㛚	tong	0	0	0	0	未观测到分配证据；不等于实际零频
㛹	pian	0	0	0	0	未观测到分配证据；不等于实际零频
㟃	si	0	0	0	0	未观测到分配证据；不等于实际零频
㠇	jiu	0	0	0	0	未观测到分配证据；不等于实际零频
㠓	meng	0	0	0	0	未观测到分配证据；不等于实际零频
㤘	zhou	0	0	0	0	未观测到分配证据；不等于实际零频
㥄	ling	0	0	0	0	未观测到分配证据；不等于实际零频
㧐	song	0	0	0	0	未观测到分配证据；不等于实际零频
㧑	hui	0	0	0	0	未观测到分配证据；不等于实际零频
㧟	kuai	0	0	0	0	未观测到分配证据；不等于实际零频
㫰	lang	0	0	0	0	未观测到分配证据；不等于实际零频
㬊	huan	0	0	0	0	未观测到分配证据；不等于实际零频
㬎	xian	0	0	0	0	未观测到分配证据；不等于实际零频
㬚	che	0	0	0	0	未观测到分配证据；不等于实际零频
㭎	gang	0	0	0	0	未观测到分配证据；不等于实际零频
㭕	qu	0	0	0	0	未观测到分配证据；不等于实际零频
㮾	lang	0	0	0	0	未观测到分配证据；不等于实际零频
㰀	li	0	0	0	0	未观测到分配证据；不等于实际零频
㳇	fu	0	0	0	0	未观测到分配证据；不等于实际零频
㳘	chong	0	0	0	0	未观测到分配证据；不等于实际零频
㳚	xu	0	0	0	0	未观测到分配证据；不等于实际零频
㴔	ji	0	0	0	0	未观测到分配证据；不等于实际零频
㵐	jue	0	0	0	0	未观测到分配证据；不等于实际零频
㶲	yong	0	0	0	0	未观测到分配证据；不等于实际零频
㸆	kao	0	0	0	0	未观测到分配证据；不等于实际零频
㸌	huo	0	0	0	0	未观测到分配证据；不等于实际零频
㺄	yu	0	0	0	0	未观测到分配证据；不等于实际零频
㻬	tu	0	0	0	0	未观测到分配证据；不等于实际零频
㽏	gan	0	0	0	0	未观测到分配证据；不等于实际零频
㿠	huang	0	0	0	0	未观测到分配证据；不等于实际零频
