汉字	单字原始池	历史分配	剩余	逐音分配
丁	572	572	0	ding:572
万	6031	6031	0	mo:0；wan:6031
且	642	642	0	qie:642
么	39120	39120	0	me:39120
乐	1747	1747	0	le:1467；yue:280
乘	868	868	0	cheng:868
乾	60	60	0	qian:60
了	946418	946365	53	le:925669；liao:20696
亡	247	247	0	wang:247
亲	2181	2180	1	qin:2180；qing:0
价	514	514	0	jia:514；jie:0
会	265929	265929	0	hui:265581；kuai:348
传	2133	2133	0	chuan:2097；zhuan:36
伯	468	468	0	bai:0；bo:468
佃	4	4	0	dian:4
侧	655	651	4	ce:651
便	2380	2380	0	bian:2273；pian:107
俊	82	82	0	jun:82
俞	8	8	0	yu:8
俩	9046	9037	9	lia:9037；liang:0
倘	5	5	0	tang:5
六	3898	3898	0	liu:3898
其	3087	3087	0	qi:3087
冒	1590	1590	0	mao:1590
冯	47	47	0	feng:47
凹	100	100	0	ao:100
凿	54	54	0	zao:54
划	852	850	2	hua:850
剿	6	6	0	jiao:6
努	103	103	0	nu:103
劲	790	788	2	jin:788；jing:0
勺	94	94	0	shao:94
匹	1355	1355	0	pi:1355
区	3204	3198	6	ou:0；qu:3198
南	1094	1094	0	na:0；nan:1094
厂	557	556	1	chang:556
厕	81	78	3	ce:78
参	184	184	0	can:176；cen:0；shen:8
句	5984	5984	0	gou:0；ju:5984
召	292	292	0	shao:0；zhao:292
叶	470	467	3	xie:0；ye:467
合	1426	1426	0	ge:0；he:1426
吓	3415	3408	7	he:0；xia:3408
吡	33	33	0	bi:33
否	166	166	0	fou:166；pi:0
呆	6983	6983	0	dai:6983
呐	1605	1603	2	na:1603
呔	9	9	0	dai:9
呗	334	333	1	bei:333
员	6764	6763	1	yuan:6763；yun:0
呢	76752	76752	0	ne:76060；ni:692
呲	5	5	0	ci:5
呵	479	479	0	he:479
和	150418	150418	0	he:149822；hu:0；huo:596
咱	833	833	0	zan:833
哗	35	35	0	hua:35
哦	69380	69380	0	e:16876；o:52504
哪	26385	26385	0	na:26385；ne:0
