来源	词	原码	去飞键	原因
简单鹤V9.3.0纯词库 (1).txt	娭毑	aijp	aijp	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	媕娿	anee	anee	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	案宗	anzl	anzl	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	本宗	bfzl	bfzl	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	别总	bpzl	bpzl	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	霸总	bazl	bazl	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	拔屌	badn	badn	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	罢休	baxo	baxo	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	宾从	bbcl	bbcl	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	保修	bcxo	bcxo	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	报修	bcxo	bcxo	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	白葱	bdcl	bdcl	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	夯货	bfho	bfho	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	崩坍	bgdj	bgdj	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	必从	bicl	bicl	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	B超	biic	biic	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	贲门	bimf	bimf	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	比叡	birv	birv	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	必修	bixo	bixo	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	半宿	bjxo	bjxo	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	半袖	bjxo	bjxo	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	并从	bkcl	bkcl	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	栟榈	bklv	bklv	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	并曾	bkvg	bkvg	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	冰袖	bkxo	bkxo	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	便从	bmcl	bmcl	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	便溺	bmnn	bmnn	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	编修	bmxo	bmxo	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	飚速	bnsu	bnsu	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	嫑停	bntk	bntk	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	飚舞	bnwu	bnwu	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	般若	bore	bore	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	别从	bpcl	bpcl	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	不被	bupi	bupi	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	不朽	buxo	buxo	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	补休	buxo	buxo	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	被艹	bwcc	bwcc	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	补修	buxo	buxo	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	操纵	cczl	cczl	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	错综	cozl	cozl	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	艹逼	ccbi	ccbi	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	肏屄	ccbi	ccbi	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	草丛	cccl	cccl	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	草薙	ccti	ccti	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	彩塑	cdso	cdso	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	噌吰	cghs	cghs	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	苍穹	chgs	chgs	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	呲咯	cilo	cilo	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	刺绣	cixo	cixo	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	孱弱	cjro	cjro	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	喰种	cjvs	cjvs	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	葱饼	clbk	clbk	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	从句	clju	clju	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	从军	cljy	cljy	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	从属	cluu	cluu	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	丛书	cluu	cluu	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	丛云	clyy	clyy	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	踧踖	cuji	cuji	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	粗糙	cuzc	cuzc	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	瘄子	cuzi	cuzi	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	村氓	cymg	cymg	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	存休	cyxo	cyxo	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	葱爆	clbc	clbc	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	葱白	clbd	clbd	未知飞键、非音码或读音集合未覆盖；不猜测
简单鹤V9.3.0纯词库 (1).txt	从北	clbw	clbw	未知飞键、非音码或读音集合未覆盖；不猜测
