行号	词	词频	原拼音	辅助拼音	词典读音	简单鹤	鲸凉鹤	采用	依据	问题
79	谁	52782	shei2/shui2	shui	shei2 | shui2			待分配	孤立多音字无语境；待分配	
295	长	12173	chang2/zhang3	chang	chang2 | zhang3			待分配	孤立多音字无语境；待分配	
383	他妈的	9006	ta1 ma1 de5/di2/di4	tamade				待分配	证据不足或仍冲突；待分配	
642	重	5079	chong2/zhong4	zhong	chong2 | zhong4			待分配	孤立多音字无语境；待分配	
644	曾	5051	ceng2/zeng1	zeng	ceng2 | zeng1			待分配	孤立多音字无语境；待分配	
680	血	4749	xie3/xue4	xue	xie3 | xue4			待分配	孤立多音字无语境；待分配	
792	藏	3933	cang2/zang4	cang	cang2 | zang4			待分配	孤立多音字无语境；待分配	
890	卡	3496	ka3/qia3	ka	ka3 | qia3			待分配	孤立多音字无语境；待分配	
1170	臭	2499	chou4/xiu4	chou	chou4 | xiu4			待分配	孤立多音字无语境；待分配	
1226	单	2361	chan2/dan1/shan4	dan	chan2 | dan1 | shan4			待分配	孤立多音字无语境；待分配	
1323	嘘	2161	shi1/xu1	xu	shi1 | xu1			待分配	孤立多音字无语境；待分配	
1389	弹	2033	dan4/tan2	dan	dan4 | tan2			待分配	孤立多音字无语境；待分配	
1505	似的	1827	si4 de5	side	shi4 de5	shi de | si de	shi de | si de	待分配	参考异读无法消歧；待分配	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾；两份参考不能唯一确定
1526	调	1801	diao4/tiao2	diao	diao4 | tiao2			待分配	孤立多音字无语境；待分配	
1536	尿	1788	ni4/niao4/sui1	niao	niao4 | sui1			待分配	孤立多音字无语境；待分配	
1573	落	1733	la4/lao4/luo1/luo4	luo	la4 | lao4 | luo4			待分配	孤立多音字无语境；待分配	
1580	着名	1729	zhu4 ming2	zhuming				待分配	证据不足或仍冲突；待分配	
1602	塞	1708	sai1/sai4/se4	sai	sai1 | sai4 | se4			待分配	孤立多音字无语境；待分配	
1742	什	1531	shen2/shi2	shi	shen2 | shi2			待分配	孤立多音字无语境；待分配	
1894	罢了	1373	ba4 liao3	baliao	ba4 liao3	ba le	ba le	待分配	两鹤与原始音节、Chai相互矛盾；待裁决	不能仅靠两鹤一致覆盖另一组一致证据
1970	磅	1311	bang4/pang2	bang	bang4 | pang2			待分配	孤立多音字无语境；待分配	
1977	咯	1295	ge1/ka3/lo5/luo4	ka	ge1 | ka3 | lo5 | luo4			待分配	孤立多音字无语境；待分配	
2070	露	1216	lou4/lu4	lu	lou4 | lu4			待分配	孤立多音字无语境；待分配	
2079	胖	1209	pan2/pang4	pang	pan2 | pang4			待分配	孤立多音字无语境；待分配	
2081	勒	1208	le4/lei1	le	le4 | lei1			待分配	孤立多音字无语境；待分配	
