汉字	原始总频	已分配频率	待分配频率
㑇	0	0	0
㑊	0	0	0
㕮	0	0	0
㘎	0	0	0
㙍	0	0	0
㙘	0	0	0
㙦	0	0	0
㛃	0	0	0
㛚	0	0	0
㛹	0	0	0
㟃	0	0	0
㠇	0	0	0
㠓	0	0	0
㤘	0	0	0
㥄	0	0	0
㧐	0	0	0
㧑	0	0	0
㧟	0	0	0
㫰	0	0	0
㬊	0	0	0
㬎	0	0	0
㬚	0	0	0
㭎	0	0	0
㭕	0	0	0
㮾	0	0	0
㰀	0	0	0
㳇	0	0	0
㳘	0	0	0
㳚	0	0	0
㴔	0	0	0
㵐	0	0	0
㶲	0	0	0
㸆	0	0	0
㸌	0	0	0
㺄	0	0	0
㻬	0	0	0
㽏	0	0	0
㿠	0	0	0
䁖	0	0	0
䂮	0	0	0
䃅	0	0	0
䃎	0	0	0
䅟	0	0	0
䌹	0	0	0
䎃	0	0	0
䎖	0	0	0
䏝	0	0	0
䏡	0	0	0
䏲	0	0	0
䐃	0	0	0
䓖	0	0	0
䓛	0	0	0
䓨	0	0	0
䓫	0	0	0
䓬	0	0	0
䗖	0	0	0
䗛	0	0	0
䗪	0	0	0
䗴	0	0	0
䜣	0	0	0
䝙	0	0	0
䢺	0	0	0
䢼	0	0	0
䣘	0	0	0
䥽	0	0	0
䦃	0	0	0
䲟	0	0	0
䲠	0	0	0
䲢	0	0	0
䴓	0	0	0
䴔	0	0	0
䴕	0	0	0
䴖	0	0	0
䴗	0	0	0
䴘	0	0	0
䴙	0	0	0
䶮	0	0	0
一	604056	601443	2613
丁	3640	2834	806
七	4094	3901	193
万	18335	15431	2904
丈	6238	6238	0
三	26275	25853	422
上	236451	236157	294
下	153565	153497	68
不	904675	903982	693
与	17262	17257	5
丏	0	0	0
丐	133	133	0
丑	2948	2948	0
专	7712	7680	32
且	24774	24767	7
丕	7	4	3
世	21566	21557	9
丘	507	422	85
丙	197	197	0
业	13928	13872	56
丛	744	742	2
东	44048	43761	287
丝	6698	6067	631
丞	4	4	0
丢	6152	6145	7
两	39972	39689	283
严	6569	6567	2
丧	2036	2034	2
个	452926	452641	285
丫	507	496	11
中	69745	69654	91
丰	1279	1264	15
串	699	698	1
临	4358	4358	0
丸	772	771	1
丹	4890	4356	534
为	249232	249155	77
主	28628	28445	183
丽	11004	8674	2330
举	6853	6851	2
乂	0	0	0
乃	574	565	9
久	15073	15062	11
么	557804	557700	104
义	9492	9455	37
之	64755	64376	379
乌	2017	1745	272
乍	80	80	0
乎	11683	11641	42
乏	888	888	0
乐	26456	25319	1137
乒	157	157	0
乓	197	197	0
乔	6652	5611	1041
乖	2424	2424	0
乘	2310	2300	10
乙	218	217	1
乜	2	0	2
九	2654	2502	152
乞	436	436	0
也	159926	159924	2
习	8048	8031	17
乡	2509	2481	28
书	13360	13244	116
乩	0	0	0
买	18045	18041	4
乱	8384	8381	3
乳	1605	1605	0
乸	0	0	0
乾	106	101	5
了	994043	991600	2443
予	1630	1630	0
争	9959	9921	38
事	179716	179670	46
二	16814	16418	396
亍	0	0	0
于	45429	45397	32
亏	898	897	1
云	1609	1571	38
互	3335	3286	49
亓	0	0	0
五	12246	11527	719
井	1114	1107	7
亘	31	31	0
亚	15689	14087	1602
些	113122	113078	44
亟	22	20	2
亡	6086	6067	19
亢	73	73	0
交	19619	19517	102
亥	215	215	0
亦	341	341	0
产	8264	8228	36
亨	1584	1277	307
亩	144	144	0
享	5485	5485	0
京	1329	1271	58
亭	304	302	2
亮	14157	14132	25
亲	42502	42446	56
亳	0	0	0
亵	328	328	0
亶	0	0	0
亸	0	0	0
亹	0	0	0
人	373292	372465	827
亿	1521	1371	150
什	307184	304705	2479
仁	1306	1298	8
仂	0	0	0
仃	13	13	0
仄	3	3	0
仅	7927	7927	0
仆	814	814	0
仇	2085	1901	184
仉	0	0	0
今	44976	44975	1
介	7696	7695	1
仍	5117	5117	0
从	69789	69700	89
仑	412	404	8
仓	1321	1320	1
仔	3497	2811	686
仕	63	63	0
他	564477	555405	9072
仗	832	832	0
付	10729	10727	2
仙	1174	1169	5
仝	0	0	0
仞	2	2	0
仟	7	6	1
仡	0	0	0
代	15142	15110	32
令	12327	12159	168
以	184508	184465	43
仨	71	71	0
仪	2428	2414	14
仫	0	0	0
们	701756	701754	2
仰	1904	1904	0
仲	116	116	0
仳	0	0	0
仵	0	0	0
件	31611	31592	19
价	8767	8683	84
任	34349	34308	41
份	14754	14739	15
仿	1499	1499	0
企	1401	1401	0
伈	0	0	0
伉	3	3	0
伊	10181	8554	1627
伋	0	0	0
伍	3454	3057	397
伎	242	242	0
伏	1434	1411	23
伐	340	340	0
休	8504	8380	124
众	7370	7242	128
优	4514	4468	46
伙	37637	37184	453
会	321488	320655	833
伛	1	1	0
伞	768	768	0
伟	2985	2965	20
传	13084	12820	264
伢	0	0	0
伣	0	0	0
伤	22147	22145	2
伥	2	2	0
伦	7904	6740	1164
伧	0	0	0
伪	1821	1821	0
伫	5	5	0
伭	0	0	0
伯	6525	3052	3473
估	2862	2855	7
伲	0	0	0
伴	4854	4854	0
伶	169	168	1
伸	1794	1794	0
伺	198	189	9
似	7493	5439	2054
伽	382	49	333
伾	0	0	0
佁	0	0	0
佃	16	12	4
但	122236	122205	31
位	31427	31342	85
低	5249	5193	56
住	38482	38461	21
佐	1029	930	99
佑	1487	1409	78
体	26591	26551	40
何	37987	37952	35
佖	0	0	0
佗	1	1	0
佘	9	5	4
余	2819	2818	1
佚	1	1	0
佛	4017	2122	1895
作	68168	68003	165
佝	10	5	5
佞	0	0	0
佟	5	5	0
你	1445469	1444831	638
佣	1049	1049	0
佤	0	0	0
佥	0	0	0
佩	2476	1969	507
佬	1465	1465	0
佯	40	38	2
佰	14	14	0
佳	2309	2251	58
佴	0	0	0
佶	0	0	0
佸	0	0	0
佺	0	0	0
佻	30	30	0
佼	86	86	0
佽	0	0	0
佾	0	0	0
使	16913	16910	3
侁	0	0	0
侂	0	0	0
侃	72	71	1
侄	789	785	4
侈	179	179	0
侉	0	0	0
例	3309	3305	4
侍	515	515	0
侏	256	256	0
侑	0	0	0
侔	0	0	0
侗	0	0	0
侘	0	0	0
供	5801	5609	192
依	3656	3592	64
侠	1196	1166	30
侣	886	886	0
侥	126	126	0
侦	2536	2531	5
侧	1411	1401	10
侨	15	15	0
侩	17	17	0
侪	1	1	0
侬	132	132	0
侮	752	752	0
侯	217	198	19
侴	0	0	0
侵	2205	2201	4
侹	0	0	0
便	13982	13903	79
促	670	665	5
俄	3021	3011	10
俅	0	0	0
俊	927	598	329
俍	0	0	0
俎	21	21	0
俏	188	188	0
俐	57	57	0
俑	58	58	0
俗	1194	1189	5
俘	465	465	0
俙	0	0	0
俚	71	71	0
俜	0	0	0
保	39731	39579	152
俞	48	8	40
俟	0	0	0
信	57928	57820	108
俣	1	1	0
俦	0	0	0
俨	8	8	0
俩	9251	9239	12
俪	4	4	0
俫	0	0	0
俭	43	43	0
修	7799	7655	144
俯	304	304	0
俱	2656	2656	0
俳	62	62	0
俵	1	0	1
俶	0	0	0
俸	9	9	0
俺	125	125	0
俾	13	12	1
倌	12	12	0
倍	1900	1900	0
倏	4	4	0
倒	11875	11809	66
倓	0	0	0
倔	79	79	0
倕	0	0	0
倘	42	40	2
候	58337	58337	0
倚	85	74	11
倜	7	7	0
倞	0	0	0
借	5113	5113	0
倡	109	109	0
倥	0	0	0
倦	937	937	0
倧	0	0	0
倨	2	2	0
倩	83	76	7
倪	41	35	6
倬	1	1	0
倭	7	7	0
倮	0	0	0
倴	0	0	0
债	1183	1179	4
倻	0	0	0
值	7459	7453	6
倾	1781	1776	5
偁	0	0	0
偃	1	1	0
假	12808	12808	0
偈	0	0	0
偌	72	72	0
偎	45	45	0
偏	2042	2042	0
偓	0	0	0
偕	49	49	0
做	136328	136316	12
停	19564	19447	117
