组	成员数	完成数	状态	平均加权影响	平均新增对数	平均首根新增	平均末根新增	含人工结构成员	成员	排除成员
专	1	1	完整	0.0	0.0	0.0	0.0	0	['专']	[]
丘	1	1	完整	0.0	0.0	0.0	0.0	1	['丘']	[]
乐	1	1	完整	0.0	0.0	0.0	0.0	0	['乐']	[]
井	1	1	完整	0.0	0.0	0.0	0.0	0	['井']	[]
交	3	3	完整	0.0	0.0	0.0	0.0	2	['㐅', '乂', '交']	[]
享字头	1	1	完整	0.0	0.0	0.0	0.0	1	['享字头']	[]
刍	1	1	完整	0.0	0.0	0.0	0.0	0	['刍']	[]
弟	2	2	完整	0.0	0.0	0.0	0.0	0	['弟', '弟省']	[]
撇	3	3	完整	0.0	0.0	0.0	0.0	2	['丿', '彡', '𠂆']	['撇']
来	1	1	完整	0.0	0.0	0.0	0.0	0	['来']	[]
横	3	3	完整	0.0	0.0	0.0	0.0	3	['一', '三', '二']	['横']
永	1	1	完整	0.0	0.0	0.0	0.0	0	['永']	[]
牙	1	1	完整	0.0	0.0	0.0	0.0	1	['牙']	[]
览字头	2	2	完整	0.0	0.0	0.0	0.0	1	['览字头', '贤字头']	[]
长	1	1	完整	0.0	0.0	0.0	0.0	0	['长']	['長']
𠀎	1	1	完整	0.0	0.0	0.0	0.0	1	['𠀎']	[]
𠂤	2	2	完整	0.0	0.0	0.0	0.0	0	['㠯', '𠂤']	[]
母	3	3	完整	0.0	0.3333333333333333	0.0	0.3333333333333333	0	['毋', '毌', '母']	[]
礻	2	2	完整	0.0	0.5	0.5	0.0	2	['衤', '礻']	[]
耂	1	1	完整	0.0	1.0	1.0	0.0	0	['耂']	[]
艮	2	2	完整	0.0	1.0	0.0	1.0	1	['即字旁', '艮']	[]
角	1	1	完整	0.0	1.0	1.0	0.0	0	['角']	[]
卵	5	5	完整	0.0	1.8	0.0	1.8	0	['卯左', '印左', '卵', '印', '卯']	[]
瓦	1	1	完整	0.0	3.0	0.0	3.0	1	['瓦']	[]
佥	1	1	完整	0.0	4.0	0.0	4.0	0	['佥']	[]
韦	1	1	完整	0.0	4.0	4.0	0.0	0	['韦']	[]
变字头	3	3	完整	1.6666666666666667	0.3333333333333333	0.3333333333333333	0.0	0	['亦', '亦字底', '变字头']	[]
黑	2	2	完整	2.0	7.5	1.5	6.0	0	['熏', '黑']	[]
尧	1	1	完整	5.0	9.0	0.0	9.0	0	['尧']	[]
今	2	2	完整	9.0	6.5	0.5	6.0	0	['令', '今']	[]
行	1	1	完整	9.0	7.0	0.0	7.0	1	['行']	[]
及	1	1	完整	11.0	19.0	1.0	18.0	0	['及']	[]
丽	2	2	完整	12.0	2.0	2.0	0.0	0	['两', '丽']	[]
赢字架	1	1	完整	13.0	2.0	0.0	2.0	1	['赢字架']	[]
钅	3	3	完整	24.666666666666668	7.666666666666667	7.666666666666667	0.0	1	['金', '金字底', '钅']	[]
鹿	4	4	完整	26.0	5.25	3.75	1.5	1	['羊', '鹿旁', '南字心', '鹿']	[]
里	1	1	完整	29.0	34.0	0.0	34.0	0	['里']	[]
点	2	2	完整	31.0	11.0	0.0	11.0	2	['丶', '冬字底']	['点']
鸟	4	4	完整	35.5	16.75	0.0	16.75	1	['乌', '岛', '鸟省', '鸟']	['鳥']
鬼	1	1	完整	37.0	6.0	2.0	4.0	0	['鬼']	[]
向	6	6	完整	57.833333333333336	1.6666666666666667	0.16666666666666666	1.5	1	['囟', '囱', '囱字框', '向字框', '向', '身']	[]
子	2	2	完整	71.0	16.5	0.5	16.0	1	['了', '子']	[]
𦍌	6	6	完整	75.83333333333333	3.5	2.1666666666666665	1.3333333333333333	1	['龵', '𡗗', '龹', '养字头', '𦍌', '⺶']	[]
山	2	2	完整	103.0	10.5	5.5	5.0	1	['出', '山']	[]
夕	8	8	完整	115.375	2.375	2.25	0.125	1	['夜下角', '然左角', '留字头', '癶', '祭字头', '𣦼', '歹', '夕']	[]
骨	1	1	完整	118.0	5.0	5.0	0.0	1	['骨']	[]
豕	3	3	完整	126.0	8.666666666666666	1.3333333333333333	7.333333333333333	1	['豸', '豕', '豖']	[]
耒	1	1	完整	155.0	9.0	9.0	0.0	1	['耒']	[]
力	3	3	完整	164.33333333333334	9.0	0.0	9.0	1	['为', '办', '力']	[]
九	2	2	完整	169.0	9.0	1.0	8.0	2	['丸', '九']	[]
衣	4	4	完整	182.0	4.25	0.25	4.0	1	['襄', '襄省', '𧘇', '衣']	[]
㐄	1	1	完整	200.0	15.0	0.0	15.0	0	['㐄']	[]
以	1	1	完整	217.0	3.0	1.0	2.0	0	['以']	[]
竖	8	8	完整	285.875	1.125	0.25	0.875	1	['丨', '乔', '乔字底', '川', '州', '师字旁', '巛', '荒字底']	['竖']
单	1	1	完整	322.0	13.0	0.0	13.0	0	['单']	[]
虫	2	2	完整	338.0	14.5	3.0	11.5	1	['𠀐', '虫']	[]
争字底	8	8	完整	385.625	2.125	0.75	1.375	3	['互', '互中间', '录字头', '肀', '彑', '争字底', '彐', '聿']	['秉']
辛	3	3	完整	386.6666666666667	2.0	0.0	2.0	1	['辛旁', '辛', '辡']	[]
隹	1	1	完整	456.0	17.0	17.0	0.0	1	['隹']	[]
皮	1	1	完整	489.0	15.0	0.0	15.0	0	['皮']	[]
廿	5	5	完整	528.0	18.0	17.6	0.4	2	['革', '甘', '廿', '其字头', '龷']	[]
臣	3	3	完整	590.3333333333334	4.0	1.3333333333333333	2.6666666666666665	0	['巸', '臣', '𦣞']	[]
片	5	5	完整	627.6	2.2	2.2	0.0	1	['北字旁', '片', '非', '爿', '丬']	[]
象	1	1	完整	646.0	3.0	0.0	3.0	0	['象']	[]
夷	1	1	完整	720.0	1.0	1.0	0.0	0	['夷']	[]
斤	2	2	完整	746.0	8.0	0.0	8.0	0	['斥', '斤']	[]
马	1	1	完整	785.0	16.0	11.0	5.0	1	['马']	['馬']
饣	1	1	完整	861.0	7.0	7.0	0.0	0	['饣']	[]
业	2	2	完整	882.0	5.0	2.5	2.5	1	['业', '亚']	[]
之	1	1	完整	888.0	1.0	0.0	1.0	0	['之']	[]
予	2	2	完整	951.0	5.5	0.0	5.5	1	['矛', '予']	[]
小	3	3	完整	1044.0	15.333333333333334	0.3333333333333333	15.0	2	['⺌', '应字心', '小']	[]
竹	2	2	完整	1103.0	4.0	4.0	0.0	1	['竹', '⺮']	[]
王	3	3	完整	1107.3333333333333	20.333333333333332	8.0	12.333333333333334	2	['玨', '玉', '王']	[]
气	1	1	完整	1139.0	12.0	3.0	10.0	0	['气']	[]
西	3	3	完整	1184.0	17.333333333333332	2.6666666666666665	14.666666666666666	1	['覀', '酉', '西']	[]
宀	6	6	完整	1191.3333333333333	1.6666666666666667	1.6666666666666667	0.0	3	['冖', '囊字头', '学无子', '帝字头', '宀', '党字头']	[]
习	1	1	完整	1231.0	8.0	4.0	4.0	1	['习']	[]
折	3	3	完整	1243.0	0.3333333333333333	0.0	0.3333333333333333	0	['乙', '弓', '飞']	['折']
商	2	2	完整	1298.0	3.0	0.0	3.0	0	['啇', '商']	[]
俞	1	1	完整	1322.0	14.0	14.0	0.0	0	['俞']	[]
彳	1	1	完整	1507.0	11.0	11.0	0.0	1	['彳']	[]
𠂉	1	1	完整	1578.0	17.0	5.0	12.0	1	['𠂉']	[]
民	1	1	完整	1586.0	9.0	0.0	9.0	0	['民']	[]
爫	5	5	完整	1628.2	3.0	2.4	0.6	2	['爪', '采', '瓜', '爫', '釆']	[]
未	3	3	完整	1683.0	4.333333333333333	1.0	3.3333333333333335	0	['朱', '末', '未']	[]
儿	3	3	完整	1703.3333333333333	14.333333333333334	1.0	13.333333333333334	2	['丌', '兀', '儿']	[]
文	1	1	完整	1721.0	2.0	2.0	0.0	1	['文']	[]
氵	4	4	完整	2095.75	8.5	3.5	5.0	3	['水', '冫', '氺', '氵']	[]
