根	字	改前	改后	整字频次排名	人工结构
一	㛹	女＋亻＋一＋日＋㐅	女＋亻＋横＋日＋㐅	5301	False
一	㟃	山＋折＋一＋口	山＋折＋横＋口	5302	False
一	㠓	山＋艹＋冖＋一＋豕	山＋艹＋冖＋横＋豕	5304	False
一	㬊	日＋爫＋一＋𠂇＋又	日＋爫＋横＋𠂇＋又	5311	False
一	㵐	氵＋厂＋丷＋一＋凵＋丿＋⺈＋人	氵＋厂＋丷＋横＋凵＋丿＋⺈＋人	5322	False
一	㽏	氵＋全字头＋一＋口＋甘	氵＋全字头＋横＋口＋甘	5328	False
一	䴓	一＋巾＋鸟	横＋巾＋鸟	5361	False
一	一	一	横	9	False
一	不	一＋亻＋点	横＋亻＋点	6	False
一	与	一＋折＋一	横＋折＋横	407	False
一	丏	一＋丨＋折＋折	横＋丨＋折＋折	5369	False
一	丐	一＋⺊＋折	横＋⺊＋折	3119	False
一	丕	一＋亻＋点＋一	横＋亻＋点＋横	4524	False
一	丙	一＋冂＋人	横＋冂＋人	2868	False
一	丛	人＋人＋一	人＋人＋横	2124	False
一	丞	折＋水＋一	折＋水＋横	4704	False
一	乍	𠂉＋⺊＋一	𠂉＋⺊＋横	3399	False
一	乎	撇＋丷＋一＋竖	撇＋丷＋横＋竖	564	False
一	亍	一＋丁	横＋丁	5373	False
一	亓	一＋丌	横＋丌	5374	False
一	亘	一＋日＋一	横＋日＋横	3909	False
一	亟	了＋口＋又＋一	了＋口＋又＋横	4073	False
一	亲	立＋一＋小	立＋横＋小	191	False
一	亶	亠＋囗＋口＋日＋一	亠＋囗＋口＋日＋横	5376	False
一	亹	亠＋撇＋⺊＋一＋冂＋一＋口＋折＋二＋冖＋且	亠＋撇＋⺊＋横＋冂＋横＋口＋折＋二＋冖＋且	5378	False
一	伫	亻＋宀＋一	亻＋宀＋横	4629	False
一	伺	亻＋折＋一＋口	亻＋折＋横＋口	2861	False
一	伾	亻＋一＋亻＋点＋一	亻＋横＋亻＋点＋横	5393	False
一	但	亻＋日＋一	亻＋日＋横	68	False
一	体	亻＋木＋一	亻＋木＋横	292	False
一	作	亻＋𠂉＋⺊＋一	亻＋𠂉＋⺊＋横	124	False
一	佩	亻＋⺇＋一＋巾	亻＋⺇＋横＋巾	1373	False
一	佰	亻＋一＋白	亻＋横＋白	4272	False
一	侗	亻＋冂＋一＋口	亻＋冂＋横＋口	5410	False
一	侠	亻＋一＋丷＋大	亻＋横＋丷＋大	1836	False
一	侯	亻＋折＋一＋矢	亻＋折＋横＋矢	2820	False
一	侴	全字头＋一＋折＋土＋刂	全字头＋横＋折＋土＋刂	5412	False
一	便	亻＋一＋日＋㐅	亻＋横＋日＋㐅	487	False
一	俅	亻＋一＋氺＋丶	亻＋横＋氺＋丶	5414	False
一	俜	亻＋由＋一＋折	亻＋由＋横＋折	5417	False
一	倕	亻＋千＋龷＋一	亻＋千＋龷＋横	5423	False
一	候	亻＋丨＋折＋一＋矢	亻＋丨＋折＋横＋矢	145	False
一	假	亻＋折＋一＋⺊＋一＋折＋一＋又	亻＋折＋横＋⺊＋横＋折＋横＋又	525	False
一	傉	亻＋厂＋一＋畏下＋寸	亻＋厂＋横＋畏下＋寸	5441	False
一	僖	亻＋士＋口＋丷＋一＋口	亻＋士＋口＋丷＋横＋口	5450	False
一	僭	亻＋一＋折＋儿＋一＋折＋儿＋日	亻＋横＋折＋儿＋横＋折＋儿＋日	4574	False
一	僵	亻＋一＋田＋一＋田＋一	亻＋横＋田＋横＋田＋横	1950	False
一	儇	亻＋罒＋一＋口＋𧘇	亻＋罒＋横＋口＋𧘇	5455	False
一	元	一＋兀	横＋兀	702	False
一	兜	白＋撇＋折＋折＋一＋儿	白＋撇＋折＋折＋横＋儿	2045	False
一	兮	八＋一＋折	八＋横＋折	2232	False
一	兰	丷＋一＋二	丷＋横＋二	532	False
一	兹	丷＋一＋幺＋幺	丷＋横＋幺＋幺	1239	False
一	兽	丷＋田＋一＋口	丷＋田＋横＋口	1461	False
一	册	⺆＋⺆＋一	⺆＋⺆＋横	1756	False
一	再	一＋冂＋土	横＋冂＋土	102	True
一	写	冖＋一＋折＋一	冖＋横＋折＋横	428	False
一	冠	冖＋一＋兀＋寸	冖＋横＋兀＋寸	1264	False
一	减	冫＋戊＋一＋口	冫＋戊＋横＋口	1305	False
一	凳	癶＋一＋口＋丷＋一＋几	癶＋横＋口＋丷＋横＋几	2495	False
一	凸	丨＋一＋丨＋折＋一	丨＋横＋丨＋折＋横	3238	False
一	凹	丨＋折＋贝字框＋一	丨＋折＋贝字框＋横	3049	False
一	刁	折＋一	折＋横	3415	False
一	刑	一＋廾＋刂	横＋廾＋刂	1299	False
一	删	⺆＋⺆＋一＋刂	⺆＋⺆＋横＋刂	2331	False
一	刹	㐅＋一＋小＋刂	㐅＋横＋小＋刂	2328	False
一	剅	一＋口＋丷＋一＋刂	横＋口＋丷＋横＋刂	5476	False
一	前	丷＋一＋⺝＋刂	丷＋横＋⺝＋刂	109	False
一	剪	丷＋一＋⺝＋刂＋刀	丷＋横＋⺝＋刂＋刀	1484	False
一	副	一＋口＋田＋刂	横＋口＋田＋刂	1133	False
一	劂	厂＋丷＋一＋凵＋丿＋⺈＋人＋刂	厂＋丷＋横＋凵＋丿＋⺈＋人＋刂	5483	False
一	劄	⺮＋全字头＋一＋口＋刂	⺮＋全字头＋横＋口＋刂	5484	False
一	匐	勹＋一＋口＋田	勹＋横＋口＋田	3964	False
一	匼	匚＋全字头＋一＋口	匚＋全字头＋横＋口	5501	False
一	卡	⺊＋一＋卜	⺊＋横＋卜	360	False
一	卣	⺊＋囗＋折＋一	⺊＋囗＋折＋横	5503	False
一	卫	节字底＋一	节字底＋横	802	False
一	卮	𠂆＋一＋㔾	𠂆＋横＋㔾	5505	False
一	卸	𠂉＋一＋止＋卩	𠂉＋横＋止＋卩	2391	False
一	卺	折＋水＋一＋㔾	折＋水＋横＋㔾	5506	False
一	厥	厂＋丷＋一＋凵＋丿＋⺈＋人	厂＋丷＋横＋凵＋丿＋⺈＋人	3425	False
一	厦	厂＋一＋自＋夂	厂＋横＋自＋夂	2481	False
一	厨	厂＋一＋口＋丷＋一＋寸	厂＋横＋口＋丷＋横＋寸	1279	False
一	厩	厂＋即字旁＋一＋折＋儿	厂＋即字旁＋横＋折＋儿	3081	False
一	叚	折＋一＋⺊＋一＋折＋一＋又	折＋横＋⺊＋横＋折＋横＋又	5515	False
一	号	口＋一＋折	口＋横＋折	339	False
一	司	折＋一＋口	折＋横＋口	435	False
一	叼	口＋折＋一	口＋折＋横	3298	False
一	合	全字头＋一＋口	全字头＋横＋口	285	False
一	同	冂＋一＋口	冂＋横＋口	189	False
一	后	𠂆＋一＋口	𠂆＋横＋口	75	False
一	否	一＋亻＋点＋口	横＋亻＋点＋口	509	False
一	吨	口＋一＋凵＋折	口＋横＋凵＋折	2825	False
一	呸	口＋一＋亻＋点＋一	口＋横＋亻＋点＋横	3305	False
一	呼	口＋撇＋丷＋一＋竖	口＋撇＋丷＋横＋竖	712	False
一	命	全字头＋一＋口＋卩	全字头＋横＋口＋卩	303	False
一	咋	口＋𠂉＋⺊＋一	口＋𠂉＋⺊＋横	2463	False
一	咔	口＋⺊＋一＋卜	口＋⺊＋横＋卜	3127	False
一	咸	戊＋一＋口	戊＋横＋口	2734	False
一	咺	口＋一＋日＋一	口＋横＋日＋横	5528	False
一	哃	口＋冂＋一＋口	口＋冂＋横＋口	5530	False
一	哈	口＋全字头＋一＋口	口＋全字头＋横＋口	421	False
一	哽	口＋一＋日＋㐅	口＋横＋日＋㐅	4438	False
一	唇	厂＋一＋畏下＋口	厂＋横＋畏下＋口	1829	False
一	唾	口＋千＋龷＋一	口＋千＋龷＋横	2750	False
一	啬	十＋丷＋一＋囗＋口	十＋丷＋横＋囗＋口	3312	False
一	善	羊＋丷＋一＋口	羊＋丷＋横＋口	979	False
一	喉	口＋亻＋折＋一＋矢	口＋亻＋折＋横＋矢	1969	False
一	喊	口＋戊＋一＋口	口＋戊＋横＋口	1465	False
一	喜	士＋口＋丷＋一＋口	士＋口＋丷＋横＋口	155	False
一	喧	口＋宀＋一＋日＋一	口＋宀＋横＋日＋横	3230	False
一	喳	口＋木＋日＋一	口＋木＋日＋横	3110	False
一	嗄	口＋一＋自＋夂	口＋横＋自＋夂	3981	False
一	嗌	口＋丷＋一＋八＋皿	口＋丷＋横＋八＋皿	5037	False
一	嗍	口＋丷＋一＋凵＋丿＋月	口＋丷＋横＋凵＋丿＋月	5553	False
一	嗒	口＋艹＋全字头＋一＋口	口＋艹＋全字头＋横＋口	2768	False
一	嗞	口＋丷＋一＋幺＋幺	口＋丷＋横＋幺＋幺	3931	False
一	嗣	口＋冂＋艹＋折＋一＋口	口＋冂＋艹＋折＋横＋口	3782	False
一	嗤	口＋凵＋丨＋一＋虫	口＋凵＋丨＋横＋虫	3715	False
一	嘈	口＋一＋囗＋艹＋日	口＋横＋囗＋艹＋日	3646	False
一	嘉	士＋口＋丷＋一＋力＋口	士＋口＋丷＋横＋力＋口	1978	False
一	嘎	口＋一＋自＋戈	口＋横＋自＋戈	2670	False
一	嘏	古＋折＋一＋⺊＋一＋折＋一＋又	古＋折＋横＋⺊＋横＋折＋横＋又	5556	False
一	嘚	口＋彳＋日＋一＋寸	口＋彳＋日＋横＋寸	4400	False
一	嘭	口＋士＋口＋丷＋一＋彡	口＋士＋口＋丷＋横＋彡	3329	False
一	嘻	口＋士＋口＋丷＋一＋口	口＋士＋口＋丷＋横＋口	2183	False
一	噎	口＋士＋冖＋一＋口＋丷＋一	口＋士＋冖＋横＋口＋丷＋横	3105	False
一	噔	口＋癶＋一＋口＋丷＋一	口＋癶＋横＋口＋丷＋横	4575	False
一	噘	口＋厂＋丷＋一＋凵＋丿＋⺈＋人	口＋厂＋丷＋横＋凵＋丿＋⺈＋人	4163	False
一	嚭	士＋口＋丷＋一＋口＋一＋亻＋点＋口	士＋口＋丷＋横＋口＋横＋亻＋点＋口	5567	False
一	囤	囗＋一＋凵＋折	囗＋横＋凵＋折	3932	False
一	园	囗＋一＋兀	囗＋横＋兀	918	False
一	圜	囗＋罒＋一＋口＋𧘇	囗＋罒＋横＋口＋𧘇	5575	False
一	坉	土＋一＋凵＋折	土＋横＋凵＋折	5585	False
一	坏	土＋一＋亻＋点	土＋横＋亻＋点	455	False
一	坦	土＋日＋一	土＋日＋横	1004	False
一	坪	土＋一＋丷＋十	土＋横＋丷＋十	2552	False
一	坯	土＋一＋亻＋点＋一	土＋横＋亻＋点＋横	4308	False
一	垂	千＋龷＋一	千＋龷＋横	2190	False
一	型	一＋廾＋刂＋土	横＋廾＋刂＋土	787	False
一	垌	土＋冂＋一＋口	土＋冂＋横＋口	5598	False
一	垕	𠂆＋一＋口＋土	𠂆＋横＋口＋土	5603	False
一	垢	土＋𠂆＋一＋口	土＋𠂆＋横＋口	3475	False
一	垣	土＋一＋日＋一	土＋横＋日＋横	3933	False
一	垸	土＋宀＋一＋兀	土＋宀＋横＋兀	5616	False
一	埂	土＋一＋日＋㐅	土＋横＋日＋㐅	4798	False
一	域	土＋戈＋口＋一	土＋戈＋口＋横	1498	False
一	埵	土＋千＋龷＋一	土＋千＋龷＋横	5635	False
一	堠	土＋亻＋折＋一＋矢	土＋亻＋折＋横＋矢	5646	False
一	堽	土＋罒＋一＋止	土＋罒＋横＋止	5652	False
一	塑	丷＋一＋凵＋丿＋月＋土	丷＋横＋凵＋丿＋月＋土	1795	False
一	塔	土＋艹＋全字头＋一＋口	土＋艹＋全字头＋横＋口	883	False
一	墕	土＋一＋止＋一＋折＋灬	土＋横＋止＋横＋折＋灬	5669	False
一	墙	土＋十＋丷＋一＋囗＋口	土＋十＋丷＋横＋囗＋口	1202	False
一	墡	土＋羊＋丷＋一＋口	土＋羊＋丷＋横＋口	5672	False
一	壑	⺊＋冖＋一＋八＋全字头＋口＋又＋土	⺊＋冖＋横＋八＋全字头＋口＋又＋土	4401	False
