根	原名	类型	组	状态	使用字数	改拆字数	首根新增	末根新增	新增对数	首末同时新增	加权影响	消除对数	前500字对	前1500字对	涉及未分配的新增对数	删后本根拆分
⺊	卢字头	附属	卜	条件试算：含人工结构	149	149	0	0	0	0	0	4	0	0	0	丨＋一
⺌	尚字头	附属	小	条件试算：含人工结构	79	79	0	0	0	0	0	3	0	0	0	丨＋丷
⺗	恭字底	附属	忄	已计算	7	7	0	0	0	0	0	7	0	0	0	竖＋丶＋丶＋丶
㐅	㐅	附属	交	条件试算：含人工结构	141	141	0	0	0	0	0	0	0	0	0	乂
㠯	官字底	附属	𠂤	已计算	16	16	0	0	0	0	0	0	0	0	0	贝字框＋一＋折＋一
㡀	㡀	附属	八	已计算	12	12	0	0	0	0	0	0	0	0	0	丷＋巾＋八
一	一	附属	横	条件试算：含人工结构	833	833	0	0	0	0	0	0	0	0	0	横
丁	丁	附属	寸	已计算	31	31	0	0	0	0	0	4	0	0	0	一＋竖
三	三	锚定	横	条件试算：含人工结构	21	21	0	0	0	0	0	0	0	0	0	二＋一
专	专	主根	专	已计算	7	7	0	0	0	0	0	0	0	0	0	二＋折＋点
丘	丘	主根	丘	条件试算：含人工结构	20	20	0	0	0	0	0	0	0	0	0	撇＋丨＋工
两	两	附属	丽	已计算	12	12	0	0	0	0	0	0	0	0	0	一＋冂＋人＋人
丨	丨	附属	竖	条件试算：含人工结构	89	89	0	0	0	0	0	0	0	0	0	竖
丶	丶	附属	点	条件试算：含人工结构	127	127	0	0	0	0	0	0	0	0	0	点
为	为	附属	力	已计算	6	6	0	0	0	0	0	0	0	0	0	丶＋丿＋折＋丶
丿	丿	附属	撇	已计算	194	194	0	0	0	0	0	0	0	0	0	撇
乂	乂	附属	交	条件试算：含人工结构	7	7	0	0	0	0	0	0	0	0	0	㐅
久	久	附属	又	已计算	6	6	0	0	0	0	0	12	0	0	0	丿＋折＋丶
乌	乌	附属	鸟	已计算	5	5	0	0	0	0	0	12	0	0	0	丿＋折＋折＋一
乐	乐	主根	乐	已计算	9	9	0	0	0	0	0	0	0	0	0	撇＋折＋小
乔	乔	附属	竖	已计算	11	11	0	0	0	0	0	0	0	0	0	撇＋大＋乔字底
乔字底	乔字底	附属	竖	已计算	36	36	0	0	0	0	0	0	0	0	0	丿＋丨
乙	乙	附属、主根	折	已计算	22	22	0	0	0	0	0	0	0	0	0	折
乡	乡	附属	纟	已计算	9	9	0	0	0	0	0	4	0	0	0	折＋折＋丿
二	二	锚定	横	条件试算：含人工结构	128	128	0	0	0	0	0	0	0	0	0	一＋一
互	互	附属	争字底	已计算	2	2	0	0	0	0	0	0	0	0	0	一＋彑
互中间	互中间	附属	争字底	条件试算：含人工结构	10	10	0	0	0	0	0	1	0	0	0	按各字已确认结构局部恢复
井	井	主根	井	已计算	8	8	0	0	0	0	0	0	0	0	0	二＋乔字底
交	交	主根	交	已计算	23	23	0	0	0	0	0	0	0	0	0	亠＋八＋㐅
亦	亦	附属	变字头	已计算	5	5	0	0	0	0	0	0	0	0	0	亠＋亦字底
亦字底	亦字底	附属	变字头	已计算	9	9	0	0	0	0	0	0	0	0	0	丿＋小
享字头	享字头	主根	享字头	条件试算：含人工结构	84	84	0	0	0	0	0	0	0	0	0	亠＋口
令	令	附属	今	已计算	28	28	0	0	0	0	0	0	0	0	0	全字头＋丶＋龴
冖	冖	附属	宀	已计算	171	171	0	0	0	0	0	6	0	0	0	丶＋折
出	出	附属	山	已计算	19	19	0	0	0	0	0	1	0	0	0	凵＋山
刍	刍	主根	刍	已计算	16	16	0	0	0	0	0	0	0	0	0	⺈＋彐
办	办	附属	力	已计算	4	4	0	0	0	0	0	0	0	0	0	力＋丶＋丶
勹	勹	附属	匚	已计算	124	124	0	0	0	0	0	7	0	0	0	丿＋折
北字旁	北字旁	附属	片	条件试算：含人工结构	12	12	0	0	0	0	0	6	0	0	0	丨＋二
卅	卅	附属	艹	已计算	1	1	0	0	0	0	0	0	0	0	0	廾＋丨
卌	卌	附属	艹	已计算	1	1	0	0	0	0	0	0	0	0	0	带字头＋丨
卬	卬	附属	卩	已计算	5	5	0	0	0	0	0	0	0	0	0	撇＋折＋卩
卯左	卯字旁	附属	卵	已计算	1	1	0	0	0	0	0	0	0	0	0	撇＋折＋丿
印左	印字旁	附属	卵	已计算	0	0	0	0	0	0	0	0	0	0	0	撇＋折＋一
即字旁	即字旁	附属	艮	已计算	25	25	0	0	0	0	0	0	0	0	0	彐＋折＋丶
卵	卵	主根	卵	已计算	2	2	0	0	0	0	0	0	0	0	0	撇＋折＋丶＋丿＋卩＋丶
叟字头	叟字头	附属	白	已计算	14	14	0	0	0	0	0	0	0	0	0	臼＋丨
啇	啇	附属	商	已计算	8	8	0	0	0	0	0	0	0	0	0	亠＋丷＋冂＋古
囊字头	囊字头	附属	宀	已计算	7	7	0	0	0	0	0	0	0	0	0	一＋口＋丨＋冖
囟	囟	附属	向	已计算	8	8	0	0	0	0	0	0	0	0	0	囱字框＋㐅
囱	囱	附属	向	已计算	5	5	0	0	0	0	0	0	0	0	0	囱字框＋夂
囱字框	囱字框	附属	向	已计算	1	1	0	0	0	0	0	0	0	0	0	丿＋囗
在字框	在字框	附属	十	已计算	5	5	0	0	0	0	0	0	0	0	0	𠂇＋丨
夂	夂	附属	又	已计算	102	102	0	0	0	0	0	2	0	0	0	丿＋又
夜下角	夜下角	附属	夕	已计算	4	4	0	0	0	0	0	0	0	0	0	夕＋丶
太	太	附属	大	已计算	7	7	0	0	0	0	0	2	0	0	0	大＋丶
学无子	学无子	附属	宀	条件试算：含人工结构	9	9	0	0	0	0	0	6	0	0	0	丶＋丷＋冖
尺	尺	附属	尸	已计算	10	10	0	0	0	0	0	0	0	0	0	尸＋丶
岛	岛	附属	鸟	已计算	2	2	0	0	0	0	0	0	0	0	0	鸟省＋山
川	川	锚定	竖	已计算	9	9	0	0	0	0	0	0	0	0	0	乔字底＋丨
州	州	锚定	竖	已计算	3	3	0	0	0	0	0	0	0	0	0	丶＋八＋丨＋丶＋丨
巸	巸	附属	臣	已计算	1	1	0	0	0	0	0	0	0	0	0	𦣞＋巳
师字旁	师字旁	锚定	竖	已计算	9	9	0	0	0	0	0	0	0	0	0	丨＋丿
帝字头	帝字头	附属	宀	已计算	26	26	0	0	0	0	0	0	0	0	0	亠＋丷＋冖
带字头	带字头	附属	艹	已计算	4	4	0	0	0	0	0	0	0	0	0	艹＋丨
