# 夜莺2.0 当前完整根表

当前134组，所有归并关系已确认；付保留；击二山与举字底凵两种拆法均保留，累计默认二山。尚未分配2.0键位。

新增根19个均确认；尺、啇为恢复旧根，曲不加。共413个底层根形／别名条目（不是独立主根数）。

| 序号 | 根组 | 组内全部根形 | 说明 |
|---:|---|---|---|
| 1 | 横 | 横、一、二、三、敖左、不 |  |
| 2 | 竖 | 竖、丨、乔字底、荒字底、乔、㐄、川、巛、师字旁、州 |  |
| 3 | 撇 | 撇、丿、𠂆、彡 |  |
| 4 | 点／氵／冫 | 点、丶、冬字底、氵、冫 | 包含冬字底 |
| 5 | 折 | 折、乙、弓、飞 |  |
| 6 | 亻／彳／卧人／行 | 𠂉、亻、彳、行 | 亻彳卧人行合组已确认 |
| 7 | 母 | 母、毋、毌 |  |
| 8 | 人 | 人、全字头、入 |  |
| 9 | 讠 | 讠、言 |  |
| 10 | 饣 | 饣、食 |  |
| 11 | 井／艹／龷／冓头 | 艹、卅、卌、带字头、廾、井、龷、𠀎 |  |
| 12 | 辶 | 辶、廴 |  |
| 13 | 忄 | 忄、心、必、⺗ |  |
| 14 | 扌 | 扌、手 |  |
| 15 | 王／丰 | 举字底、王、玨、玉、丰、龶 |  |
| 16 | 水／氺／永 | 水、氺、永 |  |
| 17 | 木 | 木 |  |
| 18 | 未／末／朱／来／耒 | 未、末、朱、来、耒 |  |
| 19 | 女 | 女 |  |
| 20 | 鸟／虫 | 虫、𠀐、鸟、鸟省、乌、鳥 |  |
| 21 | 月／用 | 月、⺝、用、甬字底 |  |
| 22 | 口 | 口 |  |
| 23 | 囗 | 囗 |  |
| 24 | 宀 | 宀、冖、学无子、党字头、帝字头、囊字头 |  |
| 25 | 尸 | 尸、户、戶、尺 |  |
| 26 | 禾 | 禾 |  |
| 27 | 利 | 利 |  |
| 28 | 几／框家族 | 匚、凵、冂、门、巨、勹、匃、贝字框、門、几、⺆、⺇、凡、匈 |  |
| 29 | 臣 | 臣、𦣞 |  |
| 30 | 犭／豕／豸 | 豕、豸、豖、犭 |  |
| 31 | 禸 | 禸、禺字底 |  |
| 32 | 兔／象／鱼／龟 | 象、兔、免、龟字底、龜、鱼、鱼省、魚、龟 |  |
| 33 | 鬼 | 鬼 |  |
| 34 | 兼 | 兼、争字底、肀、聿、彐、录字头、彑、互、互中间 |  |
| 35 | 厶 | 厶、龴 |  |
| 36 | 钅 | 钅、金、金字底 |  |
| 37 | 纟 | 纟、糸、幺、乡 |  |
| 38 | 缶／牛／午／马 | 马、馬、缶、牛、牜、制字旁、⺧、午、卸左 |  |
| 39 | 方 | 方 |  |
| 40 | 广 | 广、厂、疒 |  |
| 41 | 十／千／万／厉 | 干、千、于、十、𠂇、在字框、万、厉 |  |
| 42 | 已 | 已、巳、巴、己、㔾 |  |
| 43 | 以 | 以 |  |
| 44 | 变字头 | 变字头、亦、亦字底 |  |
| 45 | 衣 | 衣、𧘇、襄、襄省 |  |
| 46 | 立 | 立 |  |
| 47 | 音 | 音 |  |
| 48 | 夷 | 夷 |  |
| 49 | 且 | 且、具字头 |  |
| 50 | 夕 | 夕、然左角、歹、夜下角、祭字头、癶、留字头、𣦼 |  |
| 51 | 殳 | 殳 |  |
| 52 | 勿 | 勿、𠃓 |  |
| 53 | 矢 | 矢、失 |  |
| 54 | 卩 | 卩、卬、阝、节字底 |  |
| 55 | 辛 | 辛、辡、辛旁 |  |
| 56 | 匕 | 匕、比左、七、𠤎 |  |
| 57 | 习 | 习 |  |
| 58 | 日 | 日、目、曰 |  |
| 59 | 土 | 土、士、壬 |  |
| 60 | 田／里／果 | 田、由、甲、申、电、黽、里、果 |  |
| 61 | 丽 | 丽、两、雨、⻗、而、面 |  |
| 62 | 五 | 五 |  |
| 63 | 黑／白 | 白、自、臼、叟字头、黑、熏 |  |
| 64 | 又 | 又、夂、攵、久、各、攴、支 |  |
| 65 | 大／小 | 小、⺌、应字心、大、犬、夫、天、太、无 |  |
| 66 | 八 | 八、丷、㡀 |  |
| 67 | 𦍌 | 𦍌、𡗗、龹、养字头、⺶、龵 |  |
| 68 | 儿／子 | 子、了、儿、兀、丌 |  |
| 69 | 寸 | 寸、丁、可、才 |  |
| 70 | 力 | 力、为、办 |  |
