token,count
的,22388585
了,8530292
是,7096230
我,6997157
不,5248216
你,5073985
在,4584496
一,3404948
和,3076067
有,2743664
就,2668961
他,2506142
也,2386251
好,2013077
都,1931936
说,1925063
这,1865554
人,1773205
要,1711432
啊,1672954
上,1623554
对,1514913
着,1461470
到,1457514
个,1387339
去,1324306
还,1319881
中,1300546
来,1248393
为,1243544
她,1194522
一个,1156946
哈哈,1149997
我们,1149058
多,1088455
会,1081802
没,1080921
能,1050097
看,1038780
那,1034235
很,1030140
大,1008633
地,1006069
想,988304
年,944712
与,943180
没有,901555
把,893592
又,889521
等,884373
吧,864846
得,859362
吗,855232
什么,789084
过,788355
自己,783551
给,774550
可以,770231
两,751903
吃,748296
而,718809
他们,675719
从,667053
用,664954
下,660404
呢,636584
里,620687
发展,616529
以,604133
这个,594660
小,583963
被,567109
知道,557908
后,552075
工作,547928
最,541475
出,536595
但,536275
将,518883
真,515712
只,511653
天,510648
可,501514
新,499111
现在,489653
太,486783
更,483042
并,480071
走,479903
让,473571
之,472557
才,471370
问题,471066
次,459898
做,451997
中国,442327
三,440460
这样,438331
几,432768
月,430216
啦,423740
怎么,420420
呀,418269
时候,417368
再,414489
所,411682
使,407121
还是,397378
点,394229
已经,392258
它,389790
进行,387323
已,385794
种,382965
起,382242
哈,372538
喜欢,370020
因为,364948
向,361917
于,354424
这么,351546
起来,350442
其,341049
你们,337160
高,334258
经济,333675
觉得,331888
企业,331488
嗯,329953
或,327164
爱,324115
时,323314
买,319282
比,311580
时间,311405
像,310359
今天,307501
跟,304213
及,303701
国家,301268
这种,296489
社会,295203
建设,292634
带,291102
人民,291061
打,288296
话,287841
事,283353
日,283146
哦,279663
快,279658
前,279301
出来,279164
可能,274074
找,273954
家,273709
却,272673
谁,271324
嘛,271256
技术,270724
但是,270625
那么,269914
这些,269692
见,267947
睡,266773
叫,265343
生活,262310
一样,260457
道,259923
由,259503
看到,255694
重要,255657
还有,252952
教育,252948
们,252380
长,251294
研究,251128
成,250167
生产,249885
一起,247968
当,247205
美,244984
回,244820
一定,243860
例,240400
管理,239606
如果,237748
么,236108
需要,236016
听,235472
第一,233374
开始,232884
啥,231784
无,226792
钱,225525
必须,224815
世界,223967
提高,223681
通过,222751
那个,222335
内,222148
回来,221473
如,221040
死,221000
应该,220665
二,216650
一些,216556
要求,216380
主要,216355
开,216246
同,215157
关系,214368
情况,213872
条,213199
住,213137
问,208355
感觉,208022
完,206797
快乐,206792
较,205121
该,204147
我国,203936
一直,203679
万,203156
组织,202207
一下,201413
地方,200920
学生,200624
发现,199404
方面,198728
别,198439
所以,198187
您,195843
市场,195261
位,194747
哪,194132
四,193065
早,192481
各,191007
作用,190578
不要,189120
系统,188892
文化,188189
东西,186218
认为,186135
为了,185994
为什么,185895
笑,185771
方法,185209
影响,185116
而且,185101
写,183552
元,183460
同时,182109
应,181401
活动,180967
请,179527
可是,178499
结果,178164
群众,176464
不过,174841
不同,174532
拿,173936
思想,172675
孩子,172515
老,172503
穿,171762
以后,171525
玩,171247
由于,170726
喝,169365
希望,168163
特别,167298
坐,164551
水,164440
正,163923
作为,163304
干,163049
每,162089
少,161928
发生,161882
这里,161651
服务,160658
发,159708
然后,159630
朋友,159506
进,159149
学校,158819
实现,158092
便,157725
成为,156525
头,156109
领导,155989
送,154808
学习,154633
过去,154219
比较,153366
作,153366
美国,153364
则,153360
手,152925
改革,152668
因此,152599
谢谢,152236
好看,151848
环境,151623
先,151012
大家,150542
变,150382
党,150281
记者,150017
名,149080
出现,149014
脸,148777
具有,148508
加强,148391
人员,148196
句,145865
本,143935
精神,143727
干部,143137
心,142673
目前,142388
总,142009
副,141913
产品,141872
基础,141123
解决,141095
一般,141066
告诉,140683
过程,140113
一切,140073
先生,139715
张,139581
质量,139540
国际,139407
有关,139380
行,138896
外,138298
部门,138281
件,138065
继续,137862
分,137485
晚上,137481
全国,137115
岁,137024
建立,136783
治疗,136581
水平,136292
表示,135841
以及,135622
认识,135157
地区,134791
许多,134786
今年,134294
哪里,133154
其他,133108
全,132818
敢,132621
五,132585
明天,131944
人们,131087
提出,130937
存在,130753
历史,130747
最后,130512
能力,129931
制度,129789
得到,129737
增加,129492
政府,129369
合作,129304
别人,128182
只是,128109
城市,128085
即,127917
其中,127901
最近,127853
加油,127715
难,127571
学,127443
站,127115
使用,127027
之间,126840
主席,126737
狗,126670
北京,126605
分析,126405
虽然,126340
跑,126303
一点,125964
讲,125948
条件,125878
准备,125495
号,125327
努力,125232
完全,124943
放,124772
提供,124645
换,124558
对于,123687
公司,123645
那些,123500
怕,123329
坚持,123185
其实,122989
社会主义,122765
控制,122313
支持,122112
安全,122095
至,121976
懂,121815
代表,121443
很多,121363
结构,121074
第二,120649
开心,120602
科学,120562
形成,120434
下来,120378
自,120319
根据,120260
刚,120080
方式,120006
不断,119971
政策,119899
此,119697
越,119603
好像,119564
革命,119383
同志,119290
注意,119186
受,119180
晚,119089
会议,118219
好好,117962
基本,117785
所有,117715
图,117518
可爱,117288
各种,117170
非常,116486
单位,116034
挺,115712
均,115562
连,115032
处理,114786
直接,114663
低,114481
电,114376
政治,113833
回家,113654
利用,113567
设计,112906
眼睛,111377
看看,110809
事情,110109
间,109966
参加,109923
采用,109608
明显,109313
工程,108492
看见,108446
项目,108398
黑,108273
信息,107994
细胞,107848
算,107790
之后,107754
变化,107565
约,107564
当然,107478
决定,107427
标准,106004
谢,105952
因,105895
资源,105802
女,105734
块,105711
以为,105699
不错,105605
错,105277
花,104779
只有,104663
书,104621
搞,104479
进一步,104167
理论,104017
十,103991
就是,103679
计划,103578
求,103437
按,102762
出去,102385
幸福,102381
声,102312
规定,102267
车,102253
产生,101954
国,101545
不好,101393
有些,101140
既,100695
未,100607
据,100412
以上,100362
积极,100329
健康,100247
或者,99510
多少,98967
有点,98847
人家,98769
开展,98736
生日,98620
如何,98520
创新,98389
农村,98336
近,98240
掉,98006
加,97925
办,97888
保护,97860
女人,97795
知识,97055
表现,96993
功能,96914
往,96765
咋,96651
以前,96638
占,96601
肯定,96477
