token,count
的,6146839
我,5756400
了,5103894
你,4931807
是,3707287
不,3439043
啊,1959566
好,1782318
就,1649708
哈哈,1388108
有,1360332
都,1356186
也,1316180
没,1069256
在,1065805
一,1007483
要,979637
去,943411
还,912210
吧,872953
吗,854849
想,801755
看,797789
说,793025
吃,740078
人,730246
很,712870
这,684805
会,660238
个,648487
那,642293
来,630387
多,558879
到,539802
什么,537407
呢,533058
能,505628
可以,503106
给,481801
啦,465398
没有,464388
太,447277
过,445037
一个,424407
呀,424236
真,422931
我们,420817
着,409261
知道,407145
他,401386
自己,394543
喜欢,393769
对,384906
怎么,371595
得,369869
大,364055
哈,359064
和,347860
现在,347356
又,345651
这个,337532
天,332380
这么,331335
上,324023
买,321977
还是,320388
嘛,312902
小,309601
时候,306360
哦,301665
爱,298833
觉得,282355
点,282134
才,274377
睡,272561
你们,267289
么,255472
做,248227
最,246328
啥,245422
今天,237918
快乐,236285
谢谢,232628
把,231212
被,231148
快,228232
等,225702
用,221606
跟,221187
找,218769
让,218445
再,212172
两,210575
下,209538
几,204206
回来,203635
她,203529
带,202713
只,202195
感觉,201047
这样,193759
一起,191105
好看,189634
那么,188072
不要,187029
走,186640
谁,186586
玩,183972
已经,181304
哪,180873
看到,179785
加油,179734
打,177277
完,174694
嗯,170980
年,169885
因为,169627
次,165597
美,164901
回,162208
别,161264
还有,160975
出来,157656
那个,153073
一下,152287
更,151576
钱,151279
一直,149435
一样,148699
应该,148565
长,148529
为什么,146207
叫,144555
里,144118
时间,143767
比,143579
开心,143551
真的,142354
起来,139890
喝,139610
明天,139598
话,136681
但是,136627
可能,135678
是的,134990
早,132013
可爱,131862
所以,131740
穿,128078
好好,125799
哪里,123219
挺,122278
就是,119102
晚上,118986
生日,118387
三,118174
出,117599
懂,117438
请,117083
嗯嗯,116031
死,115871
见,115532
听,114004
换,113960
可,113281
发,112172
家,111297
像,110705
起,110256
回家,109704
最近,109690
一定,109458
开,108980
朋友,108076
咋,107858
不过,105920
不错,105123
其实,104988
狗,104054
瘦,103355
事,101830
怕,100266
以后,99689
东西,99564
月,99406
好吃,99305
问,98819
胖,98345
脸,97849
干,97238
哇,96909
开始,95687
问题,95167
希望,94904
别人,94572
送,94111
好像,93902
晚安,93321
为,93132
看看,92341
拍,92292
号,91569
然后,91448
幸福,91381
刚,91345
第一,91033
住,90814
但,90141
手机,89880
有点,89751
敢,89698
行,87879
回去,87724
他们,87391
中,85907
先,85502
不好,84644
如果,84403
这种,83971
老,83896
错,83652
高,83267
笑,82794
睡觉,82460
很多,81106
发现,81052
求,80856
拿,80410
后,80145
下次,79217
少,79034
一点,78772
黑,78222
特别,77999
以为,77877
需要,76939
必须,76883
可是,76873
冷,76548
心,76484
学校,76350
准备,75751
句,75600
厉害,75597
生活,75495
上班,75409
成,75307
老师,75214
只是,75156
算,75024
写,74924
羡慕,74873
晚,74837
帅,74835
呵呵,74813
大家,74740
肯定,74510
告诉,74372
工作,73928
新,73646
比较,73510
前,72431
人家,72333
每天,72290
吃饭,72226
好久,72096
记得,71958
从,71951
帮,71007
您,70188
张,70129
放,70040
昨天,69954
该,69914
它,69860
期待,69702
变,69548
好多,68924
出去,68786
当,68448
跑,68440
哭,68152
哈哈哈,67801
你好,67727
累,67248
孩子,66779
难,66236
衣服,66217
没事,65874
哎,65701
地方,65092
嘿嘿,64988
头发,64983
亲,63830
约,62312
车,62297
卖,62095
注意,61843
多少,61670
搞,61456
哟,60970
够,60492
棒,60447
水,60252
坐,60193
学,59879
姐姐,59486
花,59346
掉,59015
天天,58672
过来,58643
休息,58505
祝,58491
之前,58416
考,57884
饿,57867
照片,57806
以前,57651
努力,57147
意思,57071
热,56992
原来,56965
咯,56199
养,56143
不行,55788
认识,55244
梦,54887
总,54615
久,54343
新年,54230
漂亮,54153
而且,54000
下午,53884
最后,53864
肉,53640
超,53402
忙,52814
猫,52614
加,52545
还要,52409
阿,51638
早上,51301
种,50953
男,50849
腿,50613
分,50580
结婚,50306
一般,50006
二,49840
活,49456
只能,49323
陪,49310
赞,48948
直接,48926
越,48889
四,48869
手,48814
估计,48684
反正,48625
确实,48142
地,47990
继续,47924
本来,47877
饭,47669
这里,47659
过去,47592
抱,47475
无,47319
而,47170
女,47101
当然,47012
条,47011
嘻嘻,46981
居然,46846
我家,46763
为了,46647
减肥,46421
哒,46290
看见,46236
真是,46224
呗,46043
容易,45768
块,45728
哪个,45727
忘,45511
哥哥,45333
骂,45139
难道,45107
岁,45049
身体,45037
说话,44997
哥,44966
歌,44908
书,44724
北京,44603
男朋友,44592
包,44562
机会,44492
滴,44419
心情,44254
姐,44083
放假,43553
同,43369
拉,43114
辛苦,43107
假,42959
超级,42863
小时,42620
关注,42391
终于,42308
突然,42298
木,42107
下来,42061
洗,42023
只有,41511
眼睛,41506
丑,41479
事情,41393
远,41108
并,41013
恩,40904
醒,40875
毕业,40831
噢,40714
越来越,40570
剪,40480
世界,40448
信,40377
电影,40187
之,40154
回复,39931
周末,39745
相信,39307
请问,39106
字,39064
生,38871
时,38539
找到,38482
不用,38477
每次,38462
虽然,38393
留,38381
重要,38373
赶紧,37950
俩,37876
今年,37849
同学,37788
斤,37722
看来,37647
们,37586
讲,37581
名字,37554
白,37547
怎么办,37333
差,37038
唉,36985
五,36928
这些,36919
连,36901
那种,36836
弄,36756
千,36730
永远,36481
宝宝,36450
不会,36225
非常,36170
猪,36101
飞,36066
在家,36026
早安,35975
天气,35949
结果,35882
件,35767
男人,35672
早点,35616
唱,35606
半,35553
已,35492
有人,35362
怎么样,35328
头,35320
十,35193
心里,35150
今晚,34998
全,34960
人生,34842
家里,34734
下去,34670
而已,34528
不是,34446
祝福,34325
图,34323
女生,34174
疼,34035
心疼,34033
里面,33940
欢迎,33877
分手,33872
妹子,33814
每,33663
有的,33460
过年,33390
考试,33310
样子,33194
差不多,33095
试试,33030
进,33022
之后,32882
其他,32642
支持,32640
不能,32559
票,32556
要是,32414
眼,32242
你家,32200
不见,32163
坏,32158
抢,32092
短,32064
只要,32005
或者,31923
女朋友,31908
下雨,31816
遇到,31702
晒,31676
头像,31629
女人,31594
画,31550
坚持,31488
办法,31483
刚刚,31355
管,31321
抱抱,31312
为啥,31300
猜,31140
额,31029
讨厌,30924
适合,30745
翻,30604
理解,30467
想到,30429
段,30272
那里,30156
改,29982
竟然,29891
上海,29798
第二,29796
马上,29733
玺,29715
遍,29711
妈,29582
双,29551
单身,29511
贵,29501
追,29406
年轻,29401
主要,29317
圈,29252
正,29202
中午,29194
与,29144
撒,29053
完全,28991
一切,28915
总是,28867
却,28866
夸,28845
些,28796
毕竟,28755
诶,28745
首,28709
哼,28709
经常,28629
路,28580
出门,28495
可怜,28471
那些,28458
宿舍,28434
明明,28332
萌,28220
恋爱,28199
卡,28027
甜,27987
红,27969
各种,27914
可惜,27848
所有,27819
亲爱,27779
推荐,27682
仙女,27614
到底,27399
哪儿,27395
就要,27253
毛,27245
么么,27220
女神,27169
口,27149
接,27118
重,27113
装,27111
站,27077
无聊,27066
打算,27053
感谢,27015
正常,26952
这边,26940
美好,26909
怪,26898
丢,26885
昨晚,26787
周,26618
谈,26607
有些,26576
听说,26373
吓,26364
成都,26350
简直,26306
情况,26194
呐,26053
不然,26048
度,26022
哎呀,25973
一些,25914
男生,25862
除了,25857
以,25803
分钟,25753
了解,25712
照,25514
每个,25436
店,25401
舒服,25196
上课,25193
傻,25166
冬天,25030
愉快,24989
离,24985
乱,24938
菜,24922
大学,24858
办,24832
电话,24797
收,24794
大概,24780
游戏,24747
表情,24728
浪,24710
对象,24693
味道,24684
夏天,24668
慢慢,24656
随便,24646
真心,24535
表示,24497
感冒,24387
个人,24366
好几,24341
后面,24280
不好意思,24274
不怕,24269
雪,24259
后来,24224
动,24206
明白,24059
火锅,24055
喊,23988
本,23894
蛮,23867
教,23757
肥,23691
小心,23661
外面,23614
联系,23604
读,23598
故事,23596
宝贝,23574
有空,23552
道理,23505
怎样,23487
跳,23430
试,23418
喔,23417
场,23379
认真,23367
鬼,23317
妈妈,23306
想想,23300
上次,23218
安全,23213
脚,23151
那边,23140
痛,23078
烦,23039
清楚,23027
爸,23002
选择,22945
拍照,22881
酒,22862
可怕,22847
成功,22833
刷,22797
停,22787
嘴,22732
表白,22692
聊,22659
咱,22654
夜,22620
转,22553
根本,22526
日子,22513
阿姨,22436
爱情,22409
床,22405
如此,22356
考虑,22337
恭喜,22225
愿意,22187
风,22120
难受,22046
谢,22027
老公,22003
广州,22002
选,21973
路上,21901
位,21859
吹,21846
课,21787
喂,21736
好听,21729
照顾,21709
自,21693
抓,21670
鱼,21636
安,21588
咬,21544
觉,21520
楼,21473
饱,21439
辣,21431
骗,21418
妹妹,21366
健康,21361
关系,21286
六,21283
如,21276
老婆,21266
碗,21233
不如,21213
别的,21210
感情,21180
好玩,21165
耍,21057
份,20985
绝对,20932
专业,20895
简单,20857
难过,20836
忘记,20744
缺,20737
倒,20710
顿,20705
老板,20683
多久,20660
礼物,20595
雨,20557
失眠,20510
面,20501
实在,20495
直播,20472
乖,20466
如何,20439
伤,20418
近,20411
班,20355
补,20342
肚子,20330
当时,20320
公司,20309
定,20292
放心,20279
配,20279
呆,20237
不够,20184
颜色,20173
赢,20138
咱们,20078
外,20049
瞎,19973
提前,19954
明年,19922
重庆,19921
气,19904
长大,19903
再说,19861
往,19849
逛,19755
从来,19742
接受,19731
身边,19731
病,19670
吐,19573
介绍,19522
美丽,19514
生气,19487
便宜,19463
太阳,19432
大哥,19427
开学,19407
急,19390
见到,19379
满,19341
收到,19321
借,19315
再见,19269
戴,19262
晓得,19248
愿,19237
旅游,19220
打电话,19169
百,19116
受,19089
米,19080
值得,19046
麻烦,19042
那天,19033
套,19031
确定,19008
姑娘,18975
放弃,18959
感动,18957
运动,18929
排,18894
醉,18892
有时候,18860
出现,18823
活动,18822
起床,18810
疯,18810
感受,18807
七,18799
电脑,18797
整,18670
敬业,18658
进去,18616
变成,18587
深,18579
上去,18547
群,18544
声音,18539
低,18539
果然,18526
药,18523
八,18423
去年,18404
嗨,18323
害怕,18319
贴,18245
关,18197
小时候,18127
强,18069
城市,18062
集,18045
珍惜,18043
说明,18037
嫉妒,17991
少女,17970
熬夜,17917
决定,17901
片,17877
学生,17820
不同,17746
结束,17711
自然,17629
背,17595
练,17532
偷,17511
声,17506
杯,17468
坑,17456
下雪,17436
聊天,17402
脑子,17365
边,17353
火,17351
后悔,17267
那样,17236
尴尬,17231
寄,17229
女孩,17186
乐,17134
高兴,17126
安慰,17092
飞机,17072
早就,17020
不管,16977
我会,16960
记,16947
入,16928
下班,16926
原因,16892
困,16869
暑假,16834
想起,16820
待,16809
效果,16782
发型,16768
担心,16762
秒,16741
激动,16737
破,16671
非,16662
所,16628
鞋,16610
未来,16589
线,16555
喝酒,16553
正在,16546
也好,16491
无法,16489
货,16480
吼,16457
穷,16456
慢,16344
逗,16330
离开,16299
基本,16261
话说,16223
向,16221
星期,16221
颗,16202
东北,16181
躺,16177
纠结,16154
这次,16139
青春,16129
明显,16128
旁边,16121
身材,16110
空调,16067
吖,16062
要求,16056
社会,16050
节目,16032
皮肤,15961
武汉,15960
易烊,15909
易,15898
苹果,15871
医生,15858
光,15851
款,15844
土豪,15815
关心,15780
存在,15706
忍,15682
方便,15677
牛,15654
优秀,15635
深圳,15632
没什么,15624
貌似,15563
平时,15549
加班,15504
交,15502
来说,15496
神,15452
她们,15442
晕,15424
炸,15392
问问,15387
煮,15336
恩恩,15319
裤子,15315
兄弟,15307
部,15262
解释,15225
消息,15178
爬,15175
内,15162
作业,15115
嫁,15102
儿子,15089
搜,15062
关键,15010
医院,14996
重点,14948
情,14938
西安,14933
摔,14912
房子,14880
减,14876
有钱,14862
倒是,14854
唱歌,14812
切,14804
男神,14772
杀,14759
清,14748
完美,14724
恨,14719
开车,14704
学姐,14702
胸,14675
听到,14663
毛病,14652
