token,count
的,6144004
了,2536201
我,2048045
是,1930703
他,1827410
在,1486033
一,1425304
不,1425050
你,1025679
她,966892
说,917725
着,891986
就,807032
这,767612
也,740950
人,700419
有,668243
上,623446
和,548866
到,525019
地,522446
都,478470
那,467505
一个,457221
去,451720
来,447374
把,433704
得,417557
我们,390022
又,387443
个,387421
要,381038
里,380676
他们,367386
没有,349656
会,346826
对,315971
还,311250
自己,300440
过,294560
什么,294321
想,281359
能,281080
看,277004
道,275609
很,260724
好,257230
而,256386
中,248724
走,247373
两,243368
大,235757
从,234277
给,232718
只,226159
出,222209
但,209347
知道,204628
这个,188501
下,188214
用,181071
让,180644
像,176756
被,173366
却,173266
呢,172600
这样,171982
小,169801
之,169703
没,169445
事,164234
时,161535
它,161505
起来,159611
为,157391
吧,155814
吗,154642
多,154046
因为,151336
已经,147971
与,147343
可以,147245
几,146867
起,145981
向,143767
现在,143517
做,138879
再,137288
才,134406
话,134032
可,133032
时候,132119
您,128239
天,127413
叫,125187
听,120641
已,118723
将,118329
便,115811
出来,112983
所,112610
使,111880
跟,111871
并,111619
笑,110128
们,109315
更,109287
年,108538
先生,107607
次,107186
住,106914
种,105221
一样,104631
问,104095
你们,103232
最,103046
吃,102675
可是,101334
头,101060
见,100685
这些,99890
手,98990
后,98873
当,98650
坐,97644
这种,97575
死,97505
三,96881
怎么,95765
觉得,94149
谁,93881
啊,93707
但是,93206
那个,92962
那么,90688
真,87692
位,87250
打,86822
还是,86775
东西,86188
如果,85690
进,85620
家,85438
成,85308
点,84851
太,82531
等,82221
站,81618
拿,81551
以,81268
声,81199
写,80105
回,79923
带,77869
比,77085
还有,76423
条,76160
不过,76104
那些,75642
前,75460
这么,74876
孩子,74677
地方,74312
这里,74020
开,71463
眼睛,71307
件,70262
找,69606
女人,69532
正,69318
于,69105
句,68445
看到,68153
一切,68141
下来,67764
开始,66866
看见,66637
一下,65950
长,65406
往,64962
脸,64836
生活,63695
所以,63364
钱,62915
而且,62863
过去,62397
请,62395
告诉,62369
可能,62007
然后,61549
感到,61203
事情,60539
张,60438
连,60221
呀,59998
一些,59981
倒,59789
声音,58812
些,58479
老,57445
爱,57371
穿,56854
一定,56826
一起,56613
父亲,55805
那里,55019
无,54848
时间,54844
如,54758
或,54437
一点,54395
为了,53609
说道,53569
眼,53167
别,52871
突然,52360
为什么,52270
跑,52089
回来,51625
同,51421
只是,51342
大家,51337
虽然,51259
母亲,51211
口,50742
问题,50600
一直,49968
新,49709
朋友,49660
四,49573
该,49341
那样,49017
喝,48849
最后,48661
心里,48543
门,47995
当然,47898
啦,47438
讲,47249
之后,46855
完,46531
心,46415
快,46296
也许,45989
喜欢,45890
以后,45857
干,45850
二,45460
于是,45362
送,45040
第一,44908
今天,44712
先,44662
似乎,44527
发现,44287
敢,44262
作,44198
所有,44089
应该,44047
另,43906
变,43880
许多,43749
非常,43599
认为,43488
她们,43405
明白,43395
下去,43387
说话,43324
回答,43291
过来,43065
完全,43048
总,43046
如此,42959
望,42826
人们,42811
夫人,42747
身上,42699
间,42274
太太,42234
希望,42195
它们,42023
放,41905
块,41840
本,41660
由,41594
好像,41465
世界,41383
有些,41309
身,41276
别人,41115
气,40917
信,40814
一边,40745
有人,40714
似的,39974
书,39405
工作,38751
想到,38729
此,38669
这时,38327
不要,38172
出去,38011
片,37922
听到,37877
象,37626
水,37626
或者,37504
不知,37437
后来,37427
买,37280
哪,37067
其,36977
离开,36452
全,36276
男人,36237
满,36031
拉,36017
以为,35827
谈,35601
相信,35335
高,35275
行,35159
这儿,35061
岁,35058
月,35047
甚至,34990
只要,34842
自,34617
人家,34559
任何,34539
要是,34494
因此,34249
每,34054
字,33899
受,33681
姑娘,33643
总是,33600
脸上,33568
停,33479
转,33436
半,33385
感觉,33311
掉,33215
第二,33134
之间,33131
跳,33053
十分,33020
