token,count
的,54924623
在,12509678
了,12152846
和,12059599
是,10187840
一,6377266
不,4910435
有,4306124
中,4273073
为,4189324
年,3940252
上,3803861
对,3701158
发展,3592472
中国,3258176
就,3196470
这,3191290
也,3075918
等,3075876
到,3072511
要,2938676
多,2919617
我们,2825214
说,2797348
个,2788334
工作,2679403
他,2673146
与,2620730
人,2613341
人民,2600514
地,2569173
新,2523579
大,2368497
月,2340920
日,2332700
都,2168381
将,2123795
以,2113387
国家,2088992
两,2040208
问题,1970430
从,1967505
一个,1956213
经济,1953788
我,1932403
建设,1868051
把,1850854
能,1760923
他们,1721929
来,1686893
着,1679010
还,1659529
进行,1581133
好,1555602
并,1554977
更,1532638
企业,1515991
群众,1452422
而,1430910
下,1422912
社会,1412022
生产,1410463
记者,1340184
向,1310805
已,1277501
后,1265321
次,1240527
又,1237671
时,1222209
万,1207679
主席,1206544
三,1182421
最,1169300
党,1149043
美国,1142426
被,1113185
重要,1101097
用,1099616
我国,1095998
出,1089167
元,1085088
使,1083841
技术,1079923
文化,1076644
合作,1075076
世界,1055754
没有,1052338
领导,1044771
之,1036891
自己,1026238
干部,1024639
但,1019525
很,1017243
于,1015717
所,1001126
会,1000990
这个,988589
服务,985105
全国,972636
国际,971339
会议,958617
组织,957340
改革,951907
由,949410
加强,947322
社会主义,942399
副,940364
革命,938252
电,934049
关系,928521
提高,916078
们,911292
教育,903647
得,900035
同志,899726
通过,898405
本报,896451
名,895730
方面,893554
给,881652
新华社,881067
要求,873416
活动,869634
高,868178
今年,859012
政府,858280
生活,853135
起,851159
实现,849502
里,845568
国,842988
思想,841725
管理,841154
政策,836313
让,835499
同,833211
各,827100
可以,821682
市场,817800
地区,807189
学习,801918
代表,789220
部门,787767
这些,782523
人员,780602
解决,774844
表示,769136
第一,741538
它,739922
一些,738854
去,737330
情况,736623
北京,728766
种,721225
过,717778
据,717368
精神,713870
历史,709441
政治,706061
已经,698585
需要,697724
举行,697474
参加,697103
农业,693873
研究,693742
斗争,693501
坚持,692593
成为,691505
建立,680492
提出,675143
制度,672236
农民,667868
不断,663893
可,662943
今天,658311
前,657644
目前,656567
开展,654529
农村,653334
做,651745
积极,650562
支持,649484
几,647546
同时,638326
安全,637057
才,636210
这样,634362
创新,632448
全面,625286
美,623109
天,621137
基础,620858
必须,620250
推动,619201
走,615401
看,610852
现在,607141
主要,605059
和平,604350
计划,601829
进一步,600360
项目,597644
认为,593838
其,590738
及,587520
增长,586803
比,586595
条,583574
作为,583095
有关,581084
只,573849
这种,573717
小,570787
她,566392
家,565823
环境,564536
亿,563782
城市,563530
共同,562360
或,561815
位,559080
起来,552701
为了,551076
产品,550025
提供,549666
推进,546439
继续,544674
四,543416
民族,541925
产业,541387
开始,538864
增加,537047
时间,536135
单位,535821
任务,535267
去年,532971
水平,532615
指出,531665
取得,530617
许多,530224
作用,528471
以及,528030
工人,526544
毛,524309
内,521221
促进,516232
地方,515667
科技,513551
质量,512032
科学,510148
努力,506617
完成,504502
项,497149
工程,492147
以来,488269
关于,486669
届,484852
应,484034
日本,483730
力量,479612
事业,478289
再,470617
经验,470043
成,469881
报道,469437
规定,467803
投资,465653
伟大,465644
至,462648
苏联,462611
保护,461136
工业,459498
总理,457856
由于,457272
学生,450159
影响,449201
条件,444327
正,444259
二,443499
决定,442634
却,441081
特别,436568
基本,435157
其他,434974
实施,430232
你,430121
五,429053
深入,429039
重大,426767
发挥,426006
但是,420033
当,419168
根据,418832
广大,418601
公司,416869
领域,416103
劳动,415617
作,415411
人们,415275
讯,414661
资源,414482
发生,414378
措施,413913
批,411893
其中,410688
时代,409745
能力,409177
过去,408201
机构,407248
利用,403898
运动,402177
什么,401537
得到,400614
重点,399868
保障,398935
行动,397892
较,397711
希望,396426
一定,396359
每,396221
战略,395979
习近平,393450
中心,392696
打,392339
正在,391110
传统,389588
书记,386643
首,385838
如,385336
共,385134
如果,385122
体系,384543
帮助,383091
团结,382571
反对,382411
以上,381346
青年,380673
第二,380536
想,380341
充分,379668
采取,378316
统一,378023
具有,377737
对于,377416
不仅,377161
因为,376624
近,375522
达,371975
形成,371319
落实,371017
生态,370030
实践,369408
总统,369285
方式,366474
报告,366352
更加,366294
困难,365725
胜利,365436
结合,364359
可能,364357
意见,364234
职工,362781
实际,362696
各种,362093
机制,361747
经过,359866
强调,359652
这里,358198
开放,357936
利益,357836
稳定,353252
扩大,352599
达到,351982
出现,351892
那,351771
一切,351358
严重,350935
实行,349327
成立,348710
友好,348438
目标,347616
理论,347142
曾,346578
各地,346418
代表团,344575
资金,344555
之间,343455
占,342864
法律,342443
不同,342019
全,340786
帝国主义,340492
介绍,339274
信息,335976
系统,334748
访问,334464
发表,334315
机关,333291
而且,331030
大会,330512
获得,329634
持续,328619
使用,328561
中央,327917
双方,327187
学校,324444
创造,324196
发现,324082
人才,323781
进,323227
大家,322907
特色,320115
因此,319082
各国,318494
办,317978
交流,316863
看到,315616
党员,314946
责任,314740
有的,314439
先进,314323
过程,313664
民主,313493
原则,313101
贯彻,312229
应该,311784
作出,311651
经营,311351
基层,311299
了解,311258
执行,311182
完善,310654
金融,310637
既,310320
包括,310057
保证,309855
办法,307739
加快,307354
亩,306913
成果,306668
十,306339
认识,305846
收入,305393
分,305231
时候,304689
开,304194
全球,303920
该,303897
存在,303642
道路,303481
还有,301872
标准,301123
保持,300110
维护,298705
建议,298344
成功,297238
部队,296864
能够,296487
调查,296106
岁,294087
召开,294008
受到,293811
贸易,293480
战争,293126
上海,291497
反,291467
水,291384
则,290732
一起,290234
认真,288846
余,288738
县,288204
开发,287515
