rank	word	tier	code4
1	我们	S_前2000	womf
2	什么	S_前2000	ufme
3	自己	S_前2000	ziji
4	没有	S_前2000	moyz
7	知道	S_前2000	vidc
8	他们	S_前2000	tamf
9	现在	S_前2000	xmzd
10	一个	S_前2000	yige
11	这样	S_前2000	veyh
13	时候	S_前2000	uihz
14	你们	S_前2000	nimf
15	已经	S_前2000	yijk
16	因为	S_前2000	ybww
17	今天	S_前2000	jbtm
18	问题	S_前2000	wfti
19	起来	S_前2000	qild
20	工作	S_前2000	gszo
21	喜欢	S_前2000	xihr
22	这么	S_前2000	veme
24	如果	S_前2000	rugo
27	开始	S_前2000	kdui
28	时间	S_前2000	uijm
29	但是	S_前2000	djui
30	一下	S_前2000	yixx
31	那么	S_前2000	name
33	出来	S_前2000	iuld
35	可能	S_前2000	keng
36	看到	S_前2000	kjdc
38	这里	S_前2000	veli
39	第一	S_前2000	diyi
40	这些	S_前2000	vexp
42	一定	S_前2000	yidk
43	东西	S_前2000	dsxi
44	应该	S_前2000	ykgd
45	所以	S_前2000	soyi
46	一直	S_前2000	yivi
48	发现	S_前2000	faxm
50	希望	S_前2000	xiwh
51	地方	S_前2000	defh
52	哈哈	S_前2000	haha
53	回来	S_前2000	hvld
55	感觉	S_前2000	gjjn
56	孩子	S_前2000	hdzi
58	然后	S_前2000	rjhz
59	告诉	S_前2000	gcsu
60	必须	S_前2000	bixu
61	快乐	S_前2000	kkle
62	一些	S_前2000	yixp
63	为了	S_前2000	wwle
64	还有	S_前2000	hdyz
65	那个	S_前2000	nage
67	最后	S_前2000	zvhz
69	可是	S_前2000	keui
70	过去	S_前2000	goqu
71	而且	S_前2000	erqp
75	继续	S_前2000	jixu
76	别人	S_前2000	bprf
77	一点	S_前2000	yidm
78	看看	S_前2000	kjkj
79	发展	S_前2000	favj
81	所有	S_前2000	soyz
82	谢谢	S_前2000	xpxp
83	很多	S_前2000	hfdo
85	认为	S_前2000	rfww
86	晚上	S_前2000	wjuh
87	中国	S_前2000	vsgo
88	非常	S_前2000	fwih
89	进行	S_前2000	jbhg
90	特别	S_前2000	tebp
91	学校	S_前2000	xtjn
92	情况	S_前2000	qkkl
94	明天	S_前2000	mktm
95	其实	S_前2000	qiui
96	成为	S_前2000	igww
97	活动	S_前2000	hods
99	真的	S_前2000	vfde
101	先生	S_前2000	xmug
102	虽然	S_前2000	svrj
103	只是	S_前2000	viui
104	下来	S_前2000	xxld
105	其他	S_前2000	qita
106	哪里	S_前2000	nali
107	公司	S_前2000	gssi
108	结果	S_前2000	jpgo
109	女人	S_前2000	nvrf
111	不错	S_前2000	buco
113	城市	S_前2000	igui
115	相信	S_前2000	xlxb
116	多少	S_前2000	douc
117	当然	S_前2000	dhrj
118	这种	S_前2000	veis
120	出去	S_前2000	iuqu
122	完全	S_前2000	wjqr
123	通过	S_前2000	tsgo
126	努力	S_前2000	nuli
127	出现	S_前2000	iuxm
128	精神	S_前2000	jkuf
129	以前	S_前2000	yiqm
130	有些	S_前2000	yzxp
131	参加	S_前2000	cfjx
132	只有	S_前2000	viyz
133	终于	S_前2000	vsyu
134	最近	S_前2000	zvjb
135	过来	S_前2000	gold
136	如何	S_前2000	ruhe
137	好像	S_前2000	hcxl
138	要求	S_前2000	ycqq
140	只要	S_前2000	viyc
141	第二	S_前2000	dier
142	突然	S_前2000	turj
143	好好	S_前2000	hchc
145	今年	S_前2000	jbnm
147	找到	S_前2000	vcdc
148	原来	S_前2000	yrld
149	不同	S_前2000	buts
150	机会	S_前2000	jihv
151	比较	S_前2000	bijn
152	开心	S_前2000	kdxb
154	男人	S_前2000	njrf
155	学生	S_前2000	xtug
156	一般	S_前2000	yibj
157	注意	S_前2000	vuyi
158	之前	S_前2000	viqm
159	眼睛	S_前2000	yjjk
160	电话	S_前2000	dmhx
161	北京	S_前2000	bwjk
162	老师	S_前2000	lcui
163	那里	S_前2000	nali
165	如此	S_前2000	ruci
166	永远	S_前2000	ysyr
167	明白	S_前2000	mkbd
168	手机	S_前2000	uzji
169	任何	S_前2000	rfhe
170	作为	S_前2000	zoww
171	主要	S_前2000	vuyc
172	下去	S_前2000	xxqu
173	妈妈	S_前2000	mama
174	获得	S_前2000	hode
175	同时	S_前2000	tsui
178	记得	S_前2000	jide
179	成功	S_前2000	iggs
180	衣服	S_前2000	yifu
181	意思	S_前2000	yisi
182	也许	S_前2000	yexu
183	总是	S_前2000	zsui
184	离开	S_前2000	likd
185	正在	S_前2000	vgzd
186	回去	S_前2000	hvqu
187	容易	S_前2000	rsyi
188	影响	S_前2000	ykxl
189	身体	S_前2000	ufti
190	研究	S_前2000	yjjq
191	安全	S_前2000	anqr
192	那样	S_前2000	nayh
193	表示	S_前2000	bnui
194	了解	S_前2000	lejp
195	说话	S_前2000	uohx
196	选择	S_前2000	xrvd
197	好看	S_前2000	hckj
198	之间	S_前2000	vijm
199	名字	S_前2000	mkzi
201	直接	S_前2000	vijp
202	人们	S_前2000	rfmf
204	解决	S_前2000	jpjt
205	无法	S_前2000	mofa
207	可爱	S_前2000	keai
208	睡觉	S_前2000	uvjn
209	代表	S_前2000	ddbn
210	分钟	S_前2000	ffvs
211	怎样	S_前2000	zfyh
212	计划	S_前2000	jihx
213	故事	S_前2000	guui
214	超过	S_前2000	icgo
215	电影	S_前2000	dmyk
216	对于	S_前2000	dvyu
217	照片	S_前2000	vcpm
218	学习	S_前2000	xtxi
219	经济	S_前2000	jkji
220	方面	S_前2000	fhmm
221	根本	S_前2000	gfbf
222	文化	S_前2000	wfhx
223	到底	S_前2000	dcdi
224	完成	S_前2000	wjig
225	漂亮	S_前2000	pnll
227	欢迎	S_前2000	hryk
229	部分	S_前2000	buff
230	声音	S_前2000	ugyb
231	能力	S_前2000	ngli
233	美国	S_前2000	mwgo
234	当时	S_前2000	dhui
235	接受	S_前2000	jpuz
236	帮助	S_前2000	bhvu
237	真正	S_前2000	vfvg
238	刚刚	S_前2000	ghgh
239	方法	S_前2000	fhfa
240	组织	S_前2000	zuvi
241	结束	S_前2000	jpuu
242	里面	S_前2000	limm
243	存在	S_前2000	cyzd
244	看来	S_前2000	kjld
246	原因	S_前2000	yryb
247	教育	S_前2000	jnyu
248	高兴	S_前2000	gcxk
249	关于	S_前2000	gryu
250	其中	S_前2000	qivs
251	人生	S_前2000	rfug
253	历史	S_前2000	liui
254	消息	S_前2000	xnxi
255	来说	S_前2000	lduo
257	健康	S_前2000	jmkh
258	自然	S_前2000	zirj
259	以及	S_前2000	yiji
261	今晚	S_前2000	jbwj
262	生日	S_前2000	ugri
263	任务	S_前2000	rfwu
264	速度	S_前2000	sudo
265	不管	S_前2000	bugr
267	能够	S_前2000	nggz
269	清楚	S_前2000	qkiu
271	医院	S_前2000	yiyr
272	本来	S_前2000	bfld
274	真是	S_前2000	vfui
276	难道	S_前2000	njdc
277	结婚	S_前2000	jphy
279	变成	S_前2000	bmig
280	个人	S_前2000	gerf
281	保护	S_前2000	bchu
282	身边	S_前2000	ufbm
283	确实	S_前2000	qtui
284	使用	S_前2000	uiys
287	生命	S_前2000	ugmk
288	兄弟	S_前2000	xsdi
289	游戏	S_前2000	yzxi
290	见到	S_前2000	jmdc
292	就是	S_前2000	jqui
293	表现	S_前2000	bnxm
295	大学	S_前2000	daxt
296	简单	S_前2000	jmdj
297	房子	S_前2000	fhzi
298	居然	S_前2000	jurj
299	吃饭	S_前2000	iifj
300	后来	S_前2000	hzld
302	听到	S_前2000	tkdc
303	经过	S_前2000	jkgo
306	关注	S_前2000	grvu
308	休息	S_前2000	xqxi
309	系统	S_前2000	jits
310	她们	S_前2000	tamf
311	头发	S_前2000	tzfa
312	信息	S_前2000	xbxi
313	它们	S_前2000	tamf
314	医生	S_前2000	yiug
315	早上	S_前2000	zcuh
317	年轻	S_前2000	nmqk
318	进入	S_前2000	jbru
319	运动	S_前2000	yyds
321	服务	S_前2000	fuwu
322	日子	S_前2000	rizi
