啊啊啊	aaa
暗暗地	aad
矮矮的	aad
嗷嗷叫	aaj
爱不爱	aba
熬不过	abg
拗不过	abg
按比例	abl
阿波罗	abl
奥巴马	abm
碍不着	abv
按错了	acl
矮矬穷	acq
爱丁堡	adb
矮墩墩	add
安道尔	ade
阿道夫	adf
安多酚	adf
矮冬瓜	adg
爱德华	adh
矮大紧	adj
按道理	adl
暗地里	adl
奥地利	adl
安定区	adq
安德森	ads
熬到头	adt
爱迪生	adu
熬得住	adv
挨得着	adv
阿尔法	aef
奥尔良	ael
爱尔兰	ael
阿凡达	afd
阿房宫	afg
阿法狗	afg
阿富汗	afh
阿凡提	aft
按规定	agd
阿骨打	agd
挨个儿	age
矮个儿	age
按惯例	agl
熬过来	agl
挨过去	agq
熬过去	agq
阿根廷	agt
爱国者	agv
爱国心	agx
矮个子	agz
爱喝的	ahd
啊哈哈	ahh
安魂曲	ahq
安河桥	ahq
安徽人	ahr
暗红色	ahs
安徽省	ahu
爱好者	ahv
爱吃的	aid
鹌鹑蛋	aid
按常规	aig
暗沉沉	aii
氨茶碱	aij
熬出头	ait
安静的	ajd
安家费	ajf
按计划	ajh
爱剪辑	ajj
安居客	ajk
安静了	ajl
安吉拉	ajl
氨基酸	ajs
按键式	aju
癌基因	ajy
拗口令	akl
阿卡丽	akl
阿卡姆	akm
阿克曼	akm
爱科学	akx
奥利奥	ala
阿拉伯	alb
阿鲁巴	alb
阿拉丁	ald
奥利给	alg
安理会	alh
阿联酋	alq
安乐死	als
爱丽丝	als
俺老孙	als
按理说	alu
安禄山	alu
安乐窝	alw
爱立信	alx
阿里云	aly
安乐椅	aly
凹面镜	amj
阿玛尼	amn
安眠曲	amq
按摩器	amq
爱马仕	amu
安慕希	amx
安眠药	amy
爱面子	amz
熬年头	ant
安排表	apb
安排好	aph
安培计	apj
阿帕奇	apq
安排上	apu
阿婆主	apv
安排下	apx
矮穷矬	aqc
安全带	aqd
挨千刀	aqd
安琪儿	aqe
安全阀	aqf
安全感	aqg
爱琴海	aqh
矮穷丑	aqi
安全局	aqj
安琪拉	aql
安全帽	aqm
安全门	aqm
爱情片	aqp
安全期	aqq
安全区	aqq
昂起头	aqt
安全套	aqt
安全性	aqx
安全线	aqx
爱奇艺	aqy
安全员	aqy
爱人民	arm
爱热闹	arn
奥斯卡	ask
爱死了	asl
阿萨姆	asm
阿斯玛	asm
凹透镜	atj
阿提拉	atl
奥特曼	atm
阿童木	atm
凹凸曼	atm
安兔兔	att
安徒生	atu
安胎药	aty
爱上了	aul
阿诗玛	aum
爱上你	aun
爱谁谁	auu
暗示着	auv
爱上我	auw
按顺序	aux
暗示性	aux
安装包	avb
安卓版	avb
安卓机	avj
安装盘	avp
按这种	avv
艾薇儿	awe
奥委会	awh
安委会	awh
安慰剂	awj
癌晚期	awq
暗物质	awv
安慰性	awx
癌细胞	axb
阿西吧	axb
凹陷处	axi
阿修罗	axl
安息日	axr
爱学习	axx
按一按	aya
奥运村	ayc
奥运会	ayh
爱与恨	ayh
矮一截	ayj
按要求	ayq
哎哟喂	ayw
哎呦喂	ayw
按音序	ayx
哎呀呀	ayy
艾滋病	azb
爱祖国	azg
爱咋玩	azw
凹造型	azx
不安分	baf
不爱吃	bai
不安宁	ban
不安全	baq
不爱听	bat
不碍事	bau
不安稳	baw
不安心	bax
白矮星	bax
不不不	bbb
并不比	bbb
别别别	bbb
白板擦	bbc
巴不得	bbd
办不到	bbd
不变的	bbd
宝贝儿	bbe
笨办法	bbf
八宝饭	bbf
背包袱	bbf
比不过	bbg
本不该	bbg
把把关	bbg
并不会	bbh
不包含	bbh
办不成	bbi
蹦蹦床	bbi
八百斤	bbj
不包括	bbk
背包客	bbk
巴比伦	bbl
比不了	bbl
帮帮忙	bbm
宝贝们	bbm
并不能	bbn
并不难	bbn
抱不平	bbp
百白破	bbp
北半球	bbq
保不齐	bbq
并不如	bbr
被别人	bbr
并不算	bbs
棒棒糖	bbt
半边天	bbt
巴别塔	bbt
并不是	bbu
比不上	bbu
保不住	bbv
憋不住	bbv
八宝粥	bbv
帮帮我	bbw
并不晚	bbw
并不想	bbx
并不像	bbx
百宝箱	bbx
并不用	bby
不便于	bby
不必要	bby
半辈子	bbz
八辈子	bbz
彼此间	bcj
爆粗口	bck
百草枯	bck
不错了	bcl
不聪明	bcm
不错嘛	bcm
不凑巧	bcq
保存期	bcq
不曾想	bcx
病残孕	bcy
不存在	bcz
不代表	bdb
不得不	bdb
不但不	bdb
背单词	bdc
不单单	bdd
不懂得	bdd
半点儿	bde
白癜风	bdf
贝多芬	bdf
白大褂	bdg
不大好	bdh
憋得慌	bdh
不等号	bdh
不动产	bdi
不对称	bdi
不对劲	bdj
不打紧	bdj
不对口	bdk
傍大款	bdk
不得了	bdl
背地里	bdl
帮倒忙	bdm
不定期	bdq
本地区	bdq
本地人	bdr
不打扰	bdr
不打算	bds
不对头	bdt
摆地摊	bdt
抱大腿	bdt
比得上	bdu
不但是	bdu
不单是	bdu
别当真	bdv
报到证	bdv
不到位	bdw
不倒翁	bdw
北斗星	bdx
别担心	bdx
不担心	bdx
不等于	bdy
不得已	bdy
不低于	bdy
半吊子	bdz
瘪犊子	bdz
倍儿棒	beb
巴尔干	beg
巴儿狗	beg
白垩纪	bej
不二价	bej
包二奶	ben
边儿去	beq
博尔特	bet
倍儿爽	beu
包耳式	beu
北二外	bew
不妨碍	bfa
不方便	bfb
百分百	bfb
百分比	bfb
不服从	bfc
不反对	bfd
不发达	bfd
不封顶	bfd
变法儿	bfe
笨方法	bff
不复返	bff
不犯法	bff
不放过	bfg
饱腹感	bfg
避风港	bfg
不符合	bfh
暴发户	bfh
迸发出	bfi
不费劲	bfj
抱佛脚	bfj
白费劲	bfj
被罚款	bfk
不分开	bfk
爆发力	bfl
播放量	bfl
白富美	bfm
包分配	bfp
背风坡	bfp
不服气	bfq
不放弃	bfq
播放器	bfq
不否认	bfr
部分人	bfr
北方人	bfr
巴菲特	bft
避风头	bft
比方说	bfu
并非是	bfu
百分之	bfv
别烦我	bfw
百分位	bfw
不放心	bfx
暴风雪	bfx
爆发性	bfx
暴风雨	bfy
不负责	bfz
不复杂	bfz
不够啊	bga
不改变	bgb
班干部	bgb
不光彩	bgc
别搞错	bgc
宝贵的	bgd
不敢动	bgd
冰棍儿	bge
不过分	bgf
不辜负	bgf
保管费	bgf
不过关	bgg
不够格	bgg
不够好	bgh
报告会	bgh
不构成	bgi
报告称	bgi
不干净	bgj
白骨精	bgj
不干胶	bgj
不敢看	bgk
不管了	bgl
办公楼	bgl
帮个忙	bgm
不感冒	bgm
不管你	bgn
布谷鸟	bgn
不公平	bgp
办公区	bgq
背过气	bgq
被告人	bgr
保管人	bgr
不告诉	bgs
本公司	bgs
包工头	bgt
表个态	bgt
不管是	bgu
办公室	bgu
不关注	bgv
办公桌	bgv
别怪我	bgw
别管我	bgw
八股文	bgw
不高兴	bgx
不甘心	bgx
半个月	bgy
不够用	bgy
不管用	bgy
不规则	bgz
笔杆子	bgz
不会啊	bha
北海岸	bha
不会吧	bhb
不好吧	bhb
不好办	bhb
不会错	bhc
保护层	bhc
百花丛	bhc
不会的	bhd
饱和度	bhd
不厚道	bhd
保护费	bhf
不合法	bhf
不合格	bhg
不好过	bhg
不后悔	bhh
白花花	bhh
不含糊	bhh
不好吃	bhi
冰红茶	bhi
不好讲	bhj
编后记	bhj
百花奖	bhj
不好看	bhk
不合理	bhl
白桦林	bhl
不好吗	bhm
保护膜	bhm
别害怕	bhp
保皇派	bhp
不会去	bhq
不回去	bhq
不好惹	bhr
被害人	bhr
不划算	bhs
保护伞	bhs
庇护所	bhs
不好听	bht
保护套	bht
不合适	bhu
不好受	bhu
包含着	bhv
被害者	bhv
不会为	bhw
不好玩	bhw
不和谐	bhx
不好笑	bhx
不会有	bhy
不好用	bhy
不欢迎	bhy
不会做	bhz
白胡子	bhz
不成材	bic
白炽灯	bid
不迟到	bid
不充分	bif
不重复	bif
不超过	big
不成功	big
病虫害	bih
被查处	bii
不常见	bij
补偿金	bij
变成了	bil
不出来	bil
不出门	bim
半成品	bip
不出去	biq
不差钱	biq
不成器	biq
不承认	bir
抱成团	bit
不成熟	biu
不诚实	biu
保持着	biv
不称职	biv
被称为	biw
搏出位	biw
不承想	bix
八成新	bix
不吃香	bix
不常用	biy
不传谣	biy
被称作	biz
绑架案	bja
不仅不	bjb
笔记本	bjb
保健操	bjc
不见得	bjd
不记得	bjd
拔尖儿	bje
比较烦	bjf
百家饭	bjf
保价费	bjf
不经过	bjg
边界感	bjg
不及格	bjg
比较好	bjh
不久后	bjh
不仅会	bjh
比较差	bji
比较长	bji
不仅仅	bjj
不解决	bjj
不讲究	bjj
比较快	bjk
不健康	bjk
不讲理	bjl
边角料	bjl
比较慢	bjm
比较忙	bjm
本杰明	bjm
不仅能	bjn
比基尼	bjn
保健品	bjp
补给品	bjp
不久前	bjq
不进去	bjq
不兼容	bjr
北京人	bjr
背景色	bjs
半决赛	bjs
班集体	bjt
背景图	bjt
八骏图	bjt
不仅是	bju
不就是	bju
别紧张	bjv
不紧张	bjv
边检站	bjv
标记为	bjw
百家姓	bjx
北极熊	bjx
边境线	bjx
不介意	bjy
不建议	bjy
败家子	bjz
包饺子	bjz
摆架子	bjz
背靠背	bkb
不可不	bkb
不可得	bkd
冰咖啡	bkf
补考费	bkf
报考费	bkf
不看好	bkh
不可活	bkh
背阔肌	bkj
不可靠	bkk
不可控	bkk
不可考	bkk
不考虑	bkl
不快乐	bkl
宝可梦	bkm
不可逆	bkn
不可能	bkn
不靠谱	bkp
不客气	bkq
别客气	bkq
不可取	bkq
报刊亭	bkt
本科生	bku
白开水	bku
不愧是	bku
不可知	bkv
半空中	bkv
不可谓	bkw
不愧为	bkw
不开心	bkx
不可行	bkx
不可信	bkx
不可以	bky
本可以	bky
不可用	bky
包括在	bkz
抱了抱	blb
白萝卜	blb
玻璃杯	blb
不理睬	blc
便利店	bld
冰冷的	bld
白兰地	bld
鼻梁儿	ble
别浪费	blf
布洛芬	blf
拨浪鼓	blg
本来该	blg
鼻梁骨	blg
不理会	blh
八零后	blh
白莲花	blh
暴露出	bli
碧螺春	bli
玻璃窗	bli
不了解	blj
不理解	blj
八路军	blj
不离开	blk
巴洛克	blk
布鲁克	blk
不聊了	bll
别乱来	bll
不了了	bll
不礼貌	blm
菠萝蜜	blm
玻璃门	blm
不理你	bln
百灵鸟	bln
舶来品	blp
玻璃瓶	blp
保龄球	blq
不领情	blq
玻璃球	blq
不利索	bls
辩论赛	bls
布鲁斯	bls
别理他	blt
柏拉图	blt
巴雷特	blt
不论是	blu
本来是	blu
半路上	blu
避雷针	blv
不理智	blv
不理我	blw
芭蕾舞	blw
不来往	blw
不理想	blx
本来想	blx
玻璃心	blx
不利于	bly
不乐意	bly
毕了业	bly
冰溜子	blz
半拉子	blz
保留字	blz
不明白	bmb
编码表	bmb
闭幕词	bmc
白名单	bmd
百慕大	bmd
白木耳	bme
白米饭	bmf
报名费	bmf
版面费	bmf
闭门羹	bmg
白玫瑰	bmg
爆米花	bmh
白忙活	bmh
表面积	bmj
别墨迹	bmj
避免了	bml
摆明了	bml
白茫茫	bmm
白蒙蒙	bmm
本命年	bmn
白毛女	bmn
不明确	bmq
编码器	bmq
半毛钱	bmq
白马寺	bms
绊马索	bms
表面上	bmu
变魔术	bmu
闭幕式	bmu
北美洲	bmv
弼马温	bmw
保密性	bmx
不明显	bmx
并没有	bmy
兵马俑	bmy
不满意	bmy
不满足	bmz
被埋在	bmz
蓖麻子	bmz
不能按	bna
不能不	bnb
本年度	bnd
本能地	bnd
不耐烦	bnf
不能够	bng
并能够	bng
半年后	bnh
百脑汇	bnh
比你好	bnh
不能吃	bni
八年级	bnj
不努力	bnl
别闹了	bnl
巴拿马	bnm
不那么	bnm
半年内	bnn
白嫩嫩	bnn
半年前	bnq
八年前	bnq
不能忍	bnr
不能算	bns
避难所	bns
编年体	bnt
不能说	bnu
编年史	bnu
白内障	bnv
半年中	bnv
比你行	bnx
不能用	bny
保暖衣	bny
白娘子	bnz
被殴打	bod
报平安	bpa
保平安	bpa
标配版	bpb
不平等	bpd
奔跑的	bpd
摆谱儿	bpe
不平凡	bpf
白苹果	bpg
不平衡	bph
扁平化	bph
白平衡	bph
不排除	bpi
被判处	bpi
白啤酒	bpj
不怕苦	bpk
不怕累	bpl
不怕你	bpn
不匹配	bpp
被抛弃	bpq
变频器	bpq
爆脾气	bpq
不怕死	bps
白葡萄	bpt
不怕她	bpt
白皮书	bpu
鞭炮声	bpu
爆破手	bpu
背叛者	bpv
奔跑者	bpv
被评为	bpw
不怕我	bpw
不便宜	bpy
爆破音	bpy
扁平疣	bpy
宝瓶座	bpz
扁平足	bpz
表情包	bqb
滨崎步	bqb
不确定	bqd
不恰当	bqd
棒球队	bqd
白求恩	bqe
版权费	bqf
被欺负	bqf
不缺乏	bqf
不奇怪	bqg
别去管	bqg
笔趣阁	bqg
标签化	bqh
不清楚	bqi
白切鸡	bqj
兵器库	bqk
比起来	bql
冰淇淋	bql
不去了	bql
别气馁	bqn
比丘尼	bqn
不缺钱	bqq
不确切	bqq
不求人	bqr
不轻松	bqs
包青天	bqt
扒墙头	bqt
并且是	bqu
不全是	bqu
办签证	bqv
被取消	bqx
不起眼	bqy
不情愿	bqy
不轻易	bqy
不然不	brb
别人的	brd
不认得	brd
不人道	brd
必然会	brh
不然会	brh
白热化	brh
别人家	brj
八人间	brj
不认可	brk
百日咳	brk
不入流	brl
哺乳类	brl
白日梦	brm
被人骂	brm
不然呢	brn
哺乳期	brq
不让人	brr
不认人	brr
不饶人	brr
不认同	brt
半乳糖	brt
比如说	bru
不认识	bru
别人说	bru
不认真	brv
不认账	brv
百人斩	brv
不认为	brw
被认为	brw
不忍心	brx
不容许	brx
包容性	brx
不容易	bry
不如意	bry
必然要	bry
比萨饼	bsb
不算的	bsd
不算多	bsd
贝塞尔	bse
濒死感	bsg
不算好	bsh
比赛后	bsh
比赛场	bsi
报私仇	bsi
本赛季	bsj
变色龙	bsl
波斯猫	bsm
变速器	bsq
比赛日	bsr
白森森	bss
不算数	bsu
百岁山	bsu
比赛中	bsv
伴随着	bsv
白素贞	bsv
波斯湾	bsw
不死心	bsx
变速箱	bsx
抱孙子	bsz
比特币	btb
表土层	btc
不停地	btd
不同的	btd
不太懂	btd
白天鹅	bte
抱团儿	bte
不透风	btf
不通风	btf
白头发	btf
不太敢	btg
不透光	btg
不太好	bth
不听话	bth
霸天虎	bth
不提倡	bti
拔头筹	bti
半脱产	bti
不推荐	btj
薄透镜	btj
不痛快	btk
变态狂	btk
白铁矿	btk
拜托了	btl
别提了	btl
摆脱了	btl
半透明	btm
不透明	btm
不体面	btm
不太难	btn
白头鸟	btn
鼻涕泡	btp
白铁皮	btp
不听劝	btq
不透气	btq
趵突泉	btq
被投诉	bts
扁桃体	btt
半桶水	btu
不踏实	btu
不停止	btv
别太晚	btw
白头翁	btw
不太像	btx
不太想	btx
不妥协	btx
不统一	bty
不同于	bty
不同意	bty
摆摊子	btz
不是啊	bua
不是吧	bub
不是不	bub
不舍得	bud
不是的	bud
不舒服	buf
被说服	buf
不设防	buf
不是个	bug
北上广	bug
不是很	buh
不适合	buh
办事处	bui
被删除	bui
必杀技	buj
保时捷	buj
必胜客	buk
别说了	bul
不说了	bul
不顺利	bul
不是吗	bum
不是么	bum
白水泥	bun
保守派	bup
不识趣	buq
不少钱	buq
不少人	bur
半兽人	bur
不是人	bur
八十岁	bus
白砂糖	but
百事通	but
博士生	buu
不是说	buu
不是指	buv
不慎重	buv
不失为	buw
不是我	buw
不熟悉	bux
办手续	bux
不识相	bux
不属于	buy
不适应	buy
闭上眼	buy
不识字	buz
编者按	bva
爆炸案	bva
不着边	bvb
标准版	bvb
不知道	bvd
不值得	bvd
不着调	bvd
辩证法	bvf
补助费	bvf
包装费	bvf
不正规	bvg
不粘锅	bvg
标准化	bvh
包装盒	bvh
表彰会	bvh
不正常	bvi
不支持	bvi
不忠诚	bvi
不正经	bvj
保证金	bvj
不着急	bvj
被指控	bvk
败者寇	bvk
板着脸	bvl
绷着脸	bvl
不知名	bvm
本周末	bvm
本周内	bvn
不知情	bvq
不争气	bvq
不值钱	bvq
班主任	bvr
白种人	bvr
变种人	bvr
不折腾	bvt
不中听	bvt
爆炸头	bvt
不只是	bvu
本质上	bvu
不真实	bvu
标志着	bvv
不注重	bvv
包装纸	bvv
不指望	bvw
别指望	bvw
爆炸物	bvw
标志性	bvx
帮助下	bvx
爆炸性	bvx
不至于	bvy
不注意	bvy
不长眼	bvy
不知足	bvz
