词	码	词位	码位词数	一简字	拆开输入	键数	当量	低于1.4	08排名	虎码	同码其他词
看客	kjke	2	2	看	k␣kej␣	6	1.16	是	61047	513	坎坷
傻了	uale	1	3	了	uak␣l␣	6	1.16	是	659038	1323	杀了、傻乐
傻了	ualn	1	1	了	uak␣l␣	6	1.16	是	659038	1323	
想看	xlkj	1	2	看	xl␣k␣	5	1.175	是	40870	167	相看
想了	xlle	1	3	了	xl␣l␣	5	1.175	是	1014093	3408	享乐、响了
想你	xlni	1	1	你	xl␣n␣	5	1.175	是	1014099	3182	
何不	hebu	1	2	不	hek␣b␣	6	1.18	是	13092	2166	华而不实
才干	cdgj	1	2	才	c␣gjc␣	6	1.18	是	14182	686	才敢
起家	qijx	1	2	起	q␣jxj␣	6	1.18	是	16770	566	起价
不耐	bund	2	3	不	b␣ndl␣	6	1.18	是	105595	156	八十年代、不是你的
耐看	ndkj	1	1	看	ndl␣k␣	6	1.18	是	128998	273	
小鹤	xnhe	1	4	小	x␣hej␣	6	1.18	是	158951	217	小河、萧何、小女孩儿
吃客	iike	1	2	吃	i␣kej␣	6	1.18	是	235903	217	齿科
害了	hdle	1	1	了	hdj␣l␣	6	1.18	是	1010980	1720	
干了	gjle	1	1	了	gjc␣l␣	6	1.18	是	1012128	1967	
扯了	iele	2	2	了	ieo␣l␣	6	1.18	是	1014936	59	撤了
有何	yzhe	1	1	有	y␣hek␣	6	1.18	是	1018598	1792	
聋了	lsle	1	1	了	lsn␣l␣	6	1.18	是	1026096	66	
谢了	xple	1	2	了	xpf␣l␣	6	1.18	是	1028873	996	写了
雇了	gule	1	1	了	gub␣l␣	6	1.18	是	1032601	59	
鼓起	guqi	1	2	起	guq␣q␣	6	1.18	是	1033926	1063	骨气
起来	qild	1	1	起	q␣ld␣	5	1.2	是	25	41298	
想起	xlqi	1	4	起	xl␣q␣	5	1.2	是	430	10101	响起、心里清楚、象棋
不幸	buxk	2	3	不	b␣xkq␣	6	1.2	是	1097	3318	不行、步行
你家	nijx	1	2	你	n␣jxj␣	6	1.2	是	2603	2042	逆价
有害	yzhd	1	1	有	y␣hdj␣	6	1.2	是	5193	1098	
这家	vejx	1	2	这	v␣jxj␣	6	1.2	是	6167	3603	折价
这项	vexl	1	2	这	v␣xlt␣	6	1.2	是	6228	1316	这厢
不光	bugl	1	1	不	b␣gl␣	5	1.2	是	7023	1256	
完了	wjle	1	3	了	wj␣l␣	5	1.2	是	8924	4742	晚了、玩乐
不觉	bujt	1	2	不	b␣jtj␣	6	1.2	是	11310	3645	不绝
察看	iakj	2	2	看	iaj␣k␣	6	1.2	是	12730	973	查看
起跑	qipc	3	3	起	q␣pc␣	5	1.2	是	18236	645	气泡、旗袍
看家	kjjx	1	2	看	k␣jxj␣	6	1.2	是	18465	437	砍价
协和	xphe	1	1	和	xpc␣h␣	6	1.2	是	22955	341	
不怪	bugk	1	2	不	b␣gk␣	5	1.2	是	66595	866	不乖
不回	buhv	2	3	不	b␣hvj␣	6	1.2	是	67705	3131	不会、不悔
临了	lbln	1	1	了	lbl␣l␣	6	1.2	是	88797	573	
不乖	bugk	2	2	不	b␣gkc␣	6	1.2	是	101545	59	不怪
不想	buxl	1	3	不	b␣xl␣	5	1.2	是	102690	13376	不像、不祥
起开	qikd	1	1	起	q␣kd␣	5	1.2	是	117807	452	
没闹	mwnc	1	1	没	m␣ncn␣	6	1.2	是	122723	59	
看向	kjxl	1	3	看	k␣xlf␣	6	1.2	是	134534	4097	看相、恐惧心理
窥看	kvkj	1	1	看	kvj␣k␣	6	1.2	是	155393	48	
鹤发	hefa	2	2	发	hej␣f␣	6	1.2	是	166515	52	合法
你傻	niua	2	2	你	n␣uak␣	6	1.2	是	194582	59	泥沙
这回	vehv	1	2	这	v␣hvj␣	6	1.2	是	276277	1836	这会
这回	vwhv	1	1	这	v␣hvj␣	6	1.2	是	276277	1836	
不敢	bugj	1	4	不	b␣gj␣	5	1.2	是	310114	12933	不甘、不胜感激、保守估计
回看	hvkj	1	1	看	hvj␣k␣	6	1.2	是	318974	422	
冒起	mcqi	1	1	起	mcn␣q␣	6	1.2	是	364924	69	
请看	qkkj	1	2	看	qk␣k␣	5	1.2	是	367358	508	轻看
你想	nixl	1	2	你	n␣xl␣	5	1.2	是	378004	4935	逆向
才怪	cdgk	1	1	才	c␣gk␣	5	1.2	是	411230	568	
这厢	vexl	2	2	这	v␣xlc␣	6	1.2	是	451464	276	这项
你敢	nigj	1	1	你	n␣gj␣	5	1.2	是	458382	1241	
传看	irkj	1	1	看	irk␣k␣	6	1.2	是	571536	202	
发干	fagj	1	1	发	f␣gjc␣	6	1.2	是	614903	362	
才敢	cdgj	2	2	才	c␣gj␣	5	1.2	是	821322	797	才干
但看	djkj	2	2	看	dj␣k␣	5	1.2	是	1002511	59	单看
光看	glkj	1	1	看	gl␣k␣	5	1.2	是	1003472	1303	
单看	djkj	1	2	看	djq␣k␣	6	1.2	是	1006134	67	但看
反了	fjle	2	3	了	fj␣l␣	5	1.2	是	1006805	682	犯了、烦了
只看	vikj	1	1	看	vit␣k␣	6	1.2	是	1007132	1690	
听了	tkle	1	2	了	tk␣l␣	5	1.2	是	1007692	5085	停了
咱就	zjjq	1	1	就	zj␣j␣	5	1.2	是	1008071	70	
存了	cyle	1	1	了	cyc␣l␣	6	1.2	是	1010639	0	
少了	ucle	1	2	了	uc␣l␣	5	1.2	是	1011349	3625	烧了
少看	uckj	1	2	看	uc␣k␣	5	1.2	是	1011409	62	生存空间
巧了	qnle	1	2	了	qnt␣l␣	6	1.2	是	1011791	251	千年老二
干起	gjqi	1	2	起	gjc␣q␣	6	1.2	是	1012174	67	肝气
强了	qlle	2	2	了	ql␣l␣	5	1.2	是	1012782	59	抢了
必看	bikj	1	2	看	biv␣k␣	6	1.2	是	1013334	251	壁龛
怪了	gkle	1	1	了	gk␣l␣	5	1.2	是	1013781	932	
惨了	cjle	1	2	了	cjv␣l␣	6	1.2	是	1014078	677	掺了
想和	xlhe	2	2	和	xl␣h␣	5	1.2	是	1014110	59	祥和
拼了	pble	1	1	了	pbo␣l␣	6	1.2	是	1015704	996	
掉了	dnle	1	1	了	dn␣l␣	5	1.2	是	1016281	4402	
敢看	gjkj	1	2	看	gj␣k␣	5	1.2	是	1017251	59	更加快捷
晚了	wjle	2	3	了	wjb␣l␣	6	1.2	是	1018095	1795	完了、玩乐
淡了	djle	1	1	了	dja␣l␣	6	1.2	是	1020858	104	
烧了	ucle	2	2	了	ucp␣l␣	6	1.2	是	1021667	1316	少了
生了	ugle	1	3	了	ugm␣l␣	6	1.2	是	1022781	5411	省了、升了
省了	ugle	2	3	了	ugy␣l␣	6	1.2	是	1023449	0	生了、升了
看遍	kjbm	2	2	看	k␣bmb␣	6	1.2	是	1023519	70	看扁
稍小	ucxn	2	2	小	ucn␣x␣	6	1.2	是	1024393	220	少校
笑了	xnle	1	1	了	xn␣l␣	5	1.2	是	1024707	8355	
绝了	jtle	2	2	了	jti␣l␣	6	1.2	是	1025512	171	焦头烂额
脏了	zhle	1	1	了	zhz␣l␣	6	1.2	是	1026487	78	
蒙了	mgle	2	2	了	mgm␣l␣	6	1.2	是	1027311	655	懵了
行了	xkle	1	2	了	xk␣l␣	5	1.2	是	1027740	4665	醒了
要看	yckj	1	2	看	yc␣k␣	5	1.2	是	1028177	2640	由此可见
请了	qkle	1	2	了	qk␣l␣	5	1.2	是	1028640	167	轻了
读了	dule	1	2	了	duf␣l␣	6	1.2	是	1028708	677	赌了
赞和	zjhe	2	2	和	zjv␣h␣	6	1.2	是	1029181	0	攒盒
起了	qile	1	2	起了	q␣l␣	4	1.2	是	1029337	8612	齐了
跑了	pcle	1	1	了	pc␣l␣	5	1.2	是	1029583	333	
辞了	cile	1	1	了	cic␣l␣	6	1.2	是	1030270	0	
须看	xukj	1	1	看	xuf␣k␣	6	1.2	是	1032983	265	
小孩	xnhd	1	2	小	x␣hdp␣	6	1.22	是	670	5830	校内活动
客人	kerf	1	1	人	kej␣r␣	6	1.22	是	1126	3723	
发觉	fajt	1	2	发	f␣jtj␣	6	1.22	是	2419	2231	发掘
在家	zdjx	1	2	在	z␣jxj␣	6	1.22	是	2582	4735	再加
起诉	qisu	1	1	起	q␣suf␣	6	1.22	是	2692	3870	
不必	bubi	1	2	不	b␣biv␣	6	1.22	是	2819	6336	不比
绝不	jtbu	1	2	不	jti␣b␣	6	1.22	是	3530	4290	决不
小弟	xndi	1	1	小	x␣did␣	6	1.22	是	4933	1342	
不惜	buxi	1	2	不	b␣xiv␣	6	1.22	是	5285	1472	补习
有幸	yzxk	1	2	有	y␣xkq␣	6	1.22	是	6413	1232	游行
有序	yzxu	1	1	有	y␣xuc␣	6	1.22	是	6775	1736	
缓和	hrhe	1	1	和	hri␣h␣	6	1.22	是	7344	1113	
永不	ysbu	1	1	不	ysp␣b␣	6	1.22	是	7973	2400	
何在	hezd	1	2	在	hek␣z␣	6	1.22	是	8023	993	荷载
不赖	buld	2	3	不	b␣ldy␣	6	1.22	是	8163	1632	不来、本硕连读
他家	tajx	1	2	他	t␣jxj␣	6	1.22	是	9398	1957	她家
这块	vekk	1	1	这	v␣kkq␣	6	1.22	是	9689	2023	
看门	kjmf	1	1	看	k␣mfn␣	6	1.22	是	11374	536	
就读	jqdu	1	1	就	j␣duf␣	6	1.22	是	11490	585	
印发	ybfa	2	2	发	ybl␣f␣	6	1.22	是	13421	850	引发
发家	fajx	1	2	发	f␣jxj␣	6	1.22	是	17180	313	发夹
有感	yzgj	1	1	有	y␣gjv␣	6	1.22	是	17195	1622	
泛起	fjqi	1	2	起	fja␣q␣	6	1.22	是	18469	1690	翻起
何人	herf	1	3	人	hek␣r␣	6	1.22	是	19273	3536	鹤人、核仁
小孔	xnks	1	1	小	x␣ksp␣	6	1.22	是	22310	396	
隆起	lsqi	1	3	起	lsy␣q␣	6	1.22	是	23029	580	龙骑、龙旗
和煦	hexu	2	2	和	h␣xub␣	6	1.22	是	25545	640	何须
不甘	bugj	2	4	不	b␣gjr␣	6	1.22	是	29601	2563	不敢、不胜感激、保守估计
未了	wwln	1	2	了	wwl␣l␣	6	1.22	是	30545	637	喂料
和缓	hehr	1	2	和	h␣hri␣	6	1.22	是	33039	378	合欢
起锚	qimc	1	2	起	q␣mcu␣	6	1.22	是	36908	208	汽贸
小农	xnns	1	1	小	x␣nsj␣	6	1.22	是	42497	330	
发傻	faua	1	1	发	f␣uak␣	6	1.22	是	45518	243	
起兵	qibk	3	3	起	q␣bkd␣	6	1.22	是	58416	599	骑兵、千疮百孔
屈就	qujq	1	3	就	qub␣j␣	6	1.22	是	82299	270	去救、亲上加亲
干才	gjcd	2	2	才	gjc␣c␣	6	1.22	是	95589	0	干菜
人寰	rfhr	1	1	人	r␣hrj␣	6	1.22	是	133954	0	
四个	sige	1	1	个	siq␣g␣	6	1.22	是	136396	5398	
看花	kjhx	1	1	看	k␣hxm␣	6	1.22	是	144161	467	
小家	xnjx	1	2	小	x␣jxj␣	6	1.22	是	212366	1365	销价
看淡	kjdj	1	1	看	k␣dja␣	6	1.22	是	217568	1277	
不绝	bujt	2	2	不	b␣jti␣	6	1.22	是	227630	1330	不觉
没底	mwdi	2	3	没	m␣dic␣	6	1.22	是	242994	392	美的、美帝
看店	kjdm	2	2	看	k␣dmc␣	6	1.22	是	255309	276	看点
捧起	pgqi	1	1	起	pgo␣q␣	6	1.22	是	259327	565	
相看	xlkj	2	2	看	xlw␣k␣	6	1.22	是	281354	838	想看
这顶	vedk	1	1	这	v␣dkt␣	6	1.22	是	307641	65	
有家	yzjx	2	2	有	y␣jxj␣	6	1.22	是	312357	1135	油价
起锅	qigo	2	2	起	q␣gou␣	6	1.22	是	315467	330	齐国
发回	fahv	2	2	发	f␣hvj␣	6	1.22	是	372501	108	发挥
看房	kjfh	1	1	看	k␣fhb␣	6	1.22	是	414994	420	
吊起	dnqi	1	2	起	dnt␣q␣	6	1.22	是	440765	343	掉漆
不倦	bujr	1	1	不	b␣jrk␣	6	1.22	是	456814	1222	
发牌	fapd	1	2	发	f␣pdn␣	6	1.22	是	667458	281	法拍
吃瘪	iibp	1	1	吃	i␣bpc␣	6	1.22	是	676667	330	
这单	vedj	1	1	这	v␣djq␣	6	1.22	是	703328	64	
丫的	yade	1	1	的	yal␣d␣	6	1.22	是	826047	411	
起订	qidk	1	1	起	q␣dkf␣	6	1.22	是	981643	60	
停了	tkle	2	2	了	tkk␣l␣	6	1.22	是	1003204	2265	听了
受了	uzle	1	4	了	uzh␣l␣	6	1.22	是	1006902	3618	瘦了、收了、熟了
变了	bmle	1	2	了	bmt␣l␣	6	1.22	是	1006911	4237	编了
吃遍	iibm	1	2	吃	i␣bmb␣	6	1.22	是	1007382	330	池边
干吃	gjii	2	2	吃	gjc␣i␣	6	1.22	是	1012135	45	敢吃
捐了	jrle	1	1	了	jro␣l␣	6	1.22	是	1016142	66	
晕了	yyle	1	1	了	yyb␣l␣	6	1.22	是	1018078	94	
欠了	qmle	1	1	了	qmg␣l␣	6	1.22	是	1019625	808	
洗了	xile	1	2	了	xia␣l␣	6	1.22	是	1020542	0	喜乐
涨了	vhle	1	2	了	vha␣l␣	6	1.22	是	1020815	613	长了
炒了	icle	1	1	了	icp␣l␣	6	1.22	是	1021463	59	
烧起	ucqi	1	1	起	ucp␣q␣	6	1.22	是	1021696	78	
爬起	paqi	1	1	起	pah␣q␣	6	1.22	是	1021943	1425	
画了	hxle	2	2	了	hxp␣l␣	6	1.22	是	1022946	632	花了
病了	bkle	1	1	了	bkc␣l␣	6	1.22	是	1023081	1473	
紫了	zile	1	2	了	zis␣l␣	6	1.22	是	1025132	0	自乐
绿了	lvle	1	1	了	lvi␣l␣	6	1.22	是	1025580	59	
花了	hxle	1	2	了	hxm␣l␣	6	1.22	是	1026902	2623	画了
误了	wule	1	2	了	wuf␣l␣	6	1.22	是	1028535	880	悟了
赔了	pwle	1	3	了	pwj␣l␣	6	1.22	是	1029117	482	配了、陪了
跌了	dple	1	1	了	dps␣l␣	6	1.22	是	1029568	59	
踢了	tile	1	1	了	tis␣l␣	6	1.22	是	1029808	816	
顶起	dkqi	2	2	起	dkt␣q␣	6	1.22	是	1032934	246	定期
鹤人	herf	2	3	人	hej␣r␣	6	1.22	是	1033756	10	何人、核仁
不过	bugo	1	2	不	b␣go␣	5	1.225	是	61	38857	补过
好看	hckj	1	1	看	hc␣k␣	5	1.225	是	127	3281	
看来	kjld	1	1	看	k␣ld␣	5	1.225	是	284	10635	
不然	burj	1	2	不	b␣rj␣	5	1.225	是	629	6153	变声软件
不好	buhc	1	1	不	b␣hc␣	5	1.225	是	1001	13365	
你好	nihc	1	2	你	n␣hc␣	5	1.225	是	1130	10938	亻尔女子
不行	buxk	1	3	不	b␣xk␣	5	1.225	是	1223	6478	不幸、步行
不安	buan	1	1	不	b␣an␣	5	1.225	是	1929	4668	
不但	budj	1	2	不	b␣dj␣	5	1.225	是	2422	3347	补单
看好	kjhc	1	2	看	k␣hc␣	5	1.225	是	2821	1086	刊号
起点	qidm	1	2	起	q␣dm␣	5	1.225	是	3137	2201	七点
不会	buhv	1	3	不	b␣hv␣	5	1.225	是	3583	30182	不回、不悔
发光	fagl	1	1	发	f␣gl␣	5	1.225	是	4342	1665	
要不	ycbu	1	2	不	yc␣b␣	5	1.225	是	7165	302	腰部
来看	ldkj	1	1	看	ld␣k␣	5	1.225	是	8310	6505	
吃光	iigl	1	1	吃	i␣gl␣	5	1.225	是	10084	478	
