码	新首选	新_08排名	新_虎码	新_拆开键数	新_拆开总成本	新_拆开输入	原首选	原_08排名	原_虎码	原_拆开键数	原_拆开总成本	原_拆开输入	拆开更费者	投票
bixu	必须	91	17793	8	7.0	biv␣+xuf␣	必需	4949	922	8	7.4	biv␣+xul␣	原首选	简单鹤:必须/魔然:必须/虎码:必须
yzdm	有点	148	14238	5	3.7	y␣+dm␣	优点	3031	2370	7	6.0	yzk␣+dm␣	原首选	简单鹤:有点/魔然:优点/虎码:有点
xbnm	新年	193	1286	7	6.9	xbj␣+nm␣	信念	2281	3701	8	8.0	xbk␣+nmq␣	原首选	简单鹤:新年/魔然:新年/虎码:信念
vfui	真是	297	13462	5	4.3	vf␣+u␣	真实	693	7188	7	7.1	vf␣+uij␣	原首选	简单鹤:真是/魔然:真实/虎码:真是
uixm	实现	323	13275	8	7.7	uij␣+xmr␣	视线	3830	5432	8	7.8	uid␣+xmi␣	原首选	简单鹤:实现/虎码:实现
hvyi	回忆	730	8366	9	9.1	hvj␣+yivb␣	会议	409	6055	7	6.2	hv␣+yif␣	新首选	简单鹤:回忆/虎码:回忆
mwli	美丽	461	8792	8	8.4	mwr␣+lil␣	魅力	1259	2688	9	9.8	mwpl␣+lip␣	原首选	简单鹤:美丽/虎码:美丽
xmui	现实	544	9028	8	7.7	xmr␣+uij␣	显示	805	5140	8	7.2	xmb␣+uit␣	新首选	简单鹤:现实/虎码:现实
uiui	事实	554	9828	8	8.3	uip␣+uij␣	实施	1352	7435	9	9.5	uij␣+uilf␣	原首选	简单鹤:事实/虎码:事实
ugqi	生气	597	6471	8	7.2	ugm␣+qiz␣	升起	4067	2695	6	5.1	ugf␣+q␣	新首选	简单鹤:生气/魔然:生气/虎码:生气
bujb	不仅	696	8706	6	4.8	b␣+jbk␣	不禁	3487	4440	6	5.6	b␣+jbw␣	原首选	简单鹤:不仅/魔然:不仅/虎码:不仅
xkqi	星期	725	2488	8	7.0	xkb␣+qir␣	兴起	7605	1083	6	5.2	xky␣+q␣	新首选	简单鹤:星期/魔然:星期/虎码:星期
duzi	肚子	738	3900	8	7.6	duz␣+zip␣	独自	1449	4825	7	6.2	duo␣+zi␣	新首选	简单鹤:肚子/魔然:肚子/虎码:独自
yzrf	有人	914	30247	4	2.7	y␣+r␣	诱人	6794	973	6	5.7	yzf␣+r␣	原首选	简单鹤:诱人/魔然:有人/虎码:有人
budv	不对	3702	5942	5	4.0	b␣+dv␣	部队	915	2688	7	6.7	bu␣+dvy␣	原首选	简单鹤:不对/魔然:不对/虎码:不对
uide	似的	1011	8137	6	5.2	sik␣+d␣	使得	2746	3430	7	7.3	uik␣+de␣	原首选	简单鹤:似的/魔然:使得/虎码:似的
ihih	常常	1112	6568	6	6.0	ih␣+ih␣	尝尝	3298	941	8	9.0	ihj␣+ihj␣	原首选	魔然:常常/虎码:常常
faxk	发行	2740	1900	5	3.6	f␣+xk␣	发型	1143	817	7	6.6	f␣+xkpq␣	原首选	简单鹤:发行/魔然:发行/虎码:发行
wuzi	屋子	1211	3448	8	7.4	wub␣+zip␣	物资	4991	1795	8	7.2	wuv␣+zia␣	新首选	简单鹤:屋子/魔然:物资/虎码:屋子
vjui	展示	1272	2355	8	7.3	vjb␣+uit␣	战士	1359	2312	7	6.0	vj␣+uiq␣	新首选	简单鹤:展示/魔然:展示/虎码:展示
xnxn	小小	1288	6465	4	2.6	x␣+x␣	笑笑	5403	2335	6	4.6	xn␣+xn␣	原首选	简单鹤:小小/魔然:小小/虎码:小小
qkxk	情形	2990	5466	8	7.7	qkv␣+xkp␣	清醒	1378	3842	8	7.3	qka␣+xke␣	新首选	简单鹤:清醒/魔然:情形/虎码:情形
zcqi	早期	3956	1653	7	6.4	zc␣+qir␣	早起	1487	1438	5	3.9	zc␣+q␣	新首选	简单鹤:早期/魔然:早期/虎码:早期
dajp	大街	1588	1843	7	7.2	da␣+jpk␣	大姐	3633	1397	7	6.6	da␣+jps␣	新首选	简单鹤:大街/魔然:大街/虎码:大街
jnui	教师	1615	3952	8	8.3	jnn␣+uil␣	教室	2190	3268	9	9.6	jnn␣+uijg␣	原首选	简单鹤:教师/魔然:教师/虎码:教师
holi	活力	1632	2838	8	8.1	hoa␣+lip␣	火力	6147	823	7	7.0	ho␣+lip␣	新首选	简单鹤:活力/魔然:活力/虎码:活力
qifu	欺负	1634	3150	9	9.2	qirx␣+fug␣	起伏	5391	2020	7	7.0	q␣+fuky␣	新首选	简单鹤:欺负/魔然:欺负/虎码:欺负
yzys	有用	2915	2595	5	3.8	y␣+ys␣	游泳	2009	2000	10	10.8	yzap␣+ysap␣	原首选	简单鹤:有用/魔然:有用/虎码:有用
vgyi	争议	4273	2635	8	8.3	vgg␣+yif␣	正义	2027	2490	7	7.1	vg␣+yia␣	新首选	简单鹤:正义/魔然:争议/虎码:争议
dglu	登录	2107	1691	8	8.9	dgr␣+lup␣	登陆	2076	1188	8	9.1	dgr␣+luy␣	原首选	简单鹤:登录/魔然:登录/虎码:登录
quui	去世	2236	2662	7	6.4	qu␣+uir␣	趋势	2806	2271	9	8.9	qusp␣+uio␣	原首选	简单鹤:去世/魔然:趋势/虎码:去世
vugr	主管	2328	3022	7	6.9	vu␣+grh␣	主观	5588	1837	7	7.1	vu␣+grq␣	原首选	简单鹤:主管/魔然:主观/虎码:主管
buui	不是	2466	61200	4	2.5	b␣+u␣	不适	7079	2598	7	6.7	b␣+uicq␣	原首选	简单鹤:不是/虎码:不是
gomb	过敏	2519	1757	7	5.9	go␣+mbk␣	国民	3590	2766	7	6.1	goj␣+mb␣	原首选	简单鹤:过敏/魔然:过敏/虎码:国民
jljb	将近	4121	2085	7	6.3	jl␣+jbh␣	奖金	2593	1217	8	8.0	jln␣+jbu␣	原首选	简单鹤:将近/魔然:奖金/虎码:将近
tivi	体制	2771	3302	7	5.9	ti␣+viv␣	体质	7771	1492	7	5.9	ti␣+vif␣	相同	简单鹤:体质/魔然:体制/虎码:体制
erui	而是	2820	19367	4	2.8	e␣+u␣	儿时	6787	1177	7	6.5	erp␣+ui␣	原首选	魔然:而是/虎码:而是
tsbc	同胞	3032	1488	7	7.3	ts␣+bcz␣	通报	4884	1243	7	6.8	tsh␣+bc␣	新首选	简单鹤:同胞/魔然:通报/虎码:同胞
mifg	密封	7855	883	8	8.6	mij␣+fgq␣	蜜蜂	3044	963	9	10.2	mijg␣+fgg␣	原首选	简单鹤:密封/魔然:密封/虎码:蜜蜂
xiju	喜剧	3105	862	9	9.3	xiq␣+jubg␣	戏剧	3301	1050	10	11.1	xiqv␣+jubg␣	原首选	简单鹤:喜剧/魔然:喜剧/虎码:戏剧
yuyt	预约	3175	1365	8	7.8	yuz␣+yti␣	愉悦	4703	1697	8	8.4	yuv␣+ytv␣	原首选	简单鹤:预约/魔然:预约/虎码:愉悦
jmig	建成	3221	2235	7	7.4	jmp␣+ig␣	简称	5343	2087	9	10.3	jmh␣+igny␣	原首选	简单鹤:建成/魔然:简称/虎码:建成
guvh	故障	3252	1193	8	7.3	guc␣+vhy␣	鼓掌	3417	1138	8	7.2	guq␣+vhj␣	新首选	简单鹤:故障/魔然:故障/虎码:故障
yzxk	有幸	6413	1232	6	4.7	y␣+xkq␣	游行	3371	658	8	7.9	yzap␣+xk␣	原首选	简单鹤:有幸/魔然:游行/虎码:有幸
buli	不理	5290	2702	6	5.2	b␣+lir␣	不利	3392	2111	6	5.4	b␣+lin␣	原首选	简单鹤:不理/魔然:不理/虎码:不理
dmxb	点心	4259	1537	6	5.1	dm␣+xb␣	电信	3408	892	8	8.0	dmp␣+xbk␣	原首选	简单鹤:点心/魔然:电信/虎码:点心
qbui	寝室	3525	1492	10	11.0	qbjq␣+uijg␣	侵蚀	7402	1458	9	9.8	qbk␣+uiwg␣	新首选	简单鹤:侵蚀/魔然:寝室/虎码:寝室
vsji	中级	7733	1278	7	7.0	vs␣+jii␣	终极	3779	1065	9	9.7	vsi␣+jiws␣	原首选	简单鹤:终极/魔然:中级/虎码:中级
vsvi	终止	6068	1976	8	7.5	vsi␣+vis␣	种植	3883	1387	8	7.4	vsn␣+viw␣	新首选	简单鹤:种植/魔然:终止/虎码:终止
iuui	出事	3892	2196	7	6.9	iu␣+uip␣	厨师	5170	900	8	7.9	iuc␣+uil␣	原首选	简单鹤:出事/魔然:厨师/虎码:出事
uidm	试点	6594	1443	7	6.2	uif␣+dm␣	十点	4098	1060	7	6.2	uic␣+dm␣	相同	简单鹤:试点/魔然:十点/虎码:试点
iuds	出动	4182	1684	6	5.5	iu␣+ds␣	触动	5662	1293	7	6.7	iug␣+ds␣	原首选	简单鹤:出动/魔然:触动/虎码:出动
gjyu	敢于	4226	2317	7	6.1	gj␣+yuc␣	干预	6187	1230	8	7.5	gjc␣+yuz␣	原首选	简单鹤:敢于/魔然:干预/虎码:敢于
jkgr	警官	4378	1161	8	8.3	jkm␣+grj␣	景观	6307	686	9	9.4	jkby␣+grq␣	原首选	简单鹤:警官/魔然:警官/虎码:警官
xlld	想来	4423	2076	6	4.6	xl␣+ld␣	向来	6146	1241	7	5.8	xlf␣+ld␣	原首选	简单鹤:向来/魔然:想来/虎码:想来
dahc	大号	7635	527	7	7.1	da␣+hct␣	大好	4701	963	6	5.1	da␣+hc␣	新首选	简单鹤:大号/魔然:大号/虎码:大好
yiwj	一万	6825	2327	7	6.1	yi␣+wjc␣	亿万	4726	1296	9	8.7	yikb␣+wjc␣	原首选	魔然:一万/虎码:一万
mkvi	明智	4727	2494	8	8.1	mk␣+vigb␣	明知	6173	1188	6	5.2	mk␣+vi␣	新首选	简单鹤:明知/魔然:明智/虎码:明智
fgug	风声	4732	1768	6	5.7	fg␣+ug␣	丰盛	4728	857	8	9.1	fgr␣+ugv␣	原首选	简单鹤:风声/魔然:丰盛/虎码:风声
bciz	报酬	5185	1807	7	7.5	bc␣+ize␣	报仇	4746	1672	7	6.5	bc␣+izk␣	新首选	简单鹤:报仇/魔然:报酬/虎码:报酬
ycyj	谣言	4856	1046	8	8.4	ycf␣+yjf␣	耀眼	6314	2286	7	6.6	ycy␣+yj␣	新首选	简单鹤:谣言/魔然:谣言/虎码:耀眼
lifa	立法	4921	2793	7	6.8	lij␣+fa␣	理发	6925	767	6	5.3	lir␣+f␣	新首选	简单鹤:理发/魔然:立法/虎码:立法
bkli	病例	5165	1093	8	7.9	bkc␣+lik␣	兵力	6743	971	8	7.9	bkd␣+lip␣	原首选	简单鹤:病例/魔然:病例/虎码:病例
xplz	泄露	5259	1466	8	7.9	xpa␣+lul␣	泄漏	7690	480	8	7.9	xpa␣+lza␣	相同	简单鹤:泄露/魔然:泄露/虎码:泄露
wjui	完事	6179	585	7	6.5	wj␣+uip␣	万事	6108	1376	8	7.6	wjc␣+uip␣	原首选	简单鹤:完事/魔然:完事/虎码:万事
favi	法治	6541	5763	7	6.2	fa␣+via␣	法制	6273	1315	7	6.1	fa␣+viv␣	新首选	简单鹤:法制/魔然:法治/虎码:法治
kjvs	看中	7824	911	5	4.1	k␣+vs␣	看重	6313	1607	6	5.7	k␣+vsc␣	原首选	简单鹤:看中/魔然:看中/虎码:看重
uoui	硕士	7315	730	8	7.6	uox␣+uiq␣	说是	6427	7458	5	4.0	uo␣+u␣	新首选	简单鹤:硕士/魔然:硕士/虎码:说是
xbjm	新建	7277	917	8	8.7	xbj␣+jmp␣	信件	6485	778	8	8.5	xbk␣+jmk␣	新首选	简单鹤:新建/魔然:新建/虎码:心间
xili	洗礼	7417	1695	8	7.5	xia␣+lid␣	犀利	6650	810	9	9.5	xibv␣+lin␣	原首选	简单鹤:洗礼/魔然:犀利/虎码:洗礼
